seat,prediction
Albert,0.0
Algester,0.0
Ashgrove,0.0
Aspley,0.0
Barron River,0.0
Beaudesert,1.0
Brisbane Central,0.0
Broadwater,1.0
Bulimba,0.0
Bundaberg,1.0
Bundamba,0.0
Burdekin,1.0
Burleigh,1.0
Burnett,1.0
Cairns,0.0
Callide,1.0
Caloundra,0.0
Capalaba,0.0
Charters Towers,1.0
Chatsworth,0.0
Clayfield,0.0
Cleveland,0.0
Cook,1.0
Cunningham,1.0
Currumbin,0.0
Darling Downs,1.0
Everton,0.0
Ferny Grove,0.0
Fitzroy,1.0
Gaven,0.0
Gladstone,1.0
Glass House,1.0
Greenslopes,0.0
Gregory,1.0
Gympie,1.0
Hervey Bay,1.0
Hinchinbrook,1.0
Inala,0.0
Indooroopilly,0.0
Ipswich,0.0
Ipswich West,0.0
Kallangur,1.0
Kawana,0.0
Keppel,1.0
Kurwongbah,1.0
Lockyer,1.0
Logan,1.0
Lytton,0.0
Mackay,1.0
Mansfield,0.0
Maroochydore,1.0
Maryborough,0
Mirani,1.0
Moggill,0.0
Mount Coot-tha,0.0
Mount Gravatt,0.0
Mount Isa,1.0
Mount Ommaney,0.0
Mudgeeraba,0.0
Mulgrave,1.0
Mundingburra,0.0
Murrumba,0.0
Nanango,1.0
Nicklin,1.0
Noosa,0.0
Nudgee,0.0
Pumicestone,0.0
Redcliffe,0.0
Redlands,1.0
Robina,0.0
Rockhampton,1.0
Sandgate,0.0
South Brisbane,0.0
Southern Downs,1.0
Southport,1.0
Springwood,1.0
Stafford,0.0
Stretton,0.0
Surfers Paradise,0.0
Tablelands,1.0
Thuringowa,1.0
Toowoomba North,1.0
Toowoomba South,1.0
Townsville,0.0
Warrego,1.0
Waterford,0.0
Whitsunday,1.0
Woodridge,0.0
Yeerongpilly,0.0
