seat,prediction
Albany,0.4693321624009053
Armadale,0.0
Balcatta,0.0
Baldivis,0.0
Bassendean,0.0
Bateman,0.0
Belmont,0.0
Bicton,0.0
Bunbury,0.3414577260201312
Burns Beach,0.0
Butler,0.0
Cannington,0.0
Carine,0.0
Central Wheatbelt,0.7067947487461773
Churchlands,0.0
Cockburn,0.0
Collie-Preston,0.37776752727058394
Cottesloe,0.0
Darling Range,0.0
Dawesville,0.08142909936698269
Forrestfield,0.0
Fremantle,0.0
Geraldton,0.3597637125526216
Girrawheen,0.0
Hillarys,0.0
Jandakot,0.0
Joondalup,0.0
Kalamunda,0.0
Kalgoorlie,0.42340405677980886
Kimberley,0.43275436662758254
Kingsley,0.0
Kwinana,0.0
Mandurah,0.1105526112290458
Maylands,0.0
Midland,0.0
Mirrabooka,0.0
Moore,0.5589527329534042
Morley,0.0
Mount Lawley,0.0
Murray-Wellington,0.26965974900274975
Nedlands,0.0
North West Central,0.5974432905747911
Perth,0.0
Pilbara,0.5622252015657049
Riverton,0.0
Rockingham,0.0
Roe,0.6400602409638554
Scarborough,0.0
South Perth,0.0
Southern River,0.0
Swan Hills,0.0
Thornlie,0.0
Vasse,0.2778155806441655
Victoria Park,0.0
Wanneroo,0.0
Warnbro,0.0
Warren-Blackwood,0.6057959572003879
West Swan,0.0
Willagee,0.0
