seat,prediction
Albert Park,0.0
Ashwood,0.0
Bass,0.30645161290322576
Bayswater,0.0
Bellarine,0.0
Benambra,0.0
Bendigo East,1.0
Bendigo West,0.0
Bentleigh,0.0
Berwick,0.0
Box Hill,0.0
Brighton,0.0
Broadmeadows,0.0
Brunswick,0.0
Bulleen,0.0
Bundoora,0.0
Carrum,0.0
Caulfield,0.0
Clarinda,0.0
Cranbourne,0.0
Croydon,0.0
Dandenong,0.0
Eildon,0.0
Eltham,0.0
Essendon,0.0
Eureka,0.0
Euroa,0.5947955390334573
Evelyn,0.0
Footscray,0.0
Frankston,0.0
Geelong,0.0
Gippsland East,1.0
Gippsland South,1.0
Glen Waverley,0.0
Greenvale,0.0
Hastings,0.0
Hawthorn,0.0
Ivanhoe,0.0
Kalkallo,0.0
Kew,0.0
Kororoit,0.0
Lara,0.0
Laverton,0.0
Lowan,1.0
Macedon,0.0
Malvern,0.0
Melbourne,0.0
Melton,0.0
Mildura,0.5755555555555555
Mill Park,0.0
Monbulk,0.0
Mordialloc,0.0
Mornington,0.0
Morwell,0.5181563115683848
Mulgrave,0.0
Murray Plains,1.0
Narracan,0.0
Narre Warren North,0.0
Narre Warren South,0.0
Nepean,0.0
Niddrie,0.0
Northcote,0.0
Oakleigh,0.0
Ovens Valley,1.0
Pakenham,0.0
Pascoe Vale,0.0
Point Cook,0.0
Polwarth,0.0
Prahran,0.0
Preston,0.0
Richmond,0.0
Ringwood,0.0
Ripon,0.0
Rowville,0.0
Sandringham,0.0
Shepparton,0.5167409985766475
South Barwon,0.0
South-West Coast,0.0
St Albans,0.0
Sunbury,0.0
Sydenham,0.0
Tarneit,0.0
Thomastown,0.0
Warrandyte,0.0
Wendouree,0.0
Werribee,0.0
Williamstown,0.0
Yan Yean,0.0
