schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,bias_trend,2010sa,GRN FP,,,,9.2479999999999993,,
1,bias_pollster,2010sa,GRN FP,Advertiser,,,,-0.39700000000000002,4
1,bias_pollster,2010sa,GRN FP,F2F Morgan,,,,-0.128,0
1,bias_pollster,2010sa,GRN FP,Galaxy,,,,0.159,1
1,bias_pollster,2010sa,GRN FP,Newspoll,,,,0.32100000000000001,3
1,bias_trend,2010sa,FF FP,,,,4.5460000000000003,,
1,bias_pollster,2010sa,FF FP,Advertiser,,,,0.51700000000000002,4
1,bias_pollster,2010sa,FF FP,F2F Morgan,,,,0.11600000000000001,0
1,bias_pollster,2010sa,FF FP,Galaxy,,,,0.33900000000000002,1
1,bias_pollster,2010sa,FF FP,Newspoll,,,,-1.101,3
1,bias_trend,2010sa,OTH FP,,,,11.585000000000001,,
1,bias_pollster,2010sa,OTH FP,Advertiser,,,,-0.378,4
1,bias_pollster,2010sa,OTH FP,F2F Morgan,,,,-0.034000000000000002,0
1,bias_pollster,2010sa,OTH FP,Galaxy,,,,-0.151,1
1,bias_pollster,2010sa,OTH FP,Newspoll,,,,0.62,3
1,bias_trend,2010sa,LNP FP,,,,41.908999999999999,,
1,bias_pollster,2010sa,LNP FP,Advertiser,,,,0.223,4
1,bias_pollster,2010sa,LNP FP,F2F Morgan,,,,-0.58699999999999997,0
1,bias_pollster,2010sa,LNP FP,Galaxy,,,,0.13400000000000001,1
1,bias_pollster,2010sa,LNP FP,Newspoll,,,,0.17799999999999999,3
1,bias_trend,2010sa,ALP FP,,,,36.823,,
1,bias_pollster,2010sa,ALP FP,Advertiser,,,,0.42099999999999999,4
1,bias_pollster,2010sa,ALP FP,F2F Morgan,,,,1.044,0
1,bias_pollster,2010sa,ALP FP,Galaxy,,,,-0.12,1
1,bias_pollster,2010sa,ALP FP,Newspoll,,,,-1.5149999999999999,3
1,bias_trend,2010sa,@TPP,,,,49.213999999999999,,
1,bias_pollster,2010sa,@TPP,Advertiser,,,,-0.028000000000000001,4
1,bias_pollster,2010sa,@TPP,F2F Morgan,,,,0.63200000000000001,0
1,bias_pollster,2010sa,@TPP,Galaxy,,,,-0.13,1
1,bias_pollster,2010sa,@TPP,Newspoll,,,,-0.495,3
