schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,bias_trend,2013wa,GRN FP,,,,7.907,,
1,bias_pollster,2013wa,GRN FP,Galaxy,,,,0.091999999999999998,1
1,bias_pollster,2013wa,GRN FP,Morgan Phone,,,,-0.309,0
1,bias_pollster,2013wa,GRN FP,Newspoll,,,,0.307,3
1,bias_pollster,2013wa,GRN FP,Westpoll,,,,-0.124,1
1,bias_trend,2013wa,NAT FP,,,,5.9660000000000002,,
1,bias_pollster,2013wa,NAT FP,Galaxy,,,,0.14699999999999999,1
1,bias_pollster,2013wa,NAT FP,Morgan Phone,,,,-0.125,0
1,bias_pollster,2013wa,NAT FP,Newspoll,,,,0.17699999999999999,3
1,bias_pollster,2013wa,NAT FP,Westpoll,,,,-0.20799999999999999,1
1,bias_trend,2013wa,OTH FP,,,,5.8079999999999998,,
1,bias_pollster,2013wa,OTH FP,Galaxy,,,,0.095000000000000001,1
1,bias_pollster,2013wa,OTH FP,Morgan Phone,,,,0.17999999999999999,0
1,bias_pollster,2013wa,OTH FP,Newspoll,,,,0.222,3
1,bias_pollster,2013wa,OTH FP,Westpoll,,,,-0.51800000000000002,1
1,bias_trend,2013wa,LIB FP,,,,47.936999999999998,,
1,bias_pollster,2013wa,LIB FP,Galaxy,,,,-0.72799999999999998,1
1,bias_pollster,2013wa,LIB FP,Morgan Phone,,,,0.37,0
1,bias_pollster,2013wa,LIB FP,Newspoll,,,,-0.81599999999999995,3
1,bias_pollster,2013wa,LIB FP,Westpoll,,,,1.2010000000000001,1
1,bias_trend,2013wa,ALP FP,,,,32.549999999999997,,
1,bias_pollster,2013wa,ALP FP,Galaxy,,,,0.377,1
1,bias_pollster,2013wa,ALP FP,Morgan Phone,,,,-0.089999999999999997,0
1,bias_pollster,2013wa,ALP FP,Newspoll,,,,0.021999999999999999,3
1,bias_pollster,2013wa,ALP FP,Westpoll,,,,-0.29999999999999999,1
1,bias_trend,2013wa,@TPP,,,,42.122999999999998,,
1,bias_pollster,2013wa,@TPP,Galaxy,,,,0.48099999999999998,1
1,bias_pollster,2013wa,@TPP,Morgan Phone,,,,-0.27100000000000002,0
1,bias_pollster,2013wa,@TPP,Newspoll,,,,0.39000000000000001,3
1,bias_pollster,2013wa,@TPP,Westpoll,,,,-0.61099999999999999,1
