schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,leave_one_out,2021wa,@TPP,Essential,3.1396663819027157,6.1487348897683167e-05,,,
1,leave_one_out,2021wa,@TPP,Newspoll2,0.92889109457041741,0.75881623096035233,,,
1,leave_one_out,2021wa,ALP FP,Essential,0.830812131683901,6.1487348897683167e-05,,,
1,leave_one_out,2021wa,ALP FP,Newspoll2,1.9618071248536588,0.75881623096035233,,,
1,leave_one_out,2021wa,GRN FP,Essential,3.1848654090016417,6.1487348897683167e-05,,,
1,leave_one_out,2021wa,GRN FP,Newspoll2,0.82541134983923103,0.75881623096035233,,,
1,leave_one_out,2021wa,LIB FP,Essential,4.2000876223192884,6.1487348897683167e-05,,,
1,leave_one_out,2021wa,LIB FP,Newspoll2,0.18734961394102823,0.75881623096035233,,,
1,leave_one_out,2021wa,NAT FP,Essential,0.0061989505024298147,6.1487348897683167e-05,,,
1,leave_one_out,2021wa,NAT FP,Newspoll2,0.84514680589909053,0.75881623096035233,,,
1,leave_one_out,2021wa,ONP FP,Essential,1.1311524447942076,1.6104038471307377e-18,,,
1,leave_one_out,2021wa,ONP FP,Newspoll2,0.9411159804727246,0.75881623096034434,,,
1,leave_one_out,2021wa,OTH FP,Essential,1.5118722335339077,6.1487348897683167e-05,,,
1,leave_one_out,2021wa,OTH FP,Newspoll2,0.012338630343798229,0.75881623096035233,,,
