Date,Party,50%
1993-03-18,@TPP,55.674
1993-03-19,@TPP,55.674
1993-03-20,@TPP,55.609
1993-03-21,@TPP,55.609
1993-03-22,@TPP,55.581
1993-03-23,@TPP,55.581
1993-03-24,@TPP,55.548
1993-03-25,@TPP,55.548
1993-03-26,@TPP,55.484
1993-03-27,@TPP,55.484
1993-03-28,@TPP,55.442
1993-03-29,@TPP,55.442
1993-03-30,@TPP,55.38
1993-03-31,@TPP,55.38
1993-04-01,@TPP,55.338
1993-04-02,@TPP,55.338
1993-04-03,@TPP,55.281
1993-04-04,@TPP,55.281
1993-04-05,@TPP,55.249
1993-04-06,@TPP,55.249
1993-04-07,@TPP,55.227
1993-04-08,@TPP,55.227
1993-04-09,@TPP,55.211
1993-04-10,@TPP,55.211
1993-04-11,@TPP,55.233
1993-04-12,@TPP,55.233
1993-04-13,@TPP,55.211
1993-04-14,@TPP,55.211
1993-04-15,@TPP,55.228
1993-04-16,@TPP,55.228
1993-04-17,@TPP,55.186
1993-04-18,@TPP,55.186
1993-04-19,@TPP,55.049
1993-04-20,@TPP,55.049
1993-04-21,@TPP,54.95
1993-04-22,@TPP,54.95
1993-04-23,@TPP,54.847
1993-04-24,@TPP,54.847
1993-04-25,@TPP,54.716
1993-04-26,@TPP,54.716
1993-04-27,@TPP,54.6
1993-04-28,@TPP,54.6
1993-04-29,@TPP,54.48
1993-04-30,@TPP,54.48
1993-05-01,@TPP,54.376
1993-05-02,@TPP,54.376
1993-05-03,@TPP,54.144
1993-05-04,@TPP,54.144
1993-05-05,@TPP,53.922
1993-05-06,@TPP,53.922
1993-05-07,@TPP,53.786
1993-05-08,@TPP,53.786
1993-05-09,@TPP,53.677
1993-05-10,@TPP,53.677
1993-05-11,@TPP,53.563
1993-05-12,@TPP,53.563
1993-05-13,@TPP,53.408
1993-05-14,@TPP,53.408
1993-05-15,@TPP,53.261
1993-05-16,@TPP,53.261
1993-05-17,@TPP,53.212
1993-05-18,@TPP,53.212
1993-05-19,@TPP,53.133
1993-05-20,@TPP,53.133
1993-05-21,@TPP,53.094
1993-05-22,@TPP,53.094
1993-05-23,@TPP,53.074
1993-05-24,@TPP,53.074
1993-05-25,@TPP,53.051
1993-05-26,@TPP,53.051
1993-05-27,@TPP,53.026
1993-05-28,@TPP,53.026
1993-05-29,@TPP,52.969
1993-05-30,@TPP,52.969
1993-05-31,@TPP,52.949
1993-06-01,@TPP,52.949
1993-06-02,@TPP,52.914
1993-06-03,@TPP,52.914
1993-06-04,@TPP,52.906
1993-06-05,@TPP,52.906
1993-06-06,@TPP,52.917
1993-06-07,@TPP,52.917
1993-06-08,@TPP,52.931
1993-06-09,@TPP,52.931
1993-06-10,@TPP,52.882
1993-06-11,@TPP,52.882
1993-06-12,@TPP,52.825
1993-06-13,@TPP,52.825
1993-06-14,@TPP,52.768
1993-06-15,@TPP,52.768
1993-06-16,@TPP,52.76
1993-06-17,@TPP,52.76
1993-06-18,@TPP,52.655
1993-06-19,@TPP,52.655
1993-06-20,@TPP,52.583
1993-06-21,@TPP,52.583
1993-06-22,@TPP,52.496
1993-06-23,@TPP,52.496
1993-06-24,@TPP,52.329
1993-06-25,@TPP,52.329
1993-06-26,@TPP,52.173
1993-06-27,@TPP,52.173
1993-06-28,@TPP,52.031
1993-06-29,@TPP,52.031
1993-06-30,@TPP,51.891
1993-07-01,@TPP,51.891
1993-07-02,@TPP,51.736
1993-07-03,@TPP,51.736
1993-07-04,@TPP,51.572
1993-07-05,@TPP,51.572
1993-07-06,@TPP,51.402
1993-07-07,@TPP,51.402
1993-07-08,@TPP,51.151
1993-07-09,@TPP,51.151
1993-07-10,@TPP,50.871
1993-07-11,@TPP,50.871
1993-07-12,@TPP,50.807
1993-07-13,@TPP,50.807
1993-07-14,@TPP,50.713
1993-07-15,@TPP,50.713
1993-07-16,@TPP,50.659
1993-07-17,@TPP,50.659
1993-07-18,@TPP,50.588
1993-07-19,@TPP,50.588
1993-07-20,@TPP,50.53
1993-07-21,@TPP,50.53
1993-07-22,@TPP,50.345
1993-07-23,@TPP,50.345
1993-07-24,@TPP,50.149
1993-07-25,@TPP,50.149
1993-07-26,@TPP,49.904
1993-07-27,@TPP,49.904
1993-07-28,@TPP,49.677
1993-07-29,@TPP,49.677
1993-07-30,@TPP,49.416
1993-07-31,@TPP,49.416
1993-08-01,@TPP,49.197
1993-08-02,@TPP,49.197
1993-08-03,@TPP,48.977
1993-08-04,@TPP,48.977
1993-08-05,@TPP,48.728
1993-08-06,@TPP,48.728
1993-08-07,@TPP,48.464
1993-08-08,@TPP,48.464
1993-08-09,@TPP,48.136
1993-08-10,@TPP,48.136
1993-08-11,@TPP,47.804
1993-08-12,@TPP,47.804
1993-08-13,@TPP,47.461
1993-08-14,@TPP,47.461
1993-08-15,@TPP,47.111
1993-08-16,@TPP,47.111
1993-08-17,@TPP,46.777
1993-08-18,@TPP,46.777
1993-08-19,@TPP,46.397
1993-08-20,@TPP,46.397
1993-08-21,@TPP,46.008
1993-08-22,@TPP,46.008
1993-08-23,@TPP,45.912
1993-08-24,@TPP,45.912
1993-08-25,@TPP,45.832
1993-08-26,@TPP,45.832
1993-08-27,@TPP,45.773
1993-08-28,@TPP,45.773
1993-08-29,@TPP,45.684
1993-08-30,@TPP,45.684
1993-08-31,@TPP,45.626
1993-09-01,@TPP,45.626
1993-09-02,@TPP,45.575
1993-09-03,@TPP,45.575
1993-09-04,@TPP,45.538
1993-09-05,@TPP,45.538
1993-09-06,@TPP,45.543
1993-09-07,@TPP,45.543
1993-09-08,@TPP,45.557
1993-09-09,@TPP,45.557
1993-09-10,@TPP,45.575
1993-09-11,@TPP,45.575
1993-09-12,@TPP,45.6
1993-09-13,@TPP,45.6
1993-09-14,@TPP,45.615
1993-09-15,@TPP,45.615
1993-09-16,@TPP,45.673
1993-09-17,@TPP,45.673
1993-09-18,@TPP,45.713
1993-09-19,@TPP,45.713
1993-09-20,@TPP,45.717
1993-09-21,@TPP,45.717
1993-09-22,@TPP,45.741
1993-09-23,@TPP,45.741
1993-09-24,@TPP,45.741
1993-09-25,@TPP,45.741
1993-09-26,@TPP,45.836
1993-09-27,@TPP,45.836
1993-09-28,@TPP,45.932
1993-09-29,@TPP,45.932
1993-09-30,@TPP,45.986
1993-10-01,@TPP,45.986
1993-10-02,@TPP,46.024
1993-10-03,@TPP,46.024
1993-10-04,@TPP,46.067
1993-10-05,@TPP,46.067
1993-10-06,@TPP,46.115
1993-10-07,@TPP,46.115
1993-10-08,@TPP,46.147
1993-10-09,@TPP,46.147
1993-10-10,@TPP,46.162
1993-10-11,@TPP,46.162
1993-10-12,@TPP,46.137
1993-10-13,@TPP,46.137
1993-10-14,@TPP,46.211
1993-10-15,@TPP,46.211
1993-10-16,@TPP,46.302
1993-10-17,@TPP,46.302
1993-10-18,@TPP,46.378
1993-10-19,@TPP,46.378
1993-10-20,@TPP,46.464
1993-10-21,@TPP,46.464
1993-10-22,@TPP,46.541
1993-10-23,@TPP,46.541
1993-10-24,@TPP,46.638
1993-10-25,@TPP,46.638
1993-10-26,@TPP,46.755
1993-10-27,@TPP,46.755
1993-10-28,@TPP,46.801
1993-10-29,@TPP,46.801
1993-10-30,@TPP,46.827
1993-10-31,@TPP,46.827
1993-11-01,@TPP,46.86
1993-11-02,@TPP,46.86
1993-11-03,@TPP,46.888
1993-11-04,@TPP,46.888
1993-11-05,@TPP,46.908
1993-11-06,@TPP,46.908
1993-11-07,@TPP,47.024
1993-11-08,@TPP,47.024
1993-11-09,@TPP,47.121
1993-11-10,@TPP,47.121
1993-11-11,@TPP,47.245
1993-11-12,@TPP,47.245
1993-11-13,@TPP,47.353
1993-11-14,@TPP,47.353
1993-11-15,@TPP,47.465
1993-11-16,@TPP,47.465
1993-11-17,@TPP,47.574
1993-11-18,@TPP,47.574
1993-11-19,@TPP,47.686
1993-11-20,@TPP,47.686
1993-11-21,@TPP,47.795
1993-11-22,@TPP,47.795
1993-11-23,@TPP,47.894
1993-11-24,@TPP,47.894
1993-11-25,@TPP,47.911
1993-11-26,@TPP,47.911
1993-11-27,@TPP,47.946
1993-11-28,@TPP,47.946
1993-11-29,@TPP,47.994
1993-11-30,@TPP,47.994
1993-12-01,@TPP,48.027
1993-12-02,@TPP,48.027
1993-12-03,@TPP,48.064
1993-12-04,@TPP,48.064
1993-12-05,@TPP,48.072
1993-12-06,@TPP,48.072
1993-12-07,@TPP,48.084
1993-12-08,@TPP,48.084
1993-12-09,@TPP,48.072
1993-12-10,@TPP,48.072
1993-12-11,@TPP,48.074
1993-12-12,@TPP,48.074
1993-12-13,@TPP,48.104
1993-12-14,@TPP,48.104
1993-12-15,@TPP,48.118
1993-12-16,@TPP,48.118
1993-12-17,@TPP,48.148
1993-12-18,@TPP,48.148
1993-12-19,@TPP,48.145
1993-12-20,@TPP,48.145
1993-12-21,@TPP,48.126
1993-12-22,@TPP,48.126
1993-12-23,@TPP,48.123
1993-12-24,@TPP,48.123
1993-12-25,@TPP,48.11
1993-12-26,@TPP,48.11
1993-12-27,@TPP,48.119
1993-12-28,@TPP,48.119
1993-12-29,@TPP,48.113
1993-12-30,@TPP,48.113
1993-12-31,@TPP,48.122
1994-01-01,@TPP,48.122
1994-01-02,@TPP,48.116
1994-01-03,@TPP,48.116
1994-01-04,@TPP,48.113
1994-01-05,@TPP,48.113
1994-01-06,@TPP,48.219
1994-01-07,@TPP,48.219
1994-01-08,@TPP,48.304
1994-01-09,@TPP,48.304
1994-01-10,@TPP,48.384
1994-01-11,@TPP,48.384
1994-01-12,@TPP,48.449
1994-01-13,@TPP,48.449
1994-01-14,@TPP,48.526
1994-01-15,@TPP,48.526
1994-01-16,@TPP,48.606
1994-01-17,@TPP,48.606
1994-01-18,@TPP,48.677
1994-01-19,@TPP,48.677
1994-01-20,@TPP,48.739
1994-01-21,@TPP,48.739
1994-01-22,@TPP,48.84
1994-01-23,@TPP,48.84
1994-01-24,@TPP,48.914
1994-01-25,@TPP,48.914
1994-01-26,@TPP,49.01
1994-01-27,@TPP,49.01
1994-01-28,@TPP,49.062
1994-01-29,@TPP,49.062
1994-01-30,@TPP,49.105
1994-01-31,@TPP,49.105
1994-02-01,@TPP,49.165
1994-02-02,@TPP,49.165
1994-02-03,@TPP,49.209
1994-02-04,@TPP,49.209
1994-02-05,@TPP,49.256
1994-02-06,@TPP,49.256
1994-02-07,@TPP,49.301
1994-02-08,@TPP,49.301
1994-02-09,@TPP,49.355
1994-02-10,@TPP,49.355
1994-02-11,@TPP,49.395
1994-02-12,@TPP,49.395
1994-02-13,@TPP,49.477
1994-02-14,@TPP,49.477
1994-02-15,@TPP,49.555
1994-02-16,@TPP,49.555
1994-02-17,@TPP,49.627
1994-02-18,@TPP,49.627
1994-02-19,@TPP,49.695
1994-02-20,@TPP,49.695
1994-02-21,@TPP,49.754
1994-02-22,@TPP,49.754
1994-02-23,@TPP,49.824
1994-02-24,@TPP,49.824
1994-02-25,@TPP,49.936
1994-02-26,@TPP,49.936
1994-02-27,@TPP,50.07
1994-02-28,@TPP,50.07
1994-03-01,@TPP,50.187
1994-03-02,@TPP,50.187
1994-03-03,@TPP,50.279
1994-03-04,@TPP,50.279
1994-03-05,@TPP,50.362
1994-03-06,@TPP,50.362
1994-03-07,@TPP,50.44
1994-03-08,@TPP,50.44
1994-03-09,@TPP,50.52
1994-03-10,@TPP,50.52
1994-03-11,@TPP,50.713
1994-03-12,@TPP,50.713
1994-03-13,@TPP,50.779
1994-03-14,@TPP,50.779
1994-03-15,@TPP,50.812
1994-03-16,@TPP,50.812
1994-03-17,@TPP,50.841
1994-03-18,@TPP,50.841
1994-03-19,@TPP,50.859
1994-03-20,@TPP,50.859
1994-03-21,@TPP,50.867
1994-03-22,@TPP,50.867
1994-03-23,@TPP,50.875
1994-03-24,@TPP,50.875
1994-03-25,@TPP,50.906
1994-03-26,@TPP,50.906
1994-03-27,@TPP,50.977
1994-03-28,@TPP,50.977
1994-03-29,@TPP,51.042
1994-03-30,@TPP,51.042
1994-03-31,@TPP,51.069
1994-04-01,@TPP,51.069
1994-04-02,@TPP,51.091
1994-04-03,@TPP,51.091
1994-04-04,@TPP,51.117
1994-04-05,@TPP,51.117
1994-04-06,@TPP,51.153
1994-04-07,@TPP,51.153
1994-04-08,@TPP,51.266
1994-04-09,@TPP,51.266
1994-04-10,@TPP,51.356
1994-04-11,@TPP,51.356
1994-04-12,@TPP,51.422
1994-04-13,@TPP,51.422
1994-04-14,@TPP,51.406
1994-04-15,@TPP,51.406
1994-04-16,@TPP,51.394
1994-04-17,@TPP,51.394
1994-04-18,@TPP,51.5
1994-04-19,@TPP,51.5
1994-04-20,@TPP,51.6
1994-04-21,@TPP,51.6
1994-04-22,@TPP,51.703
1994-04-23,@TPP,51.703
1994-04-24,@TPP,51.8
1994-04-25,@TPP,51.8
1994-04-26,@TPP,51.911
1994-04-27,@TPP,51.911
1994-04-28,@TPP,51.993
1994-04-29,@TPP,51.993
1994-04-30,@TPP,52.08
1994-05-01,@TPP,52.08
1994-05-02,@TPP,52.166
1994-05-03,@TPP,52.166
1994-05-04,@TPP,52.248
1994-05-05,@TPP,52.248
1994-05-06,@TPP,52.336
1994-05-07,@TPP,52.336
1994-05-08,@TPP,52.373
1994-05-09,@TPP,52.373
1994-05-10,@TPP,52.456
1994-05-11,@TPP,52.456
1994-05-12,@TPP,52.506
1994-05-13,@TPP,52.506
1994-05-14,@TPP,52.562
1994-05-15,@TPP,52.562
1994-05-16,@TPP,52.553
1994-05-17,@TPP,52.553
1994-05-18,@TPP,52.574
1994-05-19,@TPP,52.574
1994-05-20,@TPP,52.559
1994-05-21,@TPP,52.559
1994-05-22,@TPP,52.536
1994-05-23,@TPP,52.536
1994-05-24,@TPP,49.219
1994-05-25,@TPP,49.219
1994-05-26,@TPP,49.123
1994-05-27,@TPP,49.123
1994-05-28,@TPP,49.031
1994-05-29,@TPP,49.031
1994-05-30,@TPP,48.923
1994-05-31,@TPP,48.923
1994-06-01,@TPP,48.843
1994-06-02,@TPP,48.843
1994-06-03,@TPP,48.741
1994-06-04,@TPP,48.741
1994-06-05,@TPP,48.621
1994-06-06,@TPP,48.621
1994-06-07,@TPP,48.521
1994-06-08,@TPP,48.521
1994-06-09,@TPP,48.423
1994-06-10,@TPP,48.423
1994-06-11,@TPP,48.322
1994-06-12,@TPP,48.322
1994-06-13,@TPP,48.251
1994-06-14,@TPP,48.251
1994-06-15,@TPP,48.194
1994-06-16,@TPP,48.194
1994-06-17,@TPP,48.105
1994-06-18,@TPP,48.105
1994-06-19,@TPP,48.041
1994-06-20,@TPP,48.041
1994-06-21,@TPP,47.956
1994-06-22,@TPP,47.956
1994-06-23,@TPP,47.876
1994-06-24,@TPP,47.876
1994-06-25,@TPP,47.789
1994-06-26,@TPP,47.789
1994-06-27,@TPP,47.847
1994-06-28,@TPP,47.847
1994-06-29,@TPP,47.851
1994-06-30,@TPP,47.851
1994-07-01,@TPP,47.892
1994-07-02,@TPP,47.892
1994-07-03,@TPP,47.928
1994-07-04,@TPP,47.928
1994-07-05,@TPP,47.955
1994-07-06,@TPP,47.955
1994-07-07,@TPP,48.003
1994-07-08,@TPP,48.003
1994-07-09,@TPP,48.05
1994-07-10,@TPP,48.05
1994-07-11,@TPP,48.12
1994-07-12,@TPP,48.12
1994-07-13,@TPP,48.19
1994-07-14,@TPP,48.19
1994-07-15,@TPP,48.259
1994-07-16,@TPP,48.259
1994-07-17,@TPP,48.333
1994-07-18,@TPP,48.333
1994-07-19,@TPP,48.379
1994-07-20,@TPP,48.379
1994-07-21,@TPP,48.48
1994-07-22,@TPP,48.48
1994-07-23,@TPP,48.574
1994-07-24,@TPP,48.574
1994-07-25,@TPP,48.738
1994-07-26,@TPP,48.738
1994-07-27,@TPP,48.907
1994-07-28,@TPP,48.907
1994-07-29,@TPP,49.086
1994-07-30,@TPP,49.086
1994-07-31,@TPP,49.289
1994-08-01,@TPP,49.289
1994-08-02,@TPP,49.549
1994-08-03,@TPP,49.549
1994-08-04,@TPP,49.776
1994-08-05,@TPP,49.776
1994-08-06,@TPP,49.991
1994-08-07,@TPP,49.991
1994-08-08,@TPP,50.046
1994-08-09,@TPP,50.046
1994-08-10,@TPP,50.082
1994-08-11,@TPP,50.082
1994-08-12,@TPP,50.136
1994-08-13,@TPP,50.136
1994-08-14,@TPP,50.196
1994-08-15,@TPP,50.196
1994-08-16,@TPP,50.289
1994-08-17,@TPP,50.289
1994-08-18,@TPP,50.445
1994-08-19,@TPP,50.445
1994-08-20,@TPP,50.602
1994-08-21,@TPP,50.602
1994-08-22,@TPP,50.841
1994-08-23,@TPP,50.841
1994-08-24,@TPP,51.099
1994-08-25,@TPP,51.099
1994-08-26,@TPP,51.337
1994-08-27,@TPP,51.337
1994-08-28,@TPP,51.592
1994-08-29,@TPP,51.592
1994-08-30,@TPP,51.839
1994-08-31,@TPP,51.839
1994-09-01,@TPP,52.04
1994-09-02,@TPP,52.04
1994-09-03,@TPP,52.235
1994-09-04,@TPP,52.235
1994-09-05,@TPP,52.324
1994-09-06,@TPP,52.324
1994-09-07,@TPP,52.423
1994-09-08,@TPP,52.423
1994-09-09,@TPP,52.617
1994-09-10,@TPP,52.617
1994-09-11,@TPP,52.798
1994-09-12,@TPP,52.798
1994-09-13,@TPP,52.983
1994-09-14,@TPP,52.983
1994-09-15,@TPP,53.186
1994-09-16,@TPP,53.186
1994-09-17,@TPP,53.378
1994-09-18,@TPP,53.378
1994-09-19,@TPP,53.315
1994-09-20,@TPP,53.315
1994-09-21,@TPP,53.267
1994-09-22,@TPP,53.267
1994-09-23,@TPP,53.172
1994-09-24,@TPP,53.172
1994-09-25,@TPP,53.222
1994-09-26,@TPP,53.222
1994-09-27,@TPP,53.278
1994-09-28,@TPP,53.278
1994-09-29,@TPP,53.316
1994-09-30,@TPP,53.316
1994-10-01,@TPP,53.373
1994-10-02,@TPP,53.373
1994-10-03,@TPP,53.441
1994-10-04,@TPP,53.441
1994-10-05,@TPP,53.487
1994-10-06,@TPP,53.487
1994-10-07,@TPP,53.427
1994-10-08,@TPP,53.427
1994-10-09,@TPP,53.444
1994-10-10,@TPP,53.444
1994-10-11,@TPP,53.417
1994-10-12,@TPP,53.417
1994-10-13,@TPP,53.415
1994-10-14,@TPP,53.415
1994-10-15,@TPP,53.425
1994-10-16,@TPP,53.425
1994-10-17,@TPP,53.466
1994-10-18,@TPP,53.466
1994-10-19,@TPP,53.513
1994-10-20,@TPP,53.513
1994-10-21,@TPP,53.558
1994-10-22,@TPP,53.558
1994-10-23,@TPP,53.542
1994-10-24,@TPP,53.542
1994-10-25,@TPP,53.541
1994-10-26,@TPP,53.541
1994-10-27,@TPP,53.491
1994-10-28,@TPP,53.491
1994-10-29,@TPP,53.459
1994-10-30,@TPP,53.459
1994-10-31,@TPP,53.407
1994-11-01,@TPP,53.407
1994-11-02,@TPP,53.34
1994-11-03,@TPP,53.34
1994-11-04,@TPP,53.344
1994-11-05,@TPP,53.344
1994-11-06,@TPP,53.393
1994-11-07,@TPP,53.393
1994-11-08,@TPP,53.426
1994-11-09,@TPP,53.426
1994-11-10,@TPP,53.392
1994-11-11,@TPP,53.392
1994-11-12,@TPP,53.343
1994-11-13,@TPP,53.343
1994-11-14,@TPP,53.297
1994-11-15,@TPP,53.297
1994-11-16,@TPP,53.257
1994-11-17,@TPP,53.257
1994-11-18,@TPP,53.18
1994-11-19,@TPP,53.18
1994-11-20,@TPP,53.2
1994-11-21,@TPP,53.2
1994-11-22,@TPP,53.175
1994-11-23,@TPP,53.175
1994-11-24,@TPP,53.174
1994-11-25,@TPP,53.174
1994-11-26,@TPP,53.162
1994-11-27,@TPP,53.162
1994-11-28,@TPP,53.151
1994-11-29,@TPP,53.151
1994-11-30,@TPP,53.135
1994-12-01,@TPP,53.135
1994-12-02,@TPP,53.062
1994-12-03,@TPP,53.062
1994-12-04,@TPP,52.989
1994-12-05,@TPP,52.989
1994-12-06,@TPP,52.918
1994-12-07,@TPP,52.918
1994-12-08,@TPP,52.813
1994-12-09,@TPP,52.813
1994-12-10,@TPP,52.73
1994-12-11,@TPP,52.73
1994-12-12,@TPP,52.63
1994-12-13,@TPP,52.63
1994-12-14,@TPP,52.524
1994-12-15,@TPP,52.524
1994-12-16,@TPP,52.425
1994-12-17,@TPP,52.425
1994-12-18,@TPP,52.415
1994-12-19,@TPP,52.415
1994-12-20,@TPP,52.419
1994-12-21,@TPP,52.419
1994-12-22,@TPP,52.416
1994-12-23,@TPP,52.416
1994-12-24,@TPP,52.404
1994-12-25,@TPP,52.404
1994-12-26,@TPP,52.393
1994-12-27,@TPP,52.393
1994-12-28,@TPP,52.408
1994-12-29,@TPP,52.408
1994-12-30,@TPP,52.409
1994-12-31,@TPP,52.409
1995-01-01,@TPP,52.428
1995-01-02,@TPP,52.428
1995-01-03,@TPP,52.44
1995-01-04,@TPP,52.44
1995-01-05,@TPP,52.441
1995-01-06,@TPP,52.441
1995-01-07,@TPP,52.439
1995-01-08,@TPP,52.439
1995-01-09,@TPP,52.446
1995-01-10,@TPP,52.446
1995-01-11,@TPP,52.462
1995-01-12,@TPP,52.462
1995-01-13,@TPP,52.457
1995-01-14,@TPP,52.457
1995-01-15,@TPP,52.515
1995-01-16,@TPP,52.515
1995-01-17,@TPP,52.592
1995-01-18,@TPP,52.592
1995-01-19,@TPP,52.666
1995-01-20,@TPP,52.666
1995-01-21,@TPP,52.721
1995-01-22,@TPP,52.721
1995-01-23,@TPP,52.71
1995-01-24,@TPP,52.71
1995-01-25,@TPP,52.714
1995-01-26,@TPP,52.714
1995-01-27,@TPP,52.71
1995-01-28,@TPP,52.71
1995-01-29,@TPP,52.71
1995-01-30,@TPP,52.71
1995-01-31,@TPP,46.767
1995-02-01,@TPP,46.767
1995-02-02,@TPP,46.76
1995-02-03,@TPP,46.76
1995-02-04,@TPP,46.762
1995-02-05,@TPP,46.762
1995-02-06,@TPP,46.754
1995-02-07,@TPP,46.754
1995-02-08,@TPP,46.76
1995-02-09,@TPP,46.76
1995-02-10,@TPP,46.741
1995-02-11,@TPP,46.741
1995-02-12,@TPP,46.724
1995-02-13,@TPP,46.724
1995-02-14,@TPP,46.68
1995-02-15,@TPP,46.68
1995-02-16,@TPP,46.639
1995-02-17,@TPP,46.639
1995-02-18,@TPP,46.606
1995-02-19,@TPP,46.606
1995-02-20,@TPP,46.565
1995-02-21,@TPP,46.565
1995-02-22,@TPP,46.546
1995-02-23,@TPP,46.546
1995-02-24,@TPP,46.525
1995-02-25,@TPP,46.525
1995-02-26,@TPP,46.432
1995-02-27,@TPP,46.432
1995-02-28,@TPP,46.353
1995-03-01,@TPP,46.353
1995-03-02,@TPP,46.278
1995-03-03,@TPP,46.278
1995-03-04,@TPP,46.19
1995-03-05,@TPP,46.19
1995-03-06,@TPP,46.085
1995-03-07,@TPP,46.085
1995-03-08,@TPP,46.023
1995-03-09,@TPP,46.023
1995-03-10,@TPP,45.904
1995-03-11,@TPP,45.904
1995-03-12,@TPP,45.966
1995-03-13,@TPP,45.966
1995-03-14,@TPP,46.045
1995-03-15,@TPP,46.045
1995-03-16,@TPP,46.003
1995-03-17,@TPP,46.003
1995-03-18,@TPP,45.973
1995-03-19,@TPP,45.973
1995-03-20,@TPP,45.915
1995-03-21,@TPP,45.915
1995-03-22,@TPP,45.858
1995-03-23,@TPP,45.858
1995-03-24,@TPP,45.839
1995-03-25,@TPP,45.839
1995-03-26,@TPP,46.052
1995-03-27,@TPP,46.052
1995-03-28,@TPP,46.233
1995-03-29,@TPP,46.233
1995-03-30,@TPP,46.294
1995-03-31,@TPP,46.294
1995-04-01,@TPP,46.357
1995-04-02,@TPP,46.357
1995-04-03,@TPP,46.442
1995-04-04,@TPP,46.442
1995-04-05,@TPP,46.524
1995-04-06,@TPP,46.524
1995-04-07,@TPP,46.607
1995-04-08,@TPP,46.607
1995-04-09,@TPP,46.765
1995-04-10,@TPP,46.765
1995-04-11,@TPP,46.921
1995-04-12,@TPP,46.921
1995-04-13,@TPP,47.014
1995-04-14,@TPP,47.014
1995-04-15,@TPP,47.125
1995-04-16,@TPP,47.125
1995-04-17,@TPP,47.226
1995-04-18,@TPP,47.226
1995-04-19,@TPP,47.325
1995-04-20,@TPP,47.325
1995-04-21,@TPP,47.406
1995-04-22,@TPP,47.406
1995-04-23,@TPP,47.449
1995-04-24,@TPP,47.449
1995-04-25,@TPP,47.511
1995-04-26,@TPP,47.511
1995-04-27,@TPP,47.6
1995-04-28,@TPP,47.6
1995-04-29,@TPP,47.704
1995-04-30,@TPP,47.704
1995-05-01,@TPP,47.789
1995-05-02,@TPP,47.789
1995-05-03,@TPP,47.887
1995-05-04,@TPP,47.887
1995-05-05,@TPP,47.957
1995-05-06,@TPP,47.957
1995-05-07,@TPP,47.99
1995-05-08,@TPP,47.99
1995-05-09,@TPP,48.008
1995-05-10,@TPP,48.008
1995-05-11,@TPP,48.034
1995-05-12,@TPP,48.034
1995-05-13,@TPP,48.075
1995-05-14,@TPP,48.075
1995-05-15,@TPP,48.074
1995-05-16,@TPP,48.074
1995-05-17,@TPP,48.054
1995-05-18,@TPP,48.054
1995-05-19,@TPP,48.052
1995-05-20,@TPP,48.052
1995-05-21,@TPP,48.065
1995-05-22,@TPP,48.065
1995-05-23,@TPP,48.1
1995-05-24,@TPP,48.1
1995-05-25,@TPP,48.038
1995-05-26,@TPP,48.038
1995-05-27,@TPP,47.957
1995-05-28,@TPP,47.957
1995-05-29,@TPP,47.867
1995-05-30,@TPP,47.867
1995-05-31,@TPP,47.794
