schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,leave_one_out,1993fed,@TPP,AGB McNair,1.2603643854239073,29.507699766439107,,,
1,leave_one_out,1993fed,@TPP,F2F Morgan,1.1750866279379824,60.899967325388197,,,
1,leave_one_out,1993fed,@TPP,Morgan Phone,0.71309374642390821,2,,,
1,leave_one_out,1993fed,@TPP,Newspoll,1.3201323703709618,46.781680802939952,,,
1,leave_one_out,1993fed,@TPP,Saulwick,3.844209095554207,2.4095843301127897,,,
1,leave_one_out,1993fed,ALP FP,AGB McNair,1.397292232905714,29.575838037099402,,,
1,leave_one_out,1993fed,ALP FP,F2F Morgan,1.6154681842668899,52.979039600648299,,,
1,leave_one_out,1993fed,ALP FP,Morgan Phone,1.6319167439024653,1.6688037142037726,,,
1,leave_one_out,1993fed,ALP FP,Newspoll,1.5125625898739383,44.080394141150528,,,
1,leave_one_out,1993fed,ALP FP,Saulwick,3.5962780426618979,2.5799984881709901,,,
1,leave_one_out,1993fed,DEM FP,AGB McNair,0.49546980986743633,31.276412081764175,,,
1,leave_one_out,1993fed,DEM FP,F2F Morgan,0.62915457435470157,64.555827976587125,,,
1,leave_one_out,1993fed,DEM FP,Morgan Phone,0.053462361196653596,2,,,
1,leave_one_out,1993fed,DEM FP,Newspoll,0.70490783294056558,47.703011296645442,,,
1,leave_one_out,1993fed,LNP FP,AGB McNair,1.4909770466380565,28.374277310184958,,,
1,leave_one_out,1993fed,LNP FP,F2F Morgan,1.2722470325231787,60.334393546419342,,,
1,leave_one_out,1993fed,LNP FP,Morgan Phone,0.078700908682201032,2,,,
1,leave_one_out,1993fed,LNP FP,Newspoll,1.5532847939592573,45.367606158168009,,,
1,leave_one_out,1993fed,LNP FP,Saulwick,3.5864130108749777,2.3908165035480784,,,
1,leave_one_out,1993fed,OTH FP,AGB McNair,1.627345866876226,26.548444231993187,,,
1,leave_one_out,1993fed,OTH FP,F2F Morgan,1.2007279028363784,54.104221408711631,,,
1,leave_one_out,1993fed,OTH FP,Morgan Phone,1.5170920431305532,1.5563834740994886,,,
1,leave_one_out,1993fed,OTH FP,Newspoll,1.3506867443211912,43.896213661125103,,,
1,leave_one_out,1993fed,OTH FP,Saulwick,1.6368927168729659,2.6524341986368567,,,
1,bias_trend,1993fed,@TPP,,,,50.524999999999999,,
1,bias_trend,1993fed,ALP FP,,,,43.969000000000001,,
1,bias_trend,1993fed,DEM FP,,,,4.5990000000000002,,
1,bias_trend,1993fed,LNP FP,,,,45.463000000000001,,
1,bias_trend,1993fed,OTH FP,,,,10.593,,
1,bias_pollster,1993fed,@TPP,AGB McNair,,,,0.67800000000000005,15
1,bias_pollster,1993fed,@TPP,F2F Morgan,,,,0.41599999999999998,14
1,bias_pollster,1993fed,@TPP,Morgan Phone,,,,0.048000000000000001,2
1,bias_pollster,1993fed,@TPP,Newspoll,,,,-0.65700000000000003,16
1,bias_pollster,1993fed,@TPP,Saulwick,,,,-0.47199999999999998,3
1,bias_pollster,1993fed,ALP FP,AGB McNair,,,,0.48099999999999998,15
1,bias_pollster,1993fed,ALP FP,F2F Morgan,,,,0.29499999999999998,14
1,bias_pollster,1993fed,ALP FP,Morgan Phone,,,,-0.115,2
1,bias_pollster,1993fed,ALP FP,Newspoll,,,,-0.215,16
1,bias_pollster,1993fed,ALP FP,Saulwick,,,,-0.41199999999999998,3
1,bias_pollster,1993fed,DEM FP,AGB McNair,,,,-1.04,16
1,bias_pollster,1993fed,DEM FP,F2F Morgan,,,,-0.153,15
1,bias_pollster,1993fed,DEM FP,Morgan Phone,,,,0.012999999999999999,2
1,bias_pollster,1993fed,DEM FP,Newspoll,,,,1.151,16
1,bias_pollster,1993fed,DEM FP,Saulwick,,,,0.017000000000000001,1
1,bias_pollster,1993fed,LNP FP,AGB McNair,,,,-0.80600000000000005,15
1,bias_pollster,1993fed,LNP FP,F2F Morgan,,,,-0.48399999999999999,14
1,bias_pollster,1993fed,LNP FP,Morgan Phone,,,,-0.16800000000000001,2
1,bias_pollster,1993fed,LNP FP,Newspoll,,,,0.97999999999999998,16
1,bias_pollster,1993fed,LNP FP,Saulwick,,,,0.47899999999999998,3
1,bias_pollster,1993fed,OTH FP,AGB McNair,,,,0.34999999999999998,15
1,bias_pollster,1993fed,OTH FP,F2F Morgan,,,,0.28499999999999998,14
1,bias_pollster,1993fed,OTH FP,Morgan Phone,,,,0.246,2
1,bias_pollster,1993fed,OTH FP,Newspoll,,,,-0.61499999999999999,16
1,bias_pollster,1993fed,OTH FP,Saulwick,,,,-0.29199999999999998,3
