schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,leave_one_out,2003nsw,@TPP,F2F Morgan,1.6340452428177621,26.039158965244994,,,
1,leave_one_out,2003nsw,@TPP,Newspoll,1.9084819983729135,18.447694874663195,,,
1,leave_one_out,2003nsw,@TPP,Nielsen,3.5063438506367466,8.7927076922440452,,,
1,leave_one_out,2003nsw,ALP FP,F2F Morgan,2.0812838509524432,24.43083079465104,,,
1,leave_one_out,2003nsw,ALP FP,Newspoll,2.2163154718477127,15.80255261958542,,,
1,leave_one_out,2003nsw,ALP FP,Nielsen,3.2453823624669313,8.3062601686292048,,,
1,leave_one_out,2003nsw,GRN FP,F2F Morgan,0.55311540157423589,29.234955138562817,,,
1,leave_one_out,2003nsw,GRN FP,Newspoll,0.70134824017663611,20.199804190747546,,,
1,leave_one_out,2003nsw,GRN FP,Nielsen,0.74471868861742085,10.54817808697495,,,
1,leave_one_out,2003nsw,LNP FP,F2F Morgan,1.6132924626571472,26.319479427057075,,,
1,leave_one_out,2003nsw,LNP FP,Newspoll,2.2670244128454917,17.756253801966697,,,
1,leave_one_out,2003nsw,LNP FP,Nielsen,3.3929221463106645,8.9895041128391053,,,
1,leave_one_out,2003nsw,OTH FP,F2F Morgan,2.5946868312399962,20.400361712511668,,,
1,leave_one_out,2003nsw,OTH FP,Newspoll,3.037451858319673,15.734981573932373,,,
1,leave_one_out,2003nsw,OTH FP,Nielsen,1.3378877368676898,9.6154495560271123,,,
1,bias_trend,2003nsw,@TPP,,,,58.185000000000002,,
1,bias_trend,2003nsw,ALP FP,,,,45.261000000000003,,
1,bias_trend,2003nsw,GRN FP,,,,10.507,,
1,bias_trend,2003nsw,LNP FP,,,,32.100999999999999,,
1,bias_trend,2003nsw,OTH FP,,,,12.409000000000001,,
1,bias_pollster,2003nsw,@TPP,F2F Morgan,,,,3.073,5
1,bias_pollster,2003nsw,@TPP,Morgan Phone,,,,0.071999999999999995,1
1,bias_pollster,2003nsw,@TPP,Newspoll,,,,-1.4430000000000001,5
1,bias_pollster,2003nsw,@TPP,Nielsen,,,,-1.7390000000000001,4
1,bias_pollster,2003nsw,ALP FP,F2F Morgan,,,,4.2889999999999997,5
1,bias_pollster,2003nsw,ALP FP,Morgan Phone,,,,-0.96999999999999997,1
1,bias_pollster,2003nsw,ALP FP,Newspoll,,,,-1.6080000000000001,5
1,bias_pollster,2003nsw,ALP FP,Nielsen,,,,-1.6299999999999999,4
1,bias_pollster,2003nsw,GRN FP,F2F Morgan,,,,-0.13100000000000001,5
1,bias_pollster,2003nsw,GRN FP,Morgan Phone,,,,1.45,1
1,bias_pollster,2003nsw,GRN FP,Newspoll,,,,-1.01,5
1,bias_pollster,2003nsw,GRN FP,Nielsen,,,,-0.23899999999999999,4
1,bias_pollster,2003nsw,LNP FP,F2F Morgan,,,,-2.0179999999999998,5
1,bias_pollster,2003nsw,LNP FP,Morgan Phone,,,,-0.94799999999999995,1
1,bias_pollster,2003nsw,LNP FP,Newspoll,,,,1.3109999999999999,5
1,bias_pollster,2003nsw,LNP FP,Nielsen,,,,1.7470000000000001,4
1,bias_pollster,2003nsw,OTH FP,F2F Morgan,,,,-1.573,5
1,bias_pollster,2003nsw,OTH FP,Morgan Phone,,,,0.19400000000000001,1
1,bias_pollster,2003nsw,OTH FP,Newspoll,,,,1.153,5
1,bias_pollster,2003nsw,OTH FP,Nielsen,,,,0.16700000000000001,4
