schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,leave_one_out,2006vic,@TPP,F2F Morgan,1.5140822530589766,23.394427584811673,,,
1,leave_one_out,2006vic,@TPP,Galaxy,2.3458776437654052,1.5046407868853526,,,
1,leave_one_out,2006vic,@TPP,Morgan Phone,3.2767511417060495,3.39014946181452,,,
1,leave_one_out,2006vic,@TPP,Newspoll,1.7394689997521107,18.666368554740849,,,
1,leave_one_out,2006vic,@TPP,Nielsen,1.6442672554805762,6.1353207118107402,,,
1,leave_one_out,2006vic,ALP FP,F2F Morgan,1.5681995800676329,23.757738275128638,,,
1,leave_one_out,2006vic,ALP FP,Galaxy,2.1486650629837385,1.5583680371502315,,,
1,leave_one_out,2006vic,ALP FP,Morgan Phone,2.4552612056891601,3.1736624468909147,,,
1,leave_one_out,2006vic,ALP FP,Newspoll,1.9312640456740042,18.068074353383739,,,
1,leave_one_out,2006vic,ALP FP,Nielsen,1.2145539766400761,6.0964849720372998,,,
1,leave_one_out,2006vic,GRN FP,F2F Morgan,0.97315451333919067,24.561619133292659,,,
1,leave_one_out,2006vic,GRN FP,Galaxy,4.5832398339596239,1.4975884030225459,,,
1,leave_one_out,2006vic,GRN FP,Morgan Phone,2.2616169314945589,3.4014629568716783,,,
1,leave_one_out,2006vic,GRN FP,Newspoll,0.80482059614960577,20.240423468974331,,,
1,leave_one_out,2006vic,GRN FP,Nielsen,1.5992973817150511,6.2498952163407724,,,
1,leave_one_out,2006vic,LNP FP,F2F Morgan,1.7117111014526833,23.736533218956875,,,
1,leave_one_out,2006vic,LNP FP,Galaxy,4.8268297102222419,1.5074173197145257,,,
1,leave_one_out,2006vic,LNP FP,Morgan Phone,3.6009398638290282,3.7137315115791525,,,
1,leave_one_out,2006vic,LNP FP,Newspoll,1.7056819832435615,18.632751340659915,,,
1,leave_one_out,2006vic,LNP FP,Nielsen,1.6584898141053059,6.1283707044663815,,,
1,leave_one_out,2006vic,OTH FP,F2F Morgan,1.1059899167614895,23.41368360296233,,,
1,leave_one_out,2006vic,OTH FP,Galaxy,2.5258368891858138,1.5104439444552167,,,
1,leave_one_out,2006vic,OTH FP,Morgan Phone,2.1417509973303273,3.8059911957001162,,,
1,leave_one_out,2006vic,OTH FP,Newspoll,0.88111035873111387,20.598119131804243,,,
1,leave_one_out,2006vic,OTH FP,Nielsen,1.9172396578685154,5.8151574039326128,,,
1,bias_trend,2006vic,@TPP,,,,53.720999999999997,,
1,bias_trend,2006vic,ALP FP,,,,42.414999999999999,,
1,bias_trend,2006vic,GRN FP,,,,11.031000000000001,,
1,bias_trend,2006vic,LNP FP,,,,39.816000000000003,,
1,bias_trend,2006vic,OTH FP,,,,6.7759999999999998,,
1,bias_pollster,2006vic,@TPP,F2F Morgan,,,,0.64100000000000001,3
1,bias_pollster,2006vic,@TPP,Galaxy,,,,-0.13300000000000001,2
1,bias_pollster,2006vic,@TPP,McNair,,,,-1.24,1
1,bias_pollster,2006vic,@TPP,Morgan Phone,,,,0.0040000000000000001,5
1,bias_pollster,2006vic,@TPP,Newspoll,,,,0.71999999999999997,5
1,bias_pollster,2006vic,@TPP,Nielsen,,,,-0.0040000000000000001,4
1,bias_pollster,2006vic,ALP FP,F2F Morgan,,,,1.177,3
1,bias_pollster,2006vic,ALP FP,Galaxy,,,,0.13400000000000001,2
1,bias_pollster,2006vic,ALP FP,McNair,,,,-0.96599999999999997,1
1,bias_pollster,2006vic,ALP FP,Morgan Phone,,,,-0.28599999999999998,5
1,bias_pollster,2006vic,ALP FP,Newspoll,,,,0.93300000000000005,5
1,bias_pollster,2006vic,ALP FP,Nielsen,,,,-0.91100000000000003,4
1,bias_pollster,2006vic,GRN FP,F2F Morgan,,,,-0.505,3
1,bias_pollster,2006vic,GRN FP,Galaxy,,,,-0.26100000000000001,2
1,bias_pollster,2006vic,GRN FP,Morgan Phone,,,,0.626,5
1,bias_pollster,2006vic,GRN FP,Newspoll,,,,-1.329,5
1,bias_pollster,2006vic,GRN FP,Nielsen,,,,1.528,4
1,bias_pollster,2006vic,LNP FP,F2F Morgan,,,,-0.60199999999999998,3
1,bias_pollster,2006vic,LNP FP,Galaxy,,,,0.317,2
1,bias_pollster,2006vic,LNP FP,McNair,,,,1.8899999999999999,1
1,bias_pollster,2006vic,LNP FP,Morgan Phone,,,,0.053999999999999999,5
1,bias_pollster,2006vic,LNP FP,Newspoll,,,,-1.538,5
1,bias_pollster,2006vic,LNP FP,Nielsen,,,,-0.125,4
1,bias_pollster,2006vic,OTH FP,F2F Morgan,,,,-0.059999999999999998,3
1,bias_pollster,2006vic,OTH FP,Galaxy,,,,-0.28799999999999998,2
1,bias_pollster,2006vic,OTH FP,McNair,,,,-0.52000000000000002,1
1,bias_pollster,2006vic,OTH FP,Morgan Phone,,,,-0.45000000000000001,5
1,bias_pollster,2006vic,OTH FP,Newspoll,,,,1.8560000000000001,5
1,bias_pollster,2006vic,OTH FP,Nielsen,,,,-0.35099999999999998,4
