House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,@TPP,-1.161,-0.598,-0.459,-0.319,-0.206,-0.132,-0.073,-0.006,0.039,0.092,0.128,0.164,0.204,0.222,0.255,0.282,0.316,0.339,0.361,0.381,0.393,0.411,0.427,0.45,0.466,0.478,0.497,0.515,0.539,0.554,0.571,0.582,0.596,0.613,0.631,0.646,0.662,0.674,0.687,0.701,0.713,0.725,0.743,0.755,0.764,0.774,0.786,0.794,0.802,0.813,0.824,0.834,0.844,0.86,0.872,0.883,0.898,0.911,0.928,0.94,0.95,0.963,0.974,0.988,0.998,1.008,1.021,1.036,1.05,1.064,1.081,1.093,1.105,1.117,1.133,1.154,1.174,1.189,1.218,1.242,1.261,1.287,1.315,1.34,1.357,1.374,1.4,1.423,1.458,1.491,1.522,1.568,1.609,1.661,1.723,1.786,1.85,1.922,2.035,2.196,3.078
Saulwick,@TPP,-3.762,-2.454,-2.014,-1.719,-1.605,-1.509,-1.407,-1.304,-1.228,-1.166,-1.105,-1.051,-0.999,-0.95,-0.902,-0.865,-0.828,-0.791,-0.754,-0.697,-0.668,-0.627,-0.595,-0.555,-0.529,-0.496,-0.473,-0.443,-0.416,-0.395,-0.359,-0.337,-0.295,-0.267,-0.24,-0.216,-0.18,-0.154,-0.129,-0.113,-0.094,-0.075,-0.056,-0.027,-0.001,0.028,0.054,0.077,0.099,0.113,0.128,0.16,0.182,0.199,0.221,0.241,0.266,0.293,0.315,0.341,0.362,0.381,0.408,0.424,0.448,0.469,0.487,0.515,0.54,0.563,0.595,0.622,0.638,0.664,0.691,0.712,0.732,0.756,0.782,0.8,0.815,0.841,0.866,0.894,0.919,0.947,0.975,1.002,1.023,1.047,1.096,1.13,1.183,1.238,1.295,1.352,1.438,1.516,1.705,1.957,2.734
F2F Morgan,@TPP,-1.567,-0.588,-0.382,-0.243,-0.173,-0.106,-0.039,0.022,0.076,0.11,0.167,0.21,0.243,0.274,0.293,0.325,0.358,0.389,0.412,0.439,0.462,0.479,0.498,0.528,0.554,0.567,0.598,0.611,0.63,0.645,0.658,0.67,0.689,0.706,0.722,0.734,0.749,0.759,0.772,0.785,0.797,0.812,0.826,0.837,0.851,0.859,0.877,0.891,0.901,0.918,0.93,0.942,0.953,0.969,0.982,0.993,1.007,1.019,1.035,1.047,1.058,1.075,1.088,1.101,1.121,1.133,1.145,1.154,1.17,1.183,1.195,1.215,1.233,1.247,1.266,1.285,1.305,1.329,1.342,1.369,1.399,1.423,1.464,1.489,1.53,1.562,1.58,1.61,1.639,1.678,1.72,1.756,1.827,1.889,1.96,2.039,2.127,2.267,2.371,2.633,3.155
Morgan Phone,@TPP,-1.914,-1.337,-1.058,-0.81,-0.611,-0.506,-0.386,-0.249,-0.165,-0.113,-0.047,-0.002,0.042,0.094,0.133,0.171,0.215,0.255,0.296,0.334,0.369,0.393,0.424,0.453,0.482,0.502,0.533,0.557,0.578,0.605,0.633,0.654,0.677,0.696,0.714,0.74,0.759,0.778,0.808,0.831,0.853,0.863,0.883,0.903,0.93,0.95,0.969,0.989,1.011,1.027,1.05,1.071,1.103,1.135,1.165,1.192,1.226,1.247,1.276,1.305,1.336,1.358,1.381,1.409,1.432,1.462,1.49,1.515,1.548,1.572,1.603,1.627,1.662,1.692,1.728,1.784,1.826,1.869,1.919,1.952,1.988,2.021,2.067,2.118,2.168,2.2,2.236,2.304,2.371,2.455,2.532,2.6,2.694,2.806,2.895,3.015,3.19,3.443,3.761,4.324,5.405
Approvals,@TPP,-4.659,-3.407,-3.041,-2.724,-2.568,-2.414,-2.265,-2.17,-1.991,-1.906,-1.807,-1.672,-1.583,-1.474,-1.394,-1.328,-1.264,-1.208,-1.149,-1.08,-1.02,-0.986,-0.928,-0.885,-0.843,-0.804,-0.768,-0.728,-0.686,-0.647,-0.614,-0.581,-0.551,-0.498,-0.456,-0.404,-0.359,-0.312,-0.279,-0.256,-0.224,-0.178,-0.147,-0.113,-0.088,-0.064,-0.044,-0.015,0.02,0.053,0.096,0.125,0.15,0.173,0.195,0.213,0.236,0.258,0.28,0.31,0.351,0.38,0.401,0.438,0.469,0.491,0.513,0.533,0.558,0.58,0.602,0.629,0.656,0.694,0.72,0.74,0.773,0.798,0.827,0.848,0.879,0.912,0.936,0.979,1.006,1.033,1.058,1.077,1.11,1.145,1.18,1.227,1.282,1.332,1.402,1.5,1.604,1.703,1.835,2.123,3.055
Old house effects
Newspoll,@TPP,-1.516,-1.246,-1.105,-1.001,-0.919,-0.857,-0.804,-0.763,-0.716,-0.683,-0.65,-0.621,-0.596,-0.574,-0.543,-0.516,-0.498,-0.477,-0.455,-0.434,-0.407,-0.387,-0.372,-0.351,-0.333,-0.315,-0.296,-0.281,-0.264,-0.245,-0.23,-0.213,-0.198,-0.183,-0.165,-0.15,-0.135,-0.121,-0.107,-0.095,-0.082,-0.07,-0.059,-0.047,-0.028,-0.02,-0.006,0.005,0.021,0.035,0.047,0.057,0.067,0.081,0.095,0.11,0.122,0.134,0.143,0.16,0.177,0.188,0.202,0.215,0.226,0.236,0.245,0.265,0.275,0.288,0.301,0.313,0.329,0.338,0.354,0.368,0.385,0.408,0.429,0.449,0.469,0.489,0.506,0.523,0.537,0.557,0.576,0.603,0.625,0.649,0.679,0.7,0.726,0.752,0.78,0.825,0.854,0.889,0.945,1.042,1.326
Saulwick,@TPP,-3.121,-2.058,-1.703,-1.533,-1.395,-1.327,-1.247,-1.144,-1.052,-1.001,-0.931,-0.846,-0.789,-0.733,-0.693,-0.666,-0.621,-0.589,-0.543,-0.511,-0.471,-0.44,-0.405,-0.368,-0.346,-0.323,-0.304,-0.269,-0.237,-0.216,-0.189,-0.167,-0.153,-0.128,-0.101,-0.066,-0.048,-0.025,-0.008,0.021,0.044,0.066,0.089,0.117,0.134,0.156,0.179,0.201,0.222,0.235,0.255,0.284,0.311,0.333,0.348,0.364,0.383,0.396,0.412,0.435,0.447,0.463,0.485,0.501,0.522,0.54,0.56,0.574,0.588,0.611,0.639,0.657,0.678,0.697,0.717,0.733,0.748,0.774,0.793,0.811,0.827,0.854,0.877,0.902,0.928,0.943,0.978,1.006,1.039,1.071,1.098,1.155,1.199,1.262,1.322,1.4,1.473,1.57,1.711,1.986,2.426
