House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
AGB McNair,DEM FP,-2.206,-1.796,-1.67,-1.592,-1.522,-1.477,-1.429,-1.388,-1.358,-1.332,-1.306,-1.285,-1.261,-1.238,-1.225,-1.205,-1.191,-1.173,-1.157,-1.137,-1.122,-1.11,-1.093,-1.074,-1.059,-1.046,-1.033,-1.015,-1.0,-0.986,-0.972,-0.96,-0.948,-0.931,-0.917,-0.906,-0.889,-0.875,-0.861,-0.845,-0.832,-0.819,-0.809,-0.797,-0.783,-0.771,-0.763,-0.754,-0.744,-0.728,-0.718,-0.707,-0.697,-0.685,-0.673,-0.663,-0.652,-0.642,-0.625,-0.615,-0.601,-0.591,-0.58,-0.568,-0.555,-0.544,-0.531,-0.519,-0.503,-0.488,-0.481,-0.468,-0.455,-0.444,-0.429,-0.413,-0.398,-0.386,-0.369,-0.354,-0.339,-0.322,-0.309,-0.293,-0.274,-0.257,-0.237,-0.214,-0.196,-0.175,-0.148,-0.116,-0.09,-0.052,-0.019,0.023,0.061,0.11,0.171,0.263,0.59
Newspoll,DEM FP,-0.658,-0.364,-0.264,-0.206,-0.167,-0.133,-0.105,-0.079,-0.057,-0.034,-0.014,0.001,0.019,0.037,0.052,0.07,0.087,0.105,0.119,0.132,0.144,0.153,0.167,0.177,0.189,0.198,0.205,0.216,0.229,0.24,0.25,0.259,0.269,0.278,0.291,0.3,0.31,0.317,0.328,0.336,0.346,0.358,0.365,0.372,0.381,0.389,0.399,0.408,0.417,0.428,0.439,0.447,0.456,0.465,0.474,0.481,0.489,0.498,0.507,0.516,0.522,0.531,0.538,0.545,0.552,0.562,0.569,0.578,0.586,0.597,0.605,0.615,0.62,0.628,0.638,0.646,0.655,0.666,0.674,0.685,0.696,0.709,0.718,0.728,0.737,0.747,0.758,0.767,0.776,0.791,0.808,0.827,0.848,0.861,0.884,0.913,0.944,0.971,1.031,1.079,1.304
F2F Morgan,DEM FP,0.323,0.45,0.494,0.52,0.541,0.559,0.578,0.592,0.606,0.616,0.629,0.637,0.647,0.657,0.663,0.672,0.681,0.689,0.695,0.7,0.706,0.71,0.715,0.724,0.729,0.736,0.741,0.746,0.751,0.757,0.762,0.765,0.77,0.773,0.778,0.784,0.787,0.791,0.796,0.801,0.805,0.809,0.813,0.817,0.821,0.826,0.831,0.835,0.84,0.843,0.847,0.851,0.855,0.86,0.864,0.869,0.873,0.877,0.881,0.887,0.892,0.896,0.9,0.905,0.911,0.915,0.92,0.924,0.929,0.934,0.939,0.944,0.949,0.956,0.963,0.97,0.976,0.982,0.988,0.993,1.0,1.006,1.013,1.02,1.028,1.035,1.046,1.053,1.062,1.076,1.086,1.096,1.107,1.116,1.128,1.146,1.163,1.186,1.222,1.297,1.436
Quadrant,DEM FP,-3.221,-1.773,-1.494,-1.263,-1.067,-0.922,-0.783,-0.687,-0.584,-0.522,-0.443,-0.359,-0.308,-0.26,-0.218,-0.167,-0.109,-0.064,-0.015,0.037,0.078,0.12,0.153,0.178,0.21,0.243,0.272,0.296,0.328,0.353,0.376,0.41,0.432,0.457,0.483,0.506,0.528,0.553,0.576,0.601,0.622,0.644,0.66,0.683,0.702,0.719,0.737,0.757,0.771,0.787,0.801,0.821,0.841,0.861,0.879,0.904,0.929,0.952,0.977,0.998,1.021,1.047,1.08,1.103,1.124,1.155,1.189,1.216,1.246,1.267,1.292,1.313,1.345,1.381,1.411,1.437,1.465,1.5,1.533,1.572,1.619,1.664,1.71,1.763,1.813,1.846,1.892,1.952,2.005,2.079,2.161,2.257,2.341,2.416,2.529,2.659,2.853,3.064,3.329,3.699,5.08
Morgan Phone,DEM FP,0.158,0.578,0.731,0.832,0.918,0.982,1.046,1.097,1.149,1.197,1.24,1.278,1.303,1.335,1.36,1.393,1.422,1.453,1.479,1.506,1.538,1.566,1.594,1.622,1.646,1.671,1.7,1.721,1.749,1.769,1.792,1.812,1.837,1.857,1.874,1.893,1.91,1.927,1.949,1.968,1.988,2.013,2.032,2.054,2.073,2.095,2.109,2.126,2.144,2.164,2.178,2.198,2.221,2.235,2.257,2.276,2.297,2.318,2.345,2.36,2.384,2.401,2.422,2.444,2.461,2.483,2.504,2.526,2.545,2.566,2.59,2.614,2.637,2.665,2.681,2.709,2.734,2.759,2.794,2.818,2.849,2.875,2.903,2.935,2.967,3.0,3.038,3.077,3.11,3.149,3.194,3.232,3.292,3.355,3.417,3.499,3.577,3.666,3.835,4.009,4.589
Old house effects
AGB McNair,DEM FP,-1.047,-0.871,-0.816,-0.783,-0.761,-0.743,-0.72,-0.704,-0.693,-0.686,-0.675,-0.665,-0.656,-0.646,-0.639,-0.632,-0.623,-0.616,-0.611,-0.603,-0.596,-0.589,-0.584,-0.578,-0.573,-0.569,-0.563,-0.558,-0.553,-0.548,-0.543,-0.537,-0.531,-0.526,-0.521,-0.518,-0.513,-0.508,-0.502,-0.498,-0.492,-0.487,-0.481,-0.477,-0.473,-0.469,-0.465,-0.46,-0.456,-0.452,-0.448,-0.444,-0.439,-0.434,-0.43,-0.425,-0.422,-0.415,-0.41,-0.406,-0.401,-0.396,-0.392,-0.388,-0.382,-0.378,-0.375,-0.37,-0.366,-0.361,-0.357,-0.353,-0.348,-0.344,-0.338,-0.332,-0.324,-0.317,-0.311,-0.306,-0.299,-0.292,-0.286,-0.28,-0.273,-0.266,-0.259,-0.252,-0.244,-0.231,-0.223,-0.215,-0.202,-0.191,-0.168,-0.152,-0.132,-0.11,-0.076,-0.024,0.149
Newspoll,DEM FP,1.314,1.478,1.533,1.568,1.592,1.618,1.635,1.654,1.671,1.684,1.699,1.71,1.718,1.726,1.733,1.741,1.748,1.754,1.76,1.767,1.774,1.781,1.786,1.793,1.8,1.805,1.811,1.816,1.822,1.827,1.835,1.838,1.844,1.85,1.855,1.861,1.868,1.874,1.879,1.885,1.891,1.895,1.9,1.906,1.91,1.916,1.92,1.923,1.928,1.933,1.938,1.942,1.948,1.953,1.957,1.961,1.966,1.972,1.976,1.981,1.985,1.99,1.996,2.001,2.007,2.014,2.019,2.025,2.03,2.035,2.041,2.045,2.051,2.056,2.061,2.067,2.073,2.08,2.087,2.094,2.102,2.107,2.116,2.123,2.132,2.139,2.147,2.155,2.166,2.173,2.182,2.194,2.209,2.221,2.237,2.259,2.278,2.305,2.34,2.415,2.573
