House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,ALP FP,-0.994,-0.661,-0.551,-0.454,-0.401,-0.359,-0.32,-0.277,-0.243,-0.22,-0.193,-0.165,-0.143,-0.12,-0.104,-0.087,-0.068,-0.052,-0.039,-0.024,-0.005,0.009,0.021,0.034,0.044,0.058,0.069,0.079,0.092,0.105,0.118,0.131,0.141,0.151,0.163,0.176,0.187,0.197,0.209,0.223,0.237,0.247,0.255,0.263,0.274,0.284,0.294,0.301,0.309,0.317,0.327,0.336,0.346,0.354,0.361,0.371,0.381,0.392,0.402,0.412,0.421,0.429,0.442,0.452,0.462,0.472,0.48,0.489,0.499,0.513,0.524,0.537,0.549,0.558,0.574,0.588,0.6,0.614,0.625,0.643,0.656,0.673,0.692,0.711,0.728,0.743,0.762,0.783,0.804,0.824,0.846,0.866,0.904,0.93,0.974,1.012,1.052,1.097,1.173,1.285,1.635
F2F Morgan,ALP FP,-0.136,0.196,0.3,0.356,0.415,0.451,0.487,0.518,0.542,0.564,0.589,0.614,0.636,0.659,0.681,0.7,0.721,0.74,0.756,0.771,0.786,0.799,0.816,0.833,0.852,0.864,0.879,0.892,0.904,0.916,0.928,0.939,0.954,0.969,0.979,0.99,0.998,1.01,1.022,1.033,1.047,1.06,1.07,1.084,1.096,1.106,1.115,1.127,1.14,1.148,1.157,1.169,1.179,1.187,1.195,1.206,1.217,1.228,1.241,1.252,1.262,1.273,1.284,1.297,1.307,1.32,1.33,1.34,1.35,1.364,1.378,1.389,1.402,1.414,1.426,1.444,1.456,1.468,1.485,1.504,1.519,1.534,1.553,1.57,1.589,1.605,1.628,1.647,1.662,1.691,1.716,1.741,1.763,1.795,1.827,1.862,1.901,1.976,2.046,2.193,2.406
Nielsen,ALP FP,-1.842,-1.347,-1.191,-1.094,-1.019,-0.972,-0.925,-0.888,-0.85,-0.814,-0.781,-0.744,-0.718,-0.691,-0.666,-0.645,-0.617,-0.579,-0.551,-0.53,-0.514,-0.492,-0.473,-0.46,-0.44,-0.427,-0.407,-0.389,-0.369,-0.352,-0.337,-0.325,-0.31,-0.291,-0.277,-0.264,-0.248,-0.234,-0.219,-0.207,-0.193,-0.181,-0.169,-0.159,-0.146,-0.13,-0.118,-0.101,-0.087,-0.076,-0.063,-0.052,-0.04,-0.026,-0.015,-0.002,0.015,0.027,0.046,0.061,0.075,0.093,0.103,0.117,0.133,0.145,0.159,0.173,0.186,0.198,0.211,0.227,0.241,0.252,0.264,0.281,0.3,0.317,0.333,0.346,0.36,0.379,0.399,0.413,0.431,0.452,0.475,0.5,0.525,0.544,0.58,0.614,0.647,0.68,0.728,0.761,0.85,0.909,0.973,1.105,1.53
Morgan Phone,ALP FP,-1.262,-0.944,-0.821,-0.737,-0.693,-0.653,-0.609,-0.577,-0.542,-0.508,-0.482,-0.453,-0.433,-0.413,-0.395,-0.383,-0.37,-0.354,-0.336,-0.319,-0.305,-0.29,-0.28,-0.263,-0.251,-0.236,-0.222,-0.21,-0.199,-0.186,-0.177,-0.161,-0.152,-0.14,-0.128,-0.118,-0.105,-0.096,-0.087,-0.077,-0.066,-0.054,-0.045,-0.033,-0.021,-0.011,0.002,0.011,0.023,0.033,0.043,0.052,0.062,0.075,0.088,0.098,0.107,0.117,0.124,0.134,0.144,0.154,0.163,0.172,0.182,0.194,0.206,0.216,0.228,0.238,0.248,0.259,0.267,0.279,0.29,0.303,0.315,0.327,0.338,0.35,0.36,0.37,0.379,0.392,0.406,0.42,0.437,0.457,0.473,0.499,0.515,0.533,0.553,0.582,0.611,0.638,0.677,0.72,0.796,0.92,1.153
Quadrant,ALP FP,-1.556,-0.905,-0.615,-0.443,-0.268,-0.206,-0.102,-0.04,0.033,0.092,0.129,0.176,0.21,0.252,0.289,0.324,0.352,0.389,0.415,0.443,0.47,0.504,0.536,0.564,0.601,0.629,0.657,0.681,0.702,0.737,0.77,0.798,0.829,0.862,0.887,0.913,0.949,0.98,1.005,1.038,1.066,1.091,1.118,1.144,1.172,1.194,1.219,1.244,1.284,1.313,1.337,1.367,1.399,1.428,1.458,1.484,1.513,1.536,1.562,1.602,1.645,1.671,1.712,1.74,1.765,1.8,1.841,1.884,1.932,1.969,2.004,2.042,2.083,2.117,2.151,2.191,2.229,2.28,2.323,2.37,2.414,2.46,2.525,2.584,2.642,2.685,2.747,2.808,2.869,2.933,2.989,3.068,3.144,3.253,3.355,3.441,3.55,3.75,4.011,4.41,5.448
ARS,ALP FP,-4.915,-3.702,-3.122,-2.802,-2.626,-2.429,-2.257,-2.075,-1.966,-1.865,-1.745,-1.666,-1.564,-1.487,-1.425,-1.368,-1.299,-1.232,-1.189,-1.137,-1.085,-1.051,-1.002,-0.954,-0.907,-0.864,-0.823,-0.788,-0.756,-0.718,-0.681,-0.649,-0.619,-0.577,-0.529,-0.497,-0.468,-0.432,-0.396,-0.371,-0.332,-0.3,-0.27,-0.24,-0.216,-0.189,-0.167,-0.138,-0.116,-0.093,-0.066,-0.043,-0.024,0.006,0.029,0.045,0.065,0.085,0.107,0.127,0.151,0.174,0.196,0.219,0.24,0.267,0.29,0.319,0.341,0.363,0.382,0.401,0.429,0.458,0.473,0.498,0.526,0.544,0.573,0.603,0.631,0.667,0.703,0.734,0.767,0.801,0.835,0.881,0.933,0.973,1.028,1.084,1.167,1.223,1.292,1.38,1.494,1.629,1.828,2.088,3.297
Approvals,ALP FP,-2.564,-2.191,-2.023,-1.887,-1.79,-1.723,-1.66,-1.595,-1.535,-1.479,-1.442,-1.403,-1.361,-1.333,-1.301,-1.271,-1.245,-1.219,-1.192,-1.161,-1.135,-1.107,-1.082,-1.061,-1.032,-1.004,-0.978,-0.961,-0.938,-0.912,-0.886,-0.869,-0.85,-0.83,-0.809,-0.79,-0.766,-0.75,-0.73,-0.713,-0.691,-0.672,-0.654,-0.631,-0.618,-0.602,-0.581,-0.568,-0.546,-0.528,-0.507,-0.494,-0.476,-0.455,-0.438,-0.422,-0.402,-0.386,-0.364,-0.349,-0.33,-0.307,-0.291,-0.278,-0.259,-0.238,-0.22,-0.198,-0.181,-0.163,-0.144,-0.121,-0.1,-0.083,-0.063,-0.044,-0.025,0.002,0.027,0.046,0.067,0.091,0.117,0.145,0.169,0.198,0.231,0.269,0.299,0.328,0.353,0.384,0.422,0.453,0.496,0.546,0.62,0.702,0.789,0.961,1.635
Old house effects
