House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,ONP FP,-2.395,-2.067,-1.922,-1.814,-1.757,-1.711,-1.662,-1.631,-1.598,-1.573,-1.549,-1.526,-1.506,-1.483,-1.463,-1.444,-1.428,-1.405,-1.385,-1.367,-1.348,-1.334,-1.314,-1.3,-1.285,-1.268,-1.258,-1.241,-1.227,-1.212,-1.198,-1.183,-1.174,-1.159,-1.146,-1.136,-1.123,-1.109,-1.095,-1.082,-1.073,-1.062,-1.049,-1.039,-1.028,-1.012,-0.999,-0.987,-0.977,-0.963,-0.952,-0.943,-0.932,-0.924,-0.909,-0.898,-0.889,-0.875,-0.864,-0.85,-0.838,-0.822,-0.811,-0.798,-0.784,-0.775,-0.761,-0.749,-0.739,-0.725,-0.712,-0.699,-0.689,-0.674,-0.662,-0.651,-0.636,-0.621,-0.604,-0.585,-0.571,-0.56,-0.544,-0.528,-0.515,-0.501,-0.49,-0.469,-0.452,-0.434,-0.415,-0.4,-0.379,-0.354,-0.322,-0.273,-0.23,-0.182,-0.082,0.05,0.473
Morgan Phone,ONP FP,-1.948,-1.638,-1.522,-1.423,-1.38,-1.333,-1.282,-1.242,-1.205,-1.188,-1.158,-1.124,-1.103,-1.086,-1.066,-1.046,-1.031,-1.014,-1.001,-0.986,-0.966,-0.952,-0.935,-0.918,-0.904,-0.892,-0.88,-0.867,-0.854,-0.839,-0.826,-0.812,-0.803,-0.795,-0.78,-0.767,-0.754,-0.743,-0.731,-0.72,-0.708,-0.699,-0.686,-0.676,-0.666,-0.656,-0.643,-0.635,-0.627,-0.618,-0.608,-0.596,-0.587,-0.579,-0.569,-0.556,-0.549,-0.54,-0.528,-0.521,-0.51,-0.502,-0.491,-0.483,-0.471,-0.463,-0.451,-0.442,-0.432,-0.417,-0.408,-0.398,-0.388,-0.378,-0.37,-0.357,-0.347,-0.338,-0.325,-0.311,-0.299,-0.286,-0.276,-0.262,-0.246,-0.231,-0.206,-0.186,-0.167,-0.148,-0.127,-0.106,-0.078,-0.049,-0.011,0.033,0.069,0.135,0.205,0.305,0.683
F2F Morgan,ONP FP,-0.525,-0.243,-0.14,-0.081,-0.039,0.002,0.034,0.065,0.093,0.125,0.144,0.168,0.19,0.205,0.217,0.229,0.247,0.263,0.276,0.29,0.302,0.313,0.326,0.338,0.35,0.364,0.376,0.391,0.402,0.413,0.425,0.438,0.449,0.462,0.476,0.483,0.495,0.503,0.51,0.518,0.529,0.539,0.55,0.562,0.573,0.587,0.598,0.607,0.618,0.626,0.638,0.648,0.656,0.665,0.673,0.682,0.693,0.702,0.709,0.718,0.729,0.74,0.751,0.759,0.767,0.777,0.791,0.802,0.811,0.82,0.832,0.844,0.852,0.861,0.878,0.887,0.901,0.914,0.929,0.942,0.955,0.97,0.985,0.998,1.017,1.034,1.055,1.073,1.094,1.121,1.144,1.17,1.198,1.233,1.263,1.296,1.338,1.4,1.452,1.567,1.837
Nielsen,ONP FP,-1.146,-0.826,-0.74,-0.677,-0.63,-0.594,-0.548,-0.523,-0.495,-0.475,-0.454,-0.441,-0.423,-0.404,-0.393,-0.377,-0.362,-0.348,-0.332,-0.317,-0.306,-0.292,-0.276,-0.262,-0.254,-0.242,-0.232,-0.222,-0.21,-0.199,-0.187,-0.177,-0.167,-0.152,-0.143,-0.132,-0.122,-0.112,-0.101,-0.089,-0.081,-0.072,-0.064,-0.055,-0.045,-0.035,-0.023,-0.014,-0.006,0.007,0.016,0.029,0.036,0.046,0.054,0.063,0.074,0.084,0.095,0.104,0.112,0.125,0.132,0.144,0.155,0.167,0.179,0.193,0.204,0.216,0.225,0.235,0.248,0.258,0.27,0.282,0.292,0.307,0.322,0.337,0.352,0.368,0.386,0.397,0.409,0.429,0.446,0.462,0.487,0.506,0.526,0.547,0.575,0.605,0.649,0.684,0.725,0.787,0.867,0.993,1.36
Quadrant,ONP FP,-2.893,-2.39,-2.174,-2.054,-1.935,-1.836,-1.742,-1.692,-1.624,-1.561,-1.519,-1.468,-1.429,-1.387,-1.36,-1.333,-1.292,-1.258,-1.236,-1.203,-1.18,-1.152,-1.128,-1.109,-1.076,-1.06,-1.039,-1.016,-0.994,-0.976,-0.956,-0.941,-0.921,-0.904,-0.884,-0.863,-0.847,-0.831,-0.818,-0.798,-0.778,-0.761,-0.748,-0.73,-0.71,-0.692,-0.678,-0.664,-0.65,-0.633,-0.617,-0.602,-0.588,-0.575,-0.562,-0.546,-0.531,-0.517,-0.503,-0.487,-0.475,-0.46,-0.447,-0.426,-0.409,-0.396,-0.379,-0.369,-0.351,-0.336,-0.318,-0.299,-0.285,-0.269,-0.255,-0.237,-0.219,-0.198,-0.18,-0.152,-0.13,-0.106,-0.086,-0.065,-0.036,-0.016,0.008,0.038,0.06,0.083,0.117,0.16,0.205,0.244,0.299,0.376,0.45,0.545,0.637,0.807,1.397
ARS,ONP FP,-3.967,-2.982,-2.706,-2.48,-2.293,-2.16,-2.034,-1.923,-1.835,-1.769,-1.682,-1.627,-1.557,-1.503,-1.442,-1.398,-1.351,-1.294,-1.249,-1.214,-1.167,-1.131,-1.09,-1.056,-1.022,-0.991,-0.966,-0.944,-0.914,-0.878,-0.843,-0.814,-0.78,-0.756,-0.728,-0.704,-0.684,-0.656,-0.641,-0.621,-0.598,-0.578,-0.563,-0.546,-0.524,-0.503,-0.478,-0.461,-0.437,-0.418,-0.402,-0.384,-0.367,-0.349,-0.331,-0.314,-0.298,-0.275,-0.257,-0.239,-0.215,-0.194,-0.171,-0.151,-0.129,-0.104,-0.081,-0.051,-0.02,0.006,0.031,0.057,0.084,0.114,0.149,0.188,0.22,0.248,0.294,0.327,0.358,0.402,0.443,0.486,0.53,0.578,0.623,0.669,0.73,0.767,0.828,0.908,0.974,1.052,1.192,1.303,1.441,1.62,1.806,2.147,3.622
Old house effects
Newspoll,ONP FP,-4.202,-3.869,-3.756,-3.677,-3.632,-3.584,-3.541,-3.511,-3.486,-3.46,-3.438,-3.411,-3.392,-3.365,-3.352,-3.333,-3.317,-3.301,-3.284,-3.267,-3.255,-3.241,-3.231,-3.221,-3.207,-3.192,-3.179,-3.17,-3.16,-3.148,-3.137,-3.127,-3.117,-3.105,-3.097,-3.089,-3.079,-3.068,-3.054,-3.045,-3.033,-3.021,-3.011,-3.001,-2.991,-2.983,-2.973,-2.965,-2.957,-2.948,-2.94,-2.93,-2.921,-2.911,-2.901,-2.892,-2.882,-2.872,-2.864,-2.852,-2.839,-2.831,-2.819,-2.806,-2.792,-2.779,-2.766,-2.757,-2.744,-2.731,-2.719,-2.704,-2.693,-2.684,-2.674,-2.665,-2.652,-2.64,-2.625,-2.61,-2.597,-2.583,-2.567,-2.551,-2.536,-2.523,-2.508,-2.479,-2.459,-2.443,-2.423,-2.397,-2.373,-2.351,-2.328,-2.283,-2.245,-2.205,-2.137,-2.033,-1.764
