House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,@TPP,-1.675,-1.038,-0.883,-0.746,-0.661,-0.568,-0.501,-0.439,-0.406,-0.373,-0.351,-0.326,-0.296,-0.262,-0.239,-0.21,-0.191,-0.176,-0.153,-0.136,-0.12,-0.102,-0.086,-0.07,-0.058,-0.041,-0.022,-0.009,0.003,0.012,0.027,0.039,0.051,0.061,0.071,0.087,0.097,0.106,0.116,0.128,0.138,0.15,0.164,0.177,0.186,0.195,0.206,0.217,0.225,0.239,0.247,0.257,0.268,0.277,0.288,0.296,0.307,0.322,0.331,0.34,0.353,0.362,0.379,0.392,0.406,0.418,0.433,0.45,0.462,0.472,0.486,0.498,0.513,0.524,0.542,0.558,0.57,0.586,0.598,0.615,0.631,0.657,0.676,0.705,0.73,0.755,0.774,0.805,0.834,0.864,0.9,0.95,0.99,1.056,1.112,1.173,1.253,1.365,1.438,1.683,2.336
F2F Morgan,@TPP,-2.387,-1.636,-1.335,-1.223,-1.135,-1.017,-0.914,-0.845,-0.772,-0.71,-0.662,-0.609,-0.579,-0.555,-0.514,-0.473,-0.441,-0.425,-0.405,-0.385,-0.363,-0.323,-0.298,-0.271,-0.248,-0.226,-0.209,-0.189,-0.168,-0.154,-0.137,-0.122,-0.107,-0.092,-0.077,-0.061,-0.05,-0.033,-0.018,-0.003,0.007,0.021,0.03,0.045,0.061,0.074,0.083,0.094,0.11,0.121,0.133,0.144,0.156,0.169,0.179,0.194,0.208,0.217,0.23,0.245,0.261,0.271,0.281,0.299,0.313,0.333,0.344,0.361,0.381,0.398,0.409,0.434,0.451,0.468,0.488,0.501,0.525,0.544,0.559,0.579,0.602,0.623,0.643,0.657,0.679,0.707,0.74,0.773,0.804,0.847,0.877,0.929,0.969,1.002,1.082,1.139,1.224,1.332,1.437,1.659,2.356
Morgan Phone,@TPP,-2.564,-1.687,-1.341,-1.174,-1.084,-1.005,-0.918,-0.845,-0.781,-0.741,-0.7,-0.648,-0.603,-0.566,-0.512,-0.468,-0.43,-0.399,-0.369,-0.335,-0.303,-0.266,-0.235,-0.204,-0.176,-0.159,-0.133,-0.103,-0.077,-0.06,-0.038,-0.018,0.01,0.029,0.044,0.063,0.078,0.096,0.107,0.119,0.134,0.148,0.162,0.179,0.199,0.219,0.229,0.242,0.259,0.286,0.303,0.325,0.338,0.347,0.368,0.383,0.398,0.418,0.439,0.457,0.475,0.491,0.511,0.527,0.551,0.58,0.605,0.63,0.653,0.672,0.696,0.715,0.73,0.755,0.775,0.802,0.827,0.849,0.887,0.917,0.944,0.977,1.02,1.059,1.097,1.133,1.168,1.205,1.26,1.299,1.342,1.4,1.493,1.562,1.641,1.742,1.895,2.014,2.208,2.424,3.436
Nielsen,@TPP,-3.827,-2.735,-2.369,-2.125,-1.879,-1.723,-1.596,-1.476,-1.406,-1.33,-1.24,-1.151,-1.079,-1.026,-0.974,-0.918,-0.876,-0.807,-0.768,-0.739,-0.71,-0.671,-0.634,-0.594,-0.57,-0.539,-0.503,-0.475,-0.44,-0.418,-0.396,-0.362,-0.338,-0.304,-0.275,-0.252,-0.222,-0.203,-0.18,-0.164,-0.137,-0.109,-0.092,-0.071,-0.047,-0.023,-0.006,0.023,0.044,0.059,0.084,0.107,0.131,0.146,0.159,0.175,0.192,0.217,0.233,0.25,0.265,0.287,0.303,0.326,0.344,0.365,0.384,0.404,0.427,0.449,0.479,0.501,0.523,0.538,0.56,0.606,0.639,0.668,0.701,0.738,0.762,0.795,0.834,0.875,0.921,0.966,1.002,1.044,1.093,1.145,1.191,1.253,1.326,1.413,1.49,1.671,1.81,1.981,2.29,2.575,3.426
Old house effects
Newspoll,@TPP,-1.247,-0.784,-0.668,-0.567,-0.513,-0.449,-0.397,-0.371,-0.326,-0.286,-0.259,-0.229,-0.203,-0.177,-0.16,-0.141,-0.119,-0.107,-0.09,-0.071,-0.052,-0.033,-0.017,-0.001,0.011,0.023,0.035,0.046,0.057,0.069,0.082,0.095,0.105,0.117,0.13,0.139,0.153,0.16,0.176,0.189,0.199,0.213,0.219,0.228,0.237,0.246,0.255,0.263,0.271,0.281,0.291,0.303,0.315,0.328,0.339,0.352,0.361,0.37,0.38,0.389,0.402,0.413,0.423,0.435,0.445,0.457,0.466,0.482,0.498,0.507,0.521,0.535,0.551,0.566,0.58,0.597,0.615,0.637,0.658,0.676,0.694,0.719,0.737,0.767,0.784,0.809,0.826,0.851,0.896,0.93,0.958,0.981,1.017,1.062,1.107,1.159,1.214,1.294,1.401,1.654,2.34
F2F Morgan,@TPP,-2.107,-1.383,-1.258,-1.105,-0.988,-0.912,-0.862,-0.81,-0.753,-0.7,-0.666,-0.647,-0.61,-0.584,-0.542,-0.511,-0.49,-0.457,-0.432,-0.402,-0.375,-0.349,-0.336,-0.318,-0.297,-0.266,-0.247,-0.228,-0.214,-0.194,-0.175,-0.161,-0.151,-0.142,-0.122,-0.109,-0.087,-0.071,-0.057,-0.043,-0.028,-0.015,0.003,0.015,0.027,0.037,0.049,0.066,0.085,0.101,0.111,0.125,0.134,0.148,0.158,0.17,0.18,0.189,0.199,0.21,0.22,0.228,0.241,0.253,0.267,0.275,0.285,0.297,0.314,0.327,0.34,0.351,0.361,0.378,0.392,0.407,0.421,0.437,0.457,0.474,0.487,0.505,0.53,0.548,0.572,0.601,0.622,0.64,0.66,0.68,0.706,0.744,0.784,0.839,0.877,0.914,0.99,1.065,1.182,1.422,1.94
Morgan Phone,@TPP,-4.415,-2.72,-2.233,-1.765,-1.59,-1.467,-1.367,-1.253,-1.142,-1.051,-0.993,-0.947,-0.885,-0.837,-0.774,-0.721,-0.659,-0.617,-0.563,-0.525,-0.485,-0.462,-0.438,-0.398,-0.373,-0.341,-0.301,-0.278,-0.251,-0.231,-0.217,-0.195,-0.166,-0.137,-0.11,-0.09,-0.065,-0.04,-0.016,0.002,0.023,0.049,0.064,0.09,0.109,0.126,0.145,0.167,0.184,0.2,0.212,0.226,0.246,0.264,0.279,0.301,0.316,0.342,0.366,0.383,0.408,0.43,0.453,0.479,0.499,0.528,0.546,0.576,0.606,0.64,0.665,0.701,0.734,0.765,0.787,0.835,0.876,0.912,0.948,0.982,1.023,1.052,1.111,1.155,1.219,1.271,1.336,1.41,1.47,1.525,1.588,1.649,1.737,1.867,2.001,2.131,2.248,2.548,2.833,3.412,5.459
