House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,ALP FP,-1.237,-0.371,-0.169,-0.063,0.012,0.071,0.107,0.137,0.18,0.228,0.263,0.293,0.329,0.357,0.386,0.412,0.434,0.459,0.489,0.516,0.546,0.571,0.588,0.609,0.628,0.654,0.674,0.689,0.712,0.738,0.755,0.775,0.8,0.82,0.842,0.862,0.883,0.909,0.932,0.948,0.967,0.986,1.011,1.025,1.043,1.063,1.081,1.098,1.124,1.144,1.163,1.181,1.2,1.221,1.241,1.257,1.276,1.292,1.32,1.339,1.356,1.375,1.391,1.413,1.441,1.461,1.49,1.517,1.542,1.572,1.595,1.613,1.64,1.663,1.687,1.719,1.747,1.775,1.803,1.839,1.872,1.906,1.938,1.972,2.014,2.063,2.1,2.136,2.177,2.215,2.251,2.307,2.349,2.405,2.474,2.552,2.665,2.79,2.928,3.184,3.843
Newspoll,ALP FP,-2.899,-2.012,-1.83,-1.719,-1.634,-1.55,-1.49,-1.442,-1.385,-1.331,-1.294,-1.263,-1.221,-1.185,-1.16,-1.129,-1.099,-1.074,-1.046,-1.024,-0.997,-0.972,-0.958,-0.935,-0.911,-0.886,-0.861,-0.837,-0.815,-0.797,-0.772,-0.757,-0.742,-0.719,-0.7,-0.683,-0.667,-0.653,-0.633,-0.614,-0.599,-0.579,-0.563,-0.545,-0.528,-0.51,-0.498,-0.477,-0.461,-0.443,-0.433,-0.42,-0.402,-0.389,-0.372,-0.359,-0.346,-0.331,-0.317,-0.3,-0.287,-0.272,-0.259,-0.246,-0.228,-0.211,-0.193,-0.178,-0.161,-0.147,-0.135,-0.117,-0.099,-0.083,-0.069,-0.053,-0.039,-0.023,-0.003,0.02,0.034,0.057,0.073,0.093,0.124,0.148,0.167,0.187,0.208,0.238,0.266,0.293,0.325,0.359,0.397,0.454,0.502,0.598,0.714,0.885,1.379
Morgan Phone,ALP FP,-1.493,-1.03,-0.883,-0.754,-0.691,-0.629,-0.597,-0.557,-0.529,-0.487,-0.456,-0.423,-0.389,-0.365,-0.335,-0.312,-0.29,-0.274,-0.26,-0.237,-0.217,-0.195,-0.176,-0.156,-0.142,-0.126,-0.111,-0.091,-0.076,-0.06,-0.05,-0.034,-0.023,-0.008,0.006,0.019,0.033,0.045,0.054,0.065,0.079,0.094,0.106,0.121,0.131,0.142,0.152,0.165,0.174,0.186,0.197,0.207,0.218,0.231,0.241,0.253,0.263,0.274,0.287,0.302,0.313,0.325,0.336,0.348,0.359,0.372,0.384,0.393,0.407,0.421,0.438,0.45,0.459,0.472,0.485,0.496,0.506,0.52,0.537,0.553,0.571,0.588,0.606,0.624,0.644,0.659,0.684,0.705,0.738,0.761,0.789,0.824,0.861,0.897,0.955,1.003,1.067,1.149,1.248,1.374,1.819
Nielsen,ALP FP,-3.26,-2.466,-2.206,-2.026,-1.847,-1.734,-1.65,-1.553,-1.49,-1.443,-1.384,-1.316,-1.256,-1.193,-1.127,-1.074,-1.031,-0.99,-0.951,-0.912,-0.874,-0.841,-0.808,-0.781,-0.756,-0.723,-0.695,-0.669,-0.644,-0.616,-0.586,-0.565,-0.541,-0.519,-0.495,-0.479,-0.456,-0.429,-0.397,-0.376,-0.355,-0.338,-0.308,-0.293,-0.276,-0.26,-0.242,-0.219,-0.201,-0.181,-0.159,-0.14,-0.123,-0.105,-0.087,-0.073,-0.054,-0.034,-0.015,0.005,0.021,0.039,0.06,0.072,0.089,0.106,0.124,0.14,0.157,0.172,0.195,0.212,0.234,0.252,0.271,0.293,0.314,0.338,0.357,0.384,0.411,0.438,0.462,0.489,0.516,0.546,0.576,0.606,0.645,0.673,0.714,0.762,0.808,0.868,0.93,0.995,1.082,1.192,1.362,1.667,2.607
Approvals,ALP FP,-4.54,-3.458,-3.098,-2.824,-2.618,-2.504,-2.363,-2.262,-2.137,-2.008,-1.929,-1.842,-1.762,-1.707,-1.645,-1.585,-1.526,-1.481,-1.436,-1.381,-1.33,-1.285,-1.252,-1.204,-1.159,-1.113,-1.081,-1.041,-1.003,-0.973,-0.943,-0.909,-0.868,-0.833,-0.799,-0.769,-0.735,-0.709,-0.679,-0.654,-0.628,-0.603,-0.578,-0.554,-0.526,-0.507,-0.479,-0.439,-0.418,-0.388,-0.362,-0.34,-0.316,-0.292,-0.269,-0.248,-0.229,-0.207,-0.178,-0.16,-0.139,-0.119,-0.093,-0.068,-0.046,-0.024,-0.006,0.022,0.042,0.057,0.085,0.102,0.126,0.146,0.166,0.187,0.209,0.225,0.252,0.276,0.307,0.343,0.365,0.388,0.411,0.449,0.491,0.52,0.555,0.595,0.644,0.708,0.76,0.823,0.904,0.973,1.081,1.252,1.413,1.748,2.569
Old house effects
F2F Morgan,ALP FP,-1.166,-0.544,-0.38,-0.281,-0.18,-0.12,-0.064,-0.03,0.006,0.041,0.07,0.102,0.139,0.167,0.197,0.219,0.251,0.277,0.306,0.324,0.347,0.367,0.392,0.413,0.433,0.454,0.473,0.488,0.515,0.534,0.557,0.579,0.602,0.624,0.644,0.667,0.686,0.706,0.724,0.739,0.757,0.772,0.791,0.813,0.836,0.854,0.868,0.891,0.907,0.932,0.949,0.965,0.987,1.006,1.022,1.04,1.058,1.08,1.103,1.12,1.143,1.17,1.19,1.214,1.24,1.261,1.285,1.307,1.328,1.352,1.379,1.414,1.436,1.458,1.486,1.519,1.545,1.576,1.606,1.635,1.668,1.696,1.73,1.765,1.806,1.849,1.895,1.935,1.982,2.033,2.082,2.132,2.187,2.251,2.335,2.398,2.508,2.628,2.823,3.13,3.692
Newspoll,ALP FP,-2.461,-2.085,-1.9,-1.776,-1.665,-1.582,-1.53,-1.481,-1.42,-1.359,-1.315,-1.281,-1.24,-1.214,-1.187,-1.165,-1.138,-1.11,-1.09,-1.072,-1.047,-1.025,-1.008,-0.986,-0.964,-0.945,-0.929,-0.917,-0.895,-0.871,-0.857,-0.838,-0.822,-0.802,-0.784,-0.767,-0.753,-0.744,-0.721,-0.707,-0.69,-0.67,-0.652,-0.638,-0.621,-0.604,-0.586,-0.571,-0.557,-0.544,-0.528,-0.511,-0.494,-0.476,-0.461,-0.445,-0.428,-0.413,-0.398,-0.383,-0.369,-0.351,-0.339,-0.324,-0.305,-0.291,-0.276,-0.259,-0.242,-0.226,-0.209,-0.192,-0.176,-0.156,-0.143,-0.129,-0.109,-0.094,-0.08,-0.06,-0.04,-0.019,-0.003,0.012,0.032,0.057,0.079,0.099,0.116,0.141,0.164,0.196,0.223,0.256,0.284,0.333,0.408,0.483,0.601,0.766,1.348
