House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Morgan Phone,ONP FP,-2.283,-1.834,-1.703,-1.613,-1.507,-1.449,-1.398,-1.35,-1.319,-1.281,-1.251,-1.223,-1.195,-1.172,-1.152,-1.131,-1.112,-1.092,-1.072,-1.056,-1.038,-1.024,-1.011,-0.993,-0.98,-0.96,-0.945,-0.931,-0.914,-0.903,-0.884,-0.869,-0.86,-0.846,-0.829,-0.814,-0.803,-0.789,-0.779,-0.77,-0.756,-0.745,-0.735,-0.723,-0.713,-0.704,-0.696,-0.688,-0.677,-0.668,-0.656,-0.649,-0.637,-0.629,-0.616,-0.606,-0.594,-0.582,-0.571,-0.562,-0.552,-0.54,-0.53,-0.513,-0.499,-0.486,-0.472,-0.458,-0.444,-0.428,-0.411,-0.4,-0.388,-0.368,-0.353,-0.339,-0.327,-0.306,-0.287,-0.268,-0.255,-0.233,-0.213,-0.194,-0.171,-0.148,-0.122,-0.099,-0.06,-0.035,-0.01,0.026,0.067,0.108,0.159,0.204,0.263,0.34,0.462,0.628,1.096
Nielsen,ONP FP,-2.345,-1.654,-1.437,-1.334,-1.265,-1.18,-1.13,-1.071,-1.028,-0.98,-0.947,-0.916,-0.891,-0.862,-0.838,-0.823,-0.799,-0.774,-0.753,-0.724,-0.707,-0.691,-0.672,-0.653,-0.634,-0.62,-0.602,-0.58,-0.562,-0.546,-0.533,-0.514,-0.497,-0.479,-0.459,-0.436,-0.416,-0.398,-0.38,-0.362,-0.344,-0.328,-0.313,-0.294,-0.274,-0.257,-0.242,-0.219,-0.206,-0.192,-0.178,-0.156,-0.133,-0.115,-0.102,-0.085,-0.067,-0.048,-0.03,-0.01,0.005,0.022,0.044,0.062,0.09,0.11,0.13,0.152,0.17,0.19,0.209,0.228,0.251,0.28,0.302,0.333,0.355,0.374,0.402,0.431,0.458,0.484,0.511,0.544,0.579,0.608,0.645,0.679,0.72,0.769,0.81,0.864,0.897,0.966,1.032,1.124,1.212,1.306,1.481,1.686,2.672
F2F Morgan,ONP FP,-4.027,-3.357,-3.175,-3.031,-2.896,-2.824,-2.735,-2.671,-2.587,-2.536,-2.493,-2.453,-2.415,-2.373,-2.339,-2.296,-2.268,-2.236,-2.211,-2.176,-2.151,-2.122,-2.091,-2.065,-2.042,-2.015,-1.987,-1.965,-1.939,-1.91,-1.881,-1.854,-1.831,-1.807,-1.789,-1.766,-1.748,-1.725,-1.708,-1.69,-1.67,-1.656,-1.633,-1.613,-1.59,-1.57,-1.555,-1.532,-1.517,-1.504,-1.486,-1.471,-1.452,-1.433,-1.42,-1.4,-1.382,-1.365,-1.344,-1.327,-1.304,-1.289,-1.266,-1.244,-1.221,-1.204,-1.179,-1.154,-1.138,-1.118,-1.093,-1.074,-1.056,-1.034,-1.01,-0.988,-0.967,-0.946,-0.923,-0.898,-0.87,-0.85,-0.835,-0.818,-0.798,-0.772,-0.744,-0.712,-0.681,-0.654,-0.627,-0.601,-0.563,-0.535,-0.485,-0.421,-0.362,-0.283,-0.178,-0.025,0.535
Newspoll,ONP FP,-2.738,-2.311,-2.086,-1.943,-1.848,-1.778,-1.725,-1.673,-1.621,-1.581,-1.54,-1.504,-1.472,-1.44,-1.399,-1.374,-1.344,-1.317,-1.297,-1.273,-1.252,-1.239,-1.221,-1.202,-1.185,-1.165,-1.149,-1.133,-1.114,-1.096,-1.08,-1.065,-1.049,-1.031,-1.013,-0.993,-0.981,-0.967,-0.952,-0.938,-0.926,-0.912,-0.899,-0.885,-0.872,-0.859,-0.848,-0.836,-0.822,-0.806,-0.794,-0.784,-0.774,-0.765,-0.754,-0.743,-0.734,-0.721,-0.712,-0.696,-0.686,-0.676,-0.661,-0.646,-0.632,-0.618,-0.61,-0.592,-0.579,-0.567,-0.554,-0.541,-0.528,-0.508,-0.489,-0.476,-0.455,-0.438,-0.422,-0.402,-0.382,-0.362,-0.344,-0.326,-0.301,-0.28,-0.262,-0.23,-0.206,-0.163,-0.138,-0.108,-0.067,-0.019,0.013,0.062,0.123,0.184,0.312,0.504,1.025
Old house effects
Morgan Phone,ONP FP,-3.405,-2.55,-2.364,-2.23,-2.092,-2.025,-1.963,-1.904,-1.858,-1.814,-1.774,-1.74,-1.702,-1.674,-1.646,-1.615,-1.585,-1.559,-1.529,-1.501,-1.479,-1.455,-1.433,-1.415,-1.397,-1.377,-1.357,-1.339,-1.324,-1.306,-1.292,-1.272,-1.25,-1.234,-1.22,-1.205,-1.187,-1.171,-1.158,-1.143,-1.128,-1.116,-1.105,-1.089,-1.072,-1.056,-1.044,-1.032,-1.015,-1.002,-0.989,-0.976,-0.962,-0.947,-0.935,-0.919,-0.902,-0.89,-0.876,-0.861,-0.848,-0.837,-0.82,-0.807,-0.794,-0.782,-0.77,-0.759,-0.748,-0.737,-0.722,-0.708,-0.696,-0.683,-0.67,-0.654,-0.637,-0.621,-0.607,-0.59,-0.571,-0.554,-0.533,-0.517,-0.493,-0.464,-0.445,-0.422,-0.397,-0.368,-0.336,-0.296,-0.257,-0.229,-0.182,-0.147,-0.081,-0.005,0.121,0.274,0.776
Nielsen,ONP FP,-2.0,-1.496,-1.322,-1.21,-1.116,-1.053,-0.996,-0.953,-0.904,-0.86,-0.825,-0.788,-0.761,-0.729,-0.709,-0.682,-0.658,-0.627,-0.604,-0.581,-0.562,-0.54,-0.521,-0.497,-0.479,-0.46,-0.444,-0.427,-0.412,-0.39,-0.363,-0.339,-0.32,-0.299,-0.274,-0.256,-0.239,-0.222,-0.207,-0.188,-0.172,-0.147,-0.126,-0.113,-0.09,-0.065,-0.043,-0.028,-0.004,0.016,0.038,0.057,0.079,0.101,0.123,0.145,0.168,0.186,0.211,0.234,0.26,0.283,0.301,0.329,0.352,0.373,0.393,0.417,0.441,0.461,0.482,0.51,0.529,0.564,0.604,0.632,0.659,0.684,0.709,0.74,0.765,0.792,0.822,0.853,0.88,0.924,0.96,1.016,1.051,1.095,1.138,1.184,1.25,1.315,1.38,1.479,1.569,1.717,1.884,2.131,2.983
F2F Morgan,ONP FP,-3.231,-2.602,-2.406,-2.27,-2.165,-2.071,-1.985,-1.936,-1.871,-1.807,-1.762,-1.715,-1.668,-1.636,-1.598,-1.567,-1.534,-1.497,-1.471,-1.449,-1.425,-1.404,-1.376,-1.346,-1.321,-1.294,-1.269,-1.25,-1.231,-1.206,-1.182,-1.161,-1.139,-1.118,-1.097,-1.075,-1.057,-1.037,-1.019,-1.004,-0.983,-0.964,-0.943,-0.923,-0.906,-0.894,-0.878,-0.858,-0.845,-0.829,-0.812,-0.799,-0.786,-0.772,-0.753,-0.736,-0.72,-0.7,-0.687,-0.673,-0.658,-0.644,-0.627,-0.615,-0.6,-0.586,-0.57,-0.552,-0.534,-0.516,-0.496,-0.479,-0.465,-0.441,-0.424,-0.406,-0.38,-0.36,-0.333,-0.306,-0.28,-0.248,-0.223,-0.199,-0.177,-0.143,-0.102,-0.065,-0.028,0.012,0.052,0.109,0.159,0.222,0.281,0.345,0.442,0.523,0.698,0.912,1.729
