House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Morgan Phone,@TPP,-2.422,-1.546,-1.359,-1.213,-1.074,-0.978,-0.862,-0.79,-0.73,-0.687,-0.634,-0.597,-0.562,-0.52,-0.478,-0.451,-0.43,-0.405,-0.385,-0.363,-0.335,-0.304,-0.285,-0.259,-0.235,-0.214,-0.195,-0.178,-0.161,-0.136,-0.113,-0.097,-0.08,-0.058,-0.041,-0.026,-0.007,0.014,0.031,0.053,0.065,0.084,0.098,0.115,0.135,0.152,0.171,0.185,0.209,0.223,0.247,0.267,0.281,0.306,0.324,0.342,0.364,0.383,0.401,0.421,0.438,0.463,0.483,0.501,0.52,0.543,0.577,0.592,0.609,0.631,0.672,0.691,0.717,0.746,0.772,0.803,0.833,0.864,0.894,0.934,0.98,1.016,1.054,1.092,1.125,1.161,1.189,1.226,1.271,1.321,1.364,1.417,1.488,1.551,1.646,1.718,1.797,1.925,2.171,2.458,3.631
AGB McNair,@TPP,-5.175,-3.393,-2.96,-2.634,-2.413,-2.279,-2.157,-2.048,-1.908,-1.798,-1.7,-1.616,-1.519,-1.439,-1.377,-1.292,-1.243,-1.183,-1.145,-1.093,-1.046,-1.008,-0.973,-0.941,-0.899,-0.864,-0.834,-0.795,-0.76,-0.729,-0.69,-0.664,-0.636,-0.602,-0.574,-0.541,-0.512,-0.485,-0.453,-0.427,-0.402,-0.377,-0.356,-0.327,-0.298,-0.271,-0.247,-0.225,-0.204,-0.182,-0.161,-0.145,-0.125,-0.104,-0.082,-0.066,-0.049,-0.025,-0.003,0.019,0.038,0.065,0.086,0.106,0.124,0.149,0.173,0.2,0.224,0.253,0.282,0.313,0.334,0.365,0.402,0.44,0.474,0.506,0.543,0.579,0.626,0.669,0.712,0.763,0.824,0.892,0.94,1.002,1.083,1.147,1.217,1.288,1.386,1.49,1.588,1.717,1.88,2.083,2.299,2.801,4.453
Newspoll,@TPP,-2.14,-1.495,-1.336,-1.23,-1.157,-1.096,-1.039,-0.983,-0.937,-0.905,-0.87,-0.838,-0.807,-0.779,-0.757,-0.734,-0.709,-0.689,-0.667,-0.65,-0.634,-0.616,-0.601,-0.583,-0.561,-0.546,-0.534,-0.517,-0.503,-0.486,-0.469,-0.45,-0.436,-0.422,-0.41,-0.393,-0.383,-0.37,-0.359,-0.344,-0.334,-0.322,-0.311,-0.3,-0.291,-0.279,-0.272,-0.262,-0.253,-0.246,-0.234,-0.223,-0.212,-0.199,-0.187,-0.179,-0.171,-0.16,-0.15,-0.137,-0.127,-0.115,-0.103,-0.095,-0.088,-0.072,-0.062,-0.05,-0.042,-0.033,-0.022,-0.013,-0.003,0.008,0.022,0.041,0.054,0.07,0.086,0.098,0.114,0.128,0.149,0.166,0.19,0.203,0.224,0.245,0.275,0.307,0.33,0.359,0.393,0.423,0.461,0.501,0.549,0.624,0.714,0.848,1.385
Quadrant,@TPP,-3.807,-2.664,-2.235,-2.004,-1.818,-1.657,-1.571,-1.471,-1.389,-1.308,-1.242,-1.187,-1.122,-1.069,-1.027,-0.986,-0.94,-0.9,-0.861,-0.823,-0.775,-0.736,-0.705,-0.677,-0.641,-0.612,-0.581,-0.546,-0.521,-0.491,-0.463,-0.438,-0.418,-0.392,-0.372,-0.348,-0.326,-0.305,-0.281,-0.265,-0.241,-0.225,-0.205,-0.182,-0.167,-0.144,-0.127,-0.105,-0.088,-0.073,-0.057,-0.043,-0.025,-0.006,0.013,0.035,0.052,0.074,0.091,0.115,0.134,0.153,0.178,0.201,0.216,0.242,0.265,0.285,0.305,0.33,0.365,0.398,0.429,0.463,0.491,0.52,0.558,0.582,0.614,0.645,0.683,0.715,0.746,0.79,0.832,0.875,0.921,0.975,1.011,1.068,1.125,1.202,1.288,1.383,1.478,1.589,1.731,1.882,2.101,2.442,3.678
Taverner,@TPP,-5.026,-3.18,-2.69,-2.326,-1.983,-1.764,-1.635,-1.513,-1.401,-1.334,-1.251,-1.181,-1.129,-1.079,-1.008,-0.956,-0.881,-0.832,-0.767,-0.716,-0.679,-0.645,-0.597,-0.566,-0.529,-0.485,-0.446,-0.418,-0.377,-0.336,-0.307,-0.286,-0.264,-0.239,-0.199,-0.175,-0.147,-0.118,-0.089,-0.066,-0.043,-0.022,0.002,0.029,0.051,0.077,0.102,0.131,0.154,0.176,0.203,0.228,0.253,0.282,0.313,0.335,0.362,0.389,0.417,0.446,0.475,0.515,0.55,0.584,0.614,0.654,0.69,0.73,0.762,0.802,0.833,0.873,0.913,0.954,0.996,1.039,1.085,1.125,1.165,1.205,1.26,1.314,1.36,1.436,1.515,1.574,1.645,1.721,1.797,1.894,1.983,2.093,2.24,2.402,2.548,2.679,2.924,3.235,3.672,4.38,5.667
Nielsen,@TPP,-4.282,-3.718,-3.485,-3.366,-3.269,-3.173,-3.108,-3.023,-2.975,-2.916,-2.872,-2.827,-2.792,-2.754,-2.72,-2.692,-2.642,-2.621,-2.595,-2.567,-2.538,-2.511,-2.481,-2.45,-2.425,-2.394,-2.361,-2.334,-2.312,-2.283,-2.253,-2.229,-2.205,-2.18,-2.151,-2.126,-2.104,-2.08,-2.055,-2.04,-2.019,-2.001,-1.983,-1.966,-1.945,-1.924,-1.901,-1.875,-1.854,-1.832,-1.808,-1.788,-1.764,-1.745,-1.728,-1.712,-1.698,-1.678,-1.664,-1.639,-1.618,-1.598,-1.575,-1.549,-1.53,-1.51,-1.486,-1.457,-1.438,-1.419,-1.401,-1.373,-1.348,-1.324,-1.303,-1.278,-1.249,-1.229,-1.205,-1.175,-1.145,-1.119,-1.098,-1.055,-1.016,-0.993,-0.962,-0.913,-0.881,-0.841,-0.794,-0.752,-0.707,-0.652,-0.599,-0.535,-0.436,-0.339,-0.221,-0.021,0.304
F2F Morgan,@TPP,-1.298,-0.757,-0.565,-0.48,-0.429,-0.386,-0.334,-0.277,-0.235,-0.208,-0.181,-0.156,-0.137,-0.108,-0.085,-0.062,-0.037,-0.018,0.007,0.023,0.052,0.075,0.091,0.11,0.128,0.148,0.169,0.194,0.213,0.227,0.249,0.261,0.284,0.303,0.321,0.334,0.346,0.362,0.378,0.392,0.412,0.426,0.447,0.461,0.479,0.496,0.515,0.53,0.543,0.557,0.575,0.596,0.61,0.625,0.643,0.658,0.676,0.698,0.719,0.735,0.755,0.771,0.789,0.808,0.827,0.849,0.873,0.893,0.916,0.933,0.95,0.969,0.988,1.011,1.029,1.044,1.069,1.09,1.12,1.146,1.178,1.205,1.228,1.254,1.273,1.31,1.343,1.379,1.418,1.451,1.49,1.528,1.572,1.647,1.719,1.79,1.878,1.958,2.095,2.257,2.81
Old house effects
