House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,@TPP,-2.367,-2.0,-1.774,-1.701,-1.612,-1.581,-1.511,-1.449,-1.418,-1.371,-1.35,-1.321,-1.299,-1.28,-1.253,-1.234,-1.211,-1.185,-1.158,-1.144,-1.126,-1.108,-1.09,-1.07,-1.057,-1.026,-1.009,-0.995,-0.98,-0.963,-0.948,-0.932,-0.912,-0.896,-0.882,-0.869,-0.852,-0.841,-0.825,-0.811,-0.796,-0.78,-0.766,-0.756,-0.744,-0.729,-0.715,-0.709,-0.698,-0.685,-0.671,-0.66,-0.649,-0.634,-0.619,-0.605,-0.589,-0.579,-0.565,-0.551,-0.539,-0.524,-0.51,-0.501,-0.482,-0.471,-0.46,-0.448,-0.432,-0.421,-0.41,-0.396,-0.388,-0.377,-0.364,-0.349,-0.332,-0.315,-0.306,-0.296,-0.28,-0.269,-0.256,-0.236,-0.222,-0.212,-0.194,-0.178,-0.157,-0.132,-0.114,-0.095,-0.071,-0.047,-0.016,0.01,0.048,0.097,0.185,0.287,0.675
F2F Morgan,@TPP,-1.457,-0.965,-0.776,-0.695,-0.618,-0.562,-0.512,-0.47,-0.425,-0.391,-0.364,-0.331,-0.298,-0.273,-0.25,-0.236,-0.217,-0.195,-0.17,-0.151,-0.138,-0.112,-0.094,-0.071,-0.057,-0.04,-0.024,-0.001,0.016,0.032,0.046,0.066,0.081,0.098,0.116,0.127,0.146,0.164,0.182,0.199,0.212,0.233,0.259,0.272,0.289,0.304,0.322,0.34,0.356,0.379,0.403,0.424,0.449,0.466,0.489,0.504,0.522,0.536,0.552,0.573,0.592,0.608,0.63,0.647,0.664,0.686,0.71,0.734,0.756,0.773,0.792,0.813,0.837,0.854,0.88,0.902,0.927,0.947,0.982,1.015,1.043,1.071,1.105,1.134,1.177,1.217,1.26,1.295,1.321,1.367,1.388,1.433,1.484,1.537,1.598,1.657,1.771,1.923,2.051,2.23,2.719
Westpoll,@TPP,-2.288,-1.814,-1.486,-1.344,-1.216,-1.089,-0.967,-0.888,-0.837,-0.767,-0.705,-0.67,-0.62,-0.581,-0.537,-0.499,-0.468,-0.442,-0.418,-0.392,-0.359,-0.33,-0.31,-0.293,-0.268,-0.242,-0.224,-0.202,-0.185,-0.165,-0.148,-0.135,-0.12,-0.1,-0.079,-0.063,-0.041,-0.028,-0.01,0.019,0.036,0.057,0.076,0.098,0.128,0.147,0.164,0.189,0.214,0.233,0.252,0.275,0.291,0.326,0.344,0.361,0.384,0.418,0.439,0.459,0.477,0.501,0.524,0.553,0.576,0.599,0.625,0.648,0.684,0.705,0.736,0.766,0.787,0.823,0.853,0.897,0.929,0.976,1.005,1.047,1.083,1.124,1.163,1.205,1.251,1.292,1.343,1.421,1.465,1.515,1.571,1.657,1.715,1.834,1.921,2.057,2.207,2.386,2.682,3.018,3.874
Approvals,@TPP,-4.369,-3.118,-2.737,-2.441,-2.219,-2.053,-1.928,-1.831,-1.733,-1.642,-1.573,-1.509,-1.443,-1.388,-1.32,-1.272,-1.215,-1.171,-1.138,-1.099,-1.052,-1.025,-0.989,-0.956,-0.919,-0.878,-0.838,-0.808,-0.77,-0.742,-0.711,-0.69,-0.668,-0.644,-0.62,-0.597,-0.572,-0.553,-0.536,-0.513,-0.487,-0.467,-0.446,-0.415,-0.392,-0.372,-0.352,-0.329,-0.311,-0.286,-0.266,-0.246,-0.228,-0.216,-0.199,-0.185,-0.173,-0.162,-0.142,-0.131,-0.11,-0.091,-0.072,-0.047,-0.03,-0.009,0.017,0.037,0.06,0.084,0.107,0.128,0.148,0.167,0.197,0.224,0.26,0.289,0.324,0.35,0.383,0.413,0.45,0.492,0.534,0.575,0.646,0.682,0.722,0.772,0.814,0.898,0.974,1.068,1.14,1.265,1.43,1.661,1.855,2.34,3.452
Old house effects
Newspoll,@TPP,-2.106,-1.896,-1.812,-1.747,-1.691,-1.66,-1.625,-1.597,-1.583,-1.565,-1.549,-1.533,-1.517,-1.502,-1.483,-1.462,-1.448,-1.436,-1.424,-1.41,-1.393,-1.377,-1.371,-1.363,-1.352,-1.343,-1.329,-1.317,-1.307,-1.3,-1.292,-1.281,-1.274,-1.263,-1.256,-1.249,-1.24,-1.233,-1.226,-1.214,-1.207,-1.202,-1.193,-1.185,-1.174,-1.167,-1.162,-1.155,-1.145,-1.134,-1.126,-1.119,-1.113,-1.105,-1.094,-1.085,-1.078,-1.069,-1.06,-1.05,-1.041,-1.034,-1.026,-1.018,-1.011,-1.002,-0.993,-0.985,-0.976,-0.969,-0.958,-0.948,-0.936,-0.923,-0.91,-0.898,-0.889,-0.876,-0.866,-0.856,-0.844,-0.84,-0.827,-0.819,-0.805,-0.792,-0.777,-0.765,-0.744,-0.73,-0.707,-0.689,-0.662,-0.639,-0.606,-0.58,-0.552,-0.517,-0.453,-0.37,-0.22
F2F Morgan,@TPP,-0.247,-0.007,0.106,0.18,0.228,0.282,0.323,0.347,0.375,0.399,0.436,0.462,0.48,0.502,0.527,0.547,0.562,0.576,0.592,0.608,0.627,0.642,0.654,0.669,0.682,0.698,0.716,0.726,0.736,0.752,0.767,0.779,0.79,0.801,0.817,0.832,0.842,0.851,0.869,0.883,0.896,0.909,0.923,0.937,0.949,0.959,0.97,0.984,0.994,1.006,1.014,1.024,1.036,1.044,1.055,1.067,1.078,1.088,1.101,1.112,1.127,1.137,1.144,1.154,1.168,1.181,1.198,1.207,1.218,1.227,1.242,1.257,1.272,1.281,1.292,1.306,1.323,1.336,1.35,1.371,1.384,1.396,1.41,1.428,1.446,1.461,1.481,1.505,1.529,1.557,1.576,1.601,1.638,1.674,1.718,1.75,1.796,1.842,1.927,2.084,2.351
Westpoll,@TPP,-1.918,-1.126,-0.927,-0.785,-0.686,-0.598,-0.554,-0.518,-0.476,-0.432,-0.391,-0.338,-0.281,-0.252,-0.227,-0.206,-0.174,-0.157,-0.126,-0.105,-0.084,-0.069,-0.047,-0.029,-0.011,0.009,0.035,0.059,0.077,0.091,0.111,0.134,0.16,0.177,0.194,0.208,0.236,0.252,0.273,0.295,0.312,0.339,0.367,0.389,0.415,0.441,0.461,0.48,0.5,0.519,0.537,0.557,0.58,0.607,0.629,0.654,0.68,0.705,0.731,0.763,0.794,0.82,0.846,0.869,0.894,0.918,0.94,0.957,0.987,1.016,1.055,1.084,1.114,1.139,1.17,1.204,1.228,1.26,1.288,1.329,1.368,1.409,1.44,1.477,1.525,1.573,1.609,1.667,1.717,1.76,1.813,1.882,1.984,2.091,2.169,2.258,2.38,2.564,2.801,3.092,4.011
