House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Advertiser,@TPP,-3.643,-2.735,-2.144,-1.811,-1.669,-1.534,-1.437,-1.367,-1.292,-1.226,-1.139,-1.087,-1.004,-0.959,-0.911,-0.863,-0.832,-0.797,-0.763,-0.739,-0.716,-0.697,-0.658,-0.629,-0.603,-0.579,-0.546,-0.527,-0.498,-0.478,-0.453,-0.431,-0.405,-0.388,-0.374,-0.348,-0.329,-0.307,-0.288,-0.272,-0.255,-0.235,-0.22,-0.201,-0.178,-0.165,-0.152,-0.141,-0.127,-0.108,-0.099,-0.081,-0.066,-0.053,-0.029,-0.014,0.0,0.015,0.033,0.057,0.074,0.095,0.113,0.132,0.149,0.162,0.183,0.205,0.228,0.25,0.274,0.305,0.337,0.367,0.402,0.429,0.448,0.477,0.498,0.529,0.553,0.575,0.605,0.638,0.679,0.72,0.759,0.805,0.851,0.919,0.981,1.031,1.095,1.181,1.274,1.384,1.51,1.631,1.746,2.134,2.787
Newspoll,@TPP,-2.78,-2.371,-2.17,-2.0,-1.907,-1.85,-1.782,-1.727,-1.686,-1.651,-1.615,-1.583,-1.55,-1.525,-1.491,-1.451,-1.416,-1.389,-1.374,-1.354,-1.319,-1.299,-1.278,-1.258,-1.239,-1.214,-1.196,-1.176,-1.157,-1.137,-1.116,-1.084,-1.059,-1.038,-1.02,-1.002,-0.987,-0.97,-0.955,-0.943,-0.926,-0.905,-0.885,-0.871,-0.859,-0.84,-0.826,-0.811,-0.797,-0.782,-0.77,-0.747,-0.735,-0.715,-0.698,-0.688,-0.671,-0.655,-0.643,-0.625,-0.61,-0.601,-0.585,-0.568,-0.552,-0.541,-0.528,-0.513,-0.491,-0.474,-0.461,-0.445,-0.423,-0.405,-0.386,-0.372,-0.355,-0.338,-0.318,-0.303,-0.278,-0.261,-0.245,-0.226,-0.2,-0.18,-0.155,-0.135,-0.103,-0.083,-0.06,-0.036,0.001,0.031,0.06,0.114,0.158,0.23,0.307,0.464,1.217
F2F Morgan,@TPP,-1.509,-0.839,-0.656,-0.527,-0.454,-0.394,-0.319,-0.266,-0.219,-0.186,-0.153,-0.12,-0.093,-0.069,-0.037,-0.004,0.02,0.044,0.067,0.084,0.102,0.127,0.153,0.174,0.198,0.219,0.235,0.254,0.271,0.301,0.326,0.35,0.374,0.397,0.415,0.434,0.453,0.467,0.489,0.506,0.523,0.545,0.566,0.58,0.594,0.615,0.636,0.66,0.681,0.701,0.723,0.742,0.762,0.779,0.799,0.824,0.842,0.861,0.875,0.899,0.911,0.931,0.952,0.973,0.994,1.013,1.031,1.056,1.079,1.101,1.122,1.143,1.181,1.195,1.218,1.248,1.268,1.299,1.325,1.351,1.382,1.416,1.439,1.47,1.502,1.529,1.561,1.602,1.647,1.688,1.734,1.769,1.814,1.865,1.93,2.016,2.092,2.185,2.309,2.533,2.864
Morgan Phone,@TPP,-2.349,-1.846,-1.599,-1.389,-1.276,-1.177,-1.103,-1.021,-0.965,-0.922,-0.888,-0.844,-0.794,-0.769,-0.724,-0.691,-0.651,-0.629,-0.609,-0.581,-0.55,-0.519,-0.49,-0.471,-0.45,-0.419,-0.397,-0.379,-0.356,-0.335,-0.321,-0.295,-0.281,-0.259,-0.247,-0.224,-0.204,-0.179,-0.153,-0.133,-0.125,-0.109,-0.099,-0.079,-0.06,-0.04,-0.027,-0.012,0.004,0.024,0.043,0.065,0.075,0.089,0.106,0.12,0.138,0.159,0.174,0.19,0.204,0.221,0.239,0.256,0.276,0.291,0.317,0.333,0.349,0.367,0.386,0.403,0.427,0.458,0.477,0.5,0.524,0.557,0.58,0.615,0.64,0.674,0.7,0.724,0.755,0.78,0.828,0.862,0.9,0.952,1.007,1.086,1.158,1.225,1.296,1.374,1.471,1.672,1.814,2.107,2.733
Sunday Mail,@TPP,-5.053,-3.123,-2.778,-2.456,-2.312,-2.138,-2.022,-1.943,-1.826,-1.752,-1.686,-1.62,-1.558,-1.493,-1.433,-1.362,-1.287,-1.222,-1.139,-1.096,-1.05,-1.021,-0.988,-0.937,-0.893,-0.842,-0.815,-0.79,-0.759,-0.718,-0.681,-0.65,-0.617,-0.58,-0.555,-0.528,-0.502,-0.472,-0.446,-0.413,-0.392,-0.377,-0.351,-0.331,-0.304,-0.289,-0.274,-0.252,-0.237,-0.221,-0.202,-0.184,-0.164,-0.142,-0.125,-0.107,-0.087,-0.069,-0.046,-0.026,-0.007,0.011,0.023,0.047,0.067,0.086,0.117,0.14,0.16,0.185,0.214,0.236,0.263,0.282,0.301,0.327,0.351,0.379,0.414,0.434,0.464,0.495,0.525,0.559,0.605,0.637,0.678,0.721,0.785,0.838,0.887,0.969,1.033,1.133,1.224,1.328,1.452,1.641,1.93,2.356,3.424
Old house effects
Advertiser,@TPP,-1.774,-1.123,-0.96,-0.847,-0.694,-0.633,-0.547,-0.502,-0.457,-0.41,-0.379,-0.336,-0.303,-0.272,-0.241,-0.221,-0.196,-0.172,-0.14,-0.124,-0.102,-0.079,-0.062,-0.047,-0.023,-0.005,0.012,0.03,0.052,0.072,0.094,0.116,0.139,0.154,0.175,0.194,0.205,0.224,0.247,0.264,0.278,0.29,0.308,0.328,0.347,0.361,0.381,0.402,0.414,0.429,0.451,0.468,0.478,0.501,0.525,0.547,0.57,0.586,0.615,0.633,0.657,0.676,0.7,0.716,0.74,0.767,0.784,0.818,0.841,0.868,0.888,0.912,0.938,0.964,1.006,1.038,1.059,1.076,1.095,1.13,1.162,1.185,1.22,1.253,1.283,1.333,1.385,1.43,1.472,1.535,1.614,1.642,1.694,1.765,1.849,1.976,2.098,2.237,2.426,2.679,3.668
Newspoll,@TPP,-3.14,-2.755,-2.609,-2.523,-2.415,-2.367,-2.311,-2.268,-2.229,-2.195,-2.176,-2.155,-2.118,-2.098,-2.073,-2.05,-2.025,-2.003,-1.985,-1.967,-1.95,-1.932,-1.916,-1.902,-1.885,-1.872,-1.86,-1.847,-1.834,-1.823,-1.812,-1.793,-1.778,-1.764,-1.75,-1.737,-1.722,-1.709,-1.694,-1.685,-1.673,-1.657,-1.648,-1.633,-1.619,-1.599,-1.586,-1.577,-1.559,-1.545,-1.529,-1.513,-1.504,-1.491,-1.479,-1.468,-1.459,-1.441,-1.429,-1.42,-1.403,-1.392,-1.378,-1.364,-1.349,-1.332,-1.313,-1.295,-1.279,-1.263,-1.249,-1.23,-1.215,-1.199,-1.187,-1.173,-1.155,-1.14,-1.124,-1.106,-1.088,-1.07,-1.057,-1.033,-1.007,-0.981,-0.961,-0.943,-0.913,-0.88,-0.849,-0.816,-0.768,-0.732,-0.695,-0.649,-0.586,-0.509,-0.407,-0.263,0.189
