House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Advertiser,LNP FP,-3.374,-2.405,-2.052,-1.842,-1.723,-1.586,-1.493,-1.41,-1.33,-1.268,-1.183,-1.151,-1.091,-1.06,-0.999,-0.966,-0.935,-0.895,-0.861,-0.818,-0.787,-0.761,-0.733,-0.69,-0.664,-0.631,-0.609,-0.579,-0.55,-0.521,-0.506,-0.473,-0.448,-0.426,-0.401,-0.369,-0.347,-0.328,-0.301,-0.273,-0.252,-0.232,-0.215,-0.188,-0.168,-0.152,-0.133,-0.115,-0.091,-0.071,-0.058,-0.035,-0.022,-0.001,0.018,0.035,0.052,0.07,0.088,0.107,0.129,0.149,0.174,0.197,0.219,0.248,0.277,0.299,0.321,0.348,0.376,0.397,0.427,0.457,0.481,0.504,0.532,0.568,0.603,0.641,0.671,0.699,0.736,0.789,0.848,0.886,0.937,0.996,1.062,1.097,1.155,1.24,1.309,1.391,1.463,1.558,1.712,1.917,2.213,2.633,3.792
Newspoll,LNP FP,-0.882,-0.434,-0.299,-0.191,-0.113,-0.036,0.023,0.08,0.129,0.168,0.191,0.239,0.274,0.305,0.354,0.382,0.411,0.437,0.465,0.491,0.53,0.556,0.583,0.612,0.64,0.667,0.704,0.725,0.754,0.78,0.807,0.829,0.856,0.886,0.916,0.934,0.955,0.974,1.001,1.034,1.055,1.073,1.096,1.119,1.145,1.17,1.187,1.215,1.241,1.265,1.285,1.311,1.324,1.342,1.362,1.393,1.41,1.426,1.447,1.465,1.488,1.506,1.528,1.549,1.569,1.59,1.608,1.635,1.662,1.679,1.698,1.732,1.761,1.785,1.811,1.837,1.875,1.907,1.939,1.982,2.026,2.069,2.095,2.126,2.158,2.198,2.238,2.276,2.307,2.356,2.424,2.477,2.544,2.6,2.682,2.767,2.834,2.93,3.068,3.24,3.877
F2F Morgan,LNP FP,-3.454,-2.774,-2.607,-2.446,-2.337,-2.27,-2.192,-2.14,-2.074,-1.999,-1.955,-1.91,-1.86,-1.82,-1.771,-1.744,-1.723,-1.686,-1.657,-1.617,-1.587,-1.559,-1.517,-1.493,-1.468,-1.444,-1.416,-1.393,-1.372,-1.341,-1.315,-1.295,-1.269,-1.25,-1.232,-1.211,-1.188,-1.158,-1.129,-1.097,-1.075,-1.05,-1.022,-0.994,-0.971,-0.948,-0.919,-0.899,-0.879,-0.868,-0.848,-0.824,-0.812,-0.794,-0.772,-0.753,-0.737,-0.716,-0.694,-0.672,-0.656,-0.637,-0.614,-0.593,-0.568,-0.548,-0.52,-0.493,-0.468,-0.441,-0.42,-0.397,-0.374,-0.35,-0.319,-0.295,-0.28,-0.255,-0.24,-0.215,-0.18,-0.151,-0.127,-0.104,-0.077,-0.048,-0.025,0.011,0.05,0.086,0.124,0.153,0.212,0.259,0.32,0.376,0.455,0.539,0.62,0.833,1.204
Morgan Phone,LNP FP,-3.841,-2.666,-2.315,-2.129,-1.952,-1.817,-1.706,-1.638,-1.574,-1.501,-1.422,-1.369,-1.322,-1.27,-1.233,-1.197,-1.155,-1.12,-1.047,-1.004,-0.976,-0.941,-0.902,-0.87,-0.827,-0.804,-0.775,-0.74,-0.707,-0.678,-0.657,-0.638,-0.616,-0.596,-0.569,-0.545,-0.519,-0.502,-0.467,-0.439,-0.418,-0.394,-0.373,-0.353,-0.332,-0.312,-0.287,-0.266,-0.25,-0.237,-0.219,-0.204,-0.188,-0.161,-0.143,-0.125,-0.111,-0.089,-0.075,-0.059,-0.044,-0.023,-0.004,0.009,0.025,0.039,0.054,0.069,0.093,0.108,0.133,0.147,0.164,0.185,0.198,0.212,0.232,0.253,0.271,0.29,0.314,0.344,0.367,0.397,0.443,0.485,0.524,0.566,0.607,0.638,0.678,0.714,0.768,0.832,0.915,1.026,1.137,1.285,1.425,1.725,2.556
Sunday Mail,LNP FP,-3.946,-2.753,-2.222,-1.955,-1.83,-1.657,-1.547,-1.476,-1.38,-1.305,-1.23,-1.135,-1.057,-1.003,-0.955,-0.895,-0.856,-0.82,-0.78,-0.752,-0.697,-0.662,-0.625,-0.588,-0.55,-0.528,-0.496,-0.462,-0.434,-0.416,-0.386,-0.366,-0.337,-0.304,-0.28,-0.259,-0.227,-0.204,-0.181,-0.157,-0.13,-0.113,-0.089,-0.075,-0.057,-0.04,-0.01,0.009,0.027,0.045,0.063,0.08,0.092,0.105,0.121,0.144,0.165,0.192,0.207,0.222,0.245,0.266,0.287,0.315,0.336,0.354,0.381,0.405,0.433,0.46,0.49,0.529,0.562,0.592,0.627,0.657,0.692,0.721,0.747,0.781,0.81,0.858,0.904,0.939,0.981,1.018,1.06,1.126,1.178,1.226,1.293,1.354,1.413,1.53,1.629,1.749,1.919,2.164,2.433,2.887,4.072
Approvals,LNP FP,-3.335,-2.052,-1.543,-1.318,-1.157,-1.034,-0.931,-0.832,-0.758,-0.683,-0.633,-0.588,-0.549,-0.504,-0.461,-0.406,-0.366,-0.336,-0.281,-0.236,-0.192,-0.156,-0.135,-0.103,-0.08,-0.048,-0.025,-0.009,0.005,0.025,0.038,0.058,0.08,0.105,0.126,0.146,0.173,0.2,0.223,0.249,0.273,0.295,0.311,0.342,0.381,0.407,0.447,0.477,0.501,0.527,0.552,0.58,0.603,0.626,0.666,0.684,0.717,0.736,0.758,0.783,0.808,0.833,0.857,0.885,0.915,0.944,0.984,1.015,1.058,1.09,1.129,1.164,1.203,1.244,1.287,1.327,1.371,1.419,1.466,1.514,1.56,1.612,1.659,1.715,1.783,1.856,1.917,2.009,2.103,2.165,2.248,2.329,2.438,2.569,2.659,2.824,3.019,3.259,3.575,4.115,6.24
Old house effects
Advertiser,LNP FP,-4.267,-3.391,-3.157,-2.961,-2.77,-2.599,-2.492,-2.369,-2.293,-2.211,-2.143,-2.081,-2.031,-1.988,-1.937,-1.866,-1.837,-1.804,-1.774,-1.728,-1.683,-1.643,-1.603,-1.559,-1.526,-1.491,-1.468,-1.44,-1.42,-1.394,-1.373,-1.339,-1.312,-1.287,-1.265,-1.213,-1.19,-1.17,-1.137,-1.113,-1.086,-1.051,-1.026,-1.002,-0.982,-0.956,-0.93,-0.909,-0.89,-0.863,-0.838,-0.816,-0.8,-0.776,-0.751,-0.732,-0.703,-0.671,-0.644,-0.622,-0.59,-0.569,-0.55,-0.525,-0.488,-0.466,-0.432,-0.41,-0.388,-0.367,-0.34,-0.319,-0.303,-0.28,-0.251,-0.222,-0.198,-0.175,-0.151,-0.128,-0.108,-0.08,-0.056,-0.034,0.002,0.03,0.049,0.078,0.096,0.128,0.171,0.21,0.247,0.278,0.328,0.384,0.46,0.599,0.719,0.924,1.81
