House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,LNP FP,-3.753,-3.103,-2.894,-2.719,-2.597,-2.528,-2.433,-2.343,-2.243,-2.185,-2.127,-2.081,-2.02,-1.971,-1.931,-1.887,-1.846,-1.803,-1.764,-1.726,-1.695,-1.657,-1.622,-1.595,-1.573,-1.545,-1.52,-1.496,-1.469,-1.435,-1.4,-1.371,-1.349,-1.321,-1.284,-1.259,-1.24,-1.21,-1.181,-1.153,-1.134,-1.112,-1.09,-1.064,-1.046,-1.018,-0.994,-0.964,-0.931,-0.911,-0.891,-0.869,-0.843,-0.816,-0.789,-0.762,-0.744,-0.72,-0.692,-0.666,-0.643,-0.62,-0.603,-0.58,-0.553,-0.522,-0.492,-0.47,-0.445,-0.423,-0.401,-0.374,-0.346,-0.326,-0.301,-0.278,-0.257,-0.228,-0.204,-0.175,-0.143,-0.102,-0.069,-0.045,-0.009,0.037,0.059,0.093,0.131,0.164,0.196,0.24,0.286,0.325,0.379,0.447,0.503,0.582,0.703,0.939,1.569
Newspoll,LNP FP,-1.744,-0.998,-0.684,-0.539,-0.436,-0.368,-0.283,-0.213,-0.149,-0.099,-0.042,0.001,0.05,0.076,0.113,0.145,0.176,0.207,0.239,0.259,0.292,0.323,0.346,0.371,0.394,0.42,0.442,0.464,0.488,0.509,0.534,0.558,0.583,0.613,0.638,0.664,0.683,0.704,0.726,0.747,0.771,0.802,0.829,0.858,0.874,0.898,0.919,0.951,0.967,0.994,1.018,1.042,1.067,1.091,1.119,1.149,1.17,1.195,1.221,1.241,1.266,1.291,1.315,1.335,1.36,1.38,1.404,1.432,1.456,1.48,1.502,1.532,1.557,1.582,1.622,1.649,1.677,1.711,1.744,1.775,1.805,1.844,1.878,1.926,1.964,2.014,2.048,2.083,2.119,2.175,2.241,2.289,2.345,2.417,2.484,2.562,2.678,2.796,2.968,3.254,4.09
Nielsen,LNP FP,-2.746,-1.755,-1.552,-1.401,-1.297,-1.192,-1.114,-1.025,-0.966,-0.91,-0.865,-0.83,-0.791,-0.753,-0.724,-0.697,-0.664,-0.63,-0.609,-0.586,-0.56,-0.524,-0.5,-0.475,-0.444,-0.416,-0.398,-0.367,-0.35,-0.325,-0.3,-0.271,-0.253,-0.236,-0.215,-0.192,-0.17,-0.152,-0.136,-0.114,-0.094,-0.079,-0.062,-0.044,-0.028,-0.012,0.002,0.02,0.035,0.052,0.067,0.082,0.097,0.115,0.138,0.152,0.169,0.188,0.202,0.217,0.228,0.241,0.256,0.274,0.287,0.302,0.315,0.327,0.344,0.36,0.379,0.394,0.411,0.426,0.442,0.461,0.483,0.503,0.53,0.55,0.578,0.604,0.634,0.656,0.682,0.715,0.744,0.785,0.82,0.857,0.894,0.941,0.99,1.046,1.114,1.203,1.273,1.363,1.479,1.681,2.45
Quadrant,LNP FP,-2.524,-1.647,-1.281,-1.106,-0.968,-0.854,-0.771,-0.676,-0.603,-0.531,-0.486,-0.434,-0.388,-0.349,-0.299,-0.253,-0.215,-0.175,-0.146,-0.118,-0.088,-0.056,-0.034,-0.009,0.018,0.043,0.065,0.086,0.108,0.126,0.146,0.169,0.183,0.202,0.226,0.242,0.263,0.282,0.301,0.321,0.341,0.364,0.379,0.397,0.417,0.443,0.459,0.478,0.502,0.527,0.548,0.566,0.588,0.61,0.632,0.655,0.682,0.706,0.731,0.752,0.778,0.801,0.827,0.854,0.876,0.897,0.919,0.95,0.977,1.011,1.041,1.07,1.104,1.133,1.165,1.202,1.239,1.265,1.299,1.333,1.374,1.425,1.472,1.513,1.568,1.615,1.66,1.724,1.774,1.84,1.899,1.975,2.056,2.157,2.235,2.33,2.479,2.652,2.891,3.274,4.369
Saulwick,LNP FP,-3.812,-2.24,-1.896,-1.691,-1.552,-1.423,-1.335,-1.245,-1.192,-1.124,-1.07,-1.014,-0.96,-0.897,-0.841,-0.796,-0.762,-0.71,-0.664,-0.625,-0.58,-0.549,-0.529,-0.488,-0.457,-0.432,-0.397,-0.362,-0.332,-0.301,-0.271,-0.239,-0.218,-0.194,-0.171,-0.145,-0.122,-0.095,-0.077,-0.056,-0.028,-0.007,0.011,0.03,0.049,0.07,0.087,0.108,0.128,0.144,0.16,0.181,0.199,0.222,0.242,0.258,0.273,0.3,0.319,0.34,0.358,0.374,0.394,0.413,0.434,0.451,0.471,0.489,0.514,0.539,0.567,0.593,0.618,0.649,0.673,0.7,0.731,0.757,0.783,0.82,0.851,0.881,0.909,0.931,0.98,1.029,1.077,1.128,1.166,1.216,1.268,1.323,1.415,1.502,1.601,1.708,1.841,1.957,2.151,2.435,3.523
Morgan Phone,LNP FP,-2.978,-1.803,-1.457,-1.264,-1.121,-1.045,-0.948,-0.846,-0.778,-0.702,-0.656,-0.595,-0.542,-0.488,-0.454,-0.407,-0.368,-0.337,-0.308,-0.27,-0.239,-0.217,-0.187,-0.153,-0.124,-0.101,-0.067,-0.047,-0.028,-0.004,0.023,0.044,0.063,0.078,0.098,0.12,0.145,0.161,0.178,0.19,0.213,0.23,0.242,0.256,0.273,0.288,0.304,0.32,0.335,0.354,0.37,0.39,0.406,0.429,0.45,0.47,0.487,0.508,0.528,0.545,0.565,0.585,0.605,0.627,0.65,0.673,0.691,0.714,0.745,0.767,0.799,0.827,0.855,0.883,0.909,0.937,0.969,0.999,1.037,1.074,1.103,1.146,1.193,1.231,1.268,1.309,1.351,1.399,1.443,1.494,1.55,1.609,1.675,1.765,1.861,1.96,2.103,2.258,2.502,2.828,3.679
Approvals,LNP FP,-3.037,-1.677,-1.412,-1.194,-1.007,-0.926,-0.837,-0.749,-0.682,-0.612,-0.546,-0.49,-0.435,-0.396,-0.358,-0.318,-0.281,-0.241,-0.208,-0.165,-0.129,-0.093,-0.064,-0.034,-0.008,0.018,0.043,0.068,0.089,0.107,0.125,0.145,0.167,0.188,0.212,0.23,0.247,0.262,0.28,0.303,0.322,0.344,0.365,0.385,0.401,0.421,0.44,0.465,0.485,0.499,0.528,0.551,0.572,0.594,0.616,0.64,0.664,0.692,0.71,0.732,0.756,0.781,0.808,0.831,0.853,0.872,0.898,0.919,0.947,0.974,1.016,1.044,1.07,1.097,1.137,1.174,1.213,1.244,1.276,1.31,1.349,1.386,1.423,1.467,1.522,1.57,1.62,1.674,1.744,1.815,1.889,1.972,2.071,2.156,2.253,2.36,2.552,2.686,2.934,3.377,5.19
Old house effects
