House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,@TPP,0.099,0.66,1.055,1.23,1.358,1.434,1.519,1.588,1.646,1.711,1.779,1.827,1.874,1.913,1.958,2.006,2.039,2.09,2.126,2.159,2.192,2.237,2.277,2.313,2.34,2.368,2.397,2.428,2.464,2.491,2.519,2.548,2.567,2.6,2.624,2.653,2.679,2.705,2.729,2.748,2.768,2.79,2.809,2.829,2.852,2.875,2.904,2.924,2.951,2.967,2.989,3.016,3.038,3.059,3.076,3.098,3.121,3.145,3.169,3.202,3.223,3.242,3.261,3.282,3.307,3.348,3.37,3.393,3.418,3.448,3.474,3.498,3.528,3.554,3.586,3.618,3.655,3.692,3.733,3.755,3.783,3.82,3.856,3.892,3.933,3.989,4.027,4.062,4.101,4.15,4.202,4.251,4.311,4.371,4.45,4.552,4.645,4.784,4.963,5.27,6.159
Nielsen,@TPP,-4.547,-3.936,-3.596,-3.379,-3.248,-3.155,-3.053,-2.976,-2.913,-2.849,-2.783,-2.727,-2.672,-2.615,-2.573,-2.526,-2.48,-2.426,-2.387,-2.342,-2.288,-2.255,-2.215,-2.179,-2.144,-2.117,-2.094,-2.061,-2.013,-1.98,-1.954,-1.922,-1.888,-1.861,-1.838,-1.808,-1.774,-1.754,-1.732,-1.71,-1.679,-1.655,-1.631,-1.607,-1.585,-1.564,-1.531,-1.504,-1.476,-1.447,-1.417,-1.394,-1.372,-1.347,-1.325,-1.305,-1.283,-1.261,-1.231,-1.205,-1.177,-1.152,-1.123,-1.095,-1.07,-1.049,-1.017,-0.991,-0.967,-0.942,-0.911,-0.891,-0.86,-0.834,-0.807,-0.78,-0.744,-0.722,-0.695,-0.674,-0.642,-0.613,-0.591,-0.568,-0.532,-0.497,-0.461,-0.427,-0.38,-0.345,-0.299,-0.255,-0.217,-0.172,-0.12,-0.061,0.001,0.076,0.171,0.402,1.055
Newspoll,@TPP,-3.857,-3.297,-3.075,-2.944,-2.852,-2.786,-2.705,-2.649,-2.609,-2.566,-2.535,-2.485,-2.434,-2.395,-2.359,-2.322,-2.294,-2.261,-2.23,-2.206,-2.173,-2.143,-2.121,-2.098,-2.072,-2.042,-2.017,-1.996,-1.974,-1.959,-1.933,-1.91,-1.893,-1.872,-1.852,-1.834,-1.817,-1.801,-1.776,-1.757,-1.741,-1.723,-1.703,-1.679,-1.66,-1.639,-1.622,-1.606,-1.586,-1.566,-1.548,-1.527,-1.506,-1.482,-1.469,-1.453,-1.434,-1.408,-1.388,-1.372,-1.354,-1.334,-1.316,-1.298,-1.278,-1.26,-1.238,-1.221,-1.205,-1.178,-1.154,-1.136,-1.116,-1.093,-1.069,-1.046,-1.026,-0.995,-0.969,-0.939,-0.906,-0.875,-0.849,-0.82,-0.786,-0.753,-0.724,-0.691,-0.665,-0.627,-0.589,-0.555,-0.522,-0.48,-0.429,-0.378,-0.295,-0.232,-0.127,0.003,0.397
Morgan Phone,@TPP,-2.821,-2.119,-1.847,-1.663,-1.518,-1.444,-1.383,-1.301,-1.22,-1.17,-1.133,-1.088,-1.029,-0.99,-0.964,-0.924,-0.893,-0.863,-0.823,-0.787,-0.747,-0.724,-0.701,-0.678,-0.646,-0.615,-0.595,-0.57,-0.543,-0.523,-0.504,-0.48,-0.456,-0.437,-0.417,-0.397,-0.383,-0.359,-0.344,-0.33,-0.315,-0.302,-0.286,-0.271,-0.257,-0.242,-0.229,-0.214,-0.195,-0.177,-0.161,-0.147,-0.131,-0.115,-0.099,-0.081,-0.054,-0.039,-0.02,0.001,0.024,0.043,0.064,0.083,0.106,0.131,0.152,0.173,0.199,0.224,0.238,0.261,0.289,0.313,0.337,0.371,0.404,0.431,0.464,0.491,0.535,0.561,0.593,0.63,0.669,0.71,0.75,0.8,0.858,0.895,0.938,1.005,1.081,1.152,1.248,1.326,1.447,1.597,1.777,2.08,2.73
Old house effects
F2F Morgan,@TPP,0.531,1.085,1.31,1.475,1.59,1.685,1.736,1.784,1.838,1.894,1.931,1.97,2.011,2.04,2.074,2.104,2.147,2.177,2.204,2.223,2.244,2.269,2.285,2.307,2.33,2.349,2.37,2.39,2.406,2.427,2.444,2.459,2.477,2.493,2.507,2.522,2.538,2.554,2.57,2.587,2.603,2.622,2.635,2.648,2.661,2.675,2.686,2.7,2.714,2.728,2.742,2.755,2.771,2.782,2.795,2.811,2.824,2.84,2.855,2.869,2.886,2.899,2.915,2.929,2.947,2.962,2.978,2.996,3.014,3.032,3.044,3.063,3.077,3.096,3.115,3.132,3.149,3.17,3.188,3.208,3.228,3.246,3.27,3.291,3.314,3.329,3.352,3.383,3.405,3.445,3.485,3.523,3.56,3.59,3.633,3.687,3.753,3.829,3.929,4.09,4.758
Nielsen,@TPP,-0.269,0.133,0.315,0.463,0.575,0.655,0.74,0.817,0.889,0.969,1.031,1.074,1.116,1.156,1.195,1.234,1.279,1.314,1.35,1.379,1.41,1.44,1.469,1.498,1.522,1.551,1.572,1.595,1.619,1.64,1.656,1.68,1.7,1.725,1.753,1.774,1.789,1.812,1.834,1.853,1.874,1.895,1.912,1.93,1.95,1.968,1.986,2.006,2.024,2.041,2.059,2.079,2.102,2.123,2.142,2.164,2.181,2.199,2.225,2.247,2.265,2.284,2.298,2.322,2.339,2.361,2.378,2.399,2.417,2.436,2.46,2.489,2.513,2.542,2.563,2.588,2.612,2.63,2.657,2.681,2.705,2.727,2.759,2.785,2.817,2.85,2.875,2.908,2.938,2.963,3.004,3.046,3.093,3.141,3.19,3.271,3.341,3.473,3.599,3.821,4.376
Newspoll,@TPP,-6.085,-5.326,-5.097,-4.964,-4.851,-4.773,-4.715,-4.666,-4.61,-4.56,-4.505,-4.466,-4.422,-4.388,-4.359,-4.326,-4.298,-4.269,-4.238,-4.208,-4.183,-4.154,-4.137,-4.117,-4.093,-4.079,-4.057,-4.039,-4.02,-4.001,-3.982,-3.962,-3.946,-3.932,-3.917,-3.898,-3.881,-3.863,-3.845,-3.827,-3.805,-3.79,-3.772,-3.756,-3.742,-3.725,-3.709,-3.698,-3.681,-3.663,-3.652,-3.636,-3.614,-3.601,-3.584,-3.571,-3.555,-3.539,-3.523,-3.509,-3.498,-3.487,-3.474,-3.455,-3.44,-3.428,-3.41,-3.392,-3.377,-3.364,-3.348,-3.328,-3.309,-3.289,-3.269,-3.255,-3.234,-3.215,-3.202,-3.183,-3.166,-3.147,-3.12,-3.095,-3.072,-3.041,-3.015,-2.981,-2.953,-2.922,-2.891,-2.852,-2.814,-2.774,-2.737,-2.686,-2.597,-2.52,-2.399,-2.23,-1.856
