House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,ALP FP,0.623,1.198,1.51,1.746,1.935,2.076,2.179,2.287,2.334,2.405,2.458,2.524,2.574,2.626,2.667,2.706,2.734,2.793,2.837,2.873,2.913,2.947,2.981,3.021,3.051,3.082,3.119,3.147,3.184,3.218,3.251,3.271,3.3,3.319,3.344,3.37,3.399,3.428,3.458,3.484,3.507,3.534,3.566,3.598,3.613,3.65,3.671,3.692,3.72,3.737,3.772,3.791,3.818,3.845,3.868,3.893,3.918,3.951,3.972,3.993,4.023,4.045,4.069,4.091,4.11,4.133,4.158,4.19,4.217,4.24,4.259,4.281,4.319,4.346,4.375,4.402,4.432,4.462,4.495,4.539,4.569,4.602,4.63,4.661,4.692,4.724,4.777,4.816,4.861,4.894,4.935,4.981,5.036,5.088,5.166,5.243,5.363,5.527,5.724,6.03,6.751
Newspoll,ALP FP,-1.286,-1.032,-0.909,-0.851,-0.814,-0.793,-0.759,-0.726,-0.707,-0.687,-0.66,-0.644,-0.625,-0.611,-0.599,-0.586,-0.572,-0.555,-0.54,-0.53,-0.519,-0.51,-0.496,-0.489,-0.478,-0.465,-0.454,-0.443,-0.434,-0.425,-0.41,-0.401,-0.394,-0.384,-0.373,-0.365,-0.354,-0.346,-0.334,-0.324,-0.315,-0.301,-0.294,-0.285,-0.275,-0.267,-0.258,-0.25,-0.24,-0.231,-0.221,-0.213,-0.204,-0.197,-0.19,-0.185,-0.177,-0.17,-0.163,-0.148,-0.138,-0.128,-0.12,-0.111,-0.102,-0.094,-0.084,-0.073,-0.065,-0.056,-0.048,-0.034,-0.024,-0.015,-0.008,0.005,0.021,0.033,0.045,0.059,0.071,0.086,0.103,0.112,0.127,0.141,0.162,0.18,0.199,0.219,0.24,0.263,0.292,0.316,0.345,0.395,0.427,0.47,0.524,0.593,0.863
Advertiser,ALP FP,-4.811,-3.732,-3.457,-3.268,-3.116,-2.994,-2.866,-2.767,-2.698,-2.622,-2.564,-2.488,-2.44,-2.384,-2.314,-2.272,-2.224,-2.182,-2.144,-2.111,-2.059,-2.016,-1.982,-1.948,-1.903,-1.877,-1.84,-1.811,-1.763,-1.717,-1.681,-1.635,-1.596,-1.571,-1.54,-1.508,-1.471,-1.434,-1.397,-1.373,-1.348,-1.309,-1.275,-1.255,-1.23,-1.207,-1.18,-1.146,-1.12,-1.101,-1.071,-1.037,-1.017,-0.994,-0.967,-0.942,-0.918,-0.891,-0.866,-0.837,-0.808,-0.776,-0.746,-0.715,-0.695,-0.667,-0.652,-0.616,-0.586,-0.56,-0.515,-0.488,-0.452,-0.414,-0.386,-0.361,-0.322,-0.288,-0.256,-0.212,-0.165,-0.132,-0.095,-0.065,-0.021,0.019,0.046,0.076,0.124,0.196,0.246,0.298,0.352,0.404,0.46,0.512,0.577,0.729,0.826,1.052,1.658
Approvals,ALP FP,-4.189,-2.93,-2.28,-1.951,-1.71,-1.516,-1.408,-1.286,-1.186,-1.073,-1.001,-0.943,-0.855,-0.78,-0.746,-0.708,-0.658,-0.625,-0.578,-0.516,-0.479,-0.443,-0.403,-0.367,-0.343,-0.302,-0.284,-0.258,-0.227,-0.199,-0.173,-0.144,-0.107,-0.077,-0.038,-0.014,0.015,0.046,0.073,0.096,0.118,0.14,0.171,0.191,0.212,0.231,0.245,0.258,0.277,0.292,0.306,0.322,0.34,0.36,0.379,0.398,0.414,0.427,0.444,0.462,0.474,0.496,0.513,0.537,0.56,0.585,0.605,0.623,0.646,0.673,0.694,0.707,0.731,0.756,0.777,0.802,0.825,0.859,0.892,0.925,0.962,0.996,1.039,1.073,1.115,1.154,1.203,1.239,1.287,1.333,1.365,1.396,1.484,1.561,1.649,1.751,1.893,2.04,2.273,2.665,3.676
Old house effects
F2F Morgan,ALP FP,3.11,3.536,3.651,3.723,3.776,3.826,3.863,3.895,3.935,3.963,4.002,4.034,4.056,4.076,4.097,4.113,4.133,4.155,4.177,4.201,4.214,4.239,4.259,4.282,4.3,4.316,4.332,4.346,4.358,4.378,4.392,4.41,4.424,4.437,4.447,4.462,4.476,4.491,4.506,4.516,4.525,4.541,4.556,4.567,4.58,4.591,4.605,4.619,4.634,4.644,4.656,4.67,4.686,4.703,4.715,4.728,4.739,4.747,4.763,4.773,4.785,4.798,4.809,4.819,4.831,4.847,4.863,4.876,4.893,4.906,4.917,4.934,4.947,4.962,4.979,4.993,5.007,5.021,5.04,5.057,5.074,5.089,5.11,5.125,5.139,5.158,5.174,5.198,5.218,5.249,5.276,5.3,5.324,5.352,5.401,5.44,5.494,5.569,5.652,5.78,6.402
Newspoll,ALP FP,-1.056,-0.875,-0.821,-0.776,-0.743,-0.725,-0.706,-0.694,-0.678,-0.666,-0.654,-0.643,-0.633,-0.625,-0.618,-0.609,-0.602,-0.592,-0.582,-0.572,-0.564,-0.558,-0.553,-0.546,-0.54,-0.534,-0.527,-0.519,-0.512,-0.505,-0.5,-0.495,-0.487,-0.479,-0.474,-0.47,-0.465,-0.461,-0.456,-0.449,-0.445,-0.44,-0.436,-0.431,-0.425,-0.419,-0.414,-0.409,-0.404,-0.399,-0.393,-0.388,-0.381,-0.376,-0.371,-0.363,-0.36,-0.355,-0.349,-0.342,-0.337,-0.332,-0.326,-0.321,-0.314,-0.308,-0.302,-0.296,-0.291,-0.285,-0.28,-0.273,-0.268,-0.262,-0.255,-0.246,-0.239,-0.234,-0.227,-0.22,-0.214,-0.206,-0.198,-0.192,-0.184,-0.171,-0.161,-0.149,-0.14,-0.127,-0.115,-0.1,-0.085,-0.072,-0.061,-0.044,-0.022,0.002,0.039,0.099,0.24
Advertiser,ALP FP,-4.491,-3.881,-3.7,-3.545,-3.406,-3.268,-3.17,-3.116,-3.052,-2.997,-2.941,-2.893,-2.855,-2.81,-2.772,-2.733,-2.698,-2.645,-2.618,-2.583,-2.554,-2.519,-2.485,-2.448,-2.415,-2.383,-2.348,-2.314,-2.284,-2.253,-2.218,-2.177,-2.154,-2.132,-2.109,-2.089,-2.051,-2.03,-2.01,-1.978,-1.955,-1.927,-1.912,-1.887,-1.862,-1.835,-1.815,-1.796,-1.76,-1.738,-1.715,-1.685,-1.666,-1.637,-1.616,-1.581,-1.552,-1.528,-1.501,-1.469,-1.446,-1.426,-1.402,-1.376,-1.34,-1.323,-1.291,-1.253,-1.221,-1.2,-1.155,-1.138,-1.111,-1.089,-1.067,-1.035,-1.007,-0.981,-0.96,-0.927,-0.895,-0.857,-0.812,-0.78,-0.747,-0.711,-0.68,-0.633,-0.595,-0.528,-0.477,-0.436,-0.38,-0.292,-0.198,-0.127,-0.038,0.088,0.235,0.394,0.793
