House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,OTH FP,-2.945,-2.054,-1.76,-1.605,-1.459,-1.381,-1.282,-1.211,-1.147,-1.104,-1.051,-1.004,-0.958,-0.918,-0.893,-0.859,-0.821,-0.794,-0.777,-0.752,-0.725,-0.699,-0.667,-0.643,-0.621,-0.599,-0.572,-0.55,-0.529,-0.511,-0.478,-0.455,-0.438,-0.42,-0.402,-0.383,-0.368,-0.351,-0.336,-0.324,-0.312,-0.297,-0.285,-0.265,-0.245,-0.227,-0.214,-0.199,-0.185,-0.168,-0.157,-0.143,-0.131,-0.117,-0.103,-0.088,-0.072,-0.059,-0.04,-0.026,-0.004,0.015,0.033,0.051,0.066,0.096,0.123,0.143,0.159,0.179,0.203,0.233,0.259,0.272,0.298,0.322,0.352,0.374,0.398,0.424,0.452,0.488,0.521,0.553,0.593,0.633,0.663,0.695,0.73,0.771,0.816,0.871,0.921,1.008,1.08,1.168,1.274,1.412,1.542,1.788,2.624
Newspoll,OTH FP,-0.834,-0.282,-0.068,0.054,0.154,0.271,0.338,0.416,0.484,0.527,0.59,0.642,0.7,0.741,0.769,0.796,0.83,0.863,0.9,0.931,0.958,0.99,1.023,1.053,1.094,1.123,1.152,1.173,1.203,1.227,1.257,1.278,1.297,1.319,1.339,1.363,1.385,1.405,1.432,1.457,1.484,1.502,1.527,1.547,1.576,1.602,1.624,1.652,1.681,1.701,1.715,1.732,1.755,1.777,1.801,1.822,1.843,1.866,1.886,1.909,1.932,1.956,1.98,2.004,2.033,2.052,2.073,2.098,2.122,2.149,2.172,2.199,2.222,2.257,2.285,2.315,2.342,2.366,2.397,2.424,2.451,2.484,2.526,2.565,2.605,2.651,2.682,2.727,2.771,2.822,2.873,2.932,2.987,3.063,3.124,3.19,3.29,3.383,3.531,3.781,4.762
Nielsen,OTH FP,-2.122,-1.641,-1.548,-1.455,-1.362,-1.286,-1.231,-1.195,-1.152,-1.106,-1.077,-1.042,-1.017,-0.986,-0.959,-0.938,-0.912,-0.892,-0.866,-0.851,-0.826,-0.808,-0.792,-0.77,-0.753,-0.737,-0.719,-0.703,-0.686,-0.669,-0.653,-0.637,-0.621,-0.608,-0.593,-0.579,-0.569,-0.555,-0.541,-0.531,-0.514,-0.501,-0.491,-0.478,-0.463,-0.45,-0.437,-0.426,-0.418,-0.407,-0.395,-0.383,-0.373,-0.357,-0.348,-0.335,-0.325,-0.314,-0.296,-0.288,-0.278,-0.268,-0.261,-0.247,-0.234,-0.219,-0.207,-0.195,-0.178,-0.168,-0.158,-0.145,-0.128,-0.115,-0.099,-0.084,-0.07,-0.06,-0.047,-0.03,-0.012,0.007,0.026,0.042,0.057,0.075,0.095,0.117,0.14,0.173,0.195,0.221,0.25,0.281,0.315,0.36,0.418,0.48,0.577,0.717,1.113
Morgan Phone,OTH FP,-2.279,-1.88,-1.683,-1.555,-1.46,-1.389,-1.327,-1.272,-1.233,-1.188,-1.148,-1.115,-1.081,-1.045,-1.01,-0.98,-0.96,-0.939,-0.911,-0.879,-0.857,-0.834,-0.808,-0.791,-0.776,-0.759,-0.737,-0.721,-0.702,-0.684,-0.668,-0.65,-0.634,-0.62,-0.603,-0.587,-0.574,-0.56,-0.544,-0.533,-0.518,-0.504,-0.489,-0.476,-0.466,-0.454,-0.441,-0.427,-0.413,-0.401,-0.387,-0.374,-0.363,-0.351,-0.337,-0.327,-0.315,-0.3,-0.287,-0.278,-0.264,-0.251,-0.237,-0.222,-0.209,-0.195,-0.182,-0.171,-0.158,-0.143,-0.13,-0.116,-0.104,-0.09,-0.075,-0.054,-0.039,-0.023,-0.009,0.012,0.028,0.055,0.072,0.091,0.107,0.13,0.16,0.187,0.218,0.24,0.28,0.314,0.343,0.383,0.423,0.468,0.532,0.613,0.727,0.866,1.245
Galaxy,OTH FP,-2.487,-1.826,-1.604,-1.443,-1.365,-1.276,-1.208,-1.137,-1.094,-1.056,-1.023,-0.974,-0.937,-0.904,-0.88,-0.853,-0.827,-0.8,-0.766,-0.742,-0.713,-0.69,-0.667,-0.652,-0.629,-0.611,-0.59,-0.57,-0.55,-0.535,-0.516,-0.499,-0.481,-0.467,-0.452,-0.433,-0.416,-0.399,-0.383,-0.365,-0.35,-0.334,-0.318,-0.307,-0.291,-0.28,-0.265,-0.252,-0.237,-0.223,-0.21,-0.193,-0.175,-0.168,-0.154,-0.143,-0.128,-0.117,-0.103,-0.087,-0.068,-0.055,-0.038,-0.018,0.003,0.02,0.038,0.054,0.073,0.089,0.105,0.123,0.138,0.159,0.178,0.199,0.221,0.238,0.258,0.277,0.302,0.321,0.356,0.379,0.4,0.428,0.461,0.488,0.521,0.562,0.601,0.651,0.69,0.74,0.793,0.872,0.939,1.032,1.226,1.376,2.155
McNair,OTH FP,-5.443,-3.68,-3.094,-2.833,-2.613,-2.44,-2.317,-2.202,-2.083,-1.992,-1.896,-1.798,-1.71,-1.656,-1.588,-1.538,-1.488,-1.435,-1.39,-1.343,-1.292,-1.254,-1.203,-1.16,-1.126,-1.096,-1.059,-1.02,-0.984,-0.947,-0.914,-0.887,-0.862,-0.839,-0.818,-0.787,-0.757,-0.73,-0.699,-0.675,-0.654,-0.63,-0.601,-0.574,-0.55,-0.527,-0.507,-0.481,-0.461,-0.443,-0.413,-0.391,-0.373,-0.355,-0.335,-0.316,-0.3,-0.28,-0.262,-0.245,-0.225,-0.21,-0.191,-0.17,-0.151,-0.133,-0.11,-0.094,-0.068,-0.044,-0.023,0.002,0.026,0.047,0.074,0.099,0.132,0.164,0.195,0.226,0.256,0.286,0.322,0.355,0.386,0.422,0.454,0.496,0.535,0.599,0.654,0.707,0.785,0.84,0.911,1.041,1.193,1.379,1.541,1.968,3.259
Old house effects
F2F Morgan,OTH FP,-2.617,-2.261,-2.066,-1.943,-1.853,-1.793,-1.736,-1.683,-1.634,-1.592,-1.56,-1.522,-1.473,-1.439,-1.404,-1.374,-1.338,-1.307,-1.268,-1.236,-1.213,-1.184,-1.16,-1.133,-1.105,-1.08,-1.06,-1.033,-1.013,-0.99,-0.972,-0.95,-0.929,-0.906,-0.888,-0.869,-0.849,-0.83,-0.809,-0.79,-0.768,-0.754,-0.736,-0.717,-0.701,-0.69,-0.672,-0.653,-0.637,-0.62,-0.609,-0.596,-0.583,-0.568,-0.555,-0.541,-0.525,-0.508,-0.492,-0.477,-0.46,-0.444,-0.426,-0.408,-0.394,-0.38,-0.362,-0.349,-0.334,-0.319,-0.307,-0.295,-0.28,-0.269,-0.254,-0.238,-0.222,-0.208,-0.192,-0.174,-0.158,-0.144,-0.126,-0.109,-0.092,-0.066,-0.047,-0.022,-0.002,0.024,0.045,0.069,0.101,0.154,0.197,0.258,0.334,0.416,0.552,0.719,1.466
