House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,@TPP,0.393,0.779,0.928,0.996,1.067,1.123,1.165,1.208,1.247,1.28,1.305,1.332,1.357,1.382,1.402,1.428,1.451,1.471,1.493,1.513,1.533,1.554,1.571,1.588,1.605,1.62,1.636,1.652,1.664,1.676,1.689,1.705,1.718,1.732,1.747,1.761,1.773,1.786,1.799,1.812,1.825,1.842,1.856,1.869,1.882,1.896,1.908,1.92,1.933,1.946,1.959,1.974,1.985,1.995,2.006,2.02,2.035,2.047,2.059,2.07,2.082,2.092,2.104,2.119,2.132,2.145,2.161,2.173,2.191,2.208,2.22,2.237,2.25,2.265,2.282,2.302,2.319,2.335,2.354,2.372,2.39,2.409,2.427,2.448,2.468,2.485,2.505,2.524,2.545,2.569,2.6,2.63,2.66,2.695,2.745,2.796,2.845,2.901,2.993,3.119,3.616
Newspoll,@TPP,-1.732,-1.34,-1.218,-1.13,-1.068,-1.028,-0.982,-0.944,-0.904,-0.872,-0.848,-0.826,-0.802,-0.779,-0.757,-0.739,-0.721,-0.7,-0.685,-0.667,-0.649,-0.632,-0.616,-0.6,-0.586,-0.572,-0.559,-0.544,-0.531,-0.519,-0.504,-0.492,-0.48,-0.468,-0.456,-0.445,-0.432,-0.42,-0.408,-0.398,-0.385,-0.373,-0.361,-0.35,-0.339,-0.326,-0.316,-0.305,-0.293,-0.28,-0.268,-0.255,-0.241,-0.231,-0.22,-0.208,-0.2,-0.19,-0.178,-0.169,-0.155,-0.141,-0.131,-0.119,-0.106,-0.095,-0.084,-0.07,-0.058,-0.045,-0.034,-0.023,-0.012,0.001,0.013,0.025,0.039,0.052,0.065,0.08,0.095,0.111,0.123,0.139,0.155,0.171,0.186,0.202,0.216,0.234,0.253,0.276,0.299,0.327,0.359,0.395,0.452,0.502,0.585,0.733,1.081
Nielsen,@TPP,-1.308,-0.892,-0.766,-0.666,-0.594,-0.543,-0.508,-0.469,-0.436,-0.409,-0.384,-0.359,-0.336,-0.314,-0.291,-0.273,-0.253,-0.232,-0.217,-0.202,-0.189,-0.172,-0.155,-0.141,-0.127,-0.115,-0.101,-0.087,-0.077,-0.068,-0.056,-0.045,-0.034,-0.022,-0.01,0.001,0.011,0.021,0.031,0.039,0.05,0.061,0.07,0.08,0.089,0.097,0.108,0.119,0.129,0.137,0.147,0.156,0.165,0.174,0.183,0.193,0.203,0.213,0.222,0.232,0.242,0.253,0.263,0.274,0.283,0.294,0.304,0.314,0.327,0.337,0.35,0.361,0.376,0.391,0.403,0.416,0.427,0.443,0.457,0.474,0.492,0.507,0.522,0.537,0.554,0.572,0.59,0.61,0.634,0.657,0.683,0.706,0.734,0.763,0.793,0.837,0.883,0.944,1.012,1.136,1.435
Galaxy,@TPP,-3.195,-2.38,-2.134,-1.988,-1.876,-1.755,-1.675,-1.61,-1.555,-1.508,-1.455,-1.412,-1.371,-1.333,-1.299,-1.261,-1.223,-1.187,-1.152,-1.116,-1.085,-1.048,-1.021,-0.995,-0.968,-0.945,-0.923,-0.899,-0.878,-0.857,-0.833,-0.809,-0.786,-0.764,-0.743,-0.721,-0.699,-0.68,-0.662,-0.644,-0.621,-0.601,-0.582,-0.563,-0.545,-0.527,-0.51,-0.487,-0.471,-0.453,-0.436,-0.419,-0.394,-0.374,-0.357,-0.338,-0.321,-0.299,-0.281,-0.265,-0.246,-0.231,-0.215,-0.201,-0.181,-0.165,-0.146,-0.125,-0.105,-0.083,-0.063,-0.043,-0.026,-0.01,0.008,0.031,0.05,0.074,0.094,0.111,0.127,0.145,0.168,0.189,0.211,0.233,0.257,0.279,0.306,0.333,0.363,0.397,0.434,0.488,0.536,0.586,0.657,0.738,0.861,1.042,1.559
Morgan Phone,@TPP,-0.972,-0.637,-0.535,-0.471,-0.43,-0.383,-0.349,-0.321,-0.3,-0.273,-0.253,-0.23,-0.212,-0.192,-0.174,-0.155,-0.138,-0.121,-0.107,-0.09,-0.075,-0.064,-0.051,-0.039,-0.029,-0.019,-0.008,0.002,0.012,0.021,0.032,0.042,0.05,0.059,0.067,0.076,0.083,0.092,0.101,0.108,0.115,0.124,0.133,0.141,0.148,0.155,0.163,0.17,0.178,0.186,0.194,0.203,0.211,0.218,0.227,0.234,0.243,0.252,0.262,0.272,0.282,0.291,0.299,0.308,0.316,0.326,0.336,0.347,0.355,0.364,0.376,0.387,0.398,0.411,0.423,0.432,0.444,0.456,0.469,0.479,0.493,0.508,0.522,0.538,0.553,0.57,0.587,0.606,0.627,0.646,0.664,0.684,0.713,0.742,0.777,0.818,0.868,0.925,0.991,1.11,1.413
Approvals,@TPP,-4.185,-3.571,-3.352,-3.217,-3.135,-3.067,-3.009,-2.946,-2.891,-2.84,-2.794,-2.758,-2.721,-2.685,-2.651,-2.614,-2.581,-2.558,-2.528,-2.502,-2.472,-2.446,-2.416,-2.39,-2.366,-2.34,-2.32,-2.3,-2.273,-2.248,-2.226,-2.203,-2.182,-2.16,-2.141,-2.115,-2.095,-2.07,-2.05,-2.029,-2.007,-1.984,-1.964,-1.947,-1.924,-1.905,-1.887,-1.868,-1.847,-1.83,-1.808,-1.788,-1.761,-1.743,-1.727,-1.709,-1.692,-1.674,-1.654,-1.633,-1.612,-1.594,-1.574,-1.553,-1.533,-1.515,-1.498,-1.481,-1.463,-1.445,-1.425,-1.404,-1.383,-1.36,-1.339,-1.318,-1.292,-1.271,-1.242,-1.215,-1.188,-1.159,-1.132,-1.102,-1.074,-1.044,-1.016,-0.983,-0.944,-0.904,-0.866,-0.825,-0.778,-0.726,-0.677,-0.625,-0.548,-0.464,-0.29,-0.141,0.242
Old house effects
F2F Morgan,@TPP,0.306,0.692,0.804,0.898,0.959,1.013,1.048,1.084,1.117,1.145,1.172,1.196,1.222,1.245,1.263,1.281,1.298,1.318,1.332,1.353,1.366,1.377,1.394,1.407,1.424,1.438,1.451,1.463,1.475,1.488,1.502,1.512,1.523,1.539,1.552,1.566,1.577,1.592,1.606,1.617,1.628,1.64,1.65,1.661,1.672,1.684,1.695,1.705,1.717,1.73,1.74,1.751,1.763,1.774,1.785,1.797,1.808,1.819,1.833,1.844,1.856,1.867,1.877,1.888,1.898,1.911,1.921,1.935,1.949,1.961,1.971,1.984,1.995,2.009,2.023,2.037,2.053,2.071,2.088,2.106,2.121,2.138,2.157,2.173,2.192,2.216,2.235,2.257,2.278,2.306,2.329,2.357,2.385,2.419,2.462,2.511,2.557,2.637,2.74,2.894,3.341
