House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,@TPP,-1.83,-1.43,-1.235,-1.146,-1.052,-1.001,-0.962,-0.927,-0.877,-0.847,-0.812,-0.781,-0.752,-0.721,-0.697,-0.672,-0.65,-0.63,-0.612,-0.59,-0.572,-0.552,-0.53,-0.506,-0.493,-0.475,-0.461,-0.443,-0.43,-0.418,-0.403,-0.39,-0.377,-0.361,-0.346,-0.328,-0.313,-0.298,-0.283,-0.269,-0.258,-0.245,-0.234,-0.223,-0.213,-0.202,-0.192,-0.18,-0.169,-0.157,-0.145,-0.127,-0.115,-0.104,-0.093,-0.081,-0.072,-0.059,-0.047,-0.034,-0.022,-0.009,0.005,0.015,0.026,0.041,0.052,0.068,0.082,0.098,0.118,0.135,0.153,0.176,0.193,0.208,0.226,0.241,0.262,0.289,0.306,0.323,0.344,0.364,0.387,0.41,0.43,0.462,0.487,0.521,0.557,0.607,0.648,0.685,0.743,0.808,0.878,0.966,1.102,1.298,1.853
F2F Morgan,@TPP,-0.268,0.312,0.617,0.815,0.984,1.125,1.212,1.279,1.356,1.442,1.518,1.571,1.616,1.663,1.713,1.749,1.798,1.832,1.884,1.918,1.943,1.971,2.003,2.032,2.075,2.105,2.133,2.165,2.19,2.219,2.248,2.274,2.31,2.339,2.365,2.389,2.411,2.434,2.452,2.484,2.507,2.531,2.558,2.585,2.61,2.645,2.663,2.697,2.722,2.75,2.771,2.793,2.818,2.84,2.869,2.887,2.908,2.939,2.958,2.985,3.01,3.032,3.057,3.076,3.099,3.115,3.141,3.166,3.188,3.213,3.242,3.261,3.29,3.32,3.351,3.38,3.414,3.449,3.494,3.536,3.572,3.607,3.64,3.681,3.722,3.763,3.801,3.856,3.904,3.943,3.991,4.061,4.125,4.194,4.294,4.407,4.508,4.62,4.801,5.102,5.765
Taverner,@TPP,-4.833,-3.74,-3.323,-3.108,-2.864,-2.712,-2.544,-2.43,-2.326,-2.246,-2.131,-2.069,-1.971,-1.888,-1.832,-1.778,-1.724,-1.667,-1.613,-1.574,-1.52,-1.475,-1.431,-1.396,-1.353,-1.306,-1.259,-1.218,-1.174,-1.131,-1.094,-1.054,-1.021,-0.987,-0.957,-0.92,-0.893,-0.868,-0.838,-0.807,-0.775,-0.756,-0.733,-0.698,-0.67,-0.64,-0.612,-0.59,-0.561,-0.545,-0.518,-0.499,-0.466,-0.441,-0.412,-0.389,-0.367,-0.348,-0.325,-0.3,-0.278,-0.25,-0.228,-0.208,-0.186,-0.159,-0.128,-0.109,-0.087,-0.062,-0.043,-0.024,0.001,0.025,0.06,0.087,0.115,0.147,0.181,0.204,0.232,0.266,0.294,0.319,0.351,0.397,0.43,0.463,0.506,0.551,0.613,0.664,0.715,0.778,0.842,0.986,1.11,1.245,1.524,1.894,2.907
Nielsen,@TPP,-2.332,-1.871,-1.694,-1.584,-1.5,-1.454,-1.387,-1.34,-1.31,-1.271,-1.236,-1.197,-1.163,-1.134,-1.113,-1.082,-1.054,-1.029,-1.002,-0.976,-0.954,-0.933,-0.917,-0.899,-0.876,-0.86,-0.84,-0.821,-0.802,-0.785,-0.769,-0.755,-0.738,-0.725,-0.707,-0.694,-0.679,-0.665,-0.65,-0.633,-0.617,-0.605,-0.585,-0.574,-0.561,-0.547,-0.535,-0.52,-0.506,-0.49,-0.477,-0.458,-0.445,-0.431,-0.413,-0.398,-0.385,-0.368,-0.356,-0.343,-0.328,-0.313,-0.3,-0.286,-0.276,-0.261,-0.246,-0.237,-0.225,-0.211,-0.196,-0.184,-0.165,-0.152,-0.136,-0.123,-0.106,-0.093,-0.081,-0.068,-0.049,-0.029,-0.01,0.003,0.02,0.041,0.055,0.078,0.102,0.125,0.15,0.169,0.207,0.244,0.281,0.326,0.412,0.491,0.592,0.723,1.144
Galaxy,@TPP,-5.252,-3.961,-3.6,-3.356,-3.191,-3.047,-2.926,-2.819,-2.724,-2.651,-2.537,-2.46,-2.388,-2.33,-2.255,-2.198,-2.141,-2.073,-2.018,-1.973,-1.918,-1.876,-1.834,-1.801,-1.755,-1.713,-1.666,-1.618,-1.591,-1.546,-1.505,-1.465,-1.43,-1.4,-1.375,-1.335,-1.304,-1.28,-1.246,-1.213,-1.166,-1.137,-1.111,-1.082,-1.049,-1.02,-0.986,-0.959,-0.926,-0.896,-0.856,-0.828,-0.798,-0.772,-0.742,-0.718,-0.694,-0.678,-0.651,-0.625,-0.607,-0.583,-0.557,-0.529,-0.509,-0.482,-0.445,-0.418,-0.39,-0.355,-0.333,-0.312,-0.284,-0.263,-0.244,-0.218,-0.192,-0.168,-0.143,-0.116,-0.096,-0.069,-0.047,-0.015,0.01,0.035,0.078,0.113,0.153,0.199,0.241,0.312,0.361,0.416,0.483,0.578,0.654,0.77,0.997,1.263,2.201
Approvals,@TPP,-5.4,-3.442,-3.018,-2.791,-2.544,-2.336,-2.209,-2.099,-1.982,-1.899,-1.827,-1.751,-1.684,-1.622,-1.537,-1.497,-1.438,-1.394,-1.344,-1.3,-1.26,-1.219,-1.174,-1.139,-1.097,-1.054,-1.016,-0.979,-0.937,-0.894,-0.86,-0.832,-0.796,-0.768,-0.743,-0.714,-0.682,-0.651,-0.623,-0.598,-0.575,-0.551,-0.525,-0.5,-0.48,-0.458,-0.435,-0.408,-0.385,-0.359,-0.338,-0.318,-0.297,-0.272,-0.252,-0.235,-0.212,-0.184,-0.166,-0.146,-0.131,-0.112,-0.095,-0.074,-0.051,-0.034,-0.015,-0.002,0.012,0.033,0.056,0.08,0.107,0.134,0.156,0.17,0.195,0.229,0.265,0.291,0.325,0.347,0.377,0.41,0.447,0.485,0.529,0.559,0.6,0.626,0.69,0.734,0.81,0.9,0.983,1.06,1.172,1.333,1.511,1.795,2.93
Old house effects
Newspoll,@TPP,-2.652,-2.141,-2.026,-1.916,-1.82,-1.742,-1.676,-1.643,-1.599,-1.551,-1.52,-1.492,-1.471,-1.437,-1.408,-1.381,-1.359,-1.333,-1.313,-1.295,-1.272,-1.255,-1.24,-1.223,-1.206,-1.189,-1.173,-1.148,-1.136,-1.12,-1.104,-1.09,-1.073,-1.057,-1.042,-1.026,-1.01,-0.997,-0.982,-0.969,-0.957,-0.943,-0.932,-0.916,-0.903,-0.887,-0.873,-0.859,-0.845,-0.832,-0.818,-0.807,-0.793,-0.78,-0.774,-0.758,-0.744,-0.734,-0.725,-0.711,-0.698,-0.684,-0.667,-0.656,-0.641,-0.627,-0.61,-0.597,-0.583,-0.566,-0.545,-0.531,-0.514,-0.494,-0.479,-0.464,-0.446,-0.431,-0.417,-0.402,-0.388,-0.368,-0.348,-0.332,-0.312,-0.295,-0.273,-0.253,-0.223,-0.201,-0.178,-0.15,-0.127,-0.098,-0.063,-0.027,0.006,0.064,0.151,0.256,0.603
