House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,LIB FP,-4.513,-3.449,-3.065,-2.86,-2.634,-2.505,-2.335,-2.258,-2.186,-2.102,-2.037,-1.974,-1.918,-1.861,-1.82,-1.767,-1.713,-1.671,-1.631,-1.587,-1.548,-1.512,-1.468,-1.438,-1.386,-1.357,-1.318,-1.279,-1.252,-1.226,-1.198,-1.161,-1.127,-1.098,-1.066,-1.039,-1.01,-0.981,-0.955,-0.931,-0.905,-0.881,-0.858,-0.835,-0.811,-0.787,-0.76,-0.734,-0.711,-0.679,-0.655,-0.632,-0.613,-0.595,-0.566,-0.538,-0.512,-0.49,-0.465,-0.448,-0.425,-0.396,-0.381,-0.362,-0.345,-0.323,-0.304,-0.284,-0.263,-0.24,-0.219,-0.194,-0.172,-0.147,-0.118,-0.087,-0.053,-0.024,-0.001,0.034,0.065,0.099,0.141,0.18,0.225,0.274,0.327,0.37,0.414,0.46,0.517,0.594,0.667,0.749,0.838,0.924,1.035,1.225,1.456,1.865,3.544
Westpoll,LIB FP,-2.366,-1.503,-1.267,-1.146,-1.062,-0.952,-0.893,-0.825,-0.77,-0.71,-0.663,-0.625,-0.59,-0.542,-0.511,-0.469,-0.442,-0.409,-0.382,-0.355,-0.334,-0.313,-0.287,-0.264,-0.241,-0.215,-0.191,-0.17,-0.149,-0.118,-0.092,-0.065,-0.047,-0.03,-0.011,0.014,0.037,0.054,0.074,0.097,0.121,0.146,0.168,0.189,0.208,0.234,0.26,0.28,0.303,0.329,0.356,0.386,0.411,0.438,0.46,0.483,0.507,0.534,0.56,0.586,0.61,0.63,0.658,0.686,0.724,0.757,0.776,0.812,0.838,0.873,0.9,0.923,0.949,0.976,1.009,1.044,1.076,1.119,1.149,1.191,1.225,1.274,1.305,1.345,1.379,1.416,1.47,1.521,1.575,1.641,1.697,1.769,1.852,1.946,2.011,2.111,2.21,2.389,2.645,3.12,4.135
Newspoll,LIB FP,-3.254,-2.559,-2.249,-2.032,-1.883,-1.781,-1.713,-1.647,-1.592,-1.55,-1.509,-1.445,-1.402,-1.376,-1.342,-1.313,-1.27,-1.243,-1.208,-1.177,-1.152,-1.124,-1.104,-1.076,-1.054,-1.028,-1.001,-0.986,-0.969,-0.944,-0.928,-0.903,-0.886,-0.866,-0.849,-0.829,-0.811,-0.795,-0.776,-0.758,-0.74,-0.72,-0.704,-0.688,-0.675,-0.662,-0.645,-0.625,-0.61,-0.591,-0.578,-0.562,-0.544,-0.527,-0.514,-0.5,-0.482,-0.467,-0.45,-0.44,-0.428,-0.415,-0.401,-0.386,-0.367,-0.352,-0.335,-0.324,-0.308,-0.286,-0.269,-0.246,-0.229,-0.209,-0.187,-0.171,-0.154,-0.133,-0.113,-0.091,-0.068,-0.041,-0.02,0.004,0.033,0.059,0.093,0.126,0.154,0.19,0.228,0.266,0.307,0.349,0.412,0.478,0.552,0.656,0.799,0.98,1.563
Galaxy,LIB FP,-3.32,-2.216,-1.807,-1.615,-1.464,-1.372,-1.293,-1.218,-1.13,-1.073,-1.009,-0.971,-0.922,-0.878,-0.834,-0.789,-0.753,-0.725,-0.687,-0.659,-0.623,-0.597,-0.571,-0.541,-0.517,-0.497,-0.47,-0.447,-0.429,-0.416,-0.394,-0.376,-0.355,-0.332,-0.306,-0.281,-0.263,-0.245,-0.223,-0.203,-0.185,-0.167,-0.151,-0.13,-0.111,-0.086,-0.06,-0.04,-0.022,0.001,0.032,0.059,0.077,0.098,0.121,0.141,0.166,0.195,0.221,0.247,0.266,0.293,0.324,0.362,0.392,0.414,0.44,0.47,0.502,0.535,0.568,0.609,0.64,0.672,0.712,0.743,0.776,0.806,0.838,0.887,0.925,0.963,1.002,1.046,1.085,1.134,1.204,1.259,1.307,1.377,1.441,1.531,1.615,1.735,1.858,1.972,2.109,2.281,2.558,3.093,4.381
Approvals,LIB FP,-3.677,-2.571,-2.142,-1.857,-1.707,-1.581,-1.455,-1.374,-1.314,-1.261,-1.21,-1.142,-1.078,-1.029,-0.977,-0.93,-0.883,-0.853,-0.818,-0.774,-0.74,-0.711,-0.674,-0.646,-0.617,-0.594,-0.574,-0.551,-0.525,-0.497,-0.476,-0.456,-0.434,-0.408,-0.386,-0.36,-0.341,-0.323,-0.306,-0.283,-0.266,-0.25,-0.23,-0.21,-0.187,-0.166,-0.145,-0.123,-0.099,-0.08,-0.055,-0.032,-0.016,-0.001,0.021,0.047,0.073,0.098,0.12,0.152,0.175,0.206,0.235,0.255,0.278,0.314,0.35,0.392,0.419,0.448,0.487,0.52,0.567,0.604,0.636,0.68,0.711,0.743,0.781,0.81,0.846,0.895,0.949,1.017,1.062,1.117,1.176,1.233,1.307,1.375,1.453,1.539,1.602,1.708,1.832,1.951,2.175,2.329,2.612,3.088,4.802
Old house effects
F2F Morgan,LIB FP,-5.235,-4.522,-4.274,-4.149,-4.057,-3.958,-3.901,-3.85,-3.817,-3.77,-3.725,-3.691,-3.664,-3.623,-3.582,-3.545,-3.515,-3.48,-3.445,-3.415,-3.385,-3.363,-3.339,-3.315,-3.292,-3.265,-3.242,-3.224,-3.204,-3.185,-3.163,-3.137,-3.119,-3.093,-3.071,-3.054,-3.035,-3.014,-2.998,-2.976,-2.959,-2.936,-2.921,-2.89,-2.869,-2.857,-2.84,-2.82,-2.801,-2.782,-2.767,-2.75,-2.732,-2.713,-2.692,-2.674,-2.656,-2.634,-2.615,-2.596,-2.576,-2.559,-2.536,-2.514,-2.492,-2.471,-2.457,-2.437,-2.423,-2.405,-2.387,-2.369,-2.349,-2.335,-2.312,-2.289,-2.26,-2.235,-2.216,-2.193,-2.163,-2.14,-2.113,-2.089,-2.064,-2.033,-1.994,-1.968,-1.94,-1.9,-1.859,-1.827,-1.8,-1.75,-1.694,-1.634,-1.554,-1.492,-1.362,-1.198,-0.608
Westpoll,LIB FP,-0.979,-0.462,-0.299,-0.197,-0.115,-0.038,0.027,0.088,0.132,0.168,0.206,0.247,0.278,0.311,0.342,0.375,0.4,0.431,0.456,0.479,0.502,0.53,0.55,0.58,0.605,0.621,0.644,0.665,0.684,0.699,0.718,0.738,0.758,0.776,0.795,0.81,0.833,0.851,0.869,0.889,0.908,0.928,0.944,0.965,0.985,1.002,1.02,1.046,1.062,1.083,1.107,1.124,1.139,1.158,1.181,1.201,1.219,1.247,1.268,1.286,1.31,1.326,1.344,1.361,1.378,1.4,1.417,1.436,1.457,1.479,1.503,1.534,1.557,1.576,1.599,1.622,1.64,1.662,1.701,1.721,1.74,1.773,1.803,1.837,1.875,1.907,1.952,1.988,2.021,2.062,2.122,2.162,2.211,2.266,2.332,2.405,2.474,2.589,2.697,2.876,3.281
