House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
F2F Morgan,LNP FP,-3.395,-2.962,-2.839,-2.738,-2.675,-2.614,-2.568,-2.535,-2.497,-2.472,-2.446,-2.413,-2.391,-2.362,-2.339,-2.308,-2.286,-2.265,-2.245,-2.226,-2.206,-2.19,-2.172,-2.158,-2.143,-2.126,-2.109,-2.095,-2.078,-2.063,-2.05,-2.037,-2.025,-2.01,-1.998,-1.986,-1.973,-1.961,-1.947,-1.934,-1.924,-1.911,-1.896,-1.881,-1.873,-1.859,-1.846,-1.832,-1.822,-1.809,-1.796,-1.786,-1.772,-1.76,-1.747,-1.733,-1.719,-1.704,-1.691,-1.679,-1.665,-1.653,-1.641,-1.628,-1.612,-1.599,-1.587,-1.575,-1.565,-1.551,-1.538,-1.523,-1.512,-1.497,-1.481,-1.469,-1.454,-1.435,-1.422,-1.409,-1.394,-1.381,-1.362,-1.345,-1.324,-1.3,-1.283,-1.267,-1.247,-1.225,-1.198,-1.173,-1.144,-1.107,-1.074,-1.026,-0.981,-0.935,-0.856,-0.746,-0.391
Morgan Phone,LNP FP,-0.933,-0.516,-0.384,-0.321,-0.257,-0.21,-0.167,-0.134,-0.113,-0.092,-0.068,-0.04,-0.011,0.011,0.034,0.062,0.083,0.098,0.122,0.144,0.166,0.181,0.2,0.219,0.232,0.246,0.268,0.286,0.304,0.319,0.34,0.353,0.367,0.38,0.397,0.411,0.424,0.44,0.453,0.467,0.482,0.496,0.508,0.526,0.539,0.554,0.566,0.576,0.588,0.603,0.618,0.628,0.642,0.656,0.674,0.687,0.7,0.714,0.728,0.74,0.755,0.771,0.785,0.801,0.824,0.84,0.854,0.868,0.884,0.901,0.922,0.938,0.955,0.973,0.988,1.005,1.023,1.041,1.06,1.078,1.097,1.119,1.132,1.15,1.173,1.195,1.23,1.257,1.289,1.311,1.351,1.388,1.424,1.468,1.522,1.604,1.687,1.766,1.87,2.046,2.389
Newspoll,LNP FP,-1.986,-1.543,-1.414,-1.337,-1.265,-1.192,-1.153,-1.117,-1.066,-1.035,-0.997,-0.967,-0.944,-0.921,-0.898,-0.873,-0.854,-0.829,-0.81,-0.79,-0.768,-0.75,-0.734,-0.714,-0.699,-0.684,-0.668,-0.653,-0.639,-0.62,-0.602,-0.588,-0.572,-0.558,-0.545,-0.534,-0.52,-0.509,-0.498,-0.486,-0.473,-0.462,-0.45,-0.439,-0.431,-0.419,-0.408,-0.395,-0.384,-0.372,-0.362,-0.35,-0.34,-0.327,-0.317,-0.308,-0.299,-0.29,-0.281,-0.269,-0.257,-0.247,-0.234,-0.228,-0.214,-0.204,-0.193,-0.179,-0.168,-0.159,-0.149,-0.138,-0.128,-0.118,-0.109,-0.095,-0.082,-0.071,-0.056,-0.046,-0.035,-0.022,-0.003,0.012,0.023,0.039,0.061,0.078,0.097,0.118,0.14,0.168,0.199,0.231,0.273,0.316,0.358,0.427,0.524,0.626,1.093
Nielsen,LNP FP,-0.884,-0.598,-0.492,-0.416,-0.358,-0.328,-0.31,-0.28,-0.252,-0.231,-0.216,-0.203,-0.179,-0.162,-0.147,-0.133,-0.117,-0.108,-0.094,-0.08,-0.069,-0.057,-0.049,-0.04,-0.027,-0.014,-0.002,0.009,0.022,0.03,0.037,0.046,0.055,0.068,0.078,0.089,0.099,0.111,0.122,0.13,0.143,0.153,0.164,0.174,0.183,0.192,0.201,0.211,0.222,0.231,0.242,0.25,0.258,0.267,0.28,0.29,0.301,0.31,0.321,0.33,0.338,0.349,0.356,0.368,0.377,0.388,0.398,0.409,0.42,0.429,0.444,0.458,0.47,0.482,0.493,0.504,0.514,0.524,0.536,0.547,0.562,0.577,0.59,0.605,0.62,0.637,0.651,0.676,0.697,0.721,0.74,0.763,0.791,0.827,0.859,0.895,0.947,0.994,1.064,1.151,1.503
Essential,LNP FP,-2.661,-2.349,-2.229,-2.147,-2.069,-2.017,-1.964,-1.924,-1.885,-1.854,-1.82,-1.785,-1.763,-1.74,-1.716,-1.686,-1.664,-1.64,-1.617,-1.6,-1.575,-1.551,-1.533,-1.517,-1.499,-1.483,-1.465,-1.446,-1.429,-1.414,-1.393,-1.377,-1.355,-1.338,-1.324,-1.312,-1.299,-1.282,-1.268,-1.254,-1.24,-1.225,-1.208,-1.191,-1.178,-1.162,-1.15,-1.133,-1.118,-1.105,-1.092,-1.08,-1.063,-1.052,-1.037,-1.019,-1.001,-0.987,-0.972,-0.953,-0.936,-0.921,-0.91,-0.898,-0.88,-0.861,-0.841,-0.825,-0.807,-0.794,-0.777,-0.761,-0.746,-0.728,-0.711,-0.697,-0.677,-0.66,-0.642,-0.626,-0.604,-0.587,-0.559,-0.535,-0.514,-0.494,-0.467,-0.442,-0.418,-0.387,-0.356,-0.331,-0.305,-0.273,-0.233,-0.193,-0.136,-0.085,0.01,0.134,0.514
Galaxy,LNP FP,-2.115,-1.385,-1.14,-1.038,-0.936,-0.875,-0.808,-0.759,-0.713,-0.672,-0.639,-0.602,-0.577,-0.552,-0.527,-0.491,-0.465,-0.447,-0.425,-0.405,-0.379,-0.359,-0.338,-0.323,-0.304,-0.287,-0.272,-0.257,-0.243,-0.229,-0.214,-0.199,-0.184,-0.167,-0.154,-0.143,-0.13,-0.119,-0.103,-0.086,-0.072,-0.058,-0.044,-0.03,-0.016,0.001,0.019,0.037,0.052,0.065,0.077,0.093,0.107,0.12,0.137,0.147,0.165,0.186,0.199,0.221,0.232,0.248,0.262,0.276,0.293,0.312,0.335,0.349,0.365,0.38,0.404,0.42,0.444,0.464,0.481,0.502,0.521,0.549,0.566,0.6,0.622,0.647,0.674,0.698,0.725,0.763,0.792,0.832,0.867,0.903,0.954,1.0,1.033,1.091,1.149,1.211,1.3,1.408,1.576,1.78,2.677
McCrindle,LNP FP,-4.955,-3.657,-3.185,-2.867,-2.649,-2.494,-2.358,-2.265,-2.176,-2.045,-1.97,-1.896,-1.828,-1.753,-1.701,-1.626,-1.566,-1.527,-1.481,-1.427,-1.373,-1.336,-1.295,-1.251,-1.215,-1.171,-1.132,-1.089,-1.058,-1.024,-0.984,-0.954,-0.922,-0.896,-0.868,-0.836,-0.812,-0.779,-0.753,-0.723,-0.701,-0.67,-0.637,-0.616,-0.596,-0.574,-0.555,-0.526,-0.501,-0.478,-0.452,-0.429,-0.411,-0.387,-0.367,-0.342,-0.322,-0.303,-0.279,-0.262,-0.239,-0.217,-0.2,-0.18,-0.162,-0.147,-0.13,-0.117,-0.095,-0.074,-0.054,-0.034,-0.013,0.011,0.036,0.063,0.088,0.109,0.137,0.173,0.204,0.232,0.262,0.29,0.324,0.365,0.409,0.453,0.499,0.543,0.592,0.638,0.704,0.768,0.876,1.015,1.17,1.305,1.482,1.914,3.361
Approvals,LNP FP,-2.069,-1.605,-1.375,-1.262,-1.185,-1.118,-1.058,-0.986,-0.929,-0.884,-0.841,-0.794,-0.763,-0.728,-0.694,-0.68,-0.658,-0.629,-0.612,-0.594,-0.57,-0.543,-0.524,-0.501,-0.485,-0.47,-0.451,-0.431,-0.415,-0.401,-0.38,-0.368,-0.354,-0.339,-0.325,-0.313,-0.299,-0.287,-0.271,-0.253,-0.236,-0.222,-0.209,-0.193,-0.18,-0.169,-0.157,-0.142,-0.131,-0.117,-0.102,-0.091,-0.077,-0.064,-0.05,-0.034,-0.018,-0.004,0.009,0.021,0.034,0.044,0.059,0.076,0.088,0.101,0.121,0.14,0.155,0.172,0.189,0.206,0.224,0.242,0.256,0.269,0.293,0.305,0.327,0.347,0.363,0.391,0.415,0.443,0.465,0.489,0.518,0.548,0.586,0.618,0.652,0.699,0.736,0.777,0.809,0.877,0.96,1.026,1.132,1.353,2.148
