House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,OTH FP,-1.963,-1.179,-1.012,-0.912,-0.821,-0.75,-0.701,-0.651,-0.609,-0.574,-0.532,-0.498,-0.465,-0.429,-0.402,-0.38,-0.349,-0.324,-0.295,-0.273,-0.248,-0.225,-0.193,-0.175,-0.149,-0.121,-0.106,-0.082,-0.059,-0.031,-0.009,0.02,0.042,0.061,0.08,0.1,0.117,0.138,0.162,0.18,0.201,0.223,0.242,0.263,0.28,0.305,0.327,0.351,0.37,0.394,0.412,0.434,0.449,0.469,0.492,0.513,0.533,0.555,0.579,0.601,0.626,0.649,0.674,0.703,0.719,0.746,0.765,0.791,0.82,0.843,0.868,0.889,0.919,0.947,0.973,1.002,1.035,1.066,1.099,1.13,1.161,1.191,1.228,1.264,1.291,1.324,1.366,1.396,1.434,1.472,1.516,1.574,1.623,1.682,1.757,1.811,1.931,2.026,2.193,2.48,3.265
Nielsen,OTH FP,-2.599,-1.93,-1.724,-1.61,-1.532,-1.44,-1.389,-1.337,-1.296,-1.26,-1.219,-1.187,-1.15,-1.124,-1.092,-1.067,-1.041,-1.012,-0.991,-0.972,-0.952,-0.921,-0.903,-0.883,-0.866,-0.846,-0.829,-0.807,-0.791,-0.776,-0.762,-0.741,-0.726,-0.707,-0.691,-0.68,-0.667,-0.653,-0.638,-0.625,-0.613,-0.597,-0.584,-0.575,-0.567,-0.55,-0.54,-0.528,-0.513,-0.501,-0.489,-0.478,-0.463,-0.451,-0.441,-0.43,-0.418,-0.405,-0.392,-0.381,-0.365,-0.351,-0.33,-0.321,-0.307,-0.296,-0.284,-0.267,-0.248,-0.233,-0.216,-0.198,-0.178,-0.16,-0.146,-0.122,-0.108,-0.09,-0.068,-0.048,-0.02,0.012,0.037,0.065,0.085,0.117,0.15,0.175,0.202,0.234,0.27,0.313,0.355,0.39,0.439,0.5,0.57,0.646,0.769,0.963,1.504
Taverner,OTH FP,-5.578,-3.815,-3.308,-2.919,-2.651,-2.496,-2.358,-2.253,-2.175,-2.067,-1.956,-1.87,-1.795,-1.734,-1.67,-1.606,-1.556,-1.486,-1.43,-1.384,-1.346,-1.303,-1.271,-1.223,-1.179,-1.142,-1.109,-1.07,-1.036,-1.007,-0.982,-0.955,-0.925,-0.897,-0.862,-0.835,-0.81,-0.785,-0.761,-0.732,-0.705,-0.675,-0.654,-0.625,-0.603,-0.587,-0.562,-0.543,-0.522,-0.501,-0.475,-0.453,-0.428,-0.408,-0.387,-0.359,-0.336,-0.311,-0.294,-0.269,-0.24,-0.218,-0.194,-0.169,-0.151,-0.119,-0.091,-0.062,-0.028,0.003,0.03,0.062,0.079,0.114,0.159,0.195,0.223,0.265,0.29,0.338,0.38,0.42,0.477,0.528,0.589,0.655,0.713,0.784,0.853,0.927,1.029,1.144,1.233,1.345,1.514,1.68,1.917,2.194,2.504,3.051,5.057
Galaxy,OTH FP,-1.982,-1.519,-1.34,-1.211,-1.126,-1.047,-0.997,-0.942,-0.898,-0.862,-0.825,-0.794,-0.771,-0.747,-0.718,-0.698,-0.669,-0.654,-0.63,-0.611,-0.589,-0.573,-0.558,-0.539,-0.524,-0.507,-0.495,-0.479,-0.464,-0.448,-0.432,-0.417,-0.403,-0.386,-0.374,-0.354,-0.339,-0.322,-0.31,-0.297,-0.279,-0.261,-0.245,-0.232,-0.217,-0.2,-0.187,-0.174,-0.157,-0.141,-0.128,-0.111,-0.096,-0.079,-0.059,-0.041,-0.03,-0.016,-0.002,0.017,0.034,0.048,0.062,0.077,0.093,0.111,0.135,0.157,0.177,0.19,0.207,0.23,0.251,0.274,0.296,0.324,0.348,0.379,0.405,0.423,0.449,0.481,0.508,0.536,0.563,0.596,0.626,0.649,0.684,0.734,0.773,0.826,0.886,0.927,0.985,1.051,1.157,1.246,1.374,1.606,2.257
Morgan Phone,OTH FP,-3.78,-2.988,-2.69,-2.574,-2.454,-2.326,-2.202,-2.111,-2.036,-1.959,-1.882,-1.829,-1.78,-1.727,-1.681,-1.634,-1.588,-1.548,-1.519,-1.488,-1.453,-1.429,-1.391,-1.36,-1.334,-1.299,-1.271,-1.251,-1.23,-1.2,-1.177,-1.153,-1.132,-1.106,-1.087,-1.067,-1.049,-1.026,-1.003,-0.98,-0.96,-0.934,-0.916,-0.89,-0.866,-0.851,-0.83,-0.809,-0.791,-0.77,-0.753,-0.731,-0.717,-0.699,-0.681,-0.662,-0.644,-0.632,-0.617,-0.599,-0.583,-0.569,-0.554,-0.539,-0.521,-0.507,-0.486,-0.467,-0.451,-0.435,-0.42,-0.405,-0.39,-0.366,-0.347,-0.327,-0.309,-0.287,-0.275,-0.25,-0.229,-0.208,-0.184,-0.147,-0.121,-0.095,-0.058,-0.015,0.018,0.053,0.098,0.156,0.205,0.265,0.336,0.411,0.505,0.61,0.795,1.021,1.689
Essential,OTH FP,-5.454,-4.421,-4.176,-3.99,-3.873,-3.784,-3.687,-3.63,-3.567,-3.493,-3.434,-3.376,-3.33,-3.284,-3.24,-3.196,-3.156,-3.115,-3.077,-3.046,-3.011,-2.974,-2.941,-2.896,-2.858,-2.818,-2.789,-2.757,-2.724,-2.689,-2.664,-2.641,-2.615,-2.586,-2.557,-2.536,-2.506,-2.481,-2.453,-2.414,-2.397,-2.366,-2.343,-2.319,-2.294,-2.266,-2.239,-2.221,-2.197,-2.175,-2.157,-2.136,-2.116,-2.095,-2.076,-2.055,-2.037,-2.017,-1.987,-1.966,-1.946,-1.925,-1.9,-1.878,-1.859,-1.828,-1.804,-1.779,-1.744,-1.713,-1.686,-1.658,-1.631,-1.599,-1.574,-1.549,-1.523,-1.5,-1.469,-1.439,-1.393,-1.363,-1.336,-1.305,-1.277,-1.235,-1.196,-1.162,-1.125,-1.077,-1.026,-0.991,-0.943,-0.879,-0.815,-0.762,-0.676,-0.59,-0.482,-0.302,0.23
Old house effects
Newspoll,OTH FP,-1.443,-0.977,-0.801,-0.725,-0.651,-0.594,-0.547,-0.513,-0.478,-0.441,-0.407,-0.379,-0.347,-0.321,-0.291,-0.257,-0.23,-0.213,-0.188,-0.163,-0.136,-0.115,-0.087,-0.066,-0.043,-0.021,-0.001,0.02,0.039,0.056,0.078,0.1,0.124,0.145,0.16,0.186,0.214,0.235,0.253,0.27,0.289,0.302,0.327,0.347,0.364,0.38,0.398,0.417,0.439,0.455,0.473,0.494,0.514,0.534,0.551,0.565,0.584,0.606,0.624,0.643,0.662,0.688,0.705,0.729,0.749,0.77,0.789,0.808,0.832,0.855,0.876,0.898,0.92,0.941,0.958,0.98,1.001,1.022,1.044,1.073,1.098,1.12,1.156,1.197,1.231,1.264,1.288,1.321,1.356,1.386,1.416,1.479,1.527,1.587,1.662,1.716,1.788,1.9,2.032,2.241,2.955
