House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Westpoll,ALP FP,-5.204,-3.564,-3.028,-2.821,-2.643,-2.496,-2.405,-2.247,-2.135,-2.019,-1.945,-1.851,-1.78,-1.7,-1.639,-1.583,-1.506,-1.473,-1.434,-1.37,-1.334,-1.29,-1.235,-1.2,-1.164,-1.11,-1.076,-1.044,-1.007,-0.966,-0.932,-0.888,-0.84,-0.811,-0.782,-0.751,-0.727,-0.695,-0.669,-0.63,-0.606,-0.579,-0.553,-0.527,-0.508,-0.473,-0.454,-0.433,-0.409,-0.379,-0.356,-0.323,-0.304,-0.285,-0.27,-0.251,-0.231,-0.213,-0.192,-0.167,-0.134,-0.107,-0.09,-0.067,-0.05,-0.033,-0.012,0.019,0.043,0.071,0.089,0.109,0.127,0.156,0.187,0.211,0.252,0.271,0.307,0.351,0.39,0.428,0.478,0.525,0.559,0.588,0.64,0.7,0.755,0.824,0.882,0.955,1.037,1.088,1.174,1.286,1.447,1.62,1.806,2.136,3.9
Newspoll,ALP FP,-3.522,-2.754,-2.478,-2.252,-2.108,-1.982,-1.845,-1.739,-1.651,-1.561,-1.505,-1.463,-1.408,-1.35,-1.31,-1.273,-1.234,-1.2,-1.156,-1.127,-1.096,-1.053,-1.033,-1.01,-0.984,-0.955,-0.929,-0.885,-0.86,-0.828,-0.803,-0.768,-0.75,-0.727,-0.704,-0.682,-0.656,-0.634,-0.611,-0.586,-0.57,-0.548,-0.536,-0.519,-0.502,-0.482,-0.46,-0.444,-0.426,-0.407,-0.396,-0.378,-0.355,-0.343,-0.324,-0.31,-0.291,-0.278,-0.262,-0.242,-0.225,-0.206,-0.187,-0.177,-0.158,-0.144,-0.129,-0.114,-0.1,-0.08,-0.06,-0.041,-0.02,-0.002,0.019,0.037,0.053,0.078,0.101,0.122,0.147,0.177,0.206,0.225,0.254,0.284,0.324,0.363,0.401,0.439,0.467,0.5,0.539,0.598,0.661,0.749,0.856,0.989,1.16,1.369,2.422
Morgan Phone,ALP FP,-1.019,-0.69,-0.573,-0.526,-0.487,-0.447,-0.427,-0.409,-0.384,-0.364,-0.352,-0.338,-0.327,-0.31,-0.299,-0.287,-0.272,-0.262,-0.252,-0.239,-0.226,-0.219,-0.21,-0.201,-0.19,-0.181,-0.175,-0.164,-0.158,-0.152,-0.146,-0.14,-0.135,-0.128,-0.119,-0.112,-0.106,-0.099,-0.093,-0.089,-0.083,-0.076,-0.071,-0.063,-0.055,-0.05,-0.041,-0.035,-0.029,-0.021,-0.015,-0.009,-0.003,0.002,0.007,0.013,0.022,0.029,0.034,0.04,0.046,0.055,0.063,0.071,0.082,0.088,0.096,0.106,0.119,0.127,0.142,0.152,0.161,0.17,0.179,0.187,0.197,0.207,0.22,0.231,0.244,0.252,0.269,0.281,0.291,0.306,0.325,0.339,0.354,0.37,0.39,0.418,0.448,0.47,0.504,0.527,0.578,0.639,0.722,0.81,1.242
Galaxy,ALP FP,-4.008,-2.612,-2.164,-1.89,-1.717,-1.639,-1.516,-1.406,-1.324,-1.24,-1.162,-1.093,-1.021,-0.965,-0.919,-0.872,-0.823,-0.78,-0.727,-0.689,-0.638,-0.598,-0.58,-0.544,-0.51,-0.483,-0.462,-0.429,-0.399,-0.373,-0.35,-0.326,-0.308,-0.286,-0.264,-0.248,-0.226,-0.193,-0.175,-0.154,-0.138,-0.117,-0.107,-0.09,-0.069,-0.058,-0.04,-0.016,0.002,0.024,0.048,0.066,0.095,0.112,0.133,0.154,0.174,0.191,0.213,0.237,0.259,0.28,0.298,0.329,0.35,0.38,0.411,0.437,0.467,0.499,0.524,0.558,0.584,0.615,0.645,0.683,0.723,0.754,0.795,0.841,0.884,0.927,0.965,1.031,1.089,1.154,1.21,1.288,1.355,1.441,1.5,1.584,1.697,1.795,1.91,2.072,2.193,2.36,2.594,3.006,4.112
Approvals,ALP FP,-3.508,-2.087,-1.702,-1.44,-1.274,-1.14,-1.031,-0.929,-0.84,-0.772,-0.727,-0.696,-0.629,-0.573,-0.542,-0.514,-0.469,-0.439,-0.391,-0.359,-0.324,-0.293,-0.273,-0.24,-0.217,-0.185,-0.158,-0.136,-0.105,-0.081,-0.065,-0.049,-0.024,-0.007,0.013,0.049,0.072,0.095,0.122,0.142,0.177,0.199,0.226,0.245,0.266,0.297,0.32,0.342,0.372,0.395,0.423,0.456,0.491,0.516,0.546,0.575,0.606,0.633,0.659,0.692,0.725,0.754,0.803,0.831,0.869,0.9,0.938,0.977,1.004,1.036,1.064,1.103,1.132,1.19,1.264,1.304,1.36,1.397,1.461,1.49,1.537,1.606,1.663,1.738,1.78,1.865,1.947,2.017,2.113,2.207,2.269,2.386,2.496,2.67,2.805,2.991,3.15,3.358,3.676,4.379,5.561
Old house effects
Westpoll,ALP FP,-3.919,-2.835,-2.543,-2.307,-2.16,-2.033,-1.962,-1.851,-1.767,-1.704,-1.64,-1.586,-1.528,-1.479,-1.413,-1.373,-1.299,-1.265,-1.212,-1.165,-1.121,-1.084,-1.042,-1.023,-0.991,-0.942,-0.914,-0.883,-0.853,-0.825,-0.808,-0.778,-0.753,-0.728,-0.703,-0.671,-0.648,-0.63,-0.599,-0.571,-0.556,-0.538,-0.514,-0.492,-0.469,-0.455,-0.434,-0.411,-0.389,-0.377,-0.361,-0.333,-0.313,-0.29,-0.277,-0.261,-0.242,-0.225,-0.209,-0.194,-0.178,-0.154,-0.137,-0.109,-0.086,-0.06,-0.043,-0.025,-0.002,0.02,0.039,0.06,0.082,0.102,0.127,0.146,0.167,0.2,0.227,0.245,0.272,0.305,0.336,0.356,0.391,0.416,0.45,0.483,0.519,0.578,0.637,0.679,0.729,0.805,0.872,0.931,1.06,1.192,1.31,1.68,3.006
Newspoll,ALP FP,-2.558,-1.947,-1.738,-1.635,-1.507,-1.413,-1.326,-1.256,-1.21,-1.167,-1.137,-1.091,-1.059,-1.014,-0.978,-0.932,-0.895,-0.87,-0.836,-0.816,-0.785,-0.745,-0.728,-0.703,-0.677,-0.656,-0.636,-0.609,-0.592,-0.568,-0.55,-0.531,-0.512,-0.492,-0.477,-0.459,-0.443,-0.429,-0.412,-0.397,-0.377,-0.359,-0.343,-0.334,-0.317,-0.303,-0.285,-0.269,-0.255,-0.242,-0.23,-0.217,-0.205,-0.189,-0.179,-0.166,-0.149,-0.141,-0.129,-0.119,-0.105,-0.093,-0.08,-0.068,-0.058,-0.04,-0.019,-0.001,0.021,0.039,0.057,0.071,0.089,0.102,0.123,0.139,0.165,0.183,0.198,0.225,0.253,0.278,0.296,0.316,0.335,0.368,0.393,0.437,0.474,0.508,0.543,0.599,0.652,0.697,0.748,0.816,0.913,1.042,1.16,1.365,1.859
