House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Galaxy,GRN FP,-1.126,-0.593,-0.42,-0.296,-0.205,-0.123,-0.066,-0.022,0.014,0.052,0.091,0.124,0.148,0.171,0.2,0.221,0.243,0.266,0.284,0.3,0.315,0.332,0.351,0.372,0.385,0.398,0.411,0.428,0.445,0.456,0.468,0.479,0.495,0.508,0.518,0.532,0.543,0.553,0.566,0.577,0.586,0.596,0.606,0.615,0.626,0.634,0.644,0.655,0.666,0.678,0.689,0.702,0.713,0.726,0.74,0.751,0.763,0.774,0.784,0.798,0.812,0.826,0.838,0.851,0.859,0.873,0.891,0.905,0.922,0.931,0.948,0.965,0.978,0.988,1.003,1.019,1.034,1.051,1.069,1.087,1.105,1.12,1.141,1.167,1.191,1.215,1.241,1.265,1.293,1.326,1.353,1.384,1.431,1.466,1.516,1.579,1.637,1.721,1.827,2.03,2.616
Morgan Phone,GRN FP,-1.542,-0.886,-0.673,-0.493,-0.38,-0.303,-0.234,-0.171,-0.128,-0.093,-0.058,-0.027,0.011,0.038,0.061,0.086,0.11,0.138,0.156,0.173,0.191,0.216,0.237,0.26,0.28,0.3,0.318,0.335,0.353,0.373,0.391,0.406,0.426,0.443,0.458,0.467,0.478,0.492,0.507,0.523,0.537,0.55,0.562,0.575,0.588,0.606,0.623,0.636,0.649,0.668,0.681,0.696,0.712,0.722,0.734,0.745,0.763,0.779,0.796,0.816,0.833,0.85,0.863,0.879,0.895,0.917,0.932,0.95,0.97,0.993,1.013,1.032,1.058,1.075,1.094,1.113,1.134,1.154,1.176,1.198,1.224,1.248,1.282,1.311,1.344,1.377,1.41,1.446,1.488,1.528,1.563,1.625,1.693,1.749,1.831,1.915,2.008,2.163,2.329,2.6,3.5
ReachTEL,GRN FP,-2.057,-1.489,-1.279,-1.177,-1.102,-1.044,-0.98,-0.917,-0.851,-0.802,-0.766,-0.724,-0.695,-0.667,-0.638,-0.612,-0.582,-0.562,-0.542,-0.523,-0.497,-0.477,-0.453,-0.435,-0.414,-0.395,-0.38,-0.363,-0.346,-0.331,-0.315,-0.297,-0.281,-0.269,-0.255,-0.239,-0.225,-0.216,-0.205,-0.185,-0.17,-0.159,-0.146,-0.133,-0.114,-0.098,-0.084,-0.07,-0.057,-0.045,-0.031,-0.019,-0.007,0.004,0.017,0.025,0.037,0.045,0.059,0.072,0.086,0.098,0.115,0.129,0.139,0.152,0.166,0.18,0.197,0.21,0.226,0.243,0.258,0.271,0.288,0.305,0.319,0.33,0.346,0.358,0.374,0.392,0.411,0.43,0.447,0.465,0.491,0.509,0.529,0.548,0.57,0.597,0.617,0.646,0.68,0.723,0.767,0.831,0.907,1.026,1.404
Newspoll,GRN FP,-1.108,-0.645,-0.487,-0.373,-0.278,-0.211,-0.16,-0.114,-0.079,-0.041,0.011,0.047,0.077,0.099,0.123,0.145,0.162,0.185,0.203,0.219,0.234,0.251,0.271,0.29,0.308,0.324,0.34,0.358,0.371,0.383,0.397,0.407,0.421,0.431,0.44,0.455,0.468,0.481,0.492,0.502,0.513,0.522,0.531,0.542,0.556,0.567,0.577,0.591,0.601,0.609,0.622,0.634,0.643,0.651,0.661,0.674,0.684,0.699,0.716,0.724,0.734,0.746,0.755,0.767,0.78,0.791,0.804,0.819,0.835,0.85,0.862,0.875,0.891,0.903,0.92,0.935,0.948,0.962,0.979,1.0,1.024,1.039,1.063,1.084,1.108,1.133,1.158,1.182,1.206,1.232,1.269,1.293,1.328,1.362,1.409,1.463,1.518,1.591,1.705,1.843,2.261
Essential,GRN FP,-1.524,-1.076,-0.87,-0.755,-0.671,-0.591,-0.535,-0.463,-0.408,-0.374,-0.328,-0.288,-0.263,-0.227,-0.199,-0.172,-0.156,-0.14,-0.117,-0.091,-0.069,-0.05,-0.027,-0.012,0.005,0.025,0.043,0.057,0.073,0.089,0.108,0.124,0.139,0.158,0.176,0.189,0.205,0.216,0.229,0.244,0.259,0.27,0.281,0.294,0.305,0.316,0.33,0.346,0.361,0.379,0.39,0.406,0.419,0.428,0.437,0.449,0.461,0.473,0.486,0.494,0.508,0.519,0.531,0.541,0.554,0.568,0.58,0.591,0.601,0.618,0.628,0.636,0.652,0.667,0.687,0.7,0.713,0.73,0.75,0.767,0.781,0.803,0.825,0.849,0.874,0.901,0.922,0.947,0.978,1.015,1.038,1.077,1.105,1.161,1.197,1.27,1.336,1.412,1.498,1.65,2.146
SMS Morgan,GRN FP,-1.171,-0.594,-0.292,-0.207,-0.077,0.002,0.056,0.1,0.155,0.188,0.229,0.267,0.299,0.331,0.366,0.394,0.415,0.44,0.464,0.493,0.517,0.533,0.551,0.572,0.59,0.612,0.635,0.656,0.677,0.697,0.72,0.739,0.759,0.784,0.807,0.824,0.844,0.867,0.886,0.904,0.922,0.946,0.966,0.984,1.0,1.015,1.034,1.053,1.065,1.085,1.1,1.114,1.134,1.155,1.169,1.191,1.21,1.246,1.264,1.294,1.309,1.326,1.349,1.377,1.403,1.431,1.462,1.483,1.514,1.532,1.553,1.575,1.603,1.625,1.658,1.684,1.718,1.744,1.771,1.8,1.833,1.867,1.897,1.941,1.969,2.005,2.057,2.103,2.146,2.197,2.251,2.309,2.376,2.437,2.512,2.583,2.679,2.768,2.939,3.26,4.09
Old house effects
Galaxy,GRN FP,-0.411,-0.027,0.079,0.149,0.192,0.233,0.273,0.302,0.326,0.35,0.371,0.394,0.415,0.431,0.451,0.464,0.474,0.489,0.502,0.518,0.534,0.545,0.559,0.574,0.588,0.6,0.61,0.622,0.632,0.644,0.655,0.667,0.679,0.689,0.698,0.708,0.72,0.733,0.746,0.755,0.766,0.776,0.788,0.8,0.811,0.823,0.833,0.843,0.853,0.864,0.878,0.89,0.9,0.909,0.921,0.934,0.946,0.957,0.967,0.979,0.992,1.004,1.016,1.025,1.038,1.049,1.062,1.072,1.084,1.096,1.11,1.126,1.138,1.154,1.167,1.18,1.194,1.206,1.219,1.235,1.252,1.268,1.286,1.308,1.327,1.351,1.37,1.391,1.41,1.43,1.452,1.471,1.501,1.532,1.576,1.63,1.67,1.73,1.823,1.948,2.262
