House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
ReachTEL,UAP FP,-1.135,-0.636,-0.483,-0.414,-0.366,-0.32,-0.272,-0.225,-0.187,-0.165,-0.138,-0.106,-0.08,-0.052,-0.03,-0.007,0.017,0.035,0.049,0.067,0.081,0.104,0.122,0.139,0.156,0.169,0.185,0.197,0.212,0.229,0.244,0.257,0.272,0.285,0.301,0.312,0.326,0.343,0.356,0.371,0.382,0.396,0.412,0.429,0.446,0.459,0.472,0.484,0.502,0.516,0.53,0.546,0.559,0.573,0.582,0.599,0.61,0.628,0.64,0.655,0.67,0.685,0.699,0.72,0.735,0.752,0.766,0.786,0.803,0.82,0.834,0.851,0.869,0.887,0.906,0.926,0.947,0.969,0.985,1.011,1.029,1.048,1.065,1.083,1.102,1.13,1.16,1.196,1.223,1.257,1.292,1.327,1.373,1.414,1.484,1.545,1.628,1.705,1.83,1.964,2.602
Essential,UAP FP,-2.772,-1.918,-1.736,-1.574,-1.471,-1.406,-1.331,-1.279,-1.225,-1.184,-1.142,-1.101,-1.069,-1.027,-0.992,-0.966,-0.933,-0.897,-0.869,-0.836,-0.807,-0.779,-0.755,-0.728,-0.708,-0.687,-0.668,-0.651,-0.633,-0.621,-0.593,-0.577,-0.56,-0.542,-0.529,-0.514,-0.5,-0.475,-0.46,-0.445,-0.429,-0.415,-0.4,-0.383,-0.367,-0.348,-0.331,-0.319,-0.304,-0.288,-0.278,-0.264,-0.251,-0.238,-0.224,-0.208,-0.195,-0.182,-0.167,-0.15,-0.137,-0.127,-0.114,-0.102,-0.086,-0.078,-0.063,-0.047,-0.032,-0.015,-0.001,0.011,0.025,0.038,0.055,0.071,0.087,0.101,0.118,0.132,0.155,0.173,0.196,0.221,0.243,0.26,0.289,0.31,0.335,0.357,0.388,0.418,0.453,0.494,0.54,0.597,0.661,0.747,0.842,1.023,1.455
Galaxy,UAP FP,-3.031,-2.185,-1.91,-1.759,-1.636,-1.512,-1.416,-1.34,-1.245,-1.178,-1.134,-1.095,-1.04,-0.987,-0.939,-0.889,-0.841,-0.801,-0.765,-0.731,-0.693,-0.664,-0.631,-0.602,-0.574,-0.549,-0.524,-0.498,-0.473,-0.455,-0.435,-0.414,-0.397,-0.369,-0.344,-0.317,-0.299,-0.278,-0.26,-0.235,-0.222,-0.205,-0.186,-0.168,-0.15,-0.131,-0.111,-0.088,-0.069,-0.055,-0.04,-0.022,-0.003,0.014,0.023,0.042,0.055,0.074,0.094,0.111,0.129,0.146,0.166,0.187,0.206,0.227,0.244,0.262,0.278,0.298,0.32,0.337,0.369,0.388,0.407,0.426,0.445,0.471,0.499,0.533,0.562,0.594,0.625,0.658,0.694,0.734,0.761,0.827,0.873,0.921,0.975,1.032,1.106,1.189,1.258,1.347,1.434,1.576,1.768,2.036,2.952
SMS Morgan,UAP FP,-3.149,-2.494,-2.262,-2.057,-1.963,-1.841,-1.749,-1.699,-1.631,-1.562,-1.495,-1.451,-1.412,-1.371,-1.331,-1.292,-1.251,-1.217,-1.189,-1.158,-1.128,-1.094,-1.059,-1.032,-0.995,-0.975,-0.957,-0.937,-0.912,-0.884,-0.86,-0.836,-0.817,-0.794,-0.778,-0.755,-0.739,-0.718,-0.697,-0.679,-0.657,-0.636,-0.613,-0.594,-0.575,-0.558,-0.54,-0.521,-0.506,-0.487,-0.47,-0.451,-0.438,-0.419,-0.402,-0.386,-0.367,-0.347,-0.331,-0.315,-0.297,-0.277,-0.262,-0.244,-0.223,-0.2,-0.182,-0.168,-0.152,-0.133,-0.116,-0.1,-0.081,-0.067,-0.05,-0.03,-0.012,0.007,0.021,0.04,0.057,0.079,0.102,0.125,0.15,0.168,0.192,0.221,0.257,0.293,0.324,0.36,0.403,0.458,0.512,0.567,0.615,0.703,0.815,1.059,2.239
Old house effects
ReachTEL,UAP FP,-0.982,-0.614,-0.462,-0.352,-0.269,-0.209,-0.156,-0.122,-0.097,-0.057,-0.036,-0.01,0.007,0.031,0.048,0.07,0.092,0.112,0.132,0.15,0.165,0.187,0.203,0.226,0.246,0.265,0.28,0.298,0.31,0.324,0.342,0.356,0.364,0.38,0.396,0.41,0.424,0.442,0.456,0.471,0.486,0.502,0.524,0.539,0.554,0.572,0.587,0.605,0.622,0.64,0.658,0.677,0.693,0.71,0.732,0.754,0.772,0.787,0.805,0.817,0.836,0.856,0.875,0.89,0.911,0.938,0.958,0.982,1.002,1.023,1.043,1.063,1.09,1.109,1.13,1.156,1.179,1.202,1.229,1.249,1.273,1.301,1.33,1.358,1.381,1.416,1.45,1.482,1.52,1.561,1.596,1.647,1.704,1.762,1.824,1.914,2.012,2.12,2.271,2.474,3.099
Essential,UAP FP,-2.211,-1.469,-1.318,-1.181,-1.092,-1.028,-0.958,-0.906,-0.851,-0.802,-0.754,-0.72,-0.684,-0.649,-0.616,-0.588,-0.567,-0.535,-0.51,-0.485,-0.46,-0.437,-0.415,-0.402,-0.381,-0.359,-0.337,-0.318,-0.298,-0.277,-0.262,-0.244,-0.225,-0.209,-0.195,-0.176,-0.16,-0.142,-0.131,-0.117,-0.103,-0.087,-0.072,-0.06,-0.048,-0.035,-0.021,-0.01,0.002,0.013,0.025,0.035,0.049,0.062,0.08,0.089,0.104,0.116,0.129,0.143,0.158,0.175,0.189,0.205,0.22,0.234,0.248,0.265,0.279,0.295,0.312,0.331,0.348,0.365,0.383,0.402,0.426,0.443,0.465,0.483,0.501,0.52,0.541,0.565,0.598,0.624,0.646,0.677,0.71,0.75,0.784,0.822,0.879,0.947,1.005,1.074,1.146,1.255,1.354,1.628,2.003
Galaxy,UAP FP,-5.483,-3.865,-3.409,-3.14,-2.923,-2.8,-2.654,-2.544,-2.457,-2.378,-2.288,-2.221,-2.154,-2.065,-1.99,-1.935,-1.876,-1.824,-1.77,-1.718,-1.676,-1.634,-1.582,-1.537,-1.508,-1.464,-1.428,-1.388,-1.351,-1.312,-1.284,-1.249,-1.21,-1.172,-1.136,-1.102,-1.069,-1.039,-1.001,-0.972,-0.942,-0.901,-0.876,-0.848,-0.817,-0.785,-0.762,-0.733,-0.713,-0.691,-0.668,-0.641,-0.616,-0.587,-0.559,-0.534,-0.502,-0.484,-0.458,-0.439,-0.412,-0.394,-0.372,-0.349,-0.327,-0.305,-0.285,-0.262,-0.242,-0.219,-0.2,-0.18,-0.158,-0.135,-0.112,-0.085,-0.061,-0.036,-0.014,0.005,0.033,0.056,0.079,0.116,0.151,0.175,0.209,0.244,0.284,0.324,0.363,0.412,0.471,0.517,0.582,0.653,0.746,0.846,0.982,1.28,1.997
