House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Morgan multi-mode,UAP FP,-1.779,-1.439,-1.333,-1.264,-1.213,-1.171,-1.129,-1.102,-1.077,-1.051,-1.028,-1.003,-0.987,-0.967,-0.945,-0.932,-0.914,-0.899,-0.885,-0.87,-0.86,-0.846,-0.833,-0.821,-0.81,-0.799,-0.786,-0.774,-0.762,-0.749,-0.738,-0.729,-0.718,-0.707,-0.695,-0.683,-0.673,-0.661,-0.651,-0.64,-0.632,-0.622,-0.612,-0.603,-0.595,-0.586,-0.577,-0.569,-0.559,-0.55,-0.541,-0.531,-0.522,-0.513,-0.506,-0.496,-0.487,-0.479,-0.47,-0.46,-0.452,-0.443,-0.433,-0.424,-0.415,-0.405,-0.397,-0.389,-0.38,-0.371,-0.361,-0.351,-0.341,-0.331,-0.322,-0.311,-0.301,-0.291,-0.28,-0.27,-0.259,-0.248,-0.234,-0.22,-0.208,-0.194,-0.182,-0.168,-0.151,-0.136,-0.121,-0.103,-0.082,-0.057,-0.031,-0.001,0.033,0.077,0.129,0.226,0.491
ReachTEL,UAP FP,-2.468,-1.721,-1.535,-1.439,-1.327,-1.23,-1.162,-1.096,-1.054,-1.003,-0.964,-0.92,-0.881,-0.848,-0.806,-0.779,-0.751,-0.719,-0.696,-0.67,-0.649,-0.622,-0.598,-0.577,-0.554,-0.534,-0.518,-0.5,-0.483,-0.465,-0.448,-0.43,-0.411,-0.391,-0.375,-0.36,-0.342,-0.325,-0.306,-0.293,-0.28,-0.265,-0.252,-0.237,-0.223,-0.207,-0.196,-0.182,-0.172,-0.161,-0.15,-0.132,-0.119,-0.104,-0.091,-0.08,-0.067,-0.053,-0.037,-0.023,-0.01,0.005,0.019,0.033,0.05,0.065,0.082,0.098,0.115,0.131,0.145,0.16,0.177,0.194,0.213,0.233,0.251,0.269,0.288,0.307,0.329,0.347,0.371,0.397,0.42,0.447,0.477,0.508,0.538,0.571,0.612,0.65,0.705,0.765,0.827,0.896,0.983,1.106,1.239,1.44,2.048
Essential,UAP FP,-0.929,-0.624,-0.49,-0.427,-0.381,-0.339,-0.319,-0.291,-0.268,-0.253,-0.236,-0.217,-0.2,-0.184,-0.168,-0.155,-0.142,-0.129,-0.115,-0.104,-0.093,-0.083,-0.071,-0.061,-0.05,-0.043,-0.033,-0.023,-0.014,-0.004,0.004,0.014,0.022,0.031,0.041,0.049,0.06,0.069,0.078,0.086,0.094,0.104,0.112,0.121,0.129,0.137,0.146,0.155,0.164,0.172,0.181,0.188,0.198,0.209,0.218,0.229,0.237,0.246,0.256,0.262,0.272,0.28,0.287,0.298,0.307,0.317,0.326,0.335,0.347,0.358,0.368,0.379,0.387,0.396,0.407,0.419,0.432,0.442,0.454,0.468,0.481,0.494,0.508,0.52,0.538,0.556,0.569,0.584,0.604,0.622,0.642,0.666,0.689,0.713,0.744,0.777,0.816,0.868,0.944,1.085,1.414
Nielsen,UAP FP,-5.849,-3.604,-3.03,-2.735,-2.499,-2.305,-2.143,-1.992,-1.829,-1.737,-1.647,-1.543,-1.47,-1.402,-1.325,-1.28,-1.23,-1.185,-1.137,-1.093,-1.051,-1.016,-0.978,-0.937,-0.901,-0.862,-0.825,-0.79,-0.75,-0.722,-0.689,-0.661,-0.634,-0.606,-0.579,-0.552,-0.519,-0.498,-0.474,-0.452,-0.433,-0.41,-0.386,-0.359,-0.339,-0.317,-0.296,-0.275,-0.26,-0.239,-0.22,-0.2,-0.175,-0.158,-0.136,-0.121,-0.103,-0.087,-0.067,-0.044,-0.023,-0.002,0.021,0.053,0.078,0.102,0.123,0.15,0.179,0.206,0.233,0.259,0.286,0.318,0.345,0.371,0.411,0.447,0.485,0.525,0.559,0.595,0.642,0.69,0.739,0.797,0.84,0.901,0.969,1.043,1.131,1.224,1.336,1.455,1.593,1.746,1.929,2.156,2.498,3.056,5.213
Galaxy,UAP FP,-5.008,-2.939,-2.439,-2.133,-1.911,-1.747,-1.594,-1.492,-1.378,-1.297,-1.23,-1.164,-1.11,-1.055,-1.004,-0.951,-0.901,-0.868,-0.823,-0.787,-0.753,-0.709,-0.674,-0.632,-0.595,-0.555,-0.524,-0.498,-0.468,-0.438,-0.417,-0.392,-0.371,-0.351,-0.329,-0.307,-0.283,-0.263,-0.239,-0.218,-0.199,-0.18,-0.159,-0.143,-0.125,-0.106,-0.089,-0.071,-0.052,-0.033,-0.013,0.005,0.029,0.05,0.073,0.093,0.117,0.137,0.16,0.182,0.202,0.224,0.247,0.271,0.295,0.318,0.351,0.377,0.41,0.434,0.461,0.49,0.521,0.55,0.582,0.613,0.643,0.687,0.72,0.752,0.801,0.835,0.874,0.915,0.966,1.023,1.077,1.141,1.191,1.268,1.343,1.412,1.487,1.61,1.707,1.84,2.004,2.246,2.509,3.0,4.753
Morgan Phone,UAP FP,-5.206,-3.392,-3.011,-2.704,-2.523,-2.34,-2.191,-2.053,-1.952,-1.835,-1.738,-1.66,-1.583,-1.512,-1.435,-1.376,-1.322,-1.269,-1.221,-1.164,-1.122,-1.082,-1.046,-1.002,-0.966,-0.928,-0.881,-0.842,-0.812,-0.781,-0.737,-0.71,-0.674,-0.647,-0.619,-0.591,-0.562,-0.533,-0.509,-0.484,-0.461,-0.437,-0.412,-0.388,-0.36,-0.338,-0.317,-0.297,-0.279,-0.256,-0.237,-0.214,-0.19,-0.171,-0.153,-0.135,-0.116,-0.095,-0.077,-0.054,-0.029,-0.01,0.011,0.031,0.055,0.077,0.106,0.129,0.157,0.188,0.214,0.242,0.273,0.297,0.328,0.355,0.389,0.422,0.464,0.496,0.533,0.568,0.616,0.657,0.708,0.765,0.824,0.876,0.927,1.008,1.095,1.176,1.261,1.367,1.481,1.634,1.833,2.071,2.382,2.897,4.851
Ipsos,UAP FP,-5.539,-3.251,-2.813,-2.505,-2.271,-2.086,-1.926,-1.801,-1.711,-1.62,-1.53,-1.456,-1.39,-1.319,-1.259,-1.2,-1.142,-1.1,-1.056,-1.013,-0.969,-0.923,-0.886,-0.857,-0.821,-0.779,-0.747,-0.717,-0.692,-0.658,-0.629,-0.604,-0.582,-0.552,-0.522,-0.495,-0.472,-0.452,-0.426,-0.405,-0.38,-0.36,-0.338,-0.318,-0.297,-0.278,-0.26,-0.242,-0.224,-0.204,-0.185,-0.17,-0.15,-0.129,-0.11,-0.089,-0.068,-0.052,-0.032,-0.01,0.015,0.037,0.061,0.085,0.113,0.137,0.16,0.184,0.208,0.237,0.264,0.293,0.319,0.348,0.38,0.412,0.444,0.477,0.519,0.55,0.596,0.634,0.681,0.734,0.799,0.856,0.912,0.977,1.04,1.111,1.197,1.288,1.368,1.472,1.597,1.766,1.947,2.168,2.494,3.049,5.553
Newspoll2,UAP FP,-3.69,-2.578,-2.26,-2.014,-1.824,-1.698,-1.569,-1.478,-1.405,-1.331,-1.257,-1.2,-1.139,-1.082,-1.033,-0.984,-0.935,-0.891,-0.855,-0.815,-0.772,-0.736,-0.702,-0.673,-0.636,-0.605,-0.575,-0.546,-0.521,-0.498,-0.475,-0.445,-0.425,-0.405,-0.376,-0.354,-0.329,-0.304,-0.285,-0.269,-0.245,-0.226,-0.209,-0.193,-0.175,-0.159,-0.145,-0.128,-0.11,-0.091,-0.071,-0.053,-0.032,-0.014,0.008,0.032,0.05,0.072,0.091,0.11,0.132,0.157,0.175,0.201,0.224,0.249,0.272,0.295,0.318,0.342,0.37,0.396,0.424,0.457,0.488,0.519,0.555,0.588,0.626,0.658,0.689,0.725,0.763,0.804,0.842,0.878,0.932,0.993,1.048,1.111,1.171,1.241,1.32,1.4,1.504,1.609,1.747,1.92,2.168,2.647,3.99
