House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
SMS Morgan,ALP FP,-6.221,-4.002,-3.418,-3.014,-2.822,-2.667,-2.527,-2.429,-2.332,-2.222,-2.135,-2.066,-2.014,-1.95,-1.901,-1.846,-1.788,-1.745,-1.691,-1.641,-1.605,-1.573,-1.539,-1.503,-1.47,-1.431,-1.4,-1.36,-1.325,-1.293,-1.263,-1.241,-1.21,-1.188,-1.159,-1.126,-1.102,-1.079,-1.055,-1.016,-0.986,-0.962,-0.942,-0.92,-0.896,-0.874,-0.846,-0.828,-0.805,-0.786,-0.764,-0.741,-0.718,-0.681,-0.662,-0.646,-0.632,-0.617,-0.594,-0.573,-0.553,-0.532,-0.513,-0.492,-0.475,-0.457,-0.434,-0.4,-0.374,-0.351,-0.328,-0.301,-0.269,-0.242,-0.213,-0.176,-0.13,-0.094,-0.06,-0.018,0.027,0.059,0.105,0.178,0.226,0.276,0.335,0.392,0.462,0.534,0.594,0.658,0.731,0.842,0.946,1.066,1.231,1.501,1.799,2.319,4.623
Galaxy,ALP FP,-2.472,-1.966,-1.716,-1.577,-1.48,-1.37,-1.31,-1.263,-1.202,-1.15,-1.104,-1.067,-1.035,-0.996,-0.966,-0.94,-0.912,-0.882,-0.859,-0.833,-0.81,-0.788,-0.768,-0.751,-0.735,-0.719,-0.7,-0.68,-0.658,-0.644,-0.627,-0.61,-0.593,-0.581,-0.564,-0.551,-0.536,-0.518,-0.508,-0.491,-0.477,-0.465,-0.447,-0.435,-0.422,-0.398,-0.383,-0.367,-0.355,-0.335,-0.318,-0.304,-0.285,-0.269,-0.25,-0.23,-0.209,-0.197,-0.179,-0.159,-0.142,-0.125,-0.106,-0.086,-0.068,-0.044,-0.02,-0.002,0.02,0.044,0.061,0.078,0.106,0.132,0.155,0.182,0.203,0.242,0.271,0.301,0.329,0.354,0.381,0.422,0.457,0.494,0.532,0.594,0.637,0.692,0.729,0.791,0.858,0.916,0.974,1.057,1.199,1.34,1.542,1.894,2.697
ReachTEL,ALP FP,-1.454,-1.261,-1.193,-1.151,-1.116,-1.092,-1.071,-1.056,-1.04,-1.025,-1.013,-1.003,-0.991,-0.978,-0.969,-0.956,-0.948,-0.941,-0.933,-0.926,-0.917,-0.908,-0.9,-0.894,-0.888,-0.881,-0.875,-0.871,-0.865,-0.859,-0.853,-0.849,-0.844,-0.838,-0.833,-0.827,-0.822,-0.815,-0.811,-0.805,-0.8,-0.794,-0.789,-0.784,-0.779,-0.772,-0.766,-0.762,-0.757,-0.753,-0.749,-0.743,-0.738,-0.733,-0.73,-0.727,-0.722,-0.717,-0.712,-0.708,-0.702,-0.697,-0.693,-0.688,-0.682,-0.677,-0.67,-0.667,-0.66,-0.656,-0.65,-0.644,-0.638,-0.633,-0.629,-0.624,-0.617,-0.611,-0.606,-0.599,-0.594,-0.586,-0.58,-0.575,-0.566,-0.558,-0.55,-0.542,-0.534,-0.523,-0.513,-0.501,-0.488,-0.475,-0.457,-0.439,-0.424,-0.4,-0.366,-0.31,-0.143
Newspoll2,ALP FP,-1.77,-1.226,-1.046,-0.893,-0.836,-0.782,-0.708,-0.663,-0.624,-0.591,-0.547,-0.503,-0.472,-0.442,-0.412,-0.378,-0.349,-0.325,-0.294,-0.27,-0.241,-0.21,-0.188,-0.165,-0.142,-0.116,-0.092,-0.069,-0.043,-0.017,0.007,0.035,0.055,0.08,0.101,0.129,0.149,0.176,0.195,0.218,0.239,0.263,0.288,0.307,0.322,0.339,0.359,0.384,0.401,0.42,0.444,0.466,0.494,0.518,0.543,0.566,0.585,0.611,0.632,0.666,0.691,0.713,0.738,0.76,0.778,0.808,0.838,0.863,0.888,0.91,0.929,0.961,0.986,1.015,1.052,1.075,1.1,1.134,1.165,1.201,1.238,1.278,1.326,1.362,1.404,1.445,1.486,1.523,1.572,1.622,1.677,1.726,1.783,1.859,1.958,2.053,2.159,2.302,2.44,2.657,3.471
Essential,ALP FP,-2.712,-2.121,-1.885,-1.741,-1.626,-1.553,-1.474,-1.417,-1.368,-1.287,-1.238,-1.193,-1.154,-1.108,-1.079,-1.05,-1.018,-0.998,-0.97,-0.943,-0.916,-0.893,-0.867,-0.842,-0.819,-0.8,-0.786,-0.768,-0.744,-0.724,-0.706,-0.691,-0.673,-0.657,-0.642,-0.623,-0.607,-0.592,-0.574,-0.557,-0.542,-0.525,-0.51,-0.494,-0.474,-0.455,-0.442,-0.422,-0.403,-0.386,-0.372,-0.354,-0.336,-0.325,-0.307,-0.286,-0.27,-0.257,-0.243,-0.224,-0.206,-0.192,-0.171,-0.153,-0.134,-0.113,-0.097,-0.076,-0.052,-0.029,-0.01,0.012,0.027,0.049,0.078,0.102,0.124,0.147,0.169,0.201,0.221,0.251,0.276,0.306,0.344,0.368,0.397,0.428,0.469,0.508,0.561,0.606,0.67,0.709,0.766,0.868,0.965,1.061,1.233,1.477,2.088
Approvals,ALP FP,-4.954,-3.838,-3.295,-3.028,-2.825,-2.684,-2.581,-2.477,-2.375,-2.291,-2.219,-2.147,-2.081,-2.024,-1.966,-1.922,-1.871,-1.812,-1.763,-1.735,-1.689,-1.638,-1.586,-1.555,-1.509,-1.473,-1.443,-1.409,-1.375,-1.349,-1.319,-1.27,-1.247,-1.214,-1.188,-1.155,-1.127,-1.104,-1.085,-1.06,-1.03,-1.007,-0.984,-0.964,-0.944,-0.925,-0.903,-0.877,-0.859,-0.84,-0.818,-0.797,-0.772,-0.756,-0.736,-0.716,-0.694,-0.676,-0.663,-0.642,-0.623,-0.608,-0.587,-0.57,-0.553,-0.531,-0.504,-0.483,-0.451,-0.43,-0.412,-0.397,-0.373,-0.352,-0.327,-0.304,-0.278,-0.26,-0.233,-0.207,-0.182,-0.147,-0.122,-0.089,-0.052,-0.023,0.032,0.071,0.111,0.161,0.239,0.291,0.361,0.459,0.553,0.681,0.816,0.967,1.172,1.505,2.5
Old house effects
SMS Morgan,ALP FP,-3.414,-2.794,-2.653,-2.515,-2.411,-2.336,-2.277,-2.213,-2.16,-2.123,-2.09,-2.057,-2.021,-1.983,-1.954,-1.927,-1.902,-1.874,-1.851,-1.829,-1.796,-1.775,-1.751,-1.721,-1.701,-1.675,-1.655,-1.626,-1.606,-1.589,-1.569,-1.55,-1.533,-1.519,-1.495,-1.48,-1.462,-1.445,-1.431,-1.415,-1.4,-1.38,-1.361,-1.343,-1.326,-1.307,-1.289,-1.27,-1.252,-1.242,-1.224,-1.209,-1.196,-1.181,-1.165,-1.146,-1.129,-1.113,-1.094,-1.079,-1.064,-1.051,-1.034,-1.016,-1.002,-0.985,-0.969,-0.95,-0.934,-0.916,-0.897,-0.879,-0.858,-0.838,-0.821,-0.803,-0.777,-0.761,-0.74,-0.722,-0.704,-0.687,-0.667,-0.65,-0.626,-0.606,-0.58,-0.558,-0.535,-0.504,-0.469,-0.441,-0.414,-0.382,-0.347,-0.289,-0.233,-0.148,-0.042,0.143,0.943
