House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,NAT FP,-2.507,-1.84,-1.538,-1.345,-1.2,-1.122,-1.042,-0.997,-0.942,-0.894,-0.843,-0.795,-0.756,-0.715,-0.67,-0.628,-0.6,-0.578,-0.551,-0.528,-0.493,-0.462,-0.439,-0.412,-0.397,-0.378,-0.36,-0.339,-0.32,-0.297,-0.28,-0.262,-0.245,-0.225,-0.206,-0.186,-0.166,-0.148,-0.135,-0.123,-0.108,-0.092,-0.074,-0.057,-0.039,-0.025,-0.012,0.002,0.015,0.028,0.046,0.063,0.079,0.099,0.113,0.124,0.138,0.156,0.165,0.185,0.203,0.218,0.239,0.256,0.272,0.289,0.309,0.331,0.346,0.364,0.382,0.401,0.423,0.443,0.464,0.484,0.514,0.538,0.561,0.582,0.614,0.636,0.667,0.706,0.74,0.77,0.804,0.845,0.882,0.928,0.985,1.042,1.113,1.172,1.236,1.296,1.417,1.531,1.71,1.921,2.845
SMS Morgan,NAT FP,-4.234,-3.053,-2.418,-2.104,-1.939,-1.774,-1.646,-1.524,-1.415,-1.32,-1.266,-1.217,-1.152,-1.097,-1.05,-0.986,-0.94,-0.882,-0.844,-0.818,-0.768,-0.723,-0.684,-0.663,-0.639,-0.596,-0.575,-0.54,-0.518,-0.493,-0.461,-0.435,-0.408,-0.382,-0.35,-0.328,-0.308,-0.286,-0.263,-0.238,-0.212,-0.187,-0.164,-0.139,-0.107,-0.092,-0.075,-0.057,-0.033,-0.017,-0.009,0.005,0.024,0.041,0.055,0.068,0.097,0.117,0.135,0.151,0.173,0.192,0.212,0.24,0.266,0.282,0.3,0.325,0.346,0.369,0.407,0.435,0.463,0.483,0.52,0.551,0.577,0.603,0.629,0.673,0.713,0.744,0.777,0.816,0.849,0.886,0.925,0.981,1.025,1.096,1.144,1.208,1.303,1.393,1.493,1.576,1.705,1.845,2.031,2.329,3.564
Essential,NAT FP,-2.773,-2.056,-1.75,-1.545,-1.441,-1.346,-1.268,-1.207,-1.151,-1.104,-1.036,-0.988,-0.948,-0.906,-0.871,-0.84,-0.815,-0.779,-0.745,-0.711,-0.686,-0.665,-0.639,-0.617,-0.6,-0.582,-0.554,-0.528,-0.51,-0.486,-0.467,-0.445,-0.427,-0.412,-0.393,-0.371,-0.348,-0.336,-0.311,-0.289,-0.271,-0.249,-0.234,-0.219,-0.203,-0.184,-0.171,-0.159,-0.144,-0.124,-0.112,-0.095,-0.081,-0.067,-0.053,-0.04,-0.023,-0.01,-0.0,0.016,0.03,0.039,0.051,0.067,0.078,0.092,0.107,0.123,0.138,0.153,0.17,0.188,0.211,0.227,0.244,0.262,0.282,0.298,0.328,0.35,0.381,0.406,0.43,0.452,0.482,0.512,0.541,0.586,0.619,0.662,0.69,0.732,0.78,0.838,0.91,1.021,1.109,1.27,1.416,1.618,2.294
Newspoll2,NAT FP,-2.785,-2.195,-1.881,-1.712,-1.569,-1.441,-1.38,-1.317,-1.255,-1.204,-1.158,-1.104,-1.066,-1.026,-0.985,-0.956,-0.918,-0.879,-0.852,-0.825,-0.785,-0.758,-0.735,-0.717,-0.698,-0.675,-0.656,-0.63,-0.608,-0.587,-0.568,-0.544,-0.521,-0.501,-0.486,-0.468,-0.449,-0.433,-0.414,-0.398,-0.38,-0.368,-0.344,-0.33,-0.316,-0.296,-0.28,-0.262,-0.244,-0.227,-0.21,-0.195,-0.176,-0.157,-0.137,-0.122,-0.109,-0.095,-0.082,-0.067,-0.048,-0.033,-0.02,-0.006,0.009,0.021,0.033,0.05,0.064,0.079,0.097,0.112,0.131,0.153,0.166,0.183,0.201,0.216,0.24,0.26,0.277,0.303,0.319,0.351,0.379,0.411,0.437,0.468,0.508,0.538,0.582,0.628,0.66,0.708,0.772,0.83,0.919,1.06,1.184,1.372,1.914
ReachTEL,NAT FP,-1.594,-1.207,-0.947,-0.842,-0.75,-0.66,-0.604,-0.555,-0.51,-0.476,-0.444,-0.407,-0.373,-0.352,-0.329,-0.291,-0.271,-0.248,-0.223,-0.195,-0.176,-0.155,-0.136,-0.12,-0.102,-0.083,-0.066,-0.047,-0.031,-0.017,-0.004,0.01,0.024,0.037,0.056,0.069,0.085,0.098,0.109,0.124,0.136,0.149,0.165,0.18,0.192,0.204,0.222,0.235,0.246,0.266,0.279,0.296,0.312,0.328,0.343,0.357,0.377,0.391,0.411,0.424,0.436,0.454,0.469,0.493,0.506,0.521,0.538,0.556,0.578,0.599,0.619,0.637,0.654,0.679,0.702,0.719,0.741,0.759,0.792,0.814,0.841,0.865,0.885,0.916,0.943,0.977,1.012,1.048,1.083,1.132,1.174,1.211,1.253,1.305,1.368,1.448,1.547,1.636,1.768,1.98,2.5
Galaxy,NAT FP,-4.597,-3.121,-2.532,-2.305,-2.089,-1.889,-1.779,-1.686,-1.614,-1.542,-1.445,-1.366,-1.307,-1.26,-1.193,-1.14,-1.095,-1.054,-1.018,-0.968,-0.935,-0.888,-0.851,-0.815,-0.779,-0.743,-0.708,-0.678,-0.652,-0.628,-0.593,-0.569,-0.544,-0.517,-0.503,-0.482,-0.457,-0.428,-0.406,-0.384,-0.364,-0.343,-0.324,-0.291,-0.267,-0.24,-0.212,-0.187,-0.168,-0.145,-0.123,-0.099,-0.071,-0.047,-0.024,-0.003,0.019,0.036,0.057,0.076,0.09,0.118,0.141,0.162,0.193,0.213,0.244,0.26,0.289,0.317,0.347,0.381,0.411,0.443,0.468,0.499,0.537,0.559,0.589,0.618,0.653,0.689,0.712,0.756,0.79,0.839,0.883,0.933,0.975,1.043,1.099,1.164,1.25,1.343,1.444,1.567,1.66,1.791,2.011,2.449,3.109
Old house effects
Newspoll,NAT FP,-1.43,-1.038,-0.845,-0.738,-0.674,-0.615,-0.575,-0.523,-0.483,-0.443,-0.407,-0.372,-0.35,-0.321,-0.291,-0.269,-0.25,-0.228,-0.211,-0.185,-0.163,-0.145,-0.131,-0.115,-0.1,-0.087,-0.076,-0.062,-0.049,-0.038,-0.024,-0.01,0.005,0.018,0.028,0.042,0.057,0.068,0.08,0.094,0.102,0.113,0.127,0.142,0.154,0.168,0.187,0.2,0.214,0.228,0.24,0.256,0.268,0.283,0.299,0.314,0.326,0.341,0.352,0.364,0.382,0.394,0.407,0.424,0.441,0.452,0.47,0.483,0.5,0.517,0.532,0.553,0.574,0.597,0.616,0.636,0.657,0.676,0.697,0.718,0.744,0.76,0.785,0.814,0.838,0.861,0.888,0.922,0.966,1.001,1.04,1.072,1.119,1.165,1.209,1.262,1.326,1.427,1.571,1.768,2.304
