House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
SMS Morgan,ONP FP,-4.67,-2.971,-2.456,-2.198,-2.042,-1.915,-1.826,-1.723,-1.636,-1.551,-1.491,-1.41,-1.328,-1.272,-1.212,-1.173,-1.13,-1.096,-1.064,-1.018,-0.969,-0.926,-0.885,-0.847,-0.81,-0.76,-0.729,-0.704,-0.67,-0.636,-0.6,-0.577,-0.549,-0.524,-0.503,-0.476,-0.45,-0.432,-0.404,-0.381,-0.355,-0.333,-0.309,-0.281,-0.26,-0.24,-0.215,-0.198,-0.175,-0.154,-0.138,-0.113,-0.091,-0.068,-0.053,-0.035,-0.023,-0.001,0.016,0.031,0.052,0.07,0.088,0.109,0.132,0.156,0.177,0.198,0.219,0.242,0.268,0.3,0.325,0.35,0.374,0.404,0.443,0.468,0.492,0.525,0.555,0.584,0.623,0.669,0.711,0.754,0.794,0.825,0.875,0.936,0.991,1.036,1.102,1.188,1.281,1.368,1.495,1.667,1.882,2.241,3.56
ReachTEL,ONP FP,-2.11,-1.542,-1.359,-1.184,-1.101,-1.024,-0.967,-0.9,-0.854,-0.81,-0.778,-0.745,-0.719,-0.689,-0.662,-0.637,-0.612,-0.594,-0.579,-0.563,-0.542,-0.517,-0.495,-0.478,-0.46,-0.44,-0.427,-0.406,-0.389,-0.371,-0.352,-0.336,-0.321,-0.307,-0.298,-0.286,-0.27,-0.256,-0.243,-0.228,-0.215,-0.198,-0.182,-0.168,-0.154,-0.139,-0.123,-0.111,-0.102,-0.087,-0.078,-0.067,-0.056,-0.048,-0.039,-0.03,-0.021,-0.009,-0.002,0.008,0.018,0.025,0.037,0.048,0.063,0.077,0.09,0.104,0.114,0.131,0.141,0.152,0.173,0.188,0.201,0.214,0.236,0.255,0.274,0.29,0.307,0.32,0.344,0.364,0.382,0.399,0.421,0.446,0.472,0.498,0.524,0.547,0.576,0.615,0.666,0.732,0.778,0.861,0.948,1.118,1.78
Newspoll2,ONP FP,-2.826,-1.727,-1.464,-1.34,-1.223,-1.145,-1.076,-1.003,-0.95,-0.895,-0.848,-0.815,-0.755,-0.726,-0.687,-0.655,-0.614,-0.584,-0.551,-0.525,-0.501,-0.476,-0.449,-0.428,-0.403,-0.375,-0.351,-0.326,-0.307,-0.287,-0.268,-0.247,-0.223,-0.212,-0.192,-0.174,-0.16,-0.14,-0.121,-0.108,-0.09,-0.071,-0.055,-0.039,-0.02,-0.003,0.014,0.032,0.046,0.064,0.083,0.098,0.115,0.129,0.147,0.164,0.177,0.196,0.213,0.229,0.249,0.266,0.283,0.299,0.32,0.339,0.355,0.374,0.396,0.416,0.436,0.45,0.474,0.501,0.517,0.54,0.568,0.586,0.619,0.651,0.676,0.707,0.739,0.769,0.801,0.839,0.869,0.899,0.951,0.988,1.045,1.098,1.148,1.21,1.263,1.374,1.457,1.592,1.777,2.014,2.954
Essential,ONP FP,-2.483,-1.728,-1.379,-1.173,-1.024,-0.939,-0.86,-0.798,-0.75,-0.71,-0.673,-0.636,-0.597,-0.541,-0.508,-0.48,-0.452,-0.42,-0.386,-0.364,-0.338,-0.316,-0.29,-0.266,-0.242,-0.225,-0.201,-0.187,-0.163,-0.144,-0.129,-0.107,-0.087,-0.075,-0.058,-0.038,-0.023,-0.01,0.003,0.019,0.037,0.053,0.076,0.093,0.108,0.122,0.136,0.154,0.177,0.191,0.206,0.216,0.226,0.243,0.257,0.269,0.288,0.306,0.329,0.352,0.368,0.388,0.409,0.427,0.45,0.477,0.501,0.529,0.555,0.578,0.598,0.624,0.649,0.673,0.692,0.717,0.751,0.78,0.817,0.847,0.87,0.913,0.956,0.992,1.023,1.058,1.107,1.171,1.212,1.276,1.319,1.368,1.444,1.536,1.619,1.716,1.832,1.935,2.154,2.474,3.384
Galaxy,ONP FP,-3.736,-2.714,-2.322,-2.113,-1.912,-1.774,-1.662,-1.531,-1.478,-1.404,-1.347,-1.285,-1.224,-1.165,-1.121,-1.073,-1.022,-0.972,-0.933,-0.885,-0.855,-0.809,-0.785,-0.762,-0.732,-0.697,-0.669,-0.639,-0.593,-0.568,-0.541,-0.512,-0.49,-0.463,-0.424,-0.398,-0.373,-0.353,-0.323,-0.305,-0.278,-0.252,-0.233,-0.216,-0.201,-0.182,-0.162,-0.145,-0.126,-0.109,-0.089,-0.069,-0.051,-0.034,-0.016,0.005,0.025,0.043,0.068,0.089,0.114,0.131,0.159,0.179,0.204,0.227,0.246,0.267,0.3,0.322,0.347,0.369,0.394,0.416,0.454,0.491,0.52,0.546,0.577,0.61,0.645,0.678,0.711,0.75,0.789,0.83,0.873,0.915,0.973,1.026,1.087,1.158,1.235,1.344,1.461,1.578,1.705,1.904,2.101,2.491,3.574
Old house effects
SMS Morgan,ONP FP,-4.097,-2.987,-2.534,-2.316,-2.138,-1.952,-1.814,-1.731,-1.655,-1.592,-1.481,-1.412,-1.342,-1.262,-1.194,-1.14,-1.098,-1.054,-0.997,-0.96,-0.913,-0.868,-0.816,-0.785,-0.745,-0.7,-0.671,-0.638,-0.6,-0.563,-0.539,-0.508,-0.481,-0.455,-0.433,-0.407,-0.38,-0.359,-0.336,-0.31,-0.286,-0.27,-0.254,-0.229,-0.212,-0.192,-0.169,-0.152,-0.133,-0.116,-0.097,-0.074,-0.058,-0.043,-0.019,-0.004,0.021,0.039,0.066,0.087,0.104,0.128,0.154,0.176,0.2,0.221,0.243,0.262,0.283,0.3,0.324,0.352,0.375,0.403,0.425,0.453,0.477,0.518,0.549,0.59,0.628,0.67,0.725,0.769,0.81,0.852,0.894,0.943,1.007,1.06,1.146,1.237,1.313,1.42,1.519,1.629,1.793,2.016,2.257,2.765,3.522
ReachTEL,ONP FP,-2.401,-1.683,-1.468,-1.356,-1.239,-1.152,-1.073,-1.009,-0.953,-0.915,-0.876,-0.827,-0.783,-0.751,-0.716,-0.669,-0.643,-0.61,-0.579,-0.555,-0.531,-0.508,-0.494,-0.466,-0.437,-0.418,-0.403,-0.387,-0.362,-0.339,-0.325,-0.306,-0.284,-0.272,-0.247,-0.232,-0.22,-0.206,-0.188,-0.169,-0.154,-0.139,-0.125,-0.113,-0.1,-0.086,-0.068,-0.054,-0.041,-0.03,-0.02,-0.009,0.006,0.019,0.032,0.044,0.059,0.073,0.09,0.102,0.114,0.124,0.139,0.155,0.174,0.192,0.206,0.225,0.244,0.264,0.278,0.298,0.311,0.326,0.344,0.364,0.382,0.399,0.416,0.442,0.473,0.501,0.529,0.549,0.577,0.61,0.638,0.666,0.701,0.738,0.776,0.813,0.872,0.931,1.003,1.065,1.137,1.236,1.395,1.592,2.52
