House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll,OTH FP,-4.243,-2.651,-2.017,-1.597,-1.387,-1.194,-1.009,-0.886,-0.822,-0.718,-0.64,-0.557,-0.491,-0.435,-0.373,-0.306,-0.249,-0.218,-0.178,-0.137,-0.092,-0.042,-0.01,0.027,0.058,0.094,0.121,0.162,0.185,0.216,0.249,0.267,0.308,0.338,0.37,0.407,0.435,0.459,0.485,0.516,0.555,0.581,0.618,0.652,0.688,0.72,0.755,0.791,0.824,0.857,0.888,0.925,0.976,1.015,1.053,1.097,1.136,1.185,1.214,1.263,1.318,1.358,1.406,1.447,1.498,1.535,1.597,1.654,1.713,1.764,1.808,1.881,1.931,1.986,2.04,2.102,2.152,2.227,2.283,2.367,2.458,2.527,2.615,2.689,2.775,2.875,2.973,3.07,3.193,3.361,3.476,3.604,3.792,3.966,4.275,4.501,4.627,4.976,5.394,6.263,8.151
SMS Morgan,OTH FP,-2.591,-1.626,-1.224,-1.044,-0.907,-0.801,-0.683,-0.617,-0.541,-0.47,-0.417,-0.363,-0.31,-0.273,-0.222,-0.185,-0.156,-0.119,-0.083,-0.049,-0.015,0.011,0.037,0.063,0.088,0.108,0.133,0.148,0.164,0.183,0.212,0.229,0.25,0.269,0.291,0.314,0.334,0.36,0.378,0.396,0.409,0.428,0.454,0.478,0.501,0.527,0.552,0.576,0.594,0.616,0.639,0.665,0.686,0.703,0.731,0.753,0.774,0.802,0.83,0.857,0.883,0.903,0.941,0.97,1.002,1.035,1.06,1.094,1.121,1.158,1.181,1.211,1.248,1.284,1.316,1.369,1.413,1.447,1.494,1.523,1.558,1.599,1.645,1.701,1.752,1.795,1.857,1.917,1.985,2.043,2.106,2.191,2.282,2.396,2.535,2.692,2.919,3.1,3.357,3.87,5.108
Essential,OTH FP,-4.686,-3.608,-3.291,-3.034,-2.855,-2.709,-2.528,-2.439,-2.341,-2.267,-2.19,-2.136,-2.066,-2.011,-1.957,-1.898,-1.84,-1.796,-1.754,-1.697,-1.645,-1.606,-1.557,-1.506,-1.468,-1.426,-1.394,-1.359,-1.326,-1.294,-1.259,-1.225,-1.196,-1.148,-1.126,-1.091,-1.054,-1.026,-1.002,-0.969,-0.941,-0.91,-0.887,-0.86,-0.837,-0.813,-0.785,-0.766,-0.743,-0.721,-0.695,-0.669,-0.633,-0.608,-0.583,-0.562,-0.532,-0.501,-0.478,-0.446,-0.426,-0.4,-0.375,-0.346,-0.321,-0.292,-0.266,-0.236,-0.215,-0.192,-0.167,-0.137,-0.111,-0.082,-0.051,-0.025,-0.003,0.034,0.063,0.093,0.117,0.154,0.19,0.216,0.243,0.267,0.302,0.327,0.369,0.405,0.435,0.474,0.526,0.577,0.644,0.722,0.796,0.909,1.099,1.403,2.542
Newspoll2,OTH FP,-1.208,-0.493,-0.219,-0.077,0.013,0.084,0.138,0.195,0.246,0.285,0.331,0.374,0.402,0.438,0.479,0.516,0.556,0.594,0.633,0.671,0.71,0.742,0.776,0.801,0.831,0.855,0.883,0.913,0.955,0.991,1.021,1.055,1.083,1.124,1.154,1.187,1.214,1.241,1.286,1.321,1.356,1.389,1.42,1.448,1.483,1.512,1.553,1.588,1.624,1.656,1.686,1.716,1.756,1.784,1.809,1.862,1.892,1.924,1.948,1.984,2.019,2.054,2.094,2.125,2.159,2.197,2.241,2.276,2.306,2.336,2.368,2.399,2.441,2.474,2.505,2.548,2.6,2.64,2.699,2.738,2.78,2.831,2.87,2.912,2.974,3.044,3.109,3.16,3.264,3.351,3.472,3.537,3.637,3.745,3.876,4.017,4.137,4.307,4.568,5.001,6.336
Galaxy,OTH FP,-3.237,-2.323,-1.956,-1.777,-1.583,-1.419,-1.285,-1.171,-1.089,-0.998,-0.949,-0.894,-0.835,-0.78,-0.72,-0.67,-0.611,-0.559,-0.512,-0.474,-0.441,-0.414,-0.372,-0.337,-0.309,-0.284,-0.247,-0.21,-0.181,-0.148,-0.118,-0.081,-0.049,-0.028,-0.007,0.02,0.047,0.065,0.082,0.098,0.127,0.145,0.163,0.183,0.2,0.213,0.233,0.256,0.271,0.291,0.303,0.325,0.347,0.363,0.386,0.405,0.428,0.45,0.468,0.484,0.499,0.514,0.533,0.556,0.581,0.606,0.622,0.647,0.672,0.701,0.721,0.758,0.799,0.832,0.854,0.888,0.913,0.948,0.99,1.031,1.074,1.127,1.155,1.186,1.243,1.282,1.327,1.379,1.441,1.514,1.587,1.68,1.758,1.833,1.937,2.035,2.195,2.354,2.564,2.803,3.918
ReachTEL,OTH FP,-4.415,-3.592,-3.218,-2.962,-2.741,-2.62,-2.519,-2.417,-2.308,-2.243,-2.182,-2.129,-2.03,-1.971,-1.924,-1.877,-1.843,-1.798,-1.753,-1.708,-1.667,-1.625,-1.573,-1.537,-1.501,-1.452,-1.404,-1.363,-1.332,-1.303,-1.275,-1.231,-1.201,-1.171,-1.143,-1.116,-1.086,-1.058,-1.038,-1.011,-0.986,-0.961,-0.933,-0.899,-0.866,-0.821,-0.789,-0.771,-0.73,-0.705,-0.68,-0.654,-0.631,-0.607,-0.581,-0.551,-0.528,-0.505,-0.484,-0.453,-0.421,-0.399,-0.373,-0.353,-0.327,-0.299,-0.278,-0.248,-0.219,-0.189,-0.164,-0.139,-0.117,-0.096,-0.063,-0.031,0.005,0.025,0.05,0.079,0.104,0.136,0.162,0.189,0.216,0.246,0.272,0.302,0.341,0.372,0.417,0.455,0.501,0.561,0.628,0.713,0.813,0.914,1.032,1.339,1.989
Old house effects
Newspoll,OTH FP,1.149,2.447,2.897,3.111,3.205,3.357,3.511,3.594,3.682,3.774,3.815,3.894,3.961,4.018,4.093,4.148,4.198,4.256,4.32,4.355,4.4,4.452,4.511,4.544,4.593,4.629,4.671,4.716,4.76,4.795,4.828,4.867,4.919,4.969,5.015,5.053,5.096,5.129,5.165,5.204,5.242,5.281,5.308,5.342,5.374,5.41,5.446,5.477,5.528,5.573,5.61,5.647,5.692,5.728,5.757,5.789,5.823,5.853,5.893,5.939,5.97,6.012,6.049,6.092,6.116,6.155,6.189,6.22,6.264,6.302,6.339,6.382,6.423,6.463,6.507,6.552,6.594,6.639,6.685,6.742,6.818,6.873,6.932,6.987,7.05,7.117,7.202,7.291,7.366,7.462,7.522,7.618,7.704,7.764,7.902,8.045,8.198,8.37,8.54,8.923,9.994
