House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
SMS Morgan,ALP FP,-4.789,-2.974,-2.651,-2.357,-2.194,-2.023,-1.898,-1.782,-1.694,-1.595,-1.528,-1.473,-1.419,-1.362,-1.307,-1.26,-1.196,-1.156,-1.115,-1.08,-1.04,-1.0,-0.974,-0.94,-0.905,-0.869,-0.838,-0.808,-0.784,-0.761,-0.735,-0.711,-0.689,-0.668,-0.65,-0.629,-0.614,-0.59,-0.569,-0.545,-0.527,-0.501,-0.484,-0.468,-0.45,-0.43,-0.411,-0.396,-0.372,-0.353,-0.333,-0.313,-0.291,-0.274,-0.254,-0.226,-0.204,-0.179,-0.159,-0.136,-0.109,-0.089,-0.063,-0.041,-0.016,0.015,0.041,0.063,0.087,0.113,0.15,0.191,0.224,0.253,0.285,0.311,0.355,0.39,0.43,0.463,0.506,0.545,0.598,0.638,0.688,0.736,0.781,0.853,0.917,0.966,1.062,1.143,1.233,1.314,1.398,1.482,1.594,1.858,2.082,2.41,3.575
Newspoll,ALP FP,-3.714,-2.813,-2.514,-2.333,-2.144,-2.006,-1.897,-1.801,-1.708,-1.643,-1.577,-1.519,-1.454,-1.411,-1.371,-1.323,-1.279,-1.244,-1.197,-1.159,-1.111,-1.072,-1.035,-1.012,-0.984,-0.957,-0.925,-0.898,-0.866,-0.84,-0.819,-0.797,-0.772,-0.749,-0.719,-0.697,-0.673,-0.653,-0.633,-0.617,-0.594,-0.572,-0.553,-0.533,-0.511,-0.49,-0.467,-0.452,-0.433,-0.409,-0.389,-0.37,-0.346,-0.33,-0.311,-0.288,-0.269,-0.237,-0.216,-0.197,-0.175,-0.153,-0.127,-0.102,-0.079,-0.059,-0.025,0.002,0.029,0.055,0.079,0.119,0.149,0.181,0.211,0.249,0.282,0.322,0.349,0.378,0.42,0.469,0.512,0.558,0.602,0.646,0.707,0.761,0.847,0.917,0.977,1.067,1.126,1.204,1.298,1.456,1.616,1.831,2.108,2.476,4.012
Essential,ALP FP,-4.915,-3.352,-2.81,-2.519,-2.345,-2.165,-2.036,-1.887,-1.759,-1.651,-1.558,-1.48,-1.41,-1.355,-1.299,-1.248,-1.214,-1.165,-1.118,-1.084,-1.034,-0.997,-0.952,-0.913,-0.875,-0.835,-0.806,-0.775,-0.754,-0.722,-0.701,-0.673,-0.651,-0.628,-0.607,-0.588,-0.568,-0.545,-0.522,-0.502,-0.487,-0.468,-0.446,-0.417,-0.395,-0.372,-0.348,-0.33,-0.307,-0.283,-0.26,-0.237,-0.213,-0.192,-0.168,-0.144,-0.118,-0.091,-0.058,-0.031,-0.003,0.023,0.048,0.07,0.095,0.113,0.142,0.173,0.198,0.236,0.258,0.286,0.323,0.355,0.401,0.436,0.467,0.503,0.54,0.588,0.635,0.687,0.736,0.788,0.832,0.905,0.969,1.017,1.083,1.158,1.241,1.309,1.407,1.509,1.669,1.84,2.001,2.249,2.503,2.926,6.075
Newspoll2,ALP FP,-2.487,-1.736,-1.528,-1.398,-1.287,-1.19,-1.13,-1.064,-1.012,-0.966,-0.911,-0.876,-0.835,-0.801,-0.768,-0.736,-0.708,-0.68,-0.657,-0.633,-0.61,-0.579,-0.555,-0.534,-0.514,-0.488,-0.47,-0.448,-0.43,-0.41,-0.385,-0.367,-0.346,-0.329,-0.301,-0.279,-0.253,-0.226,-0.195,-0.177,-0.155,-0.134,-0.112,-0.09,-0.067,-0.041,-0.016,0.011,0.028,0.04,0.059,0.073,0.095,0.116,0.143,0.167,0.189,0.213,0.233,0.258,0.284,0.307,0.327,0.352,0.38,0.4,0.424,0.447,0.479,0.501,0.525,0.56,0.597,0.627,0.661,0.693,0.727,0.757,0.784,0.822,0.864,0.904,0.943,0.981,1.021,1.058,1.098,1.139,1.185,1.24,1.287,1.366,1.431,1.488,1.598,1.728,1.841,2.019,2.22,2.519,3.48
ReachTEL,ALP FP,-2.682,-2.067,-1.891,-1.816,-1.747,-1.687,-1.646,-1.599,-1.557,-1.524,-1.487,-1.464,-1.44,-1.415,-1.386,-1.366,-1.343,-1.323,-1.306,-1.285,-1.267,-1.247,-1.23,-1.21,-1.191,-1.176,-1.16,-1.144,-1.131,-1.118,-1.103,-1.084,-1.069,-1.053,-1.038,-1.024,-1.011,-1.0,-0.985,-0.973,-0.958,-0.942,-0.932,-0.922,-0.911,-0.898,-0.885,-0.873,-0.861,-0.852,-0.841,-0.831,-0.82,-0.809,-0.797,-0.785,-0.774,-0.764,-0.752,-0.737,-0.727,-0.716,-0.702,-0.691,-0.679,-0.67,-0.662,-0.651,-0.64,-0.629,-0.619,-0.608,-0.6,-0.587,-0.575,-0.564,-0.546,-0.536,-0.524,-0.51,-0.497,-0.485,-0.469,-0.457,-0.439,-0.425,-0.404,-0.383,-0.365,-0.341,-0.316,-0.292,-0.274,-0.252,-0.208,-0.176,-0.125,-0.076,-0.001,0.105,0.468
Galaxy,ALP FP,-2.51,-1.826,-1.617,-1.469,-1.376,-1.318,-1.264,-1.214,-1.167,-1.119,-1.084,-1.048,-1.016,-0.973,-0.947,-0.915,-0.889,-0.859,-0.831,-0.812,-0.789,-0.766,-0.747,-0.726,-0.706,-0.686,-0.668,-0.65,-0.637,-0.616,-0.602,-0.585,-0.568,-0.551,-0.536,-0.525,-0.511,-0.499,-0.486,-0.474,-0.456,-0.439,-0.423,-0.408,-0.392,-0.377,-0.358,-0.338,-0.316,-0.297,-0.286,-0.27,-0.254,-0.229,-0.211,-0.195,-0.177,-0.159,-0.136,-0.12,-0.1,-0.086,-0.068,-0.049,-0.026,-0.009,0.013,0.034,0.052,0.071,0.095,0.119,0.138,0.161,0.189,0.217,0.24,0.269,0.294,0.319,0.344,0.379,0.407,0.435,0.457,0.493,0.527,0.566,0.604,0.648,0.699,0.756,0.827,0.9,0.968,1.049,1.168,1.307,1.451,1.735,2.541
uComms,ALP FP,-3.247,-2.306,-2.045,-1.841,-1.719,-1.594,-1.502,-1.442,-1.392,-1.33,-1.282,-1.233,-1.183,-1.138,-1.089,-1.064,-1.017,-0.993,-0.96,-0.927,-0.899,-0.87,-0.85,-0.82,-0.8,-0.777,-0.756,-0.723,-0.7,-0.67,-0.652,-0.635,-0.617,-0.598,-0.576,-0.559,-0.541,-0.525,-0.506,-0.486,-0.467,-0.444,-0.42,-0.399,-0.378,-0.361,-0.344,-0.321,-0.299,-0.278,-0.256,-0.239,-0.223,-0.209,-0.191,-0.171,-0.146,-0.118,-0.094,-0.073,-0.049,-0.027,-0.001,0.014,0.038,0.061,0.088,0.113,0.143,0.162,0.182,0.203,0.244,0.274,0.308,0.342,0.374,0.406,0.447,0.481,0.514,0.546,0.587,0.617,0.67,0.728,0.764,0.821,0.878,0.947,1.019,1.086,1.138,1.209,1.333,1.415,1.533,1.706,1.966,2.371,3.199
Approvals,ALP FP,-4.718,-3.65,-3.167,-2.838,-2.589,-2.422,-2.29,-2.186,-2.106,-2.009,-1.919,-1.843,-1.801,-1.742,-1.692,-1.637,-1.588,-1.539,-1.491,-1.452,-1.407,-1.376,-1.338,-1.304,-1.268,-1.239,-1.188,-1.161,-1.128,-1.104,-1.076,-1.055,-1.021,-0.994,-0.971,-0.941,-0.919,-0.896,-0.869,-0.844,-0.829,-0.802,-0.784,-0.762,-0.744,-0.721,-0.697,-0.677,-0.655,-0.64,-0.619,-0.594,-0.578,-0.562,-0.543,-0.522,-0.503,-0.487,-0.469,-0.446,-0.423,-0.401,-0.383,-0.356,-0.337,-0.314,-0.296,-0.271,-0.248,-0.221,-0.199,-0.172,-0.136,-0.112,-0.086,-0.047,-0.013,0.021,0.059,0.097,0.127,0.156,0.192,0.223,0.287,0.335,0.395,0.436,0.485,0.534,0.594,0.655,0.751,0.849,0.941,1.039,1.185,1.336,1.604,1.981,3.102
