House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Essential,@TPP,-1.875,-1.427,-1.329,-1.258,-1.199,-1.147,-1.108,-1.081,-1.051,-1.019,-0.993,-0.967,-0.944,-0.924,-0.903,-0.881,-0.863,-0.844,-0.83,-0.811,-0.796,-0.779,-0.764,-0.748,-0.733,-0.718,-0.704,-0.692,-0.678,-0.665,-0.652,-0.642,-0.632,-0.62,-0.611,-0.6,-0.589,-0.576,-0.567,-0.556,-0.548,-0.536,-0.524,-0.514,-0.503,-0.494,-0.484,-0.473,-0.463,-0.455,-0.444,-0.435,-0.422,-0.414,-0.404,-0.394,-0.382,-0.371,-0.362,-0.353,-0.341,-0.331,-0.319,-0.308,-0.297,-0.286,-0.275,-0.264,-0.254,-0.243,-0.233,-0.222,-0.21,-0.2,-0.189,-0.177,-0.164,-0.15,-0.137,-0.125,-0.113,-0.099,-0.087,-0.074,-0.06,-0.05,-0.034,-0.019,0.001,0.02,0.042,0.063,0.086,0.11,0.143,0.178,0.215,0.269,0.326,0.447,0.773
Newspoll2,@TPP,-0.73,-0.447,-0.354,-0.294,-0.241,-0.202,-0.173,-0.147,-0.123,-0.102,-0.084,-0.069,-0.052,-0.038,-0.026,-0.012,0.001,0.011,0.023,0.035,0.047,0.059,0.069,0.079,0.09,0.104,0.117,0.127,0.138,0.147,0.157,0.166,0.176,0.187,0.199,0.21,0.22,0.228,0.235,0.244,0.254,0.262,0.271,0.28,0.288,0.296,0.305,0.317,0.326,0.335,0.344,0.353,0.364,0.377,0.386,0.396,0.407,0.419,0.428,0.439,0.449,0.461,0.47,0.48,0.489,0.499,0.509,0.521,0.531,0.543,0.552,0.564,0.576,0.587,0.6,0.612,0.627,0.641,0.657,0.671,0.687,0.704,0.72,0.737,0.757,0.773,0.79,0.81,0.827,0.846,0.869,0.893,0.915,0.95,0.983,1.026,1.066,1.132,1.199,1.312,1.611
Ipsos,@TPP,-1.657,-1.177,-1.049,-0.97,-0.896,-0.844,-0.799,-0.762,-0.737,-0.702,-0.674,-0.644,-0.619,-0.595,-0.572,-0.546,-0.525,-0.507,-0.488,-0.47,-0.452,-0.435,-0.418,-0.402,-0.386,-0.371,-0.358,-0.345,-0.332,-0.321,-0.309,-0.297,-0.288,-0.278,-0.266,-0.256,-0.243,-0.23,-0.22,-0.208,-0.197,-0.188,-0.177,-0.166,-0.156,-0.145,-0.134,-0.125,-0.117,-0.104,-0.093,-0.085,-0.074,-0.064,-0.053,-0.042,-0.031,-0.023,-0.014,-0.005,0.005,0.015,0.025,0.035,0.047,0.056,0.066,0.077,0.087,0.097,0.108,0.119,0.131,0.144,0.159,0.171,0.184,0.199,0.214,0.229,0.243,0.255,0.271,0.286,0.311,0.332,0.353,0.372,0.391,0.406,0.43,0.458,0.486,0.517,0.555,0.601,0.644,0.714,0.781,0.894,1.435
ReachTEL,@TPP,-4.145,-2.694,-2.255,-1.991,-1.815,-1.648,-1.541,-1.455,-1.349,-1.264,-1.192,-1.122,-1.064,-1.001,-0.949,-0.907,-0.861,-0.819,-0.769,-0.734,-0.693,-0.656,-0.622,-0.588,-0.559,-0.525,-0.499,-0.471,-0.442,-0.409,-0.381,-0.353,-0.327,-0.297,-0.271,-0.247,-0.219,-0.195,-0.174,-0.154,-0.132,-0.113,-0.097,-0.078,-0.057,-0.04,-0.022,-0.006,0.007,0.026,0.042,0.058,0.081,0.101,0.12,0.144,0.165,0.184,0.202,0.221,0.243,0.264,0.287,0.307,0.327,0.353,0.38,0.401,0.427,0.45,0.476,0.506,0.539,0.568,0.598,0.627,0.658,0.697,0.73,0.763,0.801,0.841,0.884,0.928,0.969,1.023,1.071,1.121,1.174,1.24,1.318,1.395,1.467,1.575,1.696,1.826,2.013,2.203,2.484,2.987,4.906
YouGov,@TPP,-4.818,-3.169,-2.674,-2.385,-2.182,-2.015,-1.839,-1.722,-1.616,-1.517,-1.421,-1.352,-1.278,-1.208,-1.154,-1.099,-1.044,-0.988,-0.935,-0.89,-0.851,-0.811,-0.772,-0.737,-0.699,-0.655,-0.618,-0.586,-0.56,-0.533,-0.501,-0.473,-0.446,-0.421,-0.396,-0.364,-0.34,-0.318,-0.296,-0.274,-0.253,-0.232,-0.207,-0.182,-0.16,-0.142,-0.123,-0.096,-0.073,-0.051,-0.033,-0.012,0.008,0.023,0.041,0.059,0.076,0.1,0.117,0.138,0.163,0.182,0.21,0.231,0.257,0.281,0.301,0.325,0.352,0.376,0.401,0.428,0.457,0.494,0.528,0.565,0.598,0.634,0.668,0.704,0.747,0.785,0.834,0.868,0.916,0.962,1.01,1.071,1.129,1.202,1.283,1.35,1.445,1.543,1.648,1.818,1.975,2.243,2.56,3.075,4.509
Morgan multi-mode,@TPP,-1.049,-0.733,-0.604,-0.512,-0.456,-0.396,-0.357,-0.309,-0.276,-0.248,-0.22,-0.195,-0.173,-0.151,-0.13,-0.113,-0.091,-0.074,-0.056,-0.043,-0.03,-0.016,-0.004,0.009,0.022,0.037,0.05,0.064,0.075,0.088,0.1,0.113,0.126,0.137,0.151,0.164,0.175,0.186,0.202,0.215,0.228,0.244,0.257,0.269,0.281,0.296,0.311,0.326,0.339,0.35,0.365,0.378,0.393,0.404,0.42,0.433,0.448,0.46,0.474,0.488,0.501,0.515,0.528,0.541,0.553,0.568,0.584,0.598,0.616,0.631,0.648,0.665,0.68,0.697,0.713,0.733,0.75,0.767,0.785,0.805,0.82,0.849,0.869,0.891,0.913,0.935,0.955,0.979,1.009,1.038,1.076,1.109,1.152,1.187,1.228,1.278,1.336,1.414,1.503,1.68,2.182
uComms,@TPP,-4.277,-2.946,-2.585,-2.348,-2.198,-2.075,-1.944,-1.832,-1.758,-1.679,-1.601,-1.533,-1.481,-1.428,-1.367,-1.312,-1.251,-1.209,-1.165,-1.118,-1.074,-1.033,-0.989,-0.954,-0.928,-0.895,-0.86,-0.827,-0.795,-0.763,-0.735,-0.706,-0.671,-0.642,-0.614,-0.584,-0.556,-0.531,-0.502,-0.478,-0.455,-0.434,-0.412,-0.393,-0.368,-0.344,-0.322,-0.299,-0.278,-0.26,-0.243,-0.22,-0.199,-0.178,-0.159,-0.139,-0.117,-0.098,-0.077,-0.056,-0.036,-0.018,0.001,0.016,0.037,0.055,0.077,0.094,0.111,0.135,0.162,0.18,0.205,0.229,0.253,0.279,0.3,0.323,0.349,0.373,0.4,0.432,0.468,0.501,0.533,0.571,0.616,0.663,0.722,0.769,0.818,0.878,0.939,1.006,1.083,1.169,1.283,1.436,1.665,1.98,2.895
Galaxy,@TPP,-1.654,-1.222,-1.052,-0.927,-0.846,-0.768,-0.714,-0.662,-0.608,-0.563,-0.522,-0.493,-0.461,-0.433,-0.408,-0.381,-0.358,-0.329,-0.308,-0.287,-0.268,-0.246,-0.228,-0.211,-0.192,-0.175,-0.158,-0.141,-0.125,-0.108,-0.093,-0.077,-0.061,-0.046,-0.03,-0.019,-0.004,0.011,0.023,0.037,0.05,0.068,0.084,0.097,0.11,0.124,0.141,0.153,0.171,0.186,0.201,0.215,0.229,0.244,0.26,0.273,0.29,0.309,0.323,0.339,0.356,0.37,0.384,0.399,0.417,0.436,0.453,0.469,0.489,0.508,0.528,0.548,0.568,0.586,0.603,0.623,0.645,0.663,0.684,0.709,0.737,0.757,0.784,0.809,0.837,0.869,0.906,0.939,0.967,1.013,1.053,1.099,1.145,1.2,1.263,1.33,1.416,1.532,1.67,1.895,2.466
