House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Essential,@TPP,-2.336,-1.461,-1.266,-1.109,-1.007,-0.912,-0.85,-0.776,-0.707,-0.668,-0.636,-0.585,-0.537,-0.501,-0.461,-0.428,-0.395,-0.369,-0.336,-0.314,-0.283,-0.261,-0.237,-0.213,-0.193,-0.171,-0.153,-0.136,-0.125,-0.11,-0.086,-0.069,-0.052,-0.034,-0.017,0.002,0.02,0.034,0.046,0.063,0.077,0.09,0.103,0.122,0.139,0.153,0.163,0.177,0.191,0.21,0.225,0.242,0.257,0.269,0.285,0.303,0.316,0.329,0.343,0.365,0.385,0.403,0.422,0.439,0.455,0.484,0.507,0.523,0.544,0.559,0.577,0.6,0.623,0.653,0.68,0.704,0.727,0.751,0.779,0.805,0.828,0.855,0.885,0.913,0.95,0.99,1.018,1.049,1.086,1.143,1.184,1.232,1.284,1.35,1.437,1.505,1.607,1.744,1.891,2.149,2.769
Galaxy,@TPP,-3.368,-2.467,-2.119,-1.868,-1.7,-1.582,-1.466,-1.409,-1.333,-1.268,-1.195,-1.151,-1.113,-1.065,-1.011,-0.968,-0.908,-0.876,-0.847,-0.817,-0.785,-0.742,-0.711,-0.674,-0.647,-0.621,-0.592,-0.57,-0.545,-0.516,-0.491,-0.466,-0.443,-0.416,-0.395,-0.365,-0.344,-0.319,-0.295,-0.277,-0.258,-0.24,-0.224,-0.205,-0.176,-0.163,-0.137,-0.113,-0.095,-0.077,-0.059,-0.04,-0.029,-0.017,-0.002,0.016,0.031,0.053,0.071,0.089,0.101,0.116,0.135,0.154,0.172,0.19,0.203,0.223,0.241,0.262,0.282,0.298,0.317,0.337,0.357,0.382,0.405,0.426,0.452,0.474,0.501,0.525,0.553,0.586,0.62,0.653,0.692,0.736,0.777,0.816,0.863,0.911,0.958,1.039,1.106,1.213,1.338,1.45,1.598,1.916,3.201
Newspoll2,@TPP,-2.168,-1.49,-1.282,-1.128,-1.035,-0.961,-0.89,-0.83,-0.761,-0.71,-0.68,-0.638,-0.592,-0.566,-0.532,-0.506,-0.479,-0.447,-0.425,-0.402,-0.385,-0.359,-0.332,-0.313,-0.286,-0.269,-0.251,-0.222,-0.199,-0.172,-0.155,-0.14,-0.121,-0.097,-0.088,-0.07,-0.048,-0.033,-0.021,-0.007,0.005,0.017,0.03,0.045,0.057,0.074,0.092,0.107,0.118,0.134,0.145,0.159,0.17,0.181,0.2,0.217,0.232,0.244,0.26,0.272,0.291,0.307,0.323,0.336,0.346,0.364,0.383,0.4,0.419,0.437,0.453,0.463,0.477,0.494,0.509,0.527,0.546,0.569,0.595,0.62,0.642,0.673,0.706,0.727,0.754,0.777,0.805,0.828,0.862,0.893,0.931,0.974,1.021,1.066,1.12,1.2,1.277,1.361,1.467,1.663,2.216
SMS Morgan,@TPP,-3.053,-2.163,-1.891,-1.708,-1.563,-1.403,-1.286,-1.195,-1.128,-1.066,-1.011,-0.962,-0.904,-0.86,-0.812,-0.765,-0.721,-0.664,-0.632,-0.602,-0.57,-0.536,-0.507,-0.481,-0.446,-0.42,-0.391,-0.368,-0.346,-0.325,-0.3,-0.276,-0.256,-0.241,-0.218,-0.195,-0.173,-0.147,-0.127,-0.104,-0.089,-0.063,-0.043,-0.027,-0.004,0.014,0.035,0.055,0.075,0.093,0.109,0.119,0.131,0.149,0.166,0.178,0.195,0.211,0.231,0.25,0.268,0.283,0.302,0.32,0.339,0.362,0.382,0.404,0.422,0.446,0.473,0.493,0.516,0.539,0.558,0.58,0.606,0.645,0.668,0.691,0.719,0.75,0.776,0.83,0.873,0.909,0.958,1.003,1.043,1.101,1.16,1.223,1.281,1.372,1.454,1.539,1.671,1.792,1.942,2.248,3.184
Approvals,@TPP,-2.682,-1.767,-1.377,-1.192,-1.07,-0.938,-0.861,-0.801,-0.735,-0.673,-0.623,-0.564,-0.521,-0.478,-0.443,-0.407,-0.37,-0.341,-0.317,-0.282,-0.257,-0.233,-0.195,-0.177,-0.15,-0.131,-0.1,-0.076,-0.057,-0.04,-0.016,0.003,0.017,0.034,0.049,0.07,0.087,0.103,0.125,0.142,0.16,0.173,0.189,0.209,0.224,0.24,0.254,0.275,0.293,0.312,0.332,0.349,0.368,0.382,0.401,0.42,0.438,0.456,0.478,0.499,0.525,0.545,0.565,0.592,0.62,0.654,0.677,0.704,0.729,0.759,0.793,0.817,0.84,0.868,0.903,0.937,0.965,0.997,1.036,1.074,1.114,1.153,1.194,1.239,1.287,1.33,1.373,1.418,1.466,1.527,1.588,1.671,1.787,1.863,1.918,2.024,2.196,2.361,2.595,3.13,4.389
Old house effects
Essential,@TPP,-1.899,-1.343,-1.077,-0.955,-0.849,-0.775,-0.694,-0.615,-0.565,-0.506,-0.454,-0.402,-0.356,-0.324,-0.287,-0.253,-0.234,-0.205,-0.185,-0.166,-0.144,-0.125,-0.111,-0.083,-0.061,-0.046,-0.027,-0.009,0.009,0.027,0.046,0.059,0.074,0.089,0.104,0.119,0.13,0.142,0.157,0.171,0.188,0.209,0.223,0.235,0.253,0.272,0.287,0.309,0.32,0.334,0.35,0.363,0.376,0.392,0.406,0.419,0.433,0.448,0.469,0.486,0.501,0.517,0.531,0.544,0.555,0.576,0.598,0.614,0.637,0.663,0.683,0.705,0.727,0.748,0.77,0.796,0.829,0.857,0.88,0.901,0.922,0.955,0.983,1.013,1.049,1.079,1.112,1.153,1.199,1.239,1.295,1.342,1.423,1.468,1.547,1.648,1.724,1.914,2.143,2.368,3.203
Galaxy,@TPP,-2.327,-1.836,-1.638,-1.484,-1.34,-1.277,-1.201,-1.157,-1.106,-1.059,-1.017,-0.957,-0.908,-0.872,-0.839,-0.786,-0.756,-0.71,-0.68,-0.654,-0.637,-0.609,-0.574,-0.551,-0.526,-0.511,-0.488,-0.469,-0.451,-0.43,-0.41,-0.392,-0.375,-0.356,-0.34,-0.314,-0.294,-0.275,-0.258,-0.238,-0.222,-0.201,-0.184,-0.165,-0.15,-0.13,-0.113,-0.097,-0.083,-0.064,-0.047,-0.032,-0.017,-0.003,0.01,0.027,0.043,0.058,0.074,0.089,0.108,0.127,0.138,0.155,0.171,0.185,0.196,0.213,0.231,0.248,0.263,0.281,0.296,0.318,0.334,0.352,0.366,0.387,0.411,0.431,0.456,0.478,0.504,0.533,0.563,0.587,0.61,0.639,0.668,0.714,0.746,0.797,0.843,0.896,0.958,1.034,1.104,1.214,1.362,1.57,2.272
