House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Essential,OTH FP,-3.684,-1.992,-1.634,-1.449,-1.233,-1.11,-1.022,-0.887,-0.806,-0.74,-0.677,-0.633,-0.584,-0.54,-0.495,-0.453,-0.423,-0.388,-0.353,-0.318,-0.279,-0.251,-0.228,-0.194,-0.161,-0.136,-0.112,-0.086,-0.064,-0.044,-0.021,-0.002,0.02,0.044,0.064,0.085,0.102,0.125,0.137,0.156,0.176,0.191,0.209,0.23,0.249,0.267,0.287,0.301,0.322,0.339,0.353,0.373,0.391,0.412,0.433,0.447,0.467,0.488,0.506,0.534,0.558,0.582,0.6,0.617,0.638,0.661,0.691,0.718,0.751,0.776,0.804,0.832,0.869,0.903,0.943,0.969,0.999,1.021,1.053,1.096,1.14,1.174,1.22,1.266,1.31,1.347,1.394,1.439,1.529,1.603,1.676,1.737,1.818,1.916,2.041,2.135,2.25,2.396,2.636,3.073,5.151
Galaxy,OTH FP,-2.228,-1.472,-1.225,-1.084,-1.001,-0.925,-0.849,-0.782,-0.732,-0.687,-0.64,-0.589,-0.553,-0.506,-0.482,-0.447,-0.418,-0.386,-0.358,-0.324,-0.293,-0.265,-0.242,-0.222,-0.197,-0.175,-0.148,-0.122,-0.105,-0.086,-0.072,-0.055,-0.033,-0.01,0.003,0.024,0.039,0.056,0.068,0.082,0.099,0.112,0.125,0.135,0.144,0.161,0.173,0.189,0.208,0.221,0.236,0.249,0.261,0.276,0.293,0.31,0.323,0.337,0.349,0.365,0.376,0.39,0.406,0.421,0.435,0.458,0.472,0.491,0.511,0.528,0.545,0.564,0.581,0.604,0.623,0.639,0.665,0.685,0.705,0.725,0.749,0.77,0.804,0.845,0.867,0.901,0.929,0.959,0.986,1.02,1.066,1.114,1.165,1.245,1.309,1.406,1.504,1.609,1.86,2.178,2.848
Newspoll2,OTH FP,-3.449,-2.736,-2.312,-2.135,-2.031,-1.885,-1.787,-1.716,-1.645,-1.58,-1.52,-1.453,-1.403,-1.352,-1.293,-1.248,-1.185,-1.132,-1.089,-1.064,-1.026,-0.991,-0.955,-0.919,-0.885,-0.847,-0.813,-0.778,-0.75,-0.729,-0.703,-0.678,-0.648,-0.623,-0.602,-0.586,-0.562,-0.539,-0.513,-0.49,-0.472,-0.447,-0.429,-0.406,-0.392,-0.365,-0.346,-0.322,-0.304,-0.283,-0.265,-0.248,-0.227,-0.209,-0.187,-0.168,-0.147,-0.128,-0.11,-0.092,-0.076,-0.056,-0.037,-0.019,-0.001,0.014,0.033,0.057,0.083,0.098,0.123,0.142,0.169,0.187,0.208,0.228,0.251,0.265,0.291,0.318,0.338,0.363,0.378,0.402,0.426,0.462,0.492,0.521,0.561,0.595,0.635,0.668,0.717,0.774,0.825,0.896,0.983,1.086,1.244,1.47,2.482
SMS Morgan,OTH FP,-2.612,-1.585,-1.329,-1.154,-1.021,-0.916,-0.826,-0.739,-0.671,-0.601,-0.559,-0.489,-0.452,-0.419,-0.363,-0.316,-0.27,-0.246,-0.215,-0.189,-0.167,-0.134,-0.105,-0.071,-0.047,-0.015,0.0,0.021,0.038,0.067,0.082,0.102,0.123,0.143,0.155,0.18,0.194,0.212,0.227,0.243,0.259,0.278,0.294,0.309,0.325,0.343,0.364,0.388,0.406,0.426,0.446,0.462,0.483,0.5,0.522,0.549,0.568,0.589,0.614,0.633,0.653,0.674,0.7,0.728,0.747,0.773,0.797,0.825,0.85,0.879,0.907,0.93,0.961,0.992,1.018,1.052,1.088,1.12,1.158,1.186,1.222,1.256,1.303,1.355,1.398,1.45,1.491,1.533,1.594,1.659,1.742,1.803,1.859,1.945,2.046,2.155,2.248,2.397,2.579,2.973,3.877
Old house effects
Essential,OTH FP,-2.328,-1.311,-1.029,-0.896,-0.782,-0.691,-0.61,-0.526,-0.465,-0.41,-0.353,-0.308,-0.267,-0.236,-0.204,-0.173,-0.139,-0.111,-0.091,-0.069,-0.042,-0.022,-0.003,0.014,0.033,0.06,0.084,0.102,0.123,0.145,0.166,0.185,0.199,0.211,0.226,0.243,0.271,0.289,0.311,0.329,0.346,0.36,0.377,0.391,0.415,0.436,0.452,0.473,0.489,0.506,0.525,0.543,0.561,0.584,0.609,0.632,0.658,0.683,0.703,0.721,0.731,0.755,0.778,0.8,0.822,0.853,0.879,0.908,0.93,0.958,0.992,1.012,1.044,1.068,1.093,1.115,1.148,1.179,1.224,1.267,1.312,1.355,1.398,1.433,1.496,1.536,1.596,1.654,1.713,1.759,1.818,1.896,1.968,2.046,2.137,2.266,2.369,2.535,2.756,3.2,3.805
Galaxy,OTH FP,-2.628,-1.827,-1.617,-1.486,-1.314,-1.204,-1.119,-1.057,-1.013,-0.961,-0.917,-0.874,-0.844,-0.802,-0.771,-0.724,-0.682,-0.644,-0.613,-0.587,-0.565,-0.545,-0.518,-0.48,-0.451,-0.431,-0.408,-0.389,-0.366,-0.338,-0.322,-0.306,-0.286,-0.259,-0.242,-0.224,-0.208,-0.195,-0.178,-0.164,-0.148,-0.133,-0.117,-0.099,-0.087,-0.075,-0.062,-0.044,-0.027,-0.015,-0.002,0.012,0.027,0.046,0.059,0.075,0.093,0.108,0.122,0.136,0.149,0.165,0.18,0.197,0.211,0.229,0.24,0.253,0.268,0.278,0.297,0.311,0.326,0.341,0.36,0.378,0.397,0.414,0.433,0.455,0.469,0.489,0.511,0.534,0.556,0.582,0.609,0.645,0.67,0.704,0.743,0.786,0.822,0.875,0.922,0.981,1.037,1.134,1.245,1.43,2.372
Newspoll2,OTH FP,-3.823,-2.39,-2.036,-1.804,-1.661,-1.543,-1.421,-1.333,-1.261,-1.193,-1.144,-1.094,-1.038,-0.99,-0.951,-0.915,-0.866,-0.814,-0.77,-0.734,-0.699,-0.646,-0.624,-0.59,-0.562,-0.538,-0.496,-0.472,-0.434,-0.409,-0.385,-0.346,-0.322,-0.294,-0.271,-0.241,-0.225,-0.203,-0.175,-0.149,-0.132,-0.113,-0.089,-0.069,-0.05,-0.031,-0.01,0.01,0.033,0.059,0.077,0.101,0.114,0.132,0.156,0.174,0.188,0.204,0.224,0.243,0.259,0.274,0.294,0.316,0.338,0.355,0.379,0.395,0.416,0.439,0.464,0.492,0.518,0.541,0.567,0.594,0.62,0.638,0.658,0.688,0.727,0.758,0.796,0.833,0.865,0.907,0.949,1.001,1.058,1.109,1.166,1.216,1.298,1.355,1.433,1.544,1.74,1.838,2.022,2.503,4.55
