House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Essential,@TPP,-4.02,-3.075,-2.677,-2.396,-2.258,-2.079,-1.904,-1.752,-1.662,-1.589,-1.465,-1.369,-1.319,-1.281,-1.238,-1.191,-1.145,-1.105,-1.052,-1.018,-0.985,-0.948,-0.91,-0.874,-0.842,-0.805,-0.767,-0.737,-0.71,-0.674,-0.641,-0.623,-0.584,-0.562,-0.539,-0.513,-0.481,-0.451,-0.421,-0.397,-0.376,-0.348,-0.327,-0.305,-0.283,-0.246,-0.223,-0.195,-0.179,-0.16,-0.134,-0.122,-0.103,-0.085,-0.066,-0.046,-0.027,-0.006,0.016,0.041,0.054,0.076,0.096,0.111,0.13,0.151,0.163,0.186,0.203,0.219,0.239,0.257,0.283,0.3,0.319,0.34,0.364,0.387,0.411,0.442,0.466,0.489,0.52,0.544,0.577,0.6,0.635,0.68,0.724,0.766,0.806,0.864,0.911,0.975,1.043,1.098,1.226,1.341,1.462,1.75,2.574
Galaxy,@TPP,-5.174,-3.607,-3.015,-2.617,-2.447,-2.246,-2.039,-1.881,-1.752,-1.665,-1.602,-1.522,-1.465,-1.411,-1.336,-1.269,-1.205,-1.165,-1.102,-1.056,-1.005,-0.959,-0.919,-0.871,-0.827,-0.795,-0.769,-0.737,-0.7,-0.669,-0.64,-0.607,-0.566,-0.537,-0.506,-0.471,-0.442,-0.411,-0.383,-0.347,-0.322,-0.296,-0.269,-0.23,-0.198,-0.169,-0.148,-0.122,-0.101,-0.074,-0.054,-0.029,-0.006,0.01,0.029,0.05,0.079,0.089,0.114,0.134,0.158,0.18,0.198,0.216,0.229,0.251,0.272,0.294,0.308,0.336,0.361,0.381,0.411,0.433,0.468,0.496,0.516,0.557,0.587,0.618,0.658,0.683,0.712,0.738,0.781,0.819,0.844,0.877,0.904,0.966,1.018,1.063,1.131,1.221,1.305,1.44,1.579,1.75,1.981,2.253,3.971
uComms,@TPP,-9.592,-7.516,-7.059,-6.551,-6.204,-6.062,-5.914,-5.722,-5.596,-5.479,-5.4,-5.274,-5.121,-5.028,-4.915,-4.81,-4.724,-4.636,-4.553,-4.44,-4.36,-4.286,-4.212,-4.148,-4.097,-4.034,-3.961,-3.885,-3.823,-3.768,-3.721,-3.643,-3.593,-3.532,-3.5,-3.45,-3.392,-3.336,-3.27,-3.218,-3.183,-3.134,-3.098,-3.057,-2.993,-2.944,-2.911,-2.87,-2.806,-2.75,-2.705,-2.66,-2.612,-2.551,-2.497,-2.451,-2.407,-2.348,-2.294,-2.244,-2.171,-2.106,-2.043,-1.985,-1.918,-1.887,-1.814,-1.744,-1.697,-1.656,-1.597,-1.545,-1.504,-1.463,-1.42,-1.377,-1.309,-1.236,-1.187,-1.13,-1.06,-1.001,-0.948,-0.88,-0.818,-0.724,-0.646,-0.593,-0.528,-0.493,-0.409,-0.31,-0.23,-0.165,-0.079,-0.006,0.127,0.242,0.405,0.656,1.286
Newspoll2,@TPP,-0.939,-0.468,-0.265,-0.132,-0.029,0.07,0.136,0.173,0.221,0.264,0.309,0.349,0.403,0.438,0.494,0.519,0.564,0.607,0.638,0.663,0.692,0.726,0.77,0.795,0.831,0.855,0.883,0.917,0.939,0.968,0.997,1.017,1.052,1.083,1.11,1.139,1.171,1.195,1.227,1.256,1.295,1.325,1.364,1.406,1.432,1.457,1.492,1.528,1.561,1.581,1.622,1.661,1.691,1.73,1.773,1.799,1.82,1.866,1.897,1.924,1.968,2.002,2.038,2.068,2.118,2.151,2.182,2.212,2.244,2.276,2.307,2.343,2.371,2.432,2.485,2.53,2.574,2.629,2.663,2.713,2.765,2.817,2.876,2.933,3.012,3.069,3.123,3.225,3.305,3.374,3.468,3.57,3.672,3.767,3.918,4.085,4.223,4.467,4.704,5.413,7.173
Old house effects
Essential,@TPP,-2.977,-1.946,-1.621,-1.35,-1.209,-1.124,-1.0,-0.919,-0.842,-0.793,-0.736,-0.695,-0.655,-0.61,-0.578,-0.541,-0.497,-0.46,-0.426,-0.4,-0.373,-0.344,-0.321,-0.298,-0.273,-0.255,-0.237,-0.216,-0.2,-0.182,-0.161,-0.137,-0.115,-0.098,-0.082,-0.061,-0.045,-0.03,-0.011,0.001,0.013,0.031,0.051,0.069,0.08,0.098,0.116,0.13,0.142,0.153,0.162,0.179,0.193,0.205,0.219,0.235,0.252,0.262,0.271,0.285,0.301,0.318,0.332,0.347,0.364,0.378,0.392,0.404,0.423,0.446,0.466,0.487,0.504,0.524,0.545,0.571,0.591,0.614,0.646,0.671,0.693,0.724,0.751,0.77,0.799,0.824,0.847,0.875,0.936,0.968,0.999,1.043,1.092,1.149,1.205,1.323,1.442,1.536,1.634,1.889,2.689
Galaxy,@TPP,-3.557,-2.482,-2.271,-2.047,-1.883,-1.746,-1.609,-1.496,-1.398,-1.294,-1.207,-1.123,-1.05,-0.981,-0.94,-0.901,-0.869,-0.839,-0.807,-0.764,-0.733,-0.689,-0.652,-0.618,-0.589,-0.554,-0.533,-0.505,-0.463,-0.43,-0.397,-0.369,-0.344,-0.315,-0.286,-0.257,-0.233,-0.206,-0.188,-0.173,-0.158,-0.136,-0.119,-0.098,-0.076,-0.053,-0.036,-0.022,-0.006,0.012,0.029,0.049,0.072,0.095,0.111,0.124,0.138,0.15,0.165,0.186,0.205,0.217,0.232,0.248,0.256,0.276,0.29,0.314,0.329,0.349,0.37,0.393,0.404,0.427,0.455,0.475,0.503,0.525,0.557,0.584,0.617,0.648,0.675,0.71,0.742,0.781,0.826,0.857,0.901,0.952,0.995,1.047,1.122,1.226,1.303,1.386,1.499,1.731,1.87,2.269,3.016
uComms,@TPP,-7.087,-5.172,-4.582,-4.128,-3.684,-3.491,-3.253,-3.089,-2.989,-2.805,-2.619,-2.522,-2.41,-2.273,-2.173,-2.071,-1.96,-1.887,-1.801,-1.707,-1.646,-1.574,-1.515,-1.447,-1.37,-1.3,-1.244,-1.196,-1.158,-1.103,-1.048,-1.006,-0.95,-0.889,-0.826,-0.775,-0.735,-0.694,-0.649,-0.609,-0.575,-0.527,-0.502,-0.479,-0.444,-0.426,-0.392,-0.349,-0.319,-0.295,-0.267,-0.24,-0.204,-0.177,-0.148,-0.124,-0.102,-0.069,-0.042,-0.017,0.009,0.042,0.073,0.098,0.119,0.137,0.158,0.181,0.199,0.216,0.235,0.257,0.282,0.302,0.326,0.356,0.397,0.426,0.46,0.498,0.55,0.589,0.629,0.668,0.705,0.735,0.798,0.844,0.927,0.993,1.067,1.158,1.241,1.366,1.451,1.564,1.744,2.032,2.395,2.875,4.241
