House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Essential,GRN FP,-4.227,-2.596,-2.093,-1.752,-1.495,-1.346,-1.255,-1.115,-1.018,-0.904,-0.831,-0.779,-0.731,-0.678,-0.622,-0.591,-0.551,-0.497,-0.47,-0.44,-0.402,-0.37,-0.332,-0.287,-0.258,-0.231,-0.191,-0.155,-0.132,-0.108,-0.09,-0.066,-0.043,-0.02,-0.001,0.036,0.052,0.077,0.097,0.118,0.133,0.151,0.167,0.185,0.202,0.228,0.244,0.265,0.291,0.312,0.34,0.357,0.374,0.398,0.417,0.434,0.456,0.478,0.495,0.518,0.546,0.569,0.59,0.613,0.646,0.666,0.698,0.721,0.743,0.77,0.798,0.827,0.86,0.886,0.904,0.94,0.978,1.01,1.039,1.08,1.126,1.167,1.211,1.242,1.297,1.347,1.392,1.48,1.554,1.637,1.717,1.8,1.891,1.984,2.084,2.215,2.344,2.538,2.819,3.293,4.682
Galaxy,GRN FP,-1.802,-1.089,-0.908,-0.788,-0.73,-0.65,-0.6,-0.567,-0.531,-0.487,-0.46,-0.421,-0.373,-0.346,-0.323,-0.303,-0.285,-0.259,-0.237,-0.204,-0.184,-0.174,-0.153,-0.132,-0.115,-0.094,-0.079,-0.064,-0.05,-0.039,-0.023,-0.007,0.007,0.018,0.031,0.042,0.055,0.073,0.083,0.091,0.107,0.119,0.128,0.14,0.15,0.158,0.167,0.177,0.193,0.209,0.223,0.237,0.249,0.264,0.274,0.284,0.298,0.31,0.325,0.335,0.35,0.366,0.376,0.392,0.4,0.416,0.432,0.449,0.462,0.476,0.495,0.516,0.534,0.55,0.566,0.578,0.598,0.618,0.638,0.651,0.678,0.692,0.709,0.729,0.746,0.763,0.793,0.808,0.834,0.865,0.906,0.949,0.973,1.011,1.076,1.159,1.222,1.325,1.461,1.677,2.24
uComms,GRN FP,-3.058,-2.294,-1.932,-1.715,-1.556,-1.422,-1.36,-1.266,-1.175,-1.076,-1.008,-0.944,-0.88,-0.82,-0.774,-0.749,-0.712,-0.672,-0.645,-0.606,-0.566,-0.533,-0.499,-0.475,-0.451,-0.418,-0.391,-0.364,-0.344,-0.317,-0.293,-0.267,-0.248,-0.22,-0.194,-0.178,-0.155,-0.131,-0.105,-0.079,-0.063,-0.036,-0.018,0.005,0.021,0.043,0.058,0.075,0.089,0.103,0.119,0.137,0.153,0.171,0.186,0.203,0.222,0.244,0.263,0.294,0.315,0.343,0.364,0.384,0.404,0.424,0.446,0.467,0.489,0.512,0.538,0.563,0.581,0.608,0.643,0.689,0.731,0.766,0.799,0.825,0.863,0.896,0.929,0.965,1.002,1.045,1.095,1.146,1.196,1.257,1.296,1.357,1.438,1.517,1.614,1.706,1.809,1.93,2.141,2.572,3.428
Newspoll2,GRN FP,-2.636,-2.03,-1.706,-1.49,-1.382,-1.286,-1.207,-1.114,-1.061,-0.998,-0.935,-0.904,-0.857,-0.801,-0.759,-0.725,-0.691,-0.66,-0.63,-0.606,-0.583,-0.56,-0.53,-0.504,-0.479,-0.452,-0.428,-0.398,-0.373,-0.354,-0.331,-0.308,-0.287,-0.268,-0.252,-0.235,-0.217,-0.203,-0.191,-0.173,-0.158,-0.14,-0.123,-0.108,-0.091,-0.072,-0.057,-0.038,-0.024,-0.008,0.005,0.019,0.034,0.05,0.067,0.085,0.099,0.115,0.124,0.144,0.157,0.171,0.185,0.2,0.216,0.235,0.258,0.276,0.29,0.3,0.313,0.338,0.357,0.375,0.388,0.405,0.419,0.44,0.463,0.481,0.498,0.526,0.545,0.564,0.6,0.633,0.655,0.687,0.732,0.771,0.803,0.836,0.902,0.98,1.035,1.105,1.186,1.271,1.426,1.645,2.44
Old house effects
Essential,GRN FP,-2.018,-1.318,-1.106,-0.927,-0.807,-0.73,-0.636,-0.562,-0.505,-0.464,-0.415,-0.365,-0.322,-0.288,-0.243,-0.222,-0.201,-0.172,-0.139,-0.114,-0.095,-0.063,-0.044,-0.024,0.001,0.03,0.059,0.086,0.105,0.121,0.138,0.161,0.183,0.204,0.223,0.241,0.254,0.27,0.289,0.305,0.325,0.344,0.367,0.387,0.41,0.433,0.467,0.484,0.512,0.528,0.551,0.575,0.601,0.624,0.643,0.659,0.679,0.699,0.715,0.73,0.754,0.782,0.805,0.821,0.84,0.869,0.886,0.915,0.941,0.956,0.976,1.007,1.039,1.061,1.099,1.125,1.154,1.191,1.236,1.269,1.314,1.344,1.393,1.428,1.463,1.501,1.548,1.605,1.653,1.707,1.746,1.789,1.866,1.934,2.009,2.104,2.21,2.367,2.521,2.885,4.038
Galaxy,GRN FP,-1.582,-1.176,-0.966,-0.856,-0.782,-0.721,-0.675,-0.613,-0.557,-0.524,-0.484,-0.46,-0.439,-0.42,-0.394,-0.37,-0.35,-0.326,-0.3,-0.282,-0.262,-0.245,-0.226,-0.205,-0.189,-0.173,-0.158,-0.14,-0.127,-0.113,-0.099,-0.089,-0.079,-0.064,-0.049,-0.034,-0.022,-0.008,0.004,0.013,0.027,0.043,0.056,0.064,0.072,0.085,0.099,0.113,0.124,0.133,0.142,0.153,0.167,0.174,0.188,0.198,0.209,0.224,0.235,0.248,0.258,0.27,0.284,0.297,0.313,0.323,0.341,0.358,0.377,0.392,0.405,0.419,0.437,0.451,0.468,0.483,0.501,0.521,0.536,0.555,0.576,0.598,0.617,0.633,0.656,0.681,0.708,0.742,0.767,0.793,0.833,0.861,0.905,0.963,1.009,1.082,1.155,1.221,1.418,1.641,2.259
uComms,GRN FP,-4.396,-2.975,-2.505,-2.152,-1.89,-1.7,-1.579,-1.495,-1.401,-1.322,-1.233,-1.169,-1.109,-1.055,-0.992,-0.932,-0.89,-0.841,-0.789,-0.73,-0.682,-0.649,-0.616,-0.588,-0.554,-0.53,-0.498,-0.466,-0.442,-0.406,-0.372,-0.347,-0.314,-0.279,-0.26,-0.237,-0.217,-0.185,-0.171,-0.149,-0.126,-0.109,-0.085,-0.066,-0.043,-0.021,0.002,0.03,0.053,0.074,0.091,0.107,0.126,0.16,0.174,0.188,0.206,0.229,0.244,0.271,0.289,0.321,0.346,0.366,0.386,0.413,0.449,0.473,0.502,0.528,0.558,0.587,0.617,0.647,0.687,0.715,0.738,0.78,0.804,0.822,0.856,0.894,0.921,0.971,1.018,1.063,1.11,1.162,1.222,1.295,1.391,1.471,1.55,1.607,1.716,1.843,1.959,2.115,2.418,2.703,3.848
