House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Essential,OTH FP,-3.141,-2.108,-1.734,-1.527,-1.378,-1.298,-1.212,-1.125,-1.054,-0.996,-0.901,-0.85,-0.813,-0.781,-0.726,-0.68,-0.645,-0.605,-0.577,-0.55,-0.519,-0.484,-0.446,-0.414,-0.385,-0.364,-0.336,-0.308,-0.275,-0.246,-0.21,-0.19,-0.174,-0.152,-0.132,-0.111,-0.088,-0.071,-0.056,-0.041,-0.025,-0.004,0.016,0.031,0.044,0.062,0.078,0.098,0.116,0.131,0.151,0.162,0.178,0.197,0.22,0.236,0.253,0.273,0.29,0.312,0.336,0.357,0.372,0.392,0.404,0.42,0.437,0.459,0.487,0.508,0.524,0.546,0.577,0.593,0.622,0.659,0.675,0.702,0.728,0.762,0.789,0.825,0.852,0.879,0.918,0.966,1.016,1.07,1.105,1.155,1.212,1.266,1.348,1.422,1.545,1.639,1.752,1.919,2.143,2.393,3.294
Galaxy,OTH FP,-2.061,-1.405,-1.143,-1.01,-0.929,-0.843,-0.745,-0.718,-0.674,-0.623,-0.583,-0.541,-0.515,-0.481,-0.45,-0.417,-0.392,-0.356,-0.317,-0.295,-0.269,-0.251,-0.222,-0.202,-0.182,-0.157,-0.141,-0.119,-0.098,-0.079,-0.058,-0.039,-0.02,-0.008,0.01,0.026,0.04,0.05,0.061,0.072,0.084,0.097,0.113,0.123,0.141,0.152,0.161,0.173,0.187,0.198,0.207,0.22,0.233,0.245,0.265,0.275,0.291,0.3,0.313,0.332,0.353,0.373,0.388,0.404,0.42,0.438,0.453,0.467,0.485,0.504,0.521,0.532,0.555,0.575,0.593,0.615,0.645,0.673,0.694,0.724,0.746,0.769,0.815,0.849,0.874,0.903,0.939,0.982,1.024,1.059,1.101,1.163,1.222,1.259,1.356,1.425,1.496,1.63,1.75,2.08,3.096
uComms,OTH FP,-3.023,-1.677,-1.369,-1.123,-1.033,-0.881,-0.795,-0.719,-0.647,-0.571,-0.504,-0.46,-0.416,-0.375,-0.335,-0.285,-0.24,-0.196,-0.167,-0.144,-0.114,-0.087,-0.059,-0.039,-0.017,0.01,0.037,0.064,0.088,0.107,0.123,0.148,0.166,0.189,0.215,0.233,0.252,0.285,0.312,0.335,0.356,0.386,0.409,0.43,0.457,0.478,0.504,0.527,0.553,0.585,0.61,0.635,0.665,0.691,0.717,0.739,0.76,0.791,0.819,0.839,0.863,0.891,0.935,0.965,0.992,1.033,1.078,1.119,1.158,1.195,1.224,1.274,1.321,1.357,1.41,1.461,1.501,1.541,1.579,1.618,1.664,1.734,1.796,1.835,1.894,1.946,2.008,2.084,2.152,2.221,2.323,2.459,2.553,2.661,2.796,2.967,3.174,3.419,3.751,4.324,5.905
Newspoll2,OTH FP,-3.874,-2.707,-2.141,-1.953,-1.794,-1.721,-1.635,-1.547,-1.413,-1.344,-1.293,-1.22,-1.152,-1.08,-1.02,-0.972,-0.93,-0.88,-0.844,-0.802,-0.771,-0.743,-0.718,-0.682,-0.65,-0.622,-0.593,-0.575,-0.538,-0.512,-0.484,-0.457,-0.436,-0.417,-0.398,-0.376,-0.36,-0.337,-0.315,-0.296,-0.271,-0.256,-0.231,-0.208,-0.197,-0.182,-0.158,-0.138,-0.125,-0.099,-0.077,-0.059,-0.043,-0.022,-0.005,0.014,0.032,0.047,0.07,0.091,0.104,0.118,0.132,0.145,0.165,0.183,0.2,0.211,0.227,0.244,0.265,0.285,0.305,0.324,0.343,0.381,0.405,0.431,0.455,0.47,0.504,0.535,0.558,0.593,0.62,0.646,0.692,0.734,0.79,0.83,0.866,0.915,0.968,1.043,1.099,1.15,1.264,1.385,1.644,2.005,2.994
Old house effects
Essential,OTH FP,-3.313,-2.452,-2.173,-1.954,-1.832,-1.691,-1.577,-1.488,-1.399,-1.321,-1.253,-1.198,-1.138,-1.066,-1.002,-0.952,-0.919,-0.875,-0.842,-0.797,-0.751,-0.722,-0.68,-0.65,-0.613,-0.587,-0.572,-0.542,-0.516,-0.488,-0.469,-0.451,-0.431,-0.407,-0.391,-0.355,-0.328,-0.304,-0.28,-0.251,-0.231,-0.211,-0.193,-0.172,-0.155,-0.131,-0.115,-0.096,-0.082,-0.06,-0.038,-0.015,-0.0,0.016,0.03,0.044,0.062,0.085,0.098,0.121,0.133,0.147,0.166,0.184,0.201,0.221,0.239,0.259,0.275,0.292,0.313,0.329,0.344,0.362,0.379,0.404,0.428,0.449,0.473,0.498,0.518,0.55,0.583,0.612,0.651,0.677,0.723,0.759,0.782,0.82,0.872,0.918,0.961,1.032,1.111,1.196,1.302,1.398,1.578,1.906,2.776
Galaxy,OTH FP,-2.646,-1.563,-1.309,-1.152,-1.058,-0.956,-0.891,-0.828,-0.777,-0.731,-0.685,-0.643,-0.606,-0.561,-0.534,-0.506,-0.482,-0.457,-0.433,-0.416,-0.396,-0.374,-0.353,-0.332,-0.31,-0.279,-0.263,-0.242,-0.228,-0.212,-0.189,-0.175,-0.161,-0.137,-0.121,-0.105,-0.091,-0.073,-0.053,-0.038,-0.026,-0.009,0.012,0.024,0.037,0.054,0.064,0.073,0.085,0.1,0.112,0.124,0.137,0.153,0.164,0.185,0.197,0.211,0.222,0.233,0.244,0.26,0.275,0.292,0.305,0.318,0.332,0.35,0.364,0.375,0.395,0.411,0.434,0.449,0.473,0.495,0.512,0.535,0.556,0.581,0.599,0.623,0.64,0.661,0.684,0.729,0.752,0.779,0.828,0.872,0.914,0.936,0.969,1.02,1.088,1.158,1.242,1.373,1.542,1.744,2.605
uComms,OTH FP,-4.697,-3.002,-2.47,-2.09,-1.87,-1.679,-1.48,-1.304,-1.158,-1.079,-1.008,-0.96,-0.872,-0.817,-0.757,-0.701,-0.643,-0.602,-0.565,-0.516,-0.467,-0.422,-0.387,-0.352,-0.32,-0.285,-0.242,-0.206,-0.173,-0.142,-0.105,-0.079,-0.052,-0.015,0.003,0.023,0.053,0.083,0.103,0.13,0.15,0.173,0.19,0.212,0.239,0.259,0.282,0.297,0.316,0.343,0.374,0.393,0.413,0.443,0.464,0.492,0.514,0.536,0.558,0.589,0.619,0.654,0.679,0.707,0.744,0.78,0.829,0.87,0.9,0.924,0.95,0.987,1.028,1.066,1.101,1.137,1.184,1.217,1.262,1.31,1.352,1.414,1.469,1.564,1.635,1.716,1.789,1.891,1.956,2.063,2.131,2.24,2.365,2.523,2.738,2.879,3.06,3.256,3.694,4.312,7.192
