House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Newspoll2,ONP FP,-0.46,-0.246,-0.157,-0.104,-0.067,-0.034,0.005,0.033,0.054,0.075,0.098,0.116,0.13,0.152,0.166,0.181,0.197,0.209,0.224,0.232,0.244,0.254,0.263,0.273,0.281,0.288,0.296,0.303,0.311,0.323,0.331,0.337,0.345,0.354,0.363,0.37,0.381,0.387,0.396,0.402,0.41,0.417,0.423,0.43,0.437,0.445,0.454,0.462,0.47,0.478,0.486,0.494,0.499,0.506,0.515,0.523,0.531,0.538,0.547,0.557,0.567,0.572,0.582,0.589,0.598,0.608,0.615,0.624,0.634,0.643,0.654,0.661,0.669,0.68,0.69,0.699,0.71,0.727,0.742,0.753,0.763,0.776,0.788,0.806,0.822,0.838,0.851,0.868,0.887,0.904,0.926,0.945,0.961,0.987,1.017,1.052,1.096,1.139,1.242,1.346,1.655
ResolvePM,ONP FP,-3.48,-2.562,-2.247,-2.037,-1.842,-1.72,-1.591,-1.516,-1.411,-1.364,-1.29,-1.226,-1.173,-1.123,-1.065,-1.016,-0.953,-0.91,-0.865,-0.834,-0.794,-0.747,-0.717,-0.68,-0.646,-0.614,-0.579,-0.543,-0.519,-0.495,-0.461,-0.44,-0.408,-0.376,-0.349,-0.317,-0.28,-0.257,-0.236,-0.213,-0.193,-0.174,-0.153,-0.124,-0.1,-0.08,-0.058,-0.035,-0.005,0.016,0.033,0.05,0.068,0.092,0.117,0.136,0.155,0.175,0.195,0.221,0.241,0.265,0.281,0.295,0.314,0.336,0.355,0.375,0.396,0.413,0.439,0.453,0.472,0.492,0.515,0.541,0.569,0.589,0.617,0.648,0.674,0.712,0.735,0.77,0.801,0.836,0.871,0.913,0.962,1.005,1.052,1.11,1.16,1.228,1.315,1.389,1.491,1.63,1.814,2.194,3.627
Redbridge,ONP FP,-5.321,-2.99,-2.536,-2.257,-1.956,-1.812,-1.618,-1.514,-1.357,-1.237,-1.156,-1.063,-0.989,-0.938,-0.855,-0.783,-0.735,-0.676,-0.628,-0.582,-0.543,-0.501,-0.455,-0.403,-0.368,-0.315,-0.285,-0.238,-0.206,-0.162,-0.131,-0.1,-0.055,-0.026,0.006,0.033,0.059,0.088,0.113,0.143,0.165,0.193,0.218,0.245,0.266,0.287,0.319,0.341,0.36,0.375,0.394,0.418,0.443,0.463,0.488,0.508,0.538,0.568,0.591,0.621,0.645,0.671,0.708,0.731,0.761,0.792,0.82,0.851,0.883,0.915,0.949,0.976,1.012,1.04,1.074,1.111,1.147,1.19,1.224,1.269,1.307,1.344,1.394,1.454,1.497,1.552,1.626,1.688,1.773,1.859,1.96,2.039,2.147,2.243,2.424,2.572,2.821,3.095,3.45,4.127,5.773
YouGov2,ONP FP,-1.88,-1.003,-0.743,-0.581,-0.438,-0.339,-0.229,-0.151,-0.088,-0.049,0.008,0.048,0.095,0.131,0.175,0.207,0.236,0.266,0.289,0.317,0.34,0.367,0.389,0.411,0.432,0.45,0.48,0.503,0.536,0.557,0.585,0.612,0.632,0.657,0.688,0.715,0.735,0.76,0.784,0.808,0.835,0.863,0.89,0.914,0.943,0.968,0.991,1.021,1.046,1.07,1.105,1.126,1.152,1.175,1.204,1.23,1.255,1.292,1.319,1.345,1.376,1.407,1.433,1.475,1.499,1.539,1.578,1.614,1.646,1.673,1.708,1.744,1.783,1.831,1.879,1.917,1.964,2.012,2.067,2.114,2.16,2.215,2.261,2.312,2.378,2.428,2.48,2.549,2.623,2.698,2.805,2.897,2.978,3.136,3.301,3.46,3.617,3.804,4.076,4.478,5.735
uComms,ONP FP,-3.549,-2.497,-2.072,-1.776,-1.604,-1.429,-1.315,-1.205,-1.09,-1.026,-0.96,-0.897,-0.818,-0.758,-0.71,-0.659,-0.617,-0.587,-0.542,-0.509,-0.478,-0.444,-0.404,-0.367,-0.34,-0.308,-0.282,-0.26,-0.225,-0.188,-0.156,-0.138,-0.112,-0.088,-0.068,-0.045,-0.022,0.005,0.024,0.045,0.071,0.098,0.118,0.139,0.157,0.178,0.201,0.22,0.242,0.26,0.275,0.296,0.313,0.332,0.342,0.36,0.377,0.392,0.409,0.427,0.445,0.459,0.481,0.495,0.511,0.526,0.543,0.566,0.587,0.612,0.636,0.662,0.689,0.712,0.74,0.765,0.786,0.817,0.847,0.873,0.905,0.936,0.965,0.991,1.032,1.078,1.127,1.176,1.211,1.249,1.306,1.368,1.43,1.498,1.577,1.67,1.802,1.966,2.186,2.448,3.358
Newspoll3,ONP FP,-2.683,-1.818,-1.51,-1.354,-1.259,-1.115,-1.031,-0.935,-0.88,-0.827,-0.788,-0.734,-0.682,-0.64,-0.59,-0.55,-0.515,-0.479,-0.455,-0.427,-0.396,-0.371,-0.339,-0.309,-0.279,-0.26,-0.237,-0.205,-0.183,-0.161,-0.133,-0.108,-0.082,-0.057,-0.035,-0.011,0.004,0.028,0.046,0.06,0.081,0.095,0.11,0.122,0.139,0.154,0.173,0.194,0.213,0.232,0.244,0.258,0.274,0.292,0.309,0.32,0.339,0.355,0.367,0.381,0.394,0.405,0.423,0.44,0.456,0.472,0.488,0.503,0.518,0.541,0.554,0.568,0.588,0.603,0.619,0.636,0.658,0.684,0.707,0.729,0.758,0.783,0.814,0.832,0.858,0.895,0.936,0.967,1.01,1.054,1.101,1.15,1.191,1.268,1.331,1.421,1.534,1.657,1.8,2.059,2.86
Wolf&Smith,ONP FP,-3.946,-2.471,-2.067,-1.857,-1.682,-1.497,-1.404,-1.257,-1.16,-1.056,-0.99,-0.912,-0.837,-0.756,-0.701,-0.648,-0.601,-0.569,-0.533,-0.496,-0.467,-0.436,-0.407,-0.379,-0.341,-0.304,-0.271,-0.228,-0.204,-0.181,-0.155,-0.134,-0.111,-0.084,-0.055,-0.025,-0.002,0.031,0.059,0.085,0.11,0.134,0.151,0.168,0.19,0.212,0.23,0.25,0.277,0.3,0.316,0.333,0.35,0.372,0.387,0.407,0.421,0.438,0.455,0.479,0.499,0.517,0.54,0.559,0.579,0.602,0.625,0.655,0.675,0.706,0.73,0.758,0.79,0.817,0.844,0.88,0.914,0.958,0.985,1.025,1.06,1.101,1.138,1.183,1.225,1.273,1.328,1.372,1.407,1.461,1.518,1.579,1.648,1.722,1.812,1.91,2.066,2.24,2.514,2.881,4.286
Freshwater,ONP FP,-4.125,-2.378,-2.04,-1.748,-1.593,-1.443,-1.321,-1.168,-1.09,-1.025,-0.958,-0.898,-0.819,-0.765,-0.707,-0.652,-0.605,-0.55,-0.506,-0.468,-0.425,-0.386,-0.349,-0.308,-0.273,-0.238,-0.21,-0.177,-0.151,-0.119,-0.096,-0.072,-0.04,-0.014,0.017,0.035,0.059,0.088,0.11,0.135,0.155,0.178,0.2,0.219,0.24,0.263,0.281,0.3,0.321,0.341,0.356,0.375,0.395,0.411,0.426,0.446,0.462,0.483,0.498,0.52,0.544,0.567,0.593,0.61,0.637,0.662,0.685,0.707,0.733,0.762,0.785,0.816,0.85,0.87,0.896,0.932,0.968,1.0,1.036,1.083,1.118,1.146,1.188,1.243,1.274,1.325,1.382,1.427,1.475,1.522,1.578,1.643,1.731,1.807,1.911,2.013,2.147,2.308,2.527,2.952,4.596
