House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Dynata,GRN FP,-4.538,-2.879,-2.46,-2.109,-1.831,-1.704,-1.594,-1.468,-1.368,-1.277,-1.181,-1.09,-1.032,-0.967,-0.912,-0.838,-0.783,-0.742,-0.7,-0.648,-0.614,-0.57,-0.529,-0.485,-0.445,-0.404,-0.373,-0.343,-0.317,-0.283,-0.254,-0.224,-0.197,-0.172,-0.139,-0.112,-0.086,-0.062,-0.042,-0.015,0.011,0.032,0.053,0.078,0.104,0.131,0.149,0.176,0.195,0.217,0.234,0.258,0.276,0.298,0.321,0.342,0.365,0.388,0.405,0.431,0.449,0.471,0.495,0.52,0.557,0.588,0.617,0.647,0.671,0.705,0.731,0.759,0.787,0.812,0.853,0.893,0.924,0.956,0.992,1.037,1.077,1.128,1.175,1.221,1.275,1.318,1.369,1.424,1.487,1.583,1.651,1.733,1.811,1.911,2.056,2.243,2.417,2.643,2.987,3.438,4.885
Wolf&Smith,GRN FP,-4.46,-2.981,-2.626,-2.267,-2.017,-1.803,-1.674,-1.563,-1.47,-1.37,-1.277,-1.197,-1.124,-1.037,-0.977,-0.911,-0.866,-0.822,-0.761,-0.716,-0.668,-0.623,-0.587,-0.545,-0.502,-0.464,-0.434,-0.394,-0.351,-0.322,-0.286,-0.256,-0.229,-0.192,-0.164,-0.135,-0.115,-0.089,-0.065,-0.038,-0.018,0.003,0.026,0.052,0.075,0.098,0.124,0.151,0.174,0.194,0.212,0.235,0.261,0.28,0.299,0.315,0.34,0.362,0.384,0.415,0.436,0.467,0.495,0.523,0.543,0.566,0.586,0.609,0.638,0.668,0.693,0.722,0.746,0.78,0.812,0.84,0.87,0.899,0.938,0.973,1.009,1.046,1.087,1.14,1.191,1.252,1.337,1.385,1.45,1.515,1.606,1.702,1.804,1.922,2.051,2.2,2.395,2.652,2.945,3.475,5.319
DemosAU,GRN FP,-2.029,-1.361,-1.105,-0.975,-0.889,-0.836,-0.785,-0.738,-0.697,-0.652,-0.619,-0.584,-0.548,-0.524,-0.493,-0.467,-0.443,-0.417,-0.393,-0.371,-0.35,-0.329,-0.316,-0.301,-0.285,-0.269,-0.248,-0.232,-0.216,-0.203,-0.179,-0.163,-0.149,-0.13,-0.114,-0.102,-0.09,-0.075,-0.06,-0.047,-0.035,-0.023,-0.007,0.005,0.017,0.029,0.044,0.054,0.065,0.081,0.093,0.103,0.114,0.127,0.139,0.151,0.163,0.173,0.187,0.2,0.211,0.222,0.232,0.242,0.256,0.269,0.279,0.295,0.304,0.319,0.333,0.347,0.365,0.378,0.398,0.413,0.429,0.448,0.468,0.482,0.497,0.513,0.53,0.557,0.576,0.6,0.62,0.641,0.672,0.703,0.74,0.773,0.809,0.85,0.893,0.94,1.001,1.074,1.154,1.347,1.844
YouGov2,GRN FP,-1.221,-0.681,-0.522,-0.43,-0.339,-0.277,-0.224,-0.192,-0.152,-0.129,-0.105,-0.077,-0.054,-0.03,-0.005,0.012,0.026,0.05,0.07,0.09,0.102,0.119,0.132,0.148,0.162,0.177,0.186,0.198,0.214,0.228,0.24,0.254,0.272,0.288,0.309,0.325,0.335,0.351,0.364,0.377,0.391,0.407,0.419,0.432,0.444,0.458,0.469,0.485,0.497,0.516,0.532,0.55,0.564,0.578,0.588,0.601,0.612,0.628,0.643,0.656,0.672,0.685,0.701,0.713,0.729,0.746,0.762,0.778,0.792,0.809,0.829,0.845,0.861,0.879,0.898,0.917,0.933,0.951,0.967,0.988,1.012,1.036,1.065,1.084,1.107,1.131,1.154,1.186,1.214,1.248,1.279,1.308,1.353,1.406,1.459,1.521,1.582,1.675,1.784,1.946,2.305
Fox & Hedgehog,GRN FP,-2.677,-1.869,-1.597,-1.426,-1.324,-1.247,-1.175,-1.095,-1.032,-0.968,-0.916,-0.867,-0.822,-0.777,-0.74,-0.71,-0.679,-0.631,-0.596,-0.569,-0.536,-0.495,-0.464,-0.436,-0.407,-0.378,-0.345,-0.32,-0.293,-0.273,-0.251,-0.23,-0.21,-0.195,-0.175,-0.151,-0.129,-0.104,-0.086,-0.072,-0.052,-0.038,-0.023,-0.006,0.015,0.031,0.045,0.055,0.07,0.088,0.101,0.119,0.137,0.152,0.165,0.178,0.192,0.207,0.223,0.236,0.25,0.264,0.278,0.295,0.312,0.332,0.35,0.368,0.387,0.404,0.422,0.437,0.466,0.487,0.514,0.528,0.55,0.581,0.598,0.622,0.647,0.678,0.711,0.738,0.769,0.805,0.828,0.869,0.899,0.944,0.988,1.035,1.099,1.154,1.222,1.309,1.414,1.547,1.725,1.977,2.83
Newspoll3,GRN FP,-1.401,-1.02,-0.843,-0.738,-0.645,-0.586,-0.517,-0.476,-0.437,-0.405,-0.37,-0.332,-0.305,-0.279,-0.254,-0.228,-0.21,-0.189,-0.167,-0.145,-0.127,-0.107,-0.092,-0.076,-0.064,-0.049,-0.033,-0.01,0.009,0.022,0.036,0.052,0.066,0.083,0.091,0.102,0.115,0.129,0.142,0.155,0.166,0.177,0.191,0.2,0.21,0.219,0.231,0.241,0.253,0.265,0.273,0.286,0.299,0.309,0.326,0.335,0.349,0.365,0.376,0.386,0.4,0.414,0.425,0.437,0.451,0.463,0.477,0.492,0.505,0.517,0.531,0.542,0.555,0.576,0.593,0.609,0.624,0.642,0.666,0.688,0.708,0.733,0.756,0.778,0.802,0.835,0.866,0.898,0.925,0.948,0.983,1.028,1.067,1.111,1.161,1.206,1.293,1.354,1.442,1.61,2.065
SMS Morgan,GRN FP,-3.194,-2.346,-2.037,-1.822,-1.7,-1.554,-1.441,-1.344,-1.272,-1.195,-1.13,-1.081,-1.033,-0.989,-0.948,-0.886,-0.838,-0.8,-0.752,-0.718,-0.681,-0.642,-0.607,-0.579,-0.551,-0.515,-0.487,-0.461,-0.43,-0.406,-0.381,-0.356,-0.331,-0.308,-0.286,-0.265,-0.237,-0.217,-0.195,-0.168,-0.139,-0.121,-0.096,-0.077,-0.059,-0.038,-0.017,0.006,0.028,0.042,0.059,0.077,0.093,0.113,0.134,0.154,0.171,0.187,0.204,0.22,0.238,0.255,0.275,0.298,0.319,0.34,0.361,0.382,0.401,0.415,0.438,0.454,0.473,0.495,0.522,0.544,0.563,0.585,0.607,0.631,0.656,0.687,0.714,0.743,0.783,0.813,0.85,0.89,0.941,0.979,1.025,1.084,1.133,1.203,1.283,1.356,1.479,1.651,1.8,2.088,2.619
Old house effects
