House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
ResolvePM,GRN FP,-2.652,-2.089,-1.881,-1.723,-1.631,-1.564,-1.48,-1.431,-1.383,-1.331,-1.291,-1.247,-1.207,-1.177,-1.141,-1.106,-1.082,-1.062,-1.03,-1.007,-0.989,-0.966,-0.946,-0.932,-0.914,-0.893,-0.873,-0.857,-0.837,-0.814,-0.798,-0.779,-0.755,-0.737,-0.717,-0.697,-0.68,-0.663,-0.651,-0.639,-0.619,-0.606,-0.589,-0.572,-0.555,-0.539,-0.519,-0.506,-0.487,-0.472,-0.457,-0.438,-0.418,-0.408,-0.394,-0.384,-0.368,-0.354,-0.339,-0.322,-0.302,-0.292,-0.272,-0.257,-0.242,-0.227,-0.214,-0.201,-0.185,-0.169,-0.154,-0.13,-0.114,-0.099,-0.08,-0.064,-0.05,-0.034,-0.017,0.006,0.024,0.045,0.068,0.095,0.109,0.132,0.148,0.166,0.19,0.224,0.234,0.27,0.298,0.323,0.374,0.417,0.464,0.54,0.632,0.781,1.089
Redbridge,GRN FP,-3.992,-2.635,-2.366,-2.055,-1.921,-1.746,-1.608,-1.535,-1.446,-1.361,-1.299,-1.198,-1.127,-1.073,-1.019,-0.962,-0.923,-0.875,-0.843,-0.805,-0.755,-0.7,-0.667,-0.633,-0.605,-0.558,-0.528,-0.471,-0.431,-0.391,-0.359,-0.338,-0.31,-0.287,-0.259,-0.225,-0.196,-0.176,-0.152,-0.135,-0.115,-0.093,-0.068,-0.038,-0.019,0.002,0.028,0.055,0.08,0.098,0.118,0.139,0.162,0.183,0.21,0.232,0.247,0.268,0.279,0.304,0.325,0.343,0.364,0.387,0.409,0.428,0.447,0.461,0.479,0.503,0.524,0.552,0.586,0.61,0.636,0.675,0.692,0.716,0.745,0.776,0.813,0.848,0.885,0.923,0.985,1.025,1.094,1.145,1.221,1.28,1.344,1.415,1.506,1.606,1.75,1.851,1.977,2.129,2.322,3.064,4.749
Wolf&Smith,GRN FP,-5.601,-3.188,-2.393,-2.096,-1.872,-1.756,-1.556,-1.411,-1.291,-1.193,-1.097,-1.036,-0.959,-0.888,-0.829,-0.774,-0.726,-0.665,-0.616,-0.569,-0.53,-0.497,-0.461,-0.425,-0.397,-0.359,-0.317,-0.283,-0.25,-0.224,-0.185,-0.155,-0.12,-0.094,-0.064,-0.042,-0.015,0.015,0.04,0.061,0.082,0.107,0.122,0.139,0.158,0.18,0.199,0.22,0.251,0.274,0.292,0.314,0.329,0.358,0.38,0.399,0.42,0.447,0.466,0.486,0.513,0.534,0.563,0.586,0.61,0.635,0.659,0.695,0.722,0.748,0.779,0.823,0.851,0.873,0.905,0.946,0.972,1.013,1.065,1.113,1.15,1.191,1.238,1.277,1.344,1.402,1.455,1.528,1.614,1.686,1.759,1.852,1.934,2.064,2.217,2.411,2.614,2.925,3.37,4.056,5.991
DemosAU,GRN FP,-0.726,-0.277,-0.107,-0.022,0.081,0.134,0.171,0.209,0.255,0.287,0.321,0.354,0.386,0.408,0.438,0.464,0.493,0.519,0.55,0.569,0.595,0.62,0.641,0.658,0.68,0.699,0.722,0.737,0.751,0.768,0.79,0.812,0.832,0.849,0.873,0.897,0.922,0.943,0.964,0.976,0.987,1.003,1.024,1.037,1.051,1.072,1.085,1.108,1.12,1.147,1.166,1.18,1.201,1.223,1.241,1.258,1.276,1.297,1.32,1.341,1.356,1.374,1.389,1.413,1.423,1.447,1.465,1.487,1.501,1.515,1.54,1.563,1.578,1.593,1.611,1.628,1.65,1.666,1.693,1.718,1.748,1.777,1.797,1.831,1.866,1.898,1.951,1.985,2.021,2.063,2.114,2.176,2.233,2.275,2.35,2.428,2.518,2.648,2.77,2.977,3.536
Spectre,GRN FP,-4.398,-2.8,-2.452,-2.146,-1.914,-1.694,-1.576,-1.45,-1.338,-1.253,-1.137,-1.076,-1.013,-0.938,-0.861,-0.812,-0.752,-0.702,-0.646,-0.614,-0.573,-0.522,-0.482,-0.448,-0.413,-0.385,-0.352,-0.312,-0.282,-0.243,-0.213,-0.171,-0.143,-0.118,-0.084,-0.051,-0.027,-0.001,0.019,0.044,0.07,0.103,0.122,0.14,0.161,0.182,0.206,0.228,0.252,0.276,0.291,0.314,0.331,0.354,0.371,0.391,0.422,0.45,0.479,0.507,0.526,0.551,0.569,0.588,0.612,0.634,0.658,0.678,0.705,0.743,0.778,0.805,0.848,0.877,0.901,0.933,0.968,1.006,1.036,1.075,1.141,1.185,1.241,1.285,1.335,1.369,1.422,1.478,1.533,1.607,1.66,1.735,1.796,1.889,1.967,2.07,2.274,2.474,2.86,3.346,4.72
SMS Morgan,GRN FP,-3.385,-2.137,-1.689,-1.487,-1.325,-1.205,-1.08,-0.98,-0.884,-0.802,-0.737,-0.661,-0.618,-0.569,-0.525,-0.461,-0.425,-0.396,-0.338,-0.297,-0.262,-0.226,-0.188,-0.16,-0.128,-0.104,-0.081,-0.056,-0.037,-0.008,0.012,0.041,0.057,0.078,0.099,0.122,0.142,0.159,0.179,0.2,0.214,0.239,0.256,0.276,0.291,0.305,0.322,0.342,0.359,0.378,0.4,0.42,0.446,0.466,0.494,0.511,0.526,0.547,0.566,0.584,0.602,0.624,0.651,0.67,0.705,0.73,0.75,0.769,0.8,0.834,0.861,0.899,0.918,0.954,0.981,1.001,1.035,1.069,1.1,1.147,1.172,1.216,1.262,1.308,1.356,1.403,1.449,1.492,1.548,1.627,1.681,1.742,1.812,1.895,1.957,2.039,2.198,2.367,2.525,2.756,4.007
Old house effects
ResolvePM,GRN FP,-1.898,-1.482,-1.345,-1.288,-1.22,-1.169,-1.117,-1.077,-1.05,-1.03,-1.002,-0.983,-0.957,-0.93,-0.918,-0.895,-0.874,-0.859,-0.847,-0.833,-0.82,-0.809,-0.786,-0.773,-0.755,-0.739,-0.726,-0.716,-0.702,-0.688,-0.674,-0.663,-0.649,-0.634,-0.622,-0.61,-0.595,-0.583,-0.574,-0.564,-0.554,-0.543,-0.535,-0.516,-0.507,-0.498,-0.484,-0.472,-0.462,-0.448,-0.439,-0.431,-0.419,-0.41,-0.397,-0.384,-0.372,-0.359,-0.351,-0.339,-0.326,-0.316,-0.302,-0.289,-0.278,-0.267,-0.257,-0.244,-0.225,-0.211,-0.195,-0.184,-0.178,-0.164,-0.149,-0.137,-0.127,-0.114,-0.102,-0.091,-0.072,-0.056,-0.04,-0.021,-0.004,0.016,0.031,0.049,0.066,0.09,0.12,0.143,0.167,0.189,0.216,0.254,0.287,0.346,0.393,0.48,0.789
