House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
ResolvePM,LNP FP,-2.809,-1.807,-1.569,-1.433,-1.314,-1.205,-1.131,-1.073,-1.015,-0.967,-0.903,-0.858,-0.814,-0.757,-0.716,-0.68,-0.647,-0.613,-0.566,-0.543,-0.518,-0.492,-0.468,-0.445,-0.425,-0.401,-0.381,-0.36,-0.346,-0.325,-0.306,-0.287,-0.272,-0.255,-0.238,-0.218,-0.201,-0.179,-0.16,-0.144,-0.126,-0.116,-0.1,-0.086,-0.072,-0.06,-0.041,-0.027,-0.011,0.003,0.022,0.044,0.058,0.071,0.087,0.1,0.115,0.136,0.153,0.169,0.186,0.201,0.22,0.238,0.255,0.272,0.295,0.312,0.328,0.348,0.361,0.378,0.394,0.412,0.441,0.469,0.494,0.511,0.543,0.57,0.595,0.649,0.681,0.717,0.747,0.803,0.838,0.884,0.94,0.977,1.027,1.074,1.121,1.19,1.245,1.343,1.453,1.619,1.781,2.048,2.611
Redbridge,LNP FP,-1.893,-1.231,-0.999,-0.852,-0.737,-0.642,-0.573,-0.54,-0.494,-0.461,-0.414,-0.378,-0.348,-0.32,-0.295,-0.269,-0.253,-0.228,-0.207,-0.18,-0.163,-0.149,-0.133,-0.116,-0.099,-0.086,-0.071,-0.055,-0.039,-0.026,-0.01,0.007,0.023,0.041,0.059,0.075,0.087,0.101,0.112,0.124,0.135,0.155,0.168,0.18,0.194,0.208,0.221,0.232,0.242,0.26,0.279,0.292,0.305,0.32,0.334,0.347,0.362,0.37,0.383,0.397,0.412,0.427,0.448,0.466,0.478,0.497,0.511,0.532,0.555,0.575,0.604,0.628,0.643,0.668,0.69,0.712,0.738,0.763,0.786,0.821,0.843,0.863,0.89,0.928,0.959,0.989,1.025,1.042,1.074,1.112,1.167,1.202,1.257,1.298,1.356,1.453,1.503,1.647,1.779,2.078,2.87
Wolf&Smith,LNP FP,-5.08,-3.358,-2.75,-2.38,-2.081,-1.916,-1.725,-1.596,-1.515,-1.44,-1.393,-1.325,-1.254,-1.185,-1.135,-1.083,-1.024,-0.955,-0.902,-0.859,-0.81,-0.775,-0.727,-0.69,-0.658,-0.633,-0.599,-0.568,-0.522,-0.487,-0.458,-0.427,-0.401,-0.378,-0.345,-0.318,-0.291,-0.26,-0.238,-0.219,-0.197,-0.175,-0.156,-0.129,-0.11,-0.095,-0.073,-0.058,-0.025,-0.006,0.016,0.032,0.045,0.072,0.098,0.12,0.138,0.165,0.183,0.21,0.226,0.245,0.276,0.317,0.337,0.354,0.375,0.4,0.427,0.463,0.489,0.512,0.537,0.571,0.611,0.641,0.674,0.712,0.748,0.8,0.838,0.881,0.919,0.973,1.018,1.057,1.136,1.198,1.259,1.306,1.384,1.481,1.605,1.758,1.884,1.987,2.111,2.345,2.671,3.147,5.166
DemosAU,LNP FP,-4.306,-3.354,-2.955,-2.751,-2.522,-2.384,-2.233,-2.142,-2.054,-1.957,-1.896,-1.821,-1.759,-1.664,-1.584,-1.528,-1.484,-1.442,-1.4,-1.335,-1.303,-1.262,-1.226,-1.192,-1.159,-1.128,-1.096,-1.056,-1.03,-0.996,-0.973,-0.943,-0.923,-0.896,-0.857,-0.831,-0.796,-0.779,-0.76,-0.735,-0.707,-0.689,-0.657,-0.642,-0.616,-0.59,-0.565,-0.537,-0.51,-0.485,-0.463,-0.444,-0.42,-0.395,-0.38,-0.36,-0.341,-0.321,-0.308,-0.296,-0.278,-0.257,-0.239,-0.222,-0.201,-0.187,-0.169,-0.152,-0.134,-0.11,-0.096,-0.073,-0.059,-0.033,-0.019,0.006,0.02,0.042,0.061,0.081,0.106,0.129,0.159,0.183,0.211,0.244,0.274,0.309,0.347,0.385,0.419,0.467,0.538,0.6,0.67,0.72,0.837,0.959,1.122,1.452,2.117
Spectre,LNP FP,-5.236,-3.661,-3.088,-2.761,-2.552,-2.353,-2.229,-2.115,-2.014,-1.903,-1.823,-1.713,-1.661,-1.57,-1.493,-1.42,-1.354,-1.289,-1.241,-1.197,-1.134,-1.074,-1.032,-0.992,-0.958,-0.916,-0.872,-0.835,-0.788,-0.75,-0.692,-0.654,-0.618,-0.592,-0.565,-0.544,-0.512,-0.479,-0.454,-0.419,-0.395,-0.358,-0.336,-0.318,-0.298,-0.278,-0.258,-0.238,-0.218,-0.191,-0.17,-0.154,-0.131,-0.11,-0.091,-0.071,-0.054,-0.035,-0.016,0.009,0.036,0.066,0.087,0.105,0.13,0.149,0.17,0.206,0.232,0.264,0.294,0.325,0.35,0.387,0.413,0.448,0.48,0.515,0.54,0.56,0.603,0.64,0.69,0.739,0.796,0.862,0.918,0.97,1.03,1.118,1.187,1.267,1.363,1.427,1.541,1.704,1.859,2.101,2.38,2.821,4.771
SMS Morgan,LNP FP,-5.466,-3.874,-3.341,-3.037,-2.8,-2.605,-2.492,-2.37,-2.289,-2.172,-2.04,-1.97,-1.912,-1.818,-1.755,-1.683,-1.636,-1.591,-1.551,-1.492,-1.457,-1.414,-1.378,-1.329,-1.274,-1.235,-1.192,-1.152,-1.102,-1.068,-1.04,-0.999,-0.972,-0.932,-0.897,-0.853,-0.819,-0.796,-0.766,-0.743,-0.711,-0.679,-0.653,-0.629,-0.6,-0.576,-0.549,-0.524,-0.503,-0.478,-0.439,-0.412,-0.381,-0.355,-0.333,-0.306,-0.282,-0.256,-0.242,-0.219,-0.192,-0.166,-0.149,-0.132,-0.11,-0.086,-0.061,-0.043,-0.025,-0.007,0.011,0.04,0.067,0.086,0.113,0.141,0.162,0.19,0.217,0.258,0.291,0.329,0.371,0.405,0.432,0.476,0.513,0.56,0.628,0.698,0.755,0.809,0.891,0.977,1.099,1.19,1.348,1.506,1.713,2.275,3.556
Approvals,LNP FP,-5.326,-3.348,-2.771,-2.368,-2.182,-2.018,-1.845,-1.726,-1.64,-1.543,-1.46,-1.391,-1.284,-1.245,-1.153,-1.083,-1.025,-0.979,-0.94,-0.903,-0.842,-0.797,-0.762,-0.721,-0.686,-0.654,-0.627,-0.599,-0.57,-0.533,-0.501,-0.476,-0.46,-0.434,-0.409,-0.386,-0.36,-0.333,-0.302,-0.282,-0.257,-0.236,-0.22,-0.196,-0.167,-0.141,-0.122,-0.105,-0.076,-0.05,-0.03,-0.016,0.005,0.028,0.05,0.074,0.1,0.124,0.142,0.165,0.188,0.217,0.239,0.263,0.289,0.318,0.347,0.373,0.396,0.421,0.443,0.468,0.508,0.527,0.572,0.606,0.641,0.672,0.711,0.749,0.785,0.851,0.898,0.948,0.991,1.038,1.101,1.157,1.218,1.289,1.355,1.426,1.572,1.695,1.786,1.942,2.147,2.402,2.651,3.143,4.448
Old house effects
