House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Morgan multi-mode,GRN FP,0.478,0.718,0.794,0.852,0.892,0.914,0.939,0.961,0.98,1.0,1.019,1.032,1.047,1.059,1.074,1.085,1.098,1.106,1.116,1.123,1.134,1.141,1.15,1.158,1.168,1.179,1.188,1.199,1.209,1.215,1.223,1.23,1.236,1.244,1.253,1.26,1.267,1.275,1.28,1.286,1.293,1.298,1.307,1.314,1.319,1.326,1.335,1.343,1.348,1.355,1.364,1.37,1.38,1.387,1.395,1.4,1.408,1.415,1.423,1.431,1.439,1.445,1.453,1.46,1.467,1.475,1.483,1.491,1.498,1.505,1.515,1.522,1.531,1.539,1.55,1.56,1.571,1.579,1.589,1.597,1.605,1.614,1.622,1.633,1.644,1.656,1.671,1.684,1.694,1.71,1.723,1.744,1.76,1.78,1.802,1.832,1.86,1.898,1.958,2.018,2.212
Redbridge,GRN FP,-1.474,-1.021,-0.882,-0.788,-0.732,-0.683,-0.646,-0.608,-0.57,-0.54,-0.51,-0.475,-0.445,-0.428,-0.4,-0.378,-0.355,-0.336,-0.32,-0.297,-0.276,-0.259,-0.242,-0.225,-0.209,-0.196,-0.182,-0.165,-0.154,-0.14,-0.125,-0.11,-0.099,-0.09,-0.077,-0.063,-0.048,-0.037,-0.023,-0.011,-0.002,0.011,0.023,0.036,0.05,0.065,0.075,0.085,0.099,0.11,0.123,0.134,0.145,0.156,0.165,0.179,0.191,0.201,0.211,0.219,0.228,0.239,0.249,0.258,0.27,0.28,0.294,0.306,0.315,0.328,0.342,0.359,0.368,0.381,0.396,0.409,0.425,0.441,0.459,0.472,0.487,0.497,0.51,0.53,0.546,0.568,0.583,0.605,0.619,0.65,0.671,0.7,0.724,0.763,0.791,0.833,0.889,0.945,1.051,1.154,1.476
Spectre,GRN FP,-3.161,-2.027,-1.658,-1.504,-1.34,-1.222,-1.113,-1.005,-0.931,-0.879,-0.819,-0.768,-0.713,-0.669,-0.615,-0.566,-0.531,-0.485,-0.448,-0.413,-0.389,-0.369,-0.334,-0.293,-0.263,-0.228,-0.204,-0.181,-0.157,-0.135,-0.11,-0.086,-0.065,-0.041,-0.013,0.008,0.034,0.049,0.07,0.087,0.102,0.125,0.146,0.165,0.18,0.2,0.223,0.243,0.258,0.276,0.293,0.31,0.322,0.336,0.349,0.364,0.38,0.398,0.416,0.437,0.455,0.474,0.492,0.516,0.536,0.55,0.568,0.586,0.605,0.622,0.651,0.676,0.699,0.719,0.742,0.767,0.793,0.831,0.853,0.885,0.914,0.951,0.979,1.014,1.042,1.086,1.128,1.159,1.212,1.252,1.311,1.364,1.442,1.521,1.585,1.696,1.806,1.913,2.074,2.335,3.037
DemosAU,GRN FP,-0.586,-0.232,-0.096,-0.042,0.02,0.059,0.094,0.126,0.156,0.177,0.2,0.222,0.238,0.259,0.277,0.291,0.307,0.321,0.337,0.354,0.369,0.379,0.397,0.409,0.424,0.437,0.448,0.462,0.475,0.486,0.499,0.51,0.52,0.531,0.544,0.557,0.569,0.58,0.593,0.603,0.614,0.629,0.644,0.656,0.666,0.678,0.69,0.7,0.71,0.725,0.736,0.747,0.758,0.771,0.783,0.794,0.808,0.818,0.83,0.839,0.85,0.862,0.874,0.888,0.901,0.919,0.927,0.939,0.955,0.97,0.983,1.001,1.012,1.023,1.036,1.05,1.065,1.079,1.098,1.114,1.128,1.144,1.16,1.178,1.195,1.215,1.234,1.254,1.277,1.304,1.343,1.375,1.407,1.445,1.483,1.527,1.59,1.664,1.731,1.863,2.198
Newspoll3,GRN FP,-0.842,-0.485,-0.367,-0.324,-0.278,-0.246,-0.222,-0.195,-0.169,-0.146,-0.126,-0.105,-0.088,-0.066,-0.055,-0.039,-0.021,-0.006,0.011,0.022,0.035,0.046,0.056,0.068,0.079,0.088,0.097,0.105,0.114,0.122,0.13,0.14,0.15,0.161,0.17,0.179,0.188,0.198,0.205,0.216,0.226,0.234,0.247,0.254,0.261,0.27,0.278,0.286,0.294,0.304,0.311,0.316,0.323,0.33,0.338,0.343,0.35,0.359,0.366,0.374,0.383,0.393,0.403,0.411,0.419,0.428,0.437,0.447,0.454,0.461,0.467,0.477,0.486,0.497,0.506,0.518,0.527,0.538,0.547,0.558,0.57,0.58,0.589,0.603,0.616,0.628,0.649,0.665,0.684,0.699,0.719,0.736,0.76,0.778,0.813,0.846,0.883,0.919,1.0,1.096,1.429
ResolvePM,GRN FP,-1.422,-1.001,-0.871,-0.784,-0.729,-0.685,-0.655,-0.614,-0.578,-0.543,-0.518,-0.497,-0.472,-0.445,-0.425,-0.407,-0.388,-0.373,-0.356,-0.343,-0.326,-0.31,-0.298,-0.283,-0.267,-0.256,-0.241,-0.228,-0.215,-0.201,-0.188,-0.178,-0.166,-0.15,-0.139,-0.126,-0.113,-0.103,-0.089,-0.077,-0.067,-0.055,-0.044,-0.037,-0.028,-0.017,-0.007,0.005,0.015,0.025,0.035,0.046,0.055,0.067,0.079,0.087,0.099,0.108,0.121,0.132,0.141,0.152,0.16,0.168,0.178,0.188,0.2,0.214,0.224,0.236,0.244,0.251,0.263,0.274,0.285,0.297,0.308,0.321,0.333,0.345,0.356,0.367,0.38,0.394,0.412,0.425,0.445,0.462,0.481,0.503,0.527,0.548,0.568,0.592,0.627,0.661,0.709,0.78,0.839,0.99,1.258
Wolf+Smith,GRN FP,-3.533,-2.267,-2.017,-1.756,-1.547,-1.409,-1.292,-1.211,-1.11,-1.046,-0.993,-0.915,-0.863,-0.801,-0.752,-0.703,-0.66,-0.627,-0.594,-0.55,-0.519,-0.484,-0.446,-0.415,-0.367,-0.332,-0.306,-0.277,-0.241,-0.211,-0.183,-0.155,-0.125,-0.101,-0.078,-0.061,-0.038,-0.017,0.009,0.034,0.056,0.081,0.106,0.129,0.151,0.17,0.188,0.204,0.224,0.239,0.255,0.273,0.289,0.305,0.327,0.343,0.354,0.368,0.381,0.397,0.415,0.433,0.453,0.472,0.497,0.519,0.538,0.559,0.585,0.602,0.626,0.648,0.679,0.707,0.728,0.757,0.775,0.805,0.837,0.863,0.898,0.936,0.967,1.009,1.038,1.079,1.118,1.167,1.212,1.254,1.309,1.37,1.418,1.493,1.575,1.665,1.761,1.962,2.169,2.526,3.712
YouGov2,GRN FP,-0.158,0.104,0.177,0.236,0.27,0.297,0.321,0.344,0.363,0.378,0.389,0.407,0.421,0.435,0.45,0.461,0.472,0.484,0.495,0.503,0.515,0.522,0.53,0.539,0.546,0.554,0.564,0.571,0.579,0.587,0.596,0.604,0.612,0.62,0.628,0.639,0.646,0.657,0.665,0.672,0.68,0.687,0.699,0.706,0.713,0.721,0.728,0.735,0.742,0.751,0.76,0.766,0.775,0.782,0.79,0.798,0.808,0.815,0.824,0.833,0.842,0.852,0.861,0.871,0.88,0.888,0.898,0.908,0.918,0.927,0.936,0.946,0.953,0.961,0.972,0.982,0.993,1.005,1.023,1.033,1.042,1.052,1.067,1.08,1.095,1.105,1.119,1.133,1.15,1.168,1.184,1.212,1.24,1.272,1.305,1.337,1.373,1.406,1.45,1.538,1.873
