House,Party,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
New house effects
Morgan multi-mode,OTH FP,-1.809,-1.397,-1.291,-1.216,-1.162,-1.117,-1.083,-1.05,-1.017,-0.995,-0.966,-0.943,-0.924,-0.898,-0.87,-0.852,-0.832,-0.814,-0.796,-0.774,-0.758,-0.743,-0.727,-0.713,-0.699,-0.687,-0.675,-0.661,-0.647,-0.636,-0.619,-0.607,-0.594,-0.585,-0.574,-0.566,-0.552,-0.541,-0.529,-0.517,-0.507,-0.5,-0.486,-0.475,-0.467,-0.46,-0.449,-0.441,-0.429,-0.418,-0.409,-0.401,-0.393,-0.38,-0.371,-0.36,-0.348,-0.336,-0.33,-0.318,-0.309,-0.302,-0.289,-0.278,-0.266,-0.252,-0.243,-0.235,-0.223,-0.212,-0.202,-0.189,-0.181,-0.171,-0.156,-0.147,-0.137,-0.125,-0.112,-0.1,-0.087,-0.074,-0.06,-0.051,-0.033,-0.017,-0.001,0.017,0.033,0.051,0.07,0.091,0.115,0.144,0.181,0.221,0.256,0.298,0.355,0.473,0.864
Redbridge,OTH FP,-1.173,-0.703,-0.53,-0.451,-0.383,-0.334,-0.291,-0.251,-0.221,-0.198,-0.169,-0.142,-0.116,-0.092,-0.073,-0.052,-0.033,-0.014,0.001,0.016,0.031,0.042,0.059,0.074,0.087,0.105,0.121,0.134,0.144,0.162,0.177,0.194,0.211,0.227,0.24,0.256,0.27,0.287,0.303,0.322,0.34,0.356,0.372,0.385,0.402,0.418,0.427,0.437,0.452,0.47,0.485,0.501,0.515,0.528,0.542,0.557,0.567,0.58,0.591,0.604,0.621,0.634,0.65,0.666,0.681,0.696,0.712,0.727,0.75,0.769,0.786,0.805,0.821,0.836,0.856,0.874,0.893,0.918,0.942,0.969,0.994,1.015,1.039,1.07,1.093,1.114,1.141,1.168,1.199,1.234,1.274,1.31,1.35,1.399,1.458,1.5,1.551,1.625,1.767,1.91,2.537
Spectre,OTH FP,-2.984,-2.159,-1.815,-1.641,-1.536,-1.434,-1.353,-1.265,-1.184,-1.12,-1.069,-1.025,-0.973,-0.931,-0.876,-0.831,-0.796,-0.764,-0.726,-0.698,-0.662,-0.636,-0.6,-0.564,-0.538,-0.509,-0.475,-0.453,-0.432,-0.413,-0.392,-0.365,-0.337,-0.317,-0.293,-0.275,-0.255,-0.236,-0.22,-0.203,-0.186,-0.169,-0.151,-0.136,-0.12,-0.096,-0.08,-0.067,-0.05,-0.036,-0.021,-0.004,0.011,0.024,0.045,0.058,0.074,0.089,0.103,0.123,0.14,0.161,0.182,0.202,0.216,0.233,0.256,0.278,0.303,0.325,0.344,0.366,0.401,0.425,0.45,0.478,0.5,0.531,0.563,0.593,0.622,0.653,0.688,0.721,0.766,0.821,0.88,0.933,0.974,1.039,1.096,1.173,1.224,1.286,1.358,1.448,1.593,1.701,1.872,2.163,3.145
DemosAU,OTH FP,-1.774,-0.856,-0.662,-0.549,-0.437,-0.373,-0.32,-0.242,-0.195,-0.158,-0.127,-0.087,-0.06,-0.023,0.016,0.039,0.069,0.094,0.122,0.144,0.169,0.199,0.227,0.251,0.279,0.3,0.319,0.341,0.362,0.385,0.409,0.429,0.452,0.473,0.493,0.517,0.543,0.565,0.589,0.608,0.634,0.662,0.682,0.709,0.735,0.763,0.781,0.806,0.834,0.855,0.875,0.892,0.911,0.928,0.949,0.974,1.003,1.023,1.046,1.068,1.091,1.117,1.138,1.161,1.189,1.213,1.245,1.271,1.294,1.322,1.344,1.379,1.4,1.424,1.455,1.491,1.511,1.532,1.558,1.599,1.632,1.665,1.706,1.741,1.801,1.849,1.883,1.925,1.972,2.016,2.07,2.129,2.182,2.253,2.316,2.396,2.49,2.633,2.785,3.121,3.813
Newspoll3,OTH FP,-1.002,-0.573,-0.384,-0.295,-0.23,-0.192,-0.142,-0.094,-0.059,-0.032,0.008,0.034,0.061,0.091,0.123,0.14,0.161,0.178,0.2,0.218,0.238,0.256,0.278,0.295,0.318,0.338,0.357,0.374,0.394,0.412,0.426,0.441,0.458,0.475,0.493,0.511,0.528,0.544,0.56,0.573,0.588,0.607,0.621,0.636,0.651,0.665,0.68,0.692,0.703,0.715,0.728,0.745,0.76,0.778,0.795,0.809,0.822,0.837,0.854,0.871,0.881,0.898,0.911,0.927,0.948,0.963,0.978,0.993,1.011,1.031,1.046,1.062,1.078,1.098,1.115,1.141,1.161,1.185,1.21,1.227,1.244,1.266,1.29,1.308,1.336,1.354,1.377,1.415,1.446,1.476,1.509,1.545,1.584,1.638,1.687,1.746,1.818,1.911,2.026,2.188,2.813
ResolvePM,OTH FP,-2.462,-1.787,-1.571,-1.438,-1.352,-1.255,-1.195,-1.121,-1.052,-1.012,-0.957,-0.904,-0.873,-0.833,-0.799,-0.773,-0.744,-0.713,-0.685,-0.657,-0.632,-0.607,-0.576,-0.545,-0.525,-0.502,-0.479,-0.464,-0.447,-0.43,-0.407,-0.391,-0.369,-0.351,-0.332,-0.316,-0.293,-0.281,-0.263,-0.246,-0.232,-0.213,-0.198,-0.185,-0.171,-0.157,-0.142,-0.128,-0.113,-0.101,-0.088,-0.073,-0.06,-0.048,-0.034,-0.017,-0.005,0.01,0.028,0.044,0.052,0.067,0.084,0.1,0.116,0.133,0.145,0.164,0.184,0.203,0.226,0.243,0.265,0.282,0.302,0.324,0.352,0.372,0.392,0.412,0.427,0.444,0.47,0.492,0.52,0.553,0.582,0.614,0.654,0.689,0.737,0.774,0.837,0.891,0.956,1.023,1.12,1.215,1.347,1.561,2.122
Wolf+Smith,OTH FP,-4.323,-3.129,-2.694,-2.391,-2.219,-2.071,-1.965,-1.881,-1.769,-1.694,-1.611,-1.535,-1.477,-1.406,-1.33,-1.262,-1.222,-1.175,-1.135,-1.099,-1.057,-1.009,-0.976,-0.935,-0.903,-0.863,-0.831,-0.802,-0.776,-0.744,-0.711,-0.687,-0.66,-0.629,-0.607,-0.575,-0.558,-0.532,-0.514,-0.488,-0.466,-0.442,-0.418,-0.398,-0.376,-0.356,-0.332,-0.314,-0.297,-0.274,-0.251,-0.228,-0.207,-0.185,-0.172,-0.151,-0.135,-0.114,-0.093,-0.073,-0.044,-0.023,-0.005,0.015,0.035,0.048,0.067,0.092,0.114,0.131,0.157,0.178,0.198,0.226,0.25,0.277,0.307,0.332,0.36,0.396,0.423,0.466,0.507,0.543,0.587,0.636,0.683,0.736,0.769,0.836,0.901,0.958,1.032,1.118,1.198,1.288,1.476,1.63,1.777,2.122,3.116
YouGov2,OTH FP,-0.122,0.212,0.358,0.442,0.529,0.594,0.63,0.679,0.725,0.763,0.798,0.828,0.851,0.882,0.907,0.931,0.955,0.97,0.988,1.01,1.034,1.055,1.08,1.1,1.118,1.133,1.149,1.164,1.179,1.198,1.213,1.229,1.246,1.257,1.272,1.286,1.299,1.315,1.329,1.344,1.357,1.369,1.386,1.402,1.412,1.425,1.437,1.446,1.458,1.471,1.484,1.496,1.508,1.518,1.528,1.545,1.559,1.57,1.584,1.597,1.611,1.624,1.638,1.648,1.664,1.677,1.69,1.705,1.718,1.737,1.753,1.77,1.788,1.803,1.82,1.833,1.848,1.867,1.885,1.904,1.92,1.936,1.954,1.976,1.997,2.019,2.044,2.067,2.094,2.12,2.14,2.174,2.209,2.242,2.289,2.331,2.374,2.449,2.521,2.654,3.138
