Firm,Day,DLP FP,DLP FP adj
F2F Morgan,1,4.0,4.052
F2F Morgan,22,3.0,3.052
F2F Morgan,36,3.0,3.052
F2F Morgan,53,4.0,4.052
F2F Morgan,67,5.0,5.052
F2F Morgan,90,4.0,4.052
F2F Morgan,111,4.0,4.052
F2F Morgan,121,3.0,3.052
F2F Morgan,151,4.0,4.052
F2F Morgan,182,3.0,3.052
F2F Morgan,203,3.0,3.052
F2F Morgan,213,4.0,4.052
F2F Morgan,223,3.0,3.052
F2F Morgan,236,3.0,3.052
F2F Morgan,250,3.0,3.052
F2F Morgan,264,2.0,2.052
F2F Morgan,274,3.0,3.052
F2F Morgan,284,3.0,3.052
F2F Morgan,304,3.0,3.052
F2F Morgan,366,4.0,4.052
F2F Morgan,387,3.0,3.052
F2F Morgan,401,3.0,3.052
F2F Morgan,415,4.0,4.052
F2F Morgan,425,5.0,5.052
F2F Morgan,435,5.0,5.052
F2F Morgan,445,4.0,4.052
F2F Morgan,455,4.0,4.052
