Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,6.0,5.927
F2F Morgan,15,6.0,5.927
F2F Morgan,29,5.0,4.927
F2F Morgan,43,6.0,5.927
F2F Morgan,57,5.0,4.927
F2F Morgan,68,6.0,5.927
F2F Morgan,78,6.0,5.927
F2F Morgan,92,6.0,5.927
F2F Morgan,106,5.0,4.927
F2F Morgan,120,5.0,4.927
F2F Morgan,131,6.0,5.927
F2F Morgan,138,7.0,6.927
F2F Morgan,148,6.0,5.927
F2F Morgan,159,5.0,4.927
F2F Morgan,166,6.0,5.927
F2F Morgan,176,5.0,4.927
F2F Morgan,190,5.0,4.927
F2F Morgan,204,4.0,3.927
F2F Morgan,218,5.0,4.927
F2F Morgan,232,4.0,3.927
F2F Morgan,246,4.0,3.927
F2F Morgan,260,6.0,5.927
F2F Morgan,274,5.0,4.927
F2F Morgan,302,5.0,4.927
F2F Morgan,316,4.0,3.927
F2F Morgan,330,4.0,3.927
F2F Morgan,344,4.0,3.927
F2F Morgan,358,5.0,4.927
F2F Morgan,372,4.0,3.927
F2F Morgan,386,5.0,4.927
F2F Morgan,400,3.0,2.927
F2F Morgan,414,4.0,3.927
F2F Morgan,428,5.0,4.927
F2F Morgan,442,5.0,4.927
F2F Morgan,456,6.0,5.927
F2F Morgan,470,5.0,4.927
F2F Morgan,484,4.0,3.927
F2F Morgan,495,4.0,3.927
F2F Morgan,502,4.0,3.927
F2F Morgan,512,5.0,4.927
F2F Morgan,526,5.0,4.927
F2F Morgan,540,5.0,4.927
F2F Morgan,551,5.0,4.927
F2F Morgan,558,6.0,5.927
F2F Morgan,565,5.0,4.927
F2F Morgan,572,5.0,4.927
F2F Morgan,579,6.0,5.927
F2F Morgan,586,5.0,4.927
F2F Morgan,593,7.0,6.927
F2F Morgan,600,8.0,7.927
F2F Morgan,607,5.0,4.927
F2F Morgan,614,7.0,6.927
F2F Morgan,621,7.0,6.927
