Firm,Day,@TPP,@TPP adj,@TPP reported
AGB McNair,1,57.336,55.822,nan
Newspoll,3,54.336,54.34,nan
F2F Morgan,7,55.637,54.844,nan
Newspoll,17,54.13,54.134,nan
AGB McNair,19,55.733,54.219,nan
F2F Morgan,21,54.336,53.543,nan
AGB McNair,29,56.733,55.219,nan
Newspoll,31,55.733,55.737,nan
F2F Morgan,35,54.497,53.703,54.5
AGB McNair,42,55.542,54.028,nan
Newspoll,45,55.527,55.531,nan
F2F Morgan,49,51.67,50.876,51.5
AGB McNair,56,54.733,53.219,nan
Newspoll,59,50.527,50.531,nan
F2F Morgan,63,52.207,51.413,51.0
AGB McNair,70,53.939,52.425,nan
Newspoll,73,51.733,51.737,nan
F2F Morgan,77,52.107,51.314,51.5
AGB McNair,84,54.939,53.425,nan
Newspoll,87,51.13,51.134,nan
F2F Morgan,91,53.705,52.911,52.5
AGB McNair,98,54.939,53.425,nan
Newspoll,101,50.733,50.737,nan
F2F Morgan,105,52.107,51.314,51.5
AGB McNair,112,53.939,52.425,nan
Newspoll,115,46.527,46.531,nan
F2F Morgan,119,50.024,49.231,49.5
AGB McNair,126,53.542,52.028,nan
Newspoll,129,50.336,50.34,nan
F2F Morgan,133,49.288,48.494,49.0
AGB McNair,139,50.145,48.631,nan
Newspoll,143,48.939,48.943,nan
F2F Morgan,147,47.983,47.19,47.5
AGB McNair,153,48.145,46.631,nan
Newspoll,157,40.145,40.149,nan
F2F Morgan,157,44.382,43.589,43.0
AGB McNair,168,46.954,45.44,nan
F2F Morgan,168,44.089,43.296,42.5
Newspoll,171,43.351,43.355,nan
AGB McNair,182,48.16,46.646,nan
F2F Morgan,182,43.05,42.256,42.0
Newspoll,185,45.145,45.149,nan
Newspoll,192,43.336,43.34,nan
AGB McNair,196,48.557,47.043,nan
F2F Morgan,196,44.729,43.936,44.0
Newspoll,206,46.145,46.149,nan
AGB McNair,210,46.351,44.837,nan
F2F Morgan,210,44.592,43.798,44.0
Newspoll,220,44.939,44.943,nan
AGB McNair,224,48.748,47.234,nan
F2F Morgan,224,46.748,45.955,45.0
Newspoll,234,44.336,44.34,nan
AGB McNair,238,49.748,48.234,nan
F2F Morgan,238,45.077,44.284,44.0
Newspoll,248,46.939,46.943,nan
AGB McNair,252,50.145,48.631,nan
F2F Morgan,252,47.36,46.566,46.5
Newspoll,262,47.542,47.546,nan
F2F Morgan,266,48.056,47.262,46.5
AGB McNair,269,48.351,46.837,nan
Newspoll,276,47.542,47.546,nan
AGB McNair,294,47.145,45.631,nan
F2F Morgan,301,48.542,47.749,46.5
Newspoll,304,45.336,45.34,nan
AGB McNair,304,50.939,49.425,nan
F2F Morgan,315,49.336,48.543,48.0
Newspoll,318,48.336,48.34,nan
AGB McNair,322,49.542,48.028,nan
F2F Morgan,329,49.24,48.447,48.0
Newspoll,332,48.13,48.134,nan
AGB McNair,336,50.145,48.631,nan
F2F Morgan,343,48.344,47.55,46.5
Newspoll,346,49.336,49.34,nan
