Firm,Day,ALP FP,ALP FP adj
Saulwick,1,36.0,40.192
Newspoll,4,38.0,37.594
F2F Morgan,18,45.0,44.283
Saulwick,35,40.0,44.192
F2F Morgan,45,41.0,40.283
Saulwick,92,39.0,43.192
Newspoll,96,37.0,36.594
Saulwick,154,44.0,48.192
Newspoll,155,50.0,49.594
Newspoll,216,45.0,44.594
Newspoll,277,39.0,38.594
Saulwick,273,38.0,42.192
Saulwick,335,29.0,33.192
Newspoll,338,37.0,36.594
Saulwick,364,30.0,34.192
Newspoll,399,39.0,38.594
Saulwick,401,31.0,35.192
Newspoll,461,43.0,42.594
Saulwick,463,33.0,37.192
Saulwick,490,34.0,38.192
Newspoll,520,40.0,39.594
Saulwick,524,32.0,36.192
Saulwick,546,34.0,38.192
Newspoll,581,40.0,39.594
Saulwick,590,33.0,37.192
Saulwick,609,30.0,34.192
Newspoll,642,38.0,37.594
Saulwick,636,35.0,39.192
Saulwick,671,34.0,38.192
Saulwick,686,38.0,42.192
Newspoll,703,43.0,42.594
Saulwick,707,36.0,40.192
AGB McNair,712,46.0,45.775
Newspoll,764,44.0,43.594
Newspoll,826,40.0,39.594
AGB McNair,829,40.0,39.775
AGB McNair,857,39.0,38.775
Newspoll,885,41.0,40.594
AGB McNair,886,39.0,38.775
AGB McNair,924,39.0,38.775
AGB McNair,941,40.0,39.775
Newspoll,946,39.0,38.594
AGB McNair,965,41.0,40.775
AGB McNair,997,34.0,33.775
Newspoll,1007,41.0,40.594
AGB McNair,1022,41.0,40.808
Quadrant,1047,41.0,40.34
AGB McNair,1053,39.0,38.883
Newspoll,1068,40.0,39.724
AGB McNair,1081,39.0,38.949
F2F Morgan,1106,40.5,39.764
AGB McNair,1109,41.0,41.014
Newspoll,1129,41.0,40.854
F2F Morgan,1134,43.5,42.76
AGB McNair,1143,41.0,41.056
Newspoll,1191,38.0,37.854
AGB McNair,1179,39.0,39.056
AGB McNair,1207,39.0,39.056
AGB McNair,1225,40.0,40.056
AGB McNair,1239,40.0,40.056
Quadrant,1246,42.0,41.165
AGB McNair,1246,37.0,37.056
Newspoll,1247,40.0,39.854
