Firm,Day,LNP FP,LNP FP adj
Saulwick,1,50.0,49.689
Newspoll,4,50.0,50.586
F2F Morgan,18,43.0,44.357
Saulwick,35,42.0,41.689
F2F Morgan,45,46.0,47.357
Saulwick,92,44.0,43.689
Newspoll,96,53.0,53.586
Saulwick,154,45.0,44.689
Newspoll,155,43.0,43.586
Newspoll,216,46.0,46.586
Newspoll,277,53.0,53.586
Saulwick,273,48.0,47.689
Saulwick,335,54.0,53.689
Newspoll,338,51.0,51.586
Saulwick,364,57.0,56.689
Newspoll,399,51.0,51.586
Saulwick,401,53.0,52.689
Newspoll,461,47.0,47.586
Saulwick,463,53.0,52.689
Saulwick,490,53.0,52.689
Newspoll,520,50.0,50.586
Saulwick,524,56.0,55.689
Saulwick,546,55.0,54.689
Newspoll,581,52.0,52.586
Saulwick,590,55.0,54.689
Saulwick,609,58.0,57.689
Newspoll,642,53.0,53.586
Saulwick,636,54.0,53.689
Saulwick,671,49.0,48.689
Saulwick,686,46.0,45.689
Newspoll,703,50.0,50.586
Saulwick,707,53.0,52.689
AGB McNair,712,44.0,44.051
Newspoll,764,47.0,47.586
Newspoll,826,51.0,51.586
AGB McNair,829,50.0,50.051
AGB McNair,857,53.0,53.051
Newspoll,885,49.0,49.586
AGB McNair,886,51.0,51.051
AGB McNair,924,54.0,54.051
AGB McNair,941,52.0,52.051
Newspoll,946,50.0,50.586
AGB McNair,965,52.0,52.051
AGB McNair,997,57.0,57.051
Newspoll,1007,48.0,48.586
AGB McNair,1022,50.0,50.036
Quadrant,1047,49.0,49.657
AGB McNair,1053,51.0,51.001
Newspoll,1068,51.0,51.412
AGB McNair,1081,51.0,50.97
F2F Morgan,1106,46.5,48.0
AGB McNair,1109,50.0,49.939
Newspoll,1129,48.0,48.237
F2F Morgan,1134,45.5,47.032
AGB McNair,1143,50.0,49.919
Newspoll,1191,51.0,51.237
AGB McNair,1179,52.0,51.919
AGB McNair,1207,52.0,51.919
AGB McNair,1225,50.0,49.919
AGB McNair,1239,52.0,51.919
Quadrant,1246,53.0,53.511
AGB McNair,1246,54.0,53.919
Newspoll,1247,54.0,54.237
