Firm,Day,@TPP,@TPP adj,@TPP reported
F2F Morgan,320,46.899,45.828,47.0
Newspoll,1,52.643,52.985,nan
Newspoll,62,47.709,48.051,nan
Newspoll,123,48.176,48.518,nan
Newspoll,185,47.176,47.518,nan
Newspoll,245,40.198,40.54,nan
Newspoll,306,45.154,45.496,nan
Newspoll,367,44.687,45.029,nan
Newspoll,428,44.687,45.029,nan
Newspoll,489,47.709,48.051,nan
Newspoll,551,46.22,46.562,nan
Newspoll,610,45.709,46.051,nan
Newspoll,671,48.731,49.073,nan
Newspoll,732,47.264,47.606,nan
Newspoll,793,47.753,48.095,nan
Newspoll,854,50.22,50.562,nan
Newspoll,916,50.687,51.029,nan
Morgan Phone,941,49.175,48.901,50.5
Newspoll,975,48.665,49.007,nan
Morgan Phone,997,48.954,48.68,50.0
Newspoll,1036,47.198,47.54,nan
Nielsen,1041,51.242,50.54,53.0
F2F Morgan,1080,51.486,50.416,55.0
Newspoll,1097,51.731,52.076,nan
F2F Morgan,1111,53.731,52.644,55.5
Nielsen,1097,52.264,51.567,53.0
F2F Morgan,1143,53.942,52.822,55.0
Newspoll,1158,50.176,50.603,nan
F2F Morgan,1171,52.676,51.527,53.5
F2F Morgan,1203,53.676,52.494,55.0
Newspoll,1206,51.643,52.136,nan
F2F Morgan,1231,51.931,50.737,54.0
Newspoll,1232,49.154,49.66,nan
F2F Morgan,1269,49.938,48.743,57.0
Newspoll,1281,48.132,48.638,nan
F2F Morgan,1290,52.888,51.693,54.5
F2F Morgan,1304,54.154,52.96,54.5
Newspoll,1321,54.154,54.66,nan
Nielsen,1324,53.22,52.842,55.0
Morgan Phone,1329,57.709,56.716,60.0
Nielsen,1331,54.731,54.353,56.0
Morgan Phone,1333,53.998,53.004,56.0
Newspoll,1333,51.242,51.748,nan
Morgan Phone,1335,55.275,54.282,59.0
