Firm,Day,GRN FP,GRN FP adj
F2F Morgan,446,3.5,3.031
F2F Morgan,505,5.5,5.031
F2F Morgan,560,5.5,5.031
F2F Morgan,630,8.0,7.531
F2F Morgan,687,6.5,6.031
F2F Morgan,746,8.5,8.031
F2F Morgan,809,6.0,5.531
F2F Morgan,870,5.5,5.031
Newspoll,915,6.0,6.347
F2F Morgan,931,4.0,3.531
F2F Morgan,993,6.0,5.531
Westpoll,997,6.0,6.765
Newspoll,1007,5.0,5.347
Westpoll,1026,3.0,3.765
F2F Morgan,1053,7.0,6.531
Westpoll,1057,5.0,5.765
Westpoll,1091,4.0,4.765
Newspoll,1097,4.0,4.347
F2F Morgan,1114,6.5,6.031
Westpoll,1120,3.0,3.765
Westpoll,1148,6.0,6.754
F2F Morgan,1175,7.5,6.941
Newspoll,1189,4.0,4.518
F2F Morgan,1236,5.5,4.834
Westpoll,1240,4.0,4.705
Westpoll,1274,5.0,5.702
Newspoll,1281,5.0,5.667
F2F Morgan,1297,7.5,6.816
Westpoll,1343,2.381,3.083
Westpoll,1359,4.598,5.3
Newspoll,1366,5.0,5.667
