Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,46.0,46.07763353891503
F2F Morgan,15,43.0,43.07763353891503
F2F Morgan,29,47.5,47.57763353891503
F2F Morgan,43,44.5,44.57763353891503
F2F Morgan,57,45.5,45.57763353891503
F2F Morgan,71,41.5,41.57763353891503
F2F Morgan,89,43.5,43.57763353891503
F2F Morgan,99,45.0,45.07763353891503
F2F Morgan,113,42.0,42.07763353891503
F2F Morgan,127,41.0,41.07763353891503
F2F Morgan,141,42.0,42.07763353891503
F2F Morgan,155,45.5,45.57763353891503
F2F Morgan,167,45.5,45.57763353891503
F2F Morgan,183,42.5,42.57763353891503
F2F Morgan,197,46.5,46.57763353891503
F2F Morgan,211,43.5,43.57763353891503
F2F Morgan,225,42.0,42.07763353891503
F2F Morgan,239,43.5,43.57763353891503
F2F Morgan,253,44.5,44.57763353891503
F2F Morgan,271,43.5,43.57763353891503
F2F Morgan,281,45.0,45.07763353891503
F2F Morgan,295,49.0,49.07763353891503
F2F Morgan,309,48.5,48.57763353891503
F2F Morgan,323,46.0,46.07763353891503
F2F Morgan,337,46.5,46.57763353891503
F2F Morgan,365,45.5,45.57763353891503
F2F Morgan,379,45.0,45.07763353891503
F2F Morgan,393,45.0,45.07763353891503
F2F Morgan,407,46.0,46.07763353891503
F2F Morgan,421,41.5,41.57763353891503
F2F Morgan,432,43.0,43.07763353891503
F2F Morgan,439,48.5,48.57763353891503
F2F Morgan,453,43.5,43.57763353891503
F2F Morgan,460,47.0,47.07763353891503
F2F Morgan,467,47.5,47.57763353891503
F2F Morgan,477,46.0,46.07763353891503
F2F Morgan,491,27.0,27.07763353891503
F2F Morgan,505,42.5,42.57763353891503
F2F Morgan,519,48.0,48.07763353891503
F2F Morgan,533,47.5,47.57763353891503
F2F Morgan,561,46.5,46.57763353891503
F2F Morgan,579,47.5,47.57763353891503
F2F Morgan,586,49.0,49.07763353891503
F2F Morgan,593,42.0,42.07763353891503
F2F Morgan,603,42.0,42.07763353891503
F2F Morgan,617,42.5,42.57763353891503
F2F Morgan,635,46.0,46.07763353891503
F2F Morgan,645,47.0,47.07763353891503
F2F Morgan,659,43.0,43.07763353891503
F2F Morgan,673,46.0,46.07763353891503
F2F Morgan,684,44.0,44.07763353891503
F2F Morgan,691,43.5,43.57763353891503
F2F Morgan,698,44.0,44.07763353891503
F2F Morgan,708,44.5,44.57763353891503
F2F Morgan,729,42.0,42.07763353891503
F2F Morgan,743,42.0,42.07763353891503
F2F Morgan,757,41.0,41.07763353891503
F2F Morgan,771,43.5,43.59347851382254
F2F Morgan,785,42.0,42.12516846363755
F2F Morgan,799,41.5,41.65685841345256
F2F Morgan,813,43.0,43.18854836326758
F2F Morgan,827,42.5,42.72023831308259
Newspoll,830,43.0,43.01803827899108
Nielsen,837,42.0,41.97669180568992
F2F Morgan,841,44.5,44.7519282628976
Newspoll,844,42.0,42.02854904160149
Newspoll,858,41.0,41.039059804211895
F2F Morgan,859,44.5,44.792672484088335
Nielsen,865,39.0,38.95563420911735
F2F Morgan,869,42.5,42.81530816252763
Newspoll,872,47.0,47.0495705668223
F2F Morgan,883,45.0,45.34699811234264
Newspoll,893,43.0,43.058579791916934
Nielsen,893,43.0,42.941345125728816
F2F Morgan,897,44.5,44.84926168018657
Newspoll,907,43.0,43.058579791916934
F2F Morgan,908,42.5,42.84926168018657
F2F Morgan,915,41.5,41.84926168018657
Nielsen,921,43.7,43.64134512572882
Newspoll,921,43.0,43.058579791916934
F2F Morgan,925,41.5,41.84926168018657
Galaxy,928,45.5,45.032676109807305
Morgan Phone,931,42.75,42.88388472836113
Newspoll,935,45.0,45.058579791916934
F2F Morgan,939,40.0,40.34926168018657
Galaxy,942,47.0,46.532676109807305
Newspoll,949,39.0,39.058579791916934
Nielsen,949,39.0,38.941345125728816
F2F Morgan,953,39.0,39.34926168018657
Galaxy,956,43.0,42.532676109807305
Galaxy,962,46.0,45.532676109807305
Newspoll,963,43.0,43.058579791916934
F2F Morgan,967,38.5,38.84926168018657
Newspoll,970,45.0,45.058579791916934
Nielsen,970,46.0,45.941345125728816
Newspoll,977,46.0,46.058579791916934
F2F Morgan,978,42.0,42.34926168018657
Nielsen,981,48.0,47.941345125728816
Morgan Phone,982,42.75,42.88388472836113
Newspoll,984,43.0,43.058579791916934
Galaxy,984,45.5,45.032676109807305
F2F Morgan,985,45.0,45.34926168018657
Morgan Phone,988,45.75,45.88388472836113
Newspoll,991,43.0,43.058579791916934
F2F Morgan,992,48.0,48.34926168018657
Morgan Phone,995,46.25,46.38388472836113
Nielsen,998,46.0,45.941345125728816
Newspoll,998,46.0,46.058579791916934
F2F Morgan,999,45.5,45.84926168018657
Galaxy,998,46.0,45.532676109807305
Newspoll,1004,45.0,45.058579791916934
Nielsen,1004,47.0,46.941345125728816
Galaxy,1004,46.0,45.532676109807305
Morgan Phone,1004,45.5,45.63388472836113
