Firm,Day,NAT FP,NAT FP adj
F2F Morgan,1,2.0,1.803
Westpoll,40,1.111,2.17
F2F Morgan,62,2.0,1.803
Westpoll,94,1.111,2.17
F2F Morgan,123,2.0,1.803
Westpoll,132,2.222,3.281
Newspoll,137,5.0,4.51
F2F Morgan,184,2.0,1.803
Newspoll,229,3.0,2.51
F2F Morgan,245,2.0,1.803
F2F Morgan,307,2.0,1.803
Newspoll,321,4.0,3.51
Westpoll,335,2.0,3.059
F2F Morgan,366,2.0,1.803
Westpoll,407,1.0,2.059
Newspoll,410,5.0,4.51
F2F Morgan,427,2.0,1.803
F2F Morgan,488,2.0,1.803
Westpoll,499,2.0,3.059
Newspoll,502,3.0,2.51
F2F Morgan,549,4.0,3.803
Westpoll,591,2.0,3.059
Newspoll,594,4.0,3.51
F2F Morgan,610,4.0,3.803
Westpoll,643,2.0,3.059
F2F Morgan,672,4.0,3.803
Westpoll,674,3.0,4.059
Newspoll,686,4.0,3.51
Westpoll,713,2.0,3.059
F2F Morgan,731,4.0,3.803
Newspoll,775,3.0,2.51
F2F Morgan,792,4.0,3.803
Westpoll,824,2.0,3.059
F2F Morgan,853,4.0,3.803
Westpoll,855,1.0,2.059
Newspoll,867,2.0,1.51
Westpoll,892,1.0,2.059
F2F Morgan,914,4.0,3.803
Westpoll,927,2.0,3.059
Newspoll,959,3.0,2.51
F2F Morgan,975,4.0,3.803
Westpoll,1020,2.0,3.059
F2F Morgan,1037,4.0,3.803
Westpoll,1046,1.0,2.059
Newspoll,1051,3.0,2.51
Westpoll,1068,2.0,3.059
F2F Morgan,1097,4.0,3.803
Westpoll,1099,1.0,2.059
Westpoll,1129,2.0,3.059
Newspoll,1141,3.0,2.51
Westpoll,1160,1.0,2.059
Westpoll,1190,1.0,2.047
Westpoll,1221,1.205,2.155
Westpoll,1313,2.273,2.969
Newspoll,1325,3.0,2.743
Westpoll,1343,2.299,2.996
Westpoll,1381,1.099,1.796
Newspoll,1400,4.0,3.743
Westpoll,1403,1.099,1.796
