Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,6.0,5.392923354713131
F2F Morgan,62,5.5,4.892923354713131
F2F Morgan,123,4.0,3.3929233547131306
F2F Morgan,184,5.5,4.892923354713131
Newspoll,229,3.0,3.0000173682429843
F2F Morgan,245,6.0,5.392923354713131
F2F Morgan,307,4.5,3.8929233547131306
Newspoll,321,5.0,5.000017368242984
F2F Morgan,366,6.0,5.392923354713131
Newspoll,410,3.0,3.0000173682429843
F2F Morgan,427,4.5,3.8929233547131306
Newspoll,488,3.0,3.0000173682429843
F2F Morgan,488,5.0,4.392923354713131
Newspoll,519,4.0,4.000017368242984
F2F Morgan,549,5.5,4.892923354713131
Newspoll,594,3.0,3.0000173682429843
F2F Morgan,610,5.5,4.892923354713131
F2F Morgan,672,6.5,5.9352622722457875
Newspoll,687,4.0,4.000015380137807
F2F Morgan,731,5.5,5.048807551083367
Newspoll,775,4.0,4.000010920334302
F2F Morgan,792,4.5,4.12386290489126
Newspoll,853,2.0,2.0000109203343017
F2F Morgan,853,4.0,3.623862904891259
Newspoll,879,2.0,2.0000109203343017
Newspoll,890,4.0,4.000010920334302
Morgan Phone,890,8.0,7.704101413623823
