Firm,Day,FF FP,FF FP adj
Newspoll,76,0.0,1.383
Advertiser,107,3.158,2.652
F2F Morgan,154,2.0,1.729
Newspoll,168,0.0,1.383
F2F Morgan,215,2.5,2.229
Newspoll,260,1.0,2.383
F2F Morgan,276,2.0,1.729
F2F Morgan,338,2.0,1.729
Advertiser,349,3.191,2.685
Newspoll,352,0.0,1.383
F2F Morgan,397,3.0,2.729
Newspoll,441,0.0,1.383
F2F Morgan,458,2.0,1.729
F2F Morgan,519,2.0,1.729
Newspoll,533,1.0,2.383
F2F Morgan,580,1.5,1.229
Newspoll,625,0.0,1.383
F2F Morgan,641,1.0,0.729
F2F Morgan,703,2.0,1.729
Newspoll,717,0.0,1.383
Advertiser,748,3.226,2.72
F2F Morgan,763,2.0,1.729
Newspoll,807,0.0,1.383
F2F Morgan,824,1.5,1.229
F2F Morgan,885,1.5,1.229
Newspoll,899,1.0,2.383
F2F Morgan,946,4.0,3.729
Newspoll,991,2.0,3.383
F2F Morgan,1007,4.0,3.729
Advertiser,1016,4.167,3.661
F2F Morgan,1069,4.0,3.729
Advertiser,1083,2.0,1.494
Newspoll,1083,1.0,2.383
Advertiser,1112,4.0,3.494
F2F Morgan,1128,4.0,3.729
Newspoll,1172,2.0,3.383
F2F Morgan,1189,4.0,3.729
F2F Morgan,1250,4.0,3.751
Newspoll,1264,1.0,2.31
F2F Morgan,1311,3.5,3.363
Advertiser,1315,3.0,2.413
Advertiser,1341,4.0,3.386
Newspoll,1356,2.0,3.049
F2F Morgan,1372,5.5,5.446
Advertiser,1376,4.0,3.369
Advertiser,1413,4.706,4.075
F2F Morgan,1417,3.5,3.446
Newspoll,1434,3.0,4.043
F2F Morgan,1448,3.5,3.446
Advertiser,1449,4.5,3.869
F2F Morgan,1462,2.0,1.946
Advertiser,1469,5.7,5.069
Advertiser,1476,8.0,7.369
Newspoll,1477,3.0,4.043
