Firm,Day,ALP FP,ALP FP adj
Newspoll,1,37.0,37.01607563645053
Newspoll,93,42.0,42.01607563645053
Newspoll,182,42.0,42.01607563645053
Newspoll,274,42.0,42.01607563645053
Newspoll,366,38.0,38.01607563645053
Newspoll,458,39.0,39.01607563645053
Newspoll,547,44.0,44.01607563645053
Newspoll,639,44.0,44.01607563645053
Newspoll,731,40.0,40.01607563645053
Newspoll,823,42.0,42.034694518786715
Newspoll,914,41.0,41.07336450517726
Westpoll,953,41.0,40.908370816894866
Westpoll,1001,39.0,38.908370816894866
Newspoll,1002,42.0,42.07336450517726
Galaxy,1018,41.0,40.911381178675896
Westpoll,1018,42.0,41.908370816894866
Newspoll,1024,35.0,35.07336450517726
Westpoll,1024,36.8,36.70837081689486
