Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,8.5,10.674181125080494
F2F Morgan,62,8.5,10.674181125080494
F2F Morgan,123,10.0,12.174181125080494
F2F Morgan,184,8.5,10.674181125080494
Newspoll,229,15.0,12.802804745814225
F2F Morgan,245,6.5,8.674181125080494
F2F Morgan,307,6.0,8.174181125080494
Newspoll,321,11.0,8.802804745814225
F2F Morgan,366,8.5,10.674181125080494
Newspoll,410,14.0,11.802804745814225
F2F Morgan,427,6.5,8.674181125080494
Westpoll,471,8.0,7.426762220030538
F2F Morgan,488,6.5,8.674181125080494
Newspoll,502,12.0,9.802804745814225
Westpoll,502,9.0,8.426762220030538
Westpoll,533,8.0,7.426762220030538
F2F Morgan,549,4.5,6.674181125080494
Westpoll,563,9.0,8.426762220030538
Westpoll,586,13.0,12.426762220030538
Newspoll,594,13.0,10.802804745814225
Westpoll,601,10.0,9.426762220030538
F2F Morgan,610,6.0,8.174181125080494
Westpoll,624,8.0,7.426762220030538
Westpoll,655,8.0,7.426762220030538
Newspoll,686,12.0,9.802804745814225
Westpoll,686,7.0,6.426762220030538
Westpoll,714,9.0,8.426762220030538
Westpoll,745,9.0,8.426762220030538
Newspoll,775,10.0,7.802804745814224
Westpoll,806,6.0,5.426762220030538
Westpoll,836,8.0,7.426762220030538
Newspoll,867,7.0,4.802804745814224
Westpoll,867,7.0,6.426762220030538
Westpoll,898,8.0,7.426762220030538
Westpoll,928,5.0,4.426762220030538
Newspoll,959,7.0,4.802804745814224
Westpoll,989,7.0,6.426762220030538
Westpoll,1020,7.0,6.415348017429217
Newspoll,1051,8.0,6.263519744174616
Westpoll,1073,10.0,9.339728925195462
Newspoll,1142,8.0,7.220389356153892
Westpoll,1145,10.0,9.255549181010718
Westpoll,1181,6.0,5.255549181010718
Westpoll,1196,10.0,9.255549181010718
Westpoll,1229,5.75,5.005549181010718
Newspoll,1230,6.0,5.220389356153892
Galaxy,1246,6.0,5.525897116480948
Westpoll,1246,6.0,5.255549181010718
Newspoll,1252,10.0,9.220389356153891
Westpoll,1252,11.2,10.455549181010717
